Date,buy JOY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,26.91
2004-02-13,0,27.91
2004-02-20,0,27.86
2004-02-27,0,27.59
2004-03-05,0,28.95
2004-03-12,0,26.86
2004-03-19,0,26.91
2004-03-26,0,26.52
2004-04-02,0,29.31
2004-04-09,0,
2004-04-16,0,28.64
2004-04-23,0,29.18
2004-04-30,0,26.25
2004-05-07,0,25.65
2004-05-14,0,25.10
2004-05-21,0,24.73
2004-05-28,0,27.50
2004-06-04,0,27.44
2004-06-11,0,
2004-06-18,0,28.50
2004-06-25,0,28.72
2004-07-02,0,29.88
2004-07-09,0,29.59
2004-07-16,0,29.25
2004-07-23,0,28.75
2004-07-30,0,29.69
2004-08-06,0,28.92
2004-08-13,0,29.79
2004-08-20,0,30.92
2004-08-27,0,29.99
2004-09-03,0,30.54
2004-09-10,0,31.26
2004-09-17,0,32.70
2004-09-24,0,32.60
2004-10-01,0,35.30
2004-10-08,0,35.01
2004-10-15,0,34.18
2004-10-22,0,35.41
2004-10-29,0,33.79
2004-11-05,0,36.75
2004-11-12,0,39.28
2004-11-19,0,38.53
2004-11-26,0,40.20
2004-12-03,0,39.26
2004-12-10,100,37.42
2004-12-17,0,40.65
2004-12-24,0,
2004-12-31,0,43.43
2005-01-07,0,40.50
2005-01-14,0,42.33
2005-01-21,0,40.90
2005-01-28,0,27.31
2005-02-04,0,29.87
2005-02-11,0,30.46
2005-02-18,0,29.37
2005-02-25,0,35.90
2005-03-04,0,39.05
2005-03-11,0,37.03
2005-03-18,0,36.39
2005-03-25,0,
2005-04-01,0,34.26
2005-04-08,0,33.42
2005-04-15,0,30.88
2005-04-22,0,35.04
2005-04-29,0,33.87
2005-05-06,0,36.29
2005-05-13,0,34.23
2005-05-20,0,35.72
2005-05-27,0,36.65
2005-06-03,0,35.54
2005-06-10,0,36.21
2005-06-17,0,35.32
2005-06-24,0,34.09
2005-07-01,0,34.46
2005-07-08,0,35.14
2005-07-15,0,35.83
2005-07-22,0,37.75
2005-07-29,0,41.07
2005-08-05,0,40.06
2005-08-12,0,43.64
2005-08-19,0,42.28
2005-08-26,0,41.49
2005-09-02,0,48.19
2005-09-09,0,49.16
2005-09-16,0,48.40
2005-09-23,0,46.52
2005-09-30,0,50.46
2005-10-07,0,44.93
2005-10-14,0,44.18
2005-10-21,0,42.99
2005-10-28,0,45.23
2005-11-04,0,45.74
2005-11-11,0,45.59
2005-11-18,0,48.26
2005-11-25,0,51.26
2005-12-02,0,54.95
2005-12-09,0,55.51
2005-12-16,0,36.92
2005-12-23,0,40.00
2005-12-30,0,40.00
2006-01-06,0,44.37
2006-01-13,0,46.42
2006-01-20,0,45.11
2006-01-27,0,49.78
2006-02-03,0,53.21
2006-02-10,0,51.73
2006-02-17,0,54.93
2006-02-24,0,55.87
2006-03-03,0,57.02
2006-03-10,0,53.91
2006-03-17,0,58.67
2006-03-24,0,60.62
2006-03-31,0,59.77
2006-04-07,0,64.18
2006-04-14,0,
2006-04-21,0,70.93
2006-04-28,0,65.69
2006-05-05,0,66.01
2006-05-12,0,64.10
2006-05-19,0,51.66
2006-05-26,0,52.70
2006-06-02,0,54.82
2006-06-09,0,49.93
2006-06-16,0,50.05
2006-06-23,0,51.18
2006-06-30,0,52.09
2006-07-07,0,48.93
2006-07-14,0,40.46
2006-07-21,0,37.54
2006-07-28,0,37.64
2006-08-04,0,39.84
2006-08-11,0,36.57
2006-08-18,0,40.34
2006-08-25,0,37.00
2006-09-01,0,43.95
2006-09-08,0,40.32
2006-09-15,0,36.28
2006-09-22,0,33.17
2006-09-29,0,37.57
2006-10-06,0,39.02
2006-10-13,0,40.39
2006-10-20,0,39.51
2006-10-27,0,40.88
2006-11-03,0,38.55
2006-11-10,0,40.93
2006-11-17,0,42.26
2006-11-24,0,44.73
2006-12-01,0,43.42
2006-12-08,0,44.94
2006-12-15,59,44.23
2006-12-22,0,47.16
2006-12-29,0,48.34
2007-01-05,0,45.24
2007-01-12,0,47.68
2007-01-19,0,46.95
2007-01-26,0,45.81
2007-02-02,0,47.46
2007-02-09,0,46.39
2007-02-16,0,47.77
2007-02-23,0,54.83
2007-03-02,0,42.40
2007-03-09,0,43.60
2007-03-16,0,41.17
2007-03-23,0,43.18
2007-03-30,0,42.90
2007-04-06,0,
2007-04-13,37,46.19
2007-04-20,0,47.81
2007-04-27,0,51.80
2007-05-04,0,52.22
2007-05-11,0,52.55
2007-05-18,0,52.23
2007-05-25,0,51.27
2007-06-01,0,58.02
2007-06-08,0,57.47
2007-06-15,0,61.24
2007-06-22,0,60.00
2007-06-29,0,58.33
2007-07-06,33,60.96
2007-07-13,0,64.02
2007-07-20,0,63.03
2007-07-27,0,47.22
2007-08-03,0,47.07
2007-08-10,0,48.01
2007-08-17,0,43.85
2007-08-24,0,47.52
2007-08-31,0,43.39
2007-09-07,40,43.88
2007-09-14,29,46.09
2007-09-21,29,49.59
2007-09-28,29,50.86
2007-10-05,27,51.62
2007-10-12,27,53.35
2007-10-19,27,51.31
2007-10-26,27,56.14
2007-11-02,28,57.18
2007-11-09,29,51.99
2007-11-16,30,51.99
2007-11-23,31,52.90
2007-11-30,32,58.00
2007-12-07,32,60.39
2007-12-14,29,58.21
2007-12-21,28,65.70
2007-12-28,28,66.92
2008-01-04,28,61.57
2008-01-11,28,60.01
2008-01-18,32,55.05
2008-01-25,25,56.99
2008-02-01,25,64.50
2008-02-08,26,64.06
2008-02-15,28,63.68
2008-02-22,29,68.01
2008-02-29,38,66.37
2008-03-07,24,66.50
2008-03-14,24,68.80
2008-03-21,24,
2008-03-28,25,65.29
2008-04-04,25,69.12
2008-04-11,26,68.66
2008-04-18,33,76.71
2008-04-25,40,75.69
2008-05-02,24,76.97
2008-05-09,31,78.99
2008-05-16,37,81.93
2008-05-23,25,76.91
2008-05-30,25,84.23
2008-06-06,25,87.54
2008-06-13,23,85.38
2008-06-20,30,81.09
2008-06-27,36,76.76
2008-07-04,24,
2008-07-11,24,74.00
2008-07-18,28,70.78
2008-07-25,31,71.05
2008-08-01,28,71.74
2008-08-08,26,67.05
2008-08-15,0,66.22
2008-08-22,0,69.50
2008-08-29,0,71.04
2008-09-05,0,51.44
2008-09-12,0,52.55
2008-09-19,25,54.78
2008-09-26,25,47.62
2008-10-03,23,37.22
2008-10-10,23,28.88
2008-10-17,27,26.62
2008-10-24,22,21.24
2008-10-31,32,28.98
2008-11-07,25,26.07
2008-11-14,25,25.18
2008-11-21,20,17.55
2008-11-28,28,23.29
2008-12-05,37,18.70
2008-12-12,50,22.12
2008-12-19,51,23.76
2008-12-26,42,21.95
2009-01-02,42,25.05
2009-01-09,27,24.96
2009-01-16,22,23.17
2009-01-23,29,21.29
2009-01-30,28,20.83
2009-02-06,23,23.88
2009-02-13,25,21.03
2009-02-20,23,18.96
2009-02-27,25,17.46
2009-03-06,27,17.58
2009-03-13,28,20.46
2009-03-20,25,22.20
2009-03-27,17,23.45
2009-04-03,28,24.01
2009-04-10,19,
2009-04-17,22,24.41
2009-04-24,21,23.75
2009-05-01,25,27.21
2009-05-08,22,30.56
2009-05-15,22,28.19
2009-05-22,22,29.23
2009-05-29,22,34.47
2009-06-05,20,40.63
2009-06-12,27,40.38
2009-06-19,29,36.60
2009-06-26,20,36.55
2009-07-03,31,
2009-07-10,23,31.14
2009-07-17,23,35.92
2009-07-24,19,38.54
2009-07-31,35,37.18
2009-08-07,18,42.88
2009-08-14,23,40.47
2009-08-21,40,39.95
2009-08-28,28,39.34
2009-09-04,32,37.60
2009-09-11,24,41.78
2009-09-18,27,47.45
2009-09-25,25,46.30
2009-10-02,22,45.16
2009-10-09,25,51.30
2009-10-16,34,52.04
2009-10-23,31,56.55
2009-10-30,16,50.41
2009-11-06,15,54.10
2009-11-13,28,56.78
2009-11-20,36,54.03
2009-11-27,29,53.52
2009-12-04,23,53.00
2009-12-11,34,52.32
2009-12-18,39,51.82
2009-12-25,45,
2010-01-01,33,
2010-01-08,31,59.76
2010-01-15,22,58.45
2010-01-22,34,49.63
2010-01-29,24,45.74
2010-02-05,36,44.54
2010-02-12,23,47.28
2010-02-19,25,50.20
2010-02-26,18,50.79
2010-03-05,17,55.85
2010-03-12,19,57.47
2010-03-19,23,55.00
2010-03-26,13,57.09
2010-04-02,17,
2010-04-09,32,60.51
2010-04-16,23,60.48
2010-04-23,24,61.45
2010-04-30,24,56.80
2010-05-07,24,49.53
2010-05-14,22,52.03
2010-05-21,18,48.77
2010-05-28,19,51.00
2010-06-04,21,50.71
2010-06-11,34,54.57
2010-06-18,31,55.64
2010-06-25,14,55.94
2010-07-02,25,50.84
2010-07-09,29,53.93
2010-07-16,17,53.49
2010-07-23,25,60.50
2010-07-30,21,59.37
2010-08-06,22,60.83
2010-08-13,22,56.63
2010-08-20,23,59.63
2010-08-27,24,56.83
2010-09-03,26,62.98
2010-09-10,30,64.86
2010-09-17,20,67.23
2010-09-24,33,70.46
2010-10-01,28,70.02
2010-10-08,27,72.99
2010-10-15,27,72.62
2010-10-22,32,69.31
2010-10-29,27,70.95
2010-11-05,38,75.33
2010-11-12,45,72.38
2010-11-19,29,76.45
2010-11-26,29,76.31
2010-12-03,33,79.48
2010-12-10,33,79.08
2010-12-17,41,85.55
2010-12-24,42,
2010-12-31,20,86.75
2011-01-07,31,86.19
2011-01-14,25,91.18
2011-01-21,30,85.77
2011-01-28,29,85.35
2011-02-04,26,92.53
2011-02-11,36,93.89
2011-02-18,31,100.03
2011-02-25,17,93.93
2011-03-04,22,96.61
2011-03-11,24,90.56
2011-03-18,27,91.96
2011-03-25,26,96.01
2011-04-01,27,101.60
2011-04-08,22,98.92
2011-04-15,26,96.86
2011-04-22,31,
2011-04-29,25,100.95
2011-05-06,25,89.49
2011-05-13,17,87.48
2011-05-20,31,90.35
2011-05-27,30,89.20
2011-06-03,29,88.78
2011-06-10,27,87.48
2011-06-17,22,83.37
2011-06-24,20,86.65
2011-07-01,27,97.14
2011-07-08,23,97.25
2011-07-15,18,97.31
2011-07-22,24,99.85
2011-07-29,34,93.92
2011-08-05,36,79.56
2011-08-12,25,80.49
2011-08-19,26,71.29
2011-08-26,28,75.96
2011-09-02,29,79.39
2011-09-09,34,78.53
2011-09-16,18,81.40
2011-09-23,22,65.01
2011-09-30,29,62.38
2011-10-07,22,68.03
2011-10-14,25,78.82
2011-10-21,18,81.82
2011-10-28,20,91.19
2011-11-04,25,89.69
2011-11-11,31,85.17
2011-11-18,25,85.88
2011-11-25,36,78.78
2011-12-02,38,90.16
2011-12-09,29,89.04
2011-12-16,40,75.17
2011-12-23,40,77.35
2011-12-30,30,74.97
2012-01-06,31,77.21
2012-01-13,24,82.74
2012-01-20,31,85.36
2012-01-27,35,93.12
2012-02-03,24,95.71
2012-02-10,25,83.75
2012-02-17,20,88.22
2012-02-24,23,90.65
2012-03-02,25,85.80
2012-03-09,30,80.31
2012-03-16,20,80.25
2012-03-23,20,75.19
2012-03-30,29,73.50
2012-04-06,28,
2012-04-13,23,74.69
2012-04-20,22,74.09
2012-04-27,27,71.60
2012-05-04,26,66.52
2012-05-11,22,64.91
2012-05-18,22,60.64
2012-05-25,27,60.21
2012-06-01,22,55.69
2012-06-08,21,58.12
2012-06-15,25,55.84
2012-06-22,22,54.23
2012-06-29,23,56.73
2012-07-06,28,55.26
2012-07-13,28,50.59
2012-07-20,24,51.54
2012-07-27,35,53.01
2012-08-03,31,50.58
2012-08-10,22,57.24
2012-08-17,29,55.90
2012-08-24,24,55.59
2012-08-31,37,53.38
2012-09-07,26,56.63
2012-09-14,32,61.60
2012-09-21,25,59.41
2012-09-28,23,56.06
2012-10-05,31,57.15
2012-10-12,28,58.44
2012-10-19,26,62.21
2012-10-26,20,61.55
2012-11-02,26,63.99
2012-11-09,20,57.56
2012-11-16,26,54.88
2012-11-23,32,57.13
2012-11-30,37,56.99
2012-12-07,30,57.43
2012-12-14,34,61.64
2012-12-21,43,62.52
2012-12-28,30,61.48
2013-01-04,36,65.84
2013-01-11,25,68.13
2013-01-18,31,69.01
2013-01-25,23,63.26
2013-02-01,19,64.15
2013-02-08,24,61.45
2013-02-15,38,62.86
2013-02-22,23,63.02
2013-03-01,25,62.06
2013-03-08,31,63.13
2013-03-15,31,62.13
2013-03-22,22,58.41
2013-03-29,29,
2013-04-05,21,56.73
2013-04-12,25,54.47
2013-04-19,24,54.21
2013-04-26,21,56.60
2013-05-03,27,57.63
2013-05-10,30,59.71
2013-05-17,28,56.74
2013-05-24,23,55.42
2013-05-31,15,54.08
2013-06-07,19,53.67
2013-06-14,15,52.86
2013-06-21,26,50.30
2013-06-28,29,48.53
2013-07-05,26,48.82
2013-07-12,35,51.56
2013-07-19,28,50.26
2013-07-26,36,48.83
2013-08-02,32,50.48
2013-08-09,28,51.10
2013-08-16,35,52.26
2013-08-23,18,52.45
2013-08-30,27,49.12
2013-09-06,28,51.00
2013-09-13,21,53.80
2013-09-20,26,52.91
2013-09-27,22,51.21
2013-10-04,21,51.93
2013-10-11,26,51.29
2013-10-18,32,54.20
2013-10-25,28,58.09
2013-11-01,25,56.65
2013-11-08,16,57.60
2013-11-15,31,56.79
2013-11-22,36,55.12
2013-11-29,36,56.56
2013-12-06,36,55.98
2013-12-13,37,53.53
2013-12-20,33,54.45
2013-12-27,35,57.86
2014-01-03,36,55.68
2014-01-10,25,55.79
2014-01-17,27,56.23
2014-01-24,23,52.70
2014-01-31,28,52.79
2014-02-07,28,54.79
2014-02-14,25,56.66
2014-02-21,23,56.73
2014-02-28,26,55.00
2014-03-07,20,56.82
2014-03-14,25,55.75
2014-03-21,21,56.51
2014-03-28,25,57.96
2014-04-04,27,59.73
2014-04-11,29,60.15
2014-04-18,29,
2014-04-25,28,60.39
2014-05-02,31,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
