Date,buy MET,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,34.97
2004-02-13,0,34.65
2004-02-20,0,34.88
2004-02-27,0,35.15
2004-03-05,0,35.41
2004-03-12,0,34.30
2004-03-19,0,35.06
2004-03-26,0,35.28
2004-04-02,0,36.27
2004-04-09,0,
2004-04-16,0,35.20
2004-04-23,0,34.55
2004-04-30,0,34.50
2004-05-07,0,33.44
2004-05-14,0,34.14
2004-05-21,0,33.99
2004-05-28,0,35.55
2004-06-04,0,35.73
2004-06-11,0,
2004-06-18,0,35.26
2004-06-25,0,35.52
2004-07-02,0,35.52
2004-07-09,0,34.66
2004-07-16,0,34.25
2004-07-23,0,33.97
2004-07-30,0,35.67
2004-08-06,0,35.66
2004-08-13,0,35.64
2004-08-20,0,36.69
2004-08-27,0,36.67
2004-09-03,0,37.43
2004-09-10,0,38.16
2004-09-17,0,37.60
2004-09-24,0,37.66
2004-10-01,0,39.38
2004-10-08,0,38.53
2004-10-15,0,34.99
2004-10-22,0,34.44
2004-10-29,0,38.35
2004-11-05,0,39.37
2004-11-12,0,38.40
2004-11-19,0,38.85
2004-11-26,0,39.38
2004-12-03,0,40.48
2004-12-10,0,40.33
2004-12-17,0,39.61
2004-12-24,0,
2004-12-31,0,40.51
2005-01-07,0,39.71
2005-01-14,0,40.07
2005-01-21,0,40.28
2005-01-28,0,39.94
2005-02-04,0,40.52
2005-02-11,0,39.94
2005-02-18,0,41.08
2005-02-25,0,41.28
2005-03-04,0,40.96
2005-03-11,0,40.40
2005-03-18,0,39.45
2005-03-25,0,
2005-04-01,0,38.86
2005-04-08,0,39.49
2005-04-15,0,38.47
2005-04-22,0,38.60
2005-04-29,0,38.90
2005-05-06,0,43.55
2005-05-13,0,42.14
2005-05-20,0,43.49
2005-05-27,0,44.70
2005-06-03,0,43.43
2005-06-10,0,43.85
2005-06-17,0,44.74
2005-06-24,0,44.59
2005-07-01,0,45.47
2005-07-08,0,46.15
2005-07-15,0,46.40
2005-07-22,0,46.39
2005-07-29,0,49.14
2005-08-05,0,47.98
2005-08-12,0,48.76
2005-08-19,0,48.22
2005-08-26,0,48.88
2005-09-02,0,48.97
2005-09-09,0,49.90
2005-09-16,0,50.20
2005-09-23,0,48.57
2005-09-30,0,49.83
2005-10-07,0,48.34
2005-10-14,0,46.93
2005-10-21,0,47.91
2005-10-28,0,49.00
2005-11-04,0,50.05
2005-11-11,0,50.38
2005-11-18,0,51.08
2005-11-25,0,50.92
2005-12-02,0,52.15
2005-12-09,0,50.71
2005-12-16,0,49.82
2005-12-23,0,49.62
2005-12-30,0,49.00
2006-01-06,0,50.97
2006-01-13,0,50.67
2006-01-20,0,48.14
2006-01-27,0,50.46
2006-02-03,0,48.92
2006-02-10,0,50.30
2006-02-17,0,50.18
2006-02-24,0,51.04
2006-03-03,0,49.45
2006-03-10,0,49.63
2006-03-17,0,50.71
2006-03-24,0,49.20
2006-03-31,0,48.37
2006-04-07,0,49.32
2006-04-14,50,
2006-04-21,0,49.95
2006-04-28,0,52.10
2006-05-05,0,52.62
2006-05-12,0,52.25
2006-05-19,0,51.50
2006-05-26,0,52.15
2006-06-02,0,52.62
2006-06-09,0,51.22
2006-06-16,0,50.09
2006-06-23,0,49.08
2006-06-30,0,51.21
2006-07-07,0,50.90
2006-07-14,0,50.04
2006-07-21,0,52.42
2006-07-28,0,52.65
2006-08-04,0,52.51
2006-08-11,0,52.62
2006-08-18,0,54.09
2006-08-25,0,54.23
2006-09-01,0,55.10
2006-09-08,0,55.02
2006-09-15,0,56.00
2006-09-22,0,56.57
2006-09-29,0,56.68
2006-10-06,0,57.36
2006-10-13,0,56.63
2006-10-20,0,58.46
2006-10-27,0,58.66
2006-11-03,0,56.98
2006-11-10,0,57.94
2006-11-17,0,58.98
2006-11-24,0,58.10
2006-12-01,0,58.06
2006-12-08,0,57.87
2006-12-15,0,58.73
2006-12-22,0,59.11
2006-12-29,0,59.01
2007-01-05,0,59.80
2007-01-12,0,61.73
2007-01-19,0,61.49
2007-01-26,0,61.47
2007-02-02,0,63.36
2007-02-09,38,63.32
2007-02-16,36,64.85
2007-02-23,36,65.26
2007-03-02,0,62.48
2007-03-09,0,62.66
2007-03-16,0,61.77
2007-03-23,0,63.60
2007-03-30,0,63.15
2007-04-06,30,
2007-04-13,0,63.29
2007-04-20,0,65.09
2007-04-27,0,65.55
2007-05-04,0,68.55
2007-05-11,0,68.75
2007-05-18,0,68.42
2007-05-25,0,67.71
2007-06-01,0,68.39
2007-06-08,0,66.01
2007-06-15,0,66.75
2007-06-22,0,63.76
2007-06-29,0,64.48
2007-07-06,34,64.88
2007-07-13,46,65.32
2007-07-20,47,63.72
2007-07-27,48,59.62
2007-08-03,49,60.99
2007-08-10,28,62.08
2007-08-17,0,64.64
2007-08-24,0,66.76
2007-08-31,0,64.05
2007-09-07,0,63.52
2007-09-14,0,64.66
2007-09-21,0,69.19
2007-09-28,34,69.73
2007-10-05,34,70.87
2007-10-12,28,70.12
2007-10-19,28,65.65
2007-10-26,28,69.67
2007-11-02,30,63.99
2007-11-09,32,64.28
2007-11-16,34,63.97
2007-11-23,26,61.77
2007-11-30,28,65.59
2007-12-07,30,65.17
2007-12-14,37,61.94
2007-12-21,22,62.13
2007-12-28,26,61.47
2008-01-04,31,58.93
2008-01-11,28,59.56
2008-01-18,20,57.43
2008-01-25,23,54.62
2008-02-01,27,60.30
2008-02-08,27,57.72
2008-02-15,27,58.25
2008-02-22,34,59.99
2008-02-29,21,58.26
2008-03-07,24,56.47
2008-03-14,28,56.49
2008-03-21,28,
2008-03-28,28,59.35
2008-04-04,22,61.76
2008-04-11,24,61.00
2008-04-18,25,61.66
2008-04-25,26,60.82
2008-05-02,22,62.17
2008-05-09,22,60.08
2008-05-16,38,61.77
2008-05-23,32,58.87
2008-05-30,36,60.03
2008-06-06,29,56.99
2008-06-13,20,59.79
2008-06-20,27,56.90
2008-06-27,33,53.80
2008-07-04,48,
2008-07-11,31,51.06
2008-07-18,25,51.57
2008-07-25,27,52.01
2008-08-01,41,50.79
2008-08-08,41,53.28
2008-08-15,29,54.07
2008-08-22,35,52.75
2008-08-29,35,54.20
2008-09-05,41,55.07
2008-09-12,42,56.50
2008-09-19,35,60.24
2008-09-26,31,53.81
2008-10-03,25,42.13
2008-10-10,42,30.25
2008-10-17,29,31.14
2008-10-24,22,29.80
2008-10-31,35,33.22
2008-11-07,24,34.34
2008-11-14,28,28.14
2008-11-21,31,18.48
2008-11-28,36,28.76
2008-12-05,20,30.76
2008-12-12,33,29.94
2008-12-19,25,37.41
2008-12-26,27,33.23
2009-01-02,48,35.97
2009-01-09,41,31.87
2009-01-16,28,28.44
2009-01-23,26,26.63
2009-01-30,40,28.73
2009-02-06,81,31.24
2009-02-13,45,26.80
2009-02-20,26,21.43
2009-02-27,24,18.46
2009-03-06,24,12.22
2009-03-13,25,17.74
2009-03-20,31,20.78
2009-03-27,40,24.49
2009-04-03,33,25.34
2009-04-10,29,
2009-04-17,37,28.22
2009-04-24,32,29.25
2009-05-01,36,27.45
2009-05-08,40,35.50
2009-05-15,39,29.39
2009-05-22,36,30.15
2009-05-29,36,31.50
2009-06-05,33,31.45
2009-06-12,38,31.08
2009-06-19,28,31.20
2009-06-26,54,29.85
2009-07-03,35,
2009-07-10,36,27.36
2009-07-17,40,30.45
2009-07-24,44,33.69
2009-07-31,36,33.95
2009-08-07,37,36.88
2009-08-14,34,36.40
2009-08-21,47,38.93
2009-08-28,42,38.08
2009-09-04,29,36.61
2009-09-11,29,38.83
2009-09-18,33,39.32
2009-09-25,31,36.92
2009-10-02,46,35.67
2009-10-09,33,38.25
2009-10-16,28,37.28
2009-10-23,38,36.95
2009-10-30,46,34.03
2009-11-06,27,33.52
2009-11-13,29,34.22
2009-11-20,31,33.90
2009-11-27,44,33.28
2009-12-04,47,35.33
2009-12-11,30,36.07
2009-12-18,36,35.42
2009-12-25,51,
2010-01-01,58,
2010-01-08,94,38.25
2010-01-15,54,37.85
2010-01-22,40,36.12
2010-01-29,41,35.32
2010-02-05,31,34.68
2010-02-12,37,34.64
2010-02-19,44,35.03
2010-02-26,32,36.39
2010-03-05,43,38.92
2010-03-12,29,42.11
2010-03-19,31,41.83
2010-03-26,37,42.26
2010-04-02,42,
2010-04-09,33,45.27
2010-04-16,25,45.37
2010-04-23,35,47.10
2010-04-30,34,45.58
2010-05-07,44,40.71
2010-05-14,30,41.32
2010-05-21,48,39.48
2010-05-28,48,40.49
2010-06-04,35,38.48
2010-06-11,30,41.10
2010-06-18,45,40.99
2010-06-25,25,41.01
2010-07-02,36,37.20
2010-07-09,41,40.10
2010-07-16,43,37.80
2010-07-23,52,39.54
2010-07-30,36,42.06
2010-08-06,39,41.42
2010-08-13,39,39.56
2010-08-20,44,37.28
2010-08-27,38,37.82
2010-09-03,37,41.46
2010-09-10,35,40.49
2010-09-17,36,40.16
2010-09-24,52,39.15
2010-10-01,44,38.94
2010-10-08,41,39.18
2010-10-15,45,39.22
2010-10-22,39,40.34
2010-10-29,40,40.33
2010-11-05,31,42.10
2010-11-12,37,39.64
2010-11-19,41,38.85
2010-11-26,67,37.74
2010-12-03,96,40.14
2010-12-10,69,43.97
2010-12-17,99,43.93
2010-12-24,93,
2010-12-31,56,44.44
2011-01-07,50,46.07
2011-01-14,42,46.62
2011-01-21,49,46.21
2011-01-28,54,45.50
2011-02-04,48,47.34
2011-02-11,44,48.23
2011-02-18,40,47.65
2011-02-25,33,46.78
2011-03-04,47,45.57
2011-03-11,40,45.85
2011-03-18,30,44.02
2011-03-25,40,45.05
2011-04-01,41,45.26
2011-04-08,37,44.53
2011-04-15,44,43.96
2011-04-22,40,
2011-04-29,41,46.79
2011-05-06,54,44.83
2011-05-13,45,44.41
2011-05-20,49,44.22
2011-05-27,50,43.76
2011-06-03,37,41.77
2011-06-10,40,40.91
2011-06-17,47,40.37
2011-06-24,43,40.99
2011-07-01,50,44.38
2011-07-08,50,43.52
2011-07-15,52,41.57
2011-07-22,41,41.74
2011-07-29,44,41.21
2011-08-05,45,36.35
2011-08-12,48,33.26
2011-08-19,51,31.13
2011-08-26,50,31.46
2011-09-02,56,30.77
2011-09-09,57,29.88
2011-09-16,44,33.04
2011-09-23,64,26.82
2011-09-30,39,28.01
2011-10-07,51,28.80
2011-10-14,49,32.17
2011-10-21,48,33.51
2011-10-28,46,36.82
2011-11-04,42,34.77
2011-11-11,68,33.07
2011-11-18,62,30.62
2011-11-25,88,27.91
2011-12-02,100,31.76
2011-12-09,80,31.79
2011-12-16,92,30.23
2011-12-23,93,31.10
2011-12-30,93,31.18
2012-01-06,80,32.90
2012-01-13,77,35.24
2012-01-20,72,36.35
2012-01-27,70,35.52
2012-02-03,100,37.63
2012-02-10,92,36.89
2012-02-17,73,38.86
2012-02-24,77,37.76
2012-03-02,64,38.46
2012-03-09,78,38.42
2012-03-16,75,38.38
2012-03-23,67,37.64
2012-03-30,45,37.35
2012-04-06,45,
2012-04-13,48,35.64
2012-04-20,45,34.96
2012-04-27,49,36.31
2012-05-04,42,34.24
2012-05-11,51,34.69
2012-05-18,59,30.21
2012-05-25,35,30.33
2012-06-01,51,27.83
2012-06-08,43,29.75
2012-06-15,47,29.96
2012-06-22,58,30.03
2012-06-29,49,30.85
2012-07-06,49,30.51
2012-07-13,61,30.89
2012-07-20,44,29.53
2012-07-27,55,30.44
2012-08-03,54,33.19
2012-08-10,43,34.97
2012-08-17,52,34.79
2012-08-24,62,34.65
2012-08-31,56,34.13
2012-09-07,43,35.28
2012-09-14,52,36.25
2012-09-21,51,34.87
2012-09-28,50,34.46
2012-10-05,45,35.16
2012-10-12,47,35.00
2012-10-19,37,35.93
2012-10-26,45,35.22
2012-11-02,46,34.70
2012-11-09,51,32.02
2012-11-16,47,31.56
2012-11-23,49,33.23
2012-11-30,52,33.19
2012-12-07,54,32.89
2012-12-14,45,31.84
2012-12-21,48,33.07
2012-12-28,58,32.27
2013-01-04,43,35.95
2013-01-11,52,36.34
2013-01-18,67,36.31
2013-01-25,74,37.65
2013-02-01,46,38.20
2013-02-08,52,36.90
2013-02-15,46,36.44
2013-02-22,44,35.78
2013-03-01,38,35.32
2013-03-08,49,39.03
2013-03-15,45,40.20
2013-03-22,47,38.40
2013-03-29,47,
2013-04-05,41,36.58
2013-04-12,39,36.80
2013-04-19,44,35.60
2013-04-26,45,38.53
2013-05-03,40,40.48
2013-05-10,42,41.16
2013-05-17,55,43.28
2013-05-24,42,42.04
2013-05-31,37,44.21
2013-06-07,27,45.06
2013-06-14,35,43.97
2013-06-21,38,45.04
2013-06-28,40,45.76
2013-07-05,38,47.52
2013-07-12,45,49.08
2013-07-19,42,48.64
2013-07-26,49,48.93
2013-08-02,45,50.80
2013-08-09,40,49.77
2013-08-16,42,48.28
2013-08-23,35,48.26
2013-08-30,38,46.19
2013-09-06,33,47.98
2013-09-13,42,48.83
2013-09-20,42,47.49
2013-09-27,43,47.21
2013-10-04,43,47.69
2013-10-11,32,48.74
2013-10-18,39,49.45
2013-10-25,38,48.63
2013-11-01,43,47.32
2013-11-08,38,50.14
2013-11-15,41,52.01
2013-11-22,36,52.65
2013-11-29,49,52.19
2013-12-06,41,51.67
2013-12-13,41,51.19
2013-12-20,44,53.12
2013-12-27,44,53.96
2014-01-03,38,53.81
2014-01-10,44,54.10
2014-01-17,40,52.96
2014-01-24,31,49.51
2014-01-31,39,49.05
2014-02-07,45,49.11
2014-02-14,40,50.39
2014-02-21,34,50.52
2014-02-28,36,50.67
2014-03-07,28,53.15
2014-03-14,31,51.71
2014-03-21,35,53.42
2014-03-28,40,52.56
2014-04-04,66,52.84
2014-04-11,41,49.19
2014-04-18,38,
2014-04-25,34,51.09
2014-05-02,44,
