Date,buy MSI,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,16.94
2004-02-13,0,17.22
2004-02-20,0,17.67
2004-02-27,0,18.45
2004-03-05,0,18.08
2004-03-12,0,17.09
2004-03-19,0,16.94
2004-03-26,0,16.98
2004-04-02,0,18.75
2004-04-09,0,
2004-04-16,0,16.58
2004-04-23,0,20.43
2004-04-30,0,18.25
2004-05-07,0,18.73
2004-05-14,0,18.89
2004-05-21,0,19.59
2004-05-28,0,19.77
2004-06-04,0,19.77
2004-06-11,0,
2004-06-18,0,17.34
2004-06-25,0,18.28
2004-07-02,0,17.77
2004-07-09,73,17.50
2004-07-16,73,15.80
2004-07-23,74,15.28
2004-07-30,75,15.93
2004-08-06,76,14.74
2004-08-13,77,14.21
2004-08-20,65,16.05
2004-08-27,65,16.59
2004-09-03,65,16.14
2004-09-10,65,16.69
2004-09-17,0,17.01
2004-09-24,0,17.83
2004-10-01,0,18.77
2004-10-08,0,18.41
2004-10-15,0,18.45
2004-10-22,0,16.56
2004-10-29,0,17.26
2004-11-05,0,17.07
2004-11-12,0,18.10
2004-11-19,0,17.94
2004-11-26,0,19.00
2004-12-03,0,17.85
2004-12-10,55,16.34
2004-12-17,70,17.00
2004-12-24,85,
2004-12-31,100,17.20
2005-01-07,0,16.69
2005-01-14,0,17.03
2005-01-21,0,15.63
2005-01-28,0,15.50
2005-02-04,0,16.26
2005-02-11,0,15.91
2005-02-18,0,15.50
2005-02-25,0,15.59
2005-03-04,0,15.11
2005-03-11,0,15.27
2005-03-18,57,15.01
2005-03-25,66,
2005-04-01,75,14.89
2005-04-08,84,15.20
2005-04-15,48,14.75
2005-04-22,48,15.78
2005-04-29,48,15.34
2005-05-06,48,15.69
2005-05-13,0,16.21
2005-05-20,0,17.25
2005-05-27,0,17.34
2005-06-03,0,17.74
2005-06-10,0,18.06
2005-06-17,0,18.21
2005-06-24,0,18.55
2005-07-01,0,18.27
2005-07-08,0,18.54
2005-07-15,0,19.50
2005-07-22,0,20.00
2005-07-29,0,21.18
2005-08-05,0,21.57
2005-08-12,0,21.44
2005-08-19,49,20.45
2005-08-26,41,21.12
2005-09-02,41,22.00
2005-09-09,41,22.88
2005-09-16,41,23.68
2005-09-23,41,22.79
2005-09-30,0,22.03
2005-10-07,0,21.60
2005-10-14,0,20.16
2005-10-21,0,20.70
2005-10-28,0,21.09
2005-11-04,0,23.08
2005-11-11,0,23.56
2005-11-18,36,23.86
2005-11-25,0,24.77
2005-12-02,0,23.59
2005-12-09,0,23.41
2005-12-16,0,22.41
2005-12-23,0,23.49
2005-12-30,0,22.59
2006-01-06,0,24.34
2006-01-13,0,24.03
2006-01-20,0,22.48
2006-01-27,0,22.50
2006-02-03,38,21.17
2006-02-10,34,21.60
2006-02-17,34,21.49
2006-02-24,0,21.69
2006-03-03,0,21.98
2006-03-10,0,20.88
2006-03-17,0,22.25
2006-03-24,0,22.33
2006-03-31,0,22.91
2006-04-07,0,23.52
2006-04-14,0,
2006-04-21,0,22.07
2006-04-28,0,21.35
2006-05-05,0,22.30
2006-05-12,0,21.64
2006-05-19,0,20.42
2006-05-26,0,21.28
2006-06-02,30,21.76
2006-06-09,30,20.59
2006-06-16,30,20.08
2006-06-23,30,19.88
2006-06-30,30,20.15
2006-07-07,0,19.81
2006-07-14,0,18.69
2006-07-21,0,20.40
2006-07-28,0,22.49
2006-08-04,0,23.10
2006-08-11,0,22.69
2006-08-18,0,23.80
2006-08-25,0,22.74
2006-09-01,0,23.41
2006-09-08,0,23.70
2006-09-15,0,24.85
2006-09-22,0,24.80
2006-09-29,0,25.00
2006-10-06,0,25.64
2006-10-13,0,26.20
2006-10-20,0,23.61
2006-10-27,0,23.17
2006-11-03,0,22.46
2006-11-10,0,21.38
2006-11-17,27,22.38
2006-11-24,27,22.46
2006-12-01,27,21.86
2006-12-08,28,21.09
2006-12-15,28,20.71
2006-12-22,0,20.26
2006-12-29,0,20.56
2007-01-05,0,18.94
2007-01-12,0,18.01
2007-01-19,0,19.27
2007-01-26,0,18.38
2007-02-02,0,19.85
2007-02-09,20,19.57
2007-02-16,22,19.26
2007-02-23,24,19.15
2007-03-02,25,18.64
2007-03-09,0,18.47
2007-03-16,0,18.19
2007-03-23,0,17.75
2007-03-30,0,17.67
2007-04-06,0,
2007-04-13,0,17.74
2007-04-20,0,18.21
2007-04-27,0,17.57
2007-05-04,0,18.08
2007-05-11,0,18.32
2007-05-18,18,18.79
2007-05-25,0,18.39
2007-06-01,0,18.36
2007-06-08,0,17.89
2007-06-15,0,18.35
2007-06-22,0,17.89
2007-06-29,0,17.70
2007-07-06,20,17.84
2007-07-13,20,17.90
2007-07-20,24,17.95
2007-07-27,29,16.95
2007-08-03,22,16.35
2007-08-10,20,16.61
2007-08-17,20,16.31
2007-08-24,19,16.74
2007-08-31,19,16.95
2007-09-07,19,17.13
2007-09-14,19,16.97
2007-09-21,37,17.89
2007-09-28,16,18.53
2007-10-05,16,18.81
2007-10-12,16,19.13
2007-10-19,17,18.70
2007-10-26,18,19.24
2007-11-02,18,17.95
2007-11-09,23,16.48
2007-11-16,16,16.61
2007-11-23,16,15.71
2007-11-30,16,15.97
2007-12-07,19,16.30
2007-12-14,26,16.00
2007-12-21,27,16.30
2007-12-28,18,16.28
2008-01-04,18,15.07
2008-01-11,24,14.64
2008-01-18,30,13.33
2008-01-25,18,10.73
2008-02-01,18,12.69
2008-02-08,18,11.26
2008-02-15,15,11.28
2008-02-22,15,11.36
2008-02-29,22,9.97
2008-03-07,31,9.82
2008-03-14,19,9.55
2008-03-21,17,
2008-03-28,16,9.21
2008-04-04,15,9.67
2008-04-11,13,9.04
2008-04-18,14,9.25
2008-04-25,14,9.24
2008-05-02,15,10.03
2008-05-09,13,9.76
2008-05-16,32,10.07
2008-05-23,23,9.10
2008-05-30,21,9.33
2008-06-06,85,8.93
2008-06-13,84,9.13
2008-06-20,78,7.94
2008-06-27,73,7.35
2008-07-04,74,
2008-07-11,73,6.99
2008-07-18,75,7.46
2008-07-25,51,7.25
2008-08-01,68,8.81
2008-08-08,50,9.63
2008-08-15,64,10.33
2008-08-22,47,9.99
2008-08-29,60,9.42
2008-09-05,51,9.06
2008-09-12,58,8.13
2008-09-19,43,7.53
2008-09-26,47,7.63
2008-10-03,50,6.72
2008-10-10,57,4.68
2008-10-17,38,5.62
2008-10-24,32,5.01
2008-10-31,33,5.37
2008-11-07,41,4.79
2008-11-14,38,4.08
2008-11-21,38,3.28
2008-11-28,40,4.31
2008-12-05,41,4.36
2008-12-12,29,4.19
2008-12-19,36,4.45
2008-12-26,33,4.05
2009-01-02,49,4.67
2009-01-09,35,4.46
2009-01-16,35,4.54
2009-01-23,38,4.60
2009-01-30,41,4.43
2009-02-06,49,3.88
2009-02-13,43,3.87
2009-02-20,36,3.61
2009-02-27,41,3.52
2009-03-06,38,3.10
2009-03-13,40,3.75
2009-03-20,43,3.96
2009-03-27,42,4.37
2009-04-03,39,4.56
2009-04-10,36,
2009-04-17,44,5.56
2009-04-24,35,5.81
2009-05-01,29,5.54
2009-05-08,32,6.50
2009-05-15,35,5.91
2009-05-22,33,5.90
2009-05-29,39,6.06
2009-06-05,37,6.24
2009-06-12,37,6.73
2009-06-19,26,6.11
2009-06-26,42,6.62
2009-07-03,29,
2009-07-10,20,6.05
2009-07-17,25,6.30
2009-07-24,34,6.58
2009-07-31,25,7.16
2009-08-07,29,7.13
2009-08-14,29,7.26
2009-08-21,42,7.58
2009-08-28,33,7.21
2009-09-04,35,7.73
2009-09-11,33,8.68
2009-09-18,22,8.96
2009-09-25,17,8.11
2009-10-02,29,7.99
2009-10-09,29,8.48
2009-10-16,26,7.85
2009-10-23,24,8.24
2009-10-30,28,8.57
2009-11-06,28,8.89
2009-11-13,28,8.78
2009-11-20,31,8.28
2009-11-27,38,8.20
2009-12-04,37,8.18
2009-12-11,28,8.55
2009-12-18,31,8.53
2009-12-25,39,
2010-01-01,45,
2010-01-08,33,7.76
2010-01-15,25,7.58
2010-01-22,34,7.21
2010-01-29,40,6.15
2010-02-05,31,6.40
2010-02-12,25,7.15
2010-02-19,24,7.01
2010-02-26,27,6.76
2010-03-05,26,6.95
2010-03-12,25,7.01
2010-03-19,17,7.18
2010-03-26,24,7.17
2010-04-02,19,
2010-04-09,27,7.39
2010-04-16,10,7.31
2010-04-23,20,7.09
2010-04-30,25,7.07
2010-05-07,31,6.60
2010-05-14,23,6.79
2010-05-21,23,6.84
2010-05-28,28,6.85
2010-06-04,16,6.70
2010-06-11,25,7.11
2010-06-18,17,7.26
2010-06-25,23,7.07
2010-07-02,19,6.48
2010-07-09,22,6.76
2010-07-16,28,7.50
2010-07-23,22,7.75
2010-07-30,38,7.49
2010-08-06,34,8.00
2010-08-13,20,7.64
2010-08-20,28,7.48
2010-08-27,30,7.68
2010-09-03,29,7.94
2010-09-10,28,7.92
2010-09-17,33,8.38
2010-09-24,30,8.68
2010-10-01,20,8.56
2010-10-08,25,8.30
2010-10-15,22,7.95
2010-10-22,21,7.83
2010-10-29,23,8.16
2010-11-05,20,8.20
2010-11-12,23,7.99
2010-11-19,24,8.12
2010-11-26,19,7.82
2010-12-03,21,8.24
2010-12-10,19,8.64
2010-12-17,23,8.88
2010-12-24,31,
2010-12-31,32,9.07
2011-01-07,22,38.90
2011-01-14,25,38.28
2011-01-21,20,37.15
2011-01-28,19,37.96
2011-02-04,23,39.31
2011-02-11,20,39.34
2011-02-18,20,39.01
2011-02-25,16,38.14
2011-03-04,33,40.15
2011-03-11,20,41.24
2011-03-18,24,41.63
2011-03-25,22,43.95
2011-04-01,15,44.40
2011-04-08,24,43.86
2011-04-15,14,43.81
2011-04-22,22,
2011-04-29,15,45.88
2011-05-06,14,46.02
2011-05-13,21,46.65
2011-05-20,17,46.78
2011-05-27,14,47.58
2011-06-03,15,46.47
2011-06-10,13,45.30
2011-06-17,25,45.48
2011-06-24,15,45.40
2011-07-01,16,46.50
2011-07-08,15,45.08
2011-07-15,21,43.96
2011-07-22,23,44.77
2011-07-29,17,44.89
2011-08-05,17,42.13
2011-08-12,19,40.00
2011-08-19,21,38.72
2011-08-26,18,40.43
2011-09-02,24,40.40
2011-09-09,15,40.34
2011-09-16,16,44.81
2011-09-23,16,41.69
2011-09-30,15,41.90
2011-10-07,14,43.64
2011-10-14,13,45.02
2011-10-21,20,45.99
2011-10-28,18,47.41
2011-11-04,19,45.95
2011-11-11,17,46.24
2011-11-18,15,45.57
2011-11-25,18,43.70
2011-12-02,19,46.80
2011-12-09,14,47.02
2011-12-16,16,46.16
2011-12-23,23,47.12
2011-12-30,15,46.29
2012-01-06,21,46.55
2012-01-13,19,46.48
2012-01-20,15,47.59
2012-01-27,21,45.80
2012-02-03,16,47.13
2012-02-10,16,47.40
2012-02-17,15,50.63
2012-02-24,20,49.43
2012-03-02,17,50.84
2012-03-09,16,50.74
2012-03-16,15,50.53
2012-03-23,14,50.67
2012-03-30,12,50.83
2012-04-06,16,
2012-04-13,12,48.40
2012-04-20,14,49.01
2012-04-27,18,50.75
2012-05-04,18,50.61
2012-05-11,20,49.83
2012-05-18,18,46.97
2012-05-25,15,48.02
2012-06-01,16,46.96
2012-06-08,15,48.60
2012-06-15,11,48.70
2012-06-22,13,47.88
2012-06-29,17,48.11
2012-07-06,15,46.97
2012-07-13,17,45.95
2012-07-20,17,46.50
2012-07-27,13,47.76
2012-08-03,12,47.06
2012-08-10,14,48.10
2012-08-17,20,47.85
2012-08-24,19,47.63
2012-08-31,19,47.66
2012-09-07,15,49.30
2012-09-14,18,50.54
2012-09-21,15,51.79
2012-09-28,14,50.55
2012-10-05,18,51.32
2012-10-12,14,50.09
2012-10-19,15,50.23
2012-10-26,18,51.62
2012-11-02,15,52.90
2012-11-09,16,53.11
2012-11-16,13,52.89
2012-11-23,22,54.76
2012-11-30,17,54.45
2012-12-07,20,54.60
2012-12-14,14,54.05
2012-12-21,20,54.58
2012-12-28,18,54.08
2013-01-04,17,56.28
2013-01-11,16,57.50
2013-01-18,13,59.01
2013-01-25,15,58.60
2013-02-01,16,58.87
2013-02-08,12,60.30
2013-02-15,14,61.43
2013-02-22,13,61.90
2013-03-01,13,62.03
2013-03-08,11,62.75
2013-03-15,16,62.07
2013-03-22,13,63.61
2013-03-29,17,
2013-04-05,17,62.67
2013-04-12,15,63.87
2013-04-19,14,61.72
2013-04-26,14,56.80
2013-05-03,13,57.29
2013-05-10,15,56.48
2013-05-17,13,57.84
2013-05-24,13,57.81
2013-05-31,13,57.96
2013-06-07,17,56.94
2013-06-14,19,56.93
2013-06-21,17,55.82
2013-06-28,17,57.73
2013-07-05,23,57.93
2013-07-12,18,59.54
2013-07-19,20,59.85
2013-07-26,21,54.26
2013-08-02,20,56.02
2013-08-09,24,57.36
2013-08-16,18,57.15
2013-08-23,24,56.74
2013-08-30,15,56.01
2013-09-06,15,56.47
2013-09-13,15,57.46
2013-09-20,18,60.39
2013-09-27,16,59.75
2013-10-04,20,61.14
2013-10-11,14,60.52
2013-10-18,19,60.81
2013-10-25,15,62.99
2013-11-01,19,62.39
2013-11-08,22,63.12
2013-11-15,22,65.57
2013-11-22,20,65.88
2013-11-29,26,65.88
2013-12-06,23,66.18
2013-12-13,23,65.05
2013-12-20,21,65.61
2013-12-27,20,67.33
2014-01-03,23,66.20
2014-01-10,19,66.15
2014-01-17,21,66.10
2014-01-24,21,64.42
2014-01-31,21,63.80
2014-02-07,18,64.60
2014-02-14,17,65.61
2014-02-21,18,65.02
2014-02-28,17,66.20
2014-03-07,19,66.64
2014-03-14,21,63.67
2014-03-21,19,66.81
2014-03-28,19,64.30
2014-04-04,21,64.26
2014-04-11,21,63.39
2014-04-18,18,
2014-04-25,16,62.50
2014-05-02,21,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
