Date,buy MU,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,16.15
2004-02-13,0,15.73
2004-02-20,0,15.57
2004-02-27,0,15.04
2004-03-05,0,16.31
2004-03-12,0,14.71
2004-03-19,0,15.69
2004-03-26,0,15.91
2004-04-02,0,17.70
2004-04-09,0,
2004-04-16,0,15.91
2004-04-23,0,15.54
2004-04-30,0,13.62
2004-05-07,0,14.38
2004-05-14,0,13.86
2004-05-21,0,13.61
2004-05-28,0,15.03
2004-06-04,0,14.52
2004-06-11,0,
2004-06-18,0,13.69
2004-06-25,0,14.77
2004-07-02,0,14.68
2004-07-09,0,14.40
2004-07-16,0,13.23
2004-07-23,0,12.99
2004-07-30,0,13.53
2004-08-06,0,12.43
2004-08-13,0,11.11
2004-08-20,0,11.96
2004-08-27,0,11.88
2004-09-03,0,11.23
2004-09-10,0,12.28
2004-09-17,0,12.76
2004-09-24,0,12.40
2004-10-01,0,12.36
2004-10-08,0,12.01
2004-10-15,0,11.38
2004-10-22,0,11.53
2004-10-29,0,12.18
2004-11-05,0,11.88
2004-11-12,0,12.01
2004-11-19,0,11.70
2004-11-26,0,11.40
2004-12-03,0,11.54
2004-12-10,0,11.30
2004-12-17,0,11.31
2004-12-24,0,
2004-12-31,0,12.35
2005-01-07,0,11.46
2005-01-14,0,11.21
2005-01-21,0,10.41
2005-01-28,0,10.36
2005-02-04,0,11.10
2005-02-11,0,11.73
2005-02-18,0,11.50
2005-02-25,0,11.68
2005-03-04,0,10.76
2005-03-11,0,10.42
2005-03-18,0,10.29
2005-03-25,0,
2005-04-01,0,10.26
2005-04-08,0,10.20
2005-04-15,0,9.52
2005-04-22,0,9.41
2005-04-29,0,9.71
2005-05-06,0,10.13
2005-05-13,0,10.57
2005-05-20,0,10.54
2005-05-27,0,11.07
2005-06-03,0,10.82
2005-06-10,0,10.90
2005-06-17,0,10.83
2005-06-24,0,10.58
2005-07-01,0,10.20
2005-07-08,0,11.42
2005-07-15,0,11.92
2005-07-22,0,11.93
2005-07-29,0,11.88
2005-08-05,0,11.86
2005-08-12,0,11.11
2005-08-19,0,11.15
2005-08-26,0,11.18
2005-09-02,0,11.67
2005-09-09,0,12.49
2005-09-16,0,12.81
2005-09-23,0,12.15
2005-09-30,0,13.30
2005-10-07,0,13.18
2005-10-14,0,12.87
2005-10-21,0,12.67
2005-10-28,0,12.67
2005-11-04,0,13.92
2005-11-11,0,13.65
2005-11-18,0,14.18
2005-11-25,0,14.59
2005-12-02,0,14.37
2005-12-09,0,13.41
2005-12-16,0,13.67
2005-12-23,0,13.65
2005-12-30,0,13.31
2006-01-06,0,14.47
2006-01-13,0,14.51
2006-01-20,0,14.01
2006-01-27,0,14.70
2006-02-03,0,14.89
2006-02-10,0,16.40
2006-02-17,0,16.65
2006-02-24,0,15.88
2006-03-03,0,15.89
2006-03-10,0,14.47
2006-03-17,0,14.77
2006-03-24,0,14.47
2006-03-31,0,14.72
2006-04-07,0,15.25
2006-04-14,0,
2006-04-21,0,16.40
2006-04-28,0,16.97
2006-05-05,0,17.05
2006-05-12,0,15.81
2006-05-19,0,15.77
2006-05-26,0,16.37
2006-06-02,0,16.46
2006-06-09,0,15.53
2006-06-16,0,16.35
2006-06-23,0,16.42
2006-06-30,0,15.06
2006-07-07,0,14.86
2006-07-14,0,14.40
2006-07-21,0,14.15
2006-07-28,0,15.82
2006-08-04,0,15.74
2006-08-11,0,15.74
2006-08-18,0,16.55
2006-08-25,0,16.26
2006-09-01,0,17.32
2006-09-08,0,17.88
2006-09-15,0,18.07
2006-09-22,0,17.46
2006-09-29,0,17.40
2006-10-06,0,15.14
2006-10-13,0,15.06
2006-10-20,0,14.27
2006-10-27,0,14.17
2006-11-03,0,13.98
2006-11-10,0,14.01
2006-11-17,0,14.57
2006-11-24,0,14.79
2006-12-01,0,14.47
2006-12-08,0,14.64
2006-12-15,0,13.70
2006-12-22,0,13.94
2006-12-29,0,13.96
2007-01-05,0,13.58
2007-01-12,0,14.23
2007-01-19,0,13.27
2007-01-26,0,13.20
2007-02-02,0,13.16
2007-02-09,0,12.56
2007-02-16,0,12.32
2007-02-23,0,12.38
2007-03-02,0,11.83
2007-03-09,0,11.42
2007-03-16,0,11.44
2007-03-23,0,11.59
2007-03-30,0,12.08
2007-04-06,0,
2007-04-13,0,11.26
2007-04-20,0,11.19
2007-04-27,0,11.69
2007-05-04,0,11.91
2007-05-11,0,12.32
2007-05-18,0,11.47
2007-05-25,0,11.97
2007-06-01,0,12.60
2007-06-08,0,12.35
2007-06-15,0,12.58
2007-06-22,0,12.83
2007-06-29,0,12.53
2007-07-06,0,13.45
2007-07-13,0,13.74
2007-07-20,0,13.41
2007-07-27,0,11.87
2007-08-03,0,11.64
2007-08-10,0,12.21
2007-08-17,0,10.99
2007-08-24,0,11.02
2007-08-31,0,11.45
2007-09-07,0,11.40
2007-09-14,0,11.00
2007-09-21,0,10.73
2007-09-28,0,11.10
2007-10-05,0,10.80
2007-10-12,0,10.49
2007-10-19,0,10.08
2007-10-26,0,9.76
2007-11-02,0,10.47
2007-11-09,0,9.64
2007-11-16,0,9.15
2007-11-23,100,8.37
2007-11-30,0,8.32
2007-12-07,0,9.03
2007-12-14,0,8.37
2007-12-21,0,7.53
2007-12-28,0,7.27
2008-01-04,0,6.40
2008-01-11,0,6.09
2008-01-18,0,6.44
2008-01-25,0,6.53
2008-02-01,0,7.81
2008-02-08,0,6.69
2008-02-15,0,7.13
2008-02-22,0,7.54
2008-02-29,0,7.52
2008-03-07,0,6.88
2008-03-14,0,6.14
2008-03-21,0,
2008-03-28,0,5.46
2008-04-04,0,6.76
2008-04-11,0,6.90
2008-04-18,0,7.40
2008-04-25,0,7.68
2008-05-02,0,8.24
2008-05-09,0,8.37
2008-05-16,0,8.84
2008-05-23,0,8.21
2008-05-30,0,8.07
2008-06-06,0,8.29
2008-06-13,0,7.66
2008-06-20,0,7.23
2008-06-27,0,6.10
2008-07-04,80,
2008-07-11,0,5.44
2008-07-18,0,5.70
2008-07-25,0,4.97
2008-08-01,0,4.67
2008-08-08,0,5.27
2008-08-15,0,5.39
2008-08-22,84,4.69
2008-08-29,69,4.24
2008-09-05,69,4.36
2008-09-12,69,5.13
2008-09-19,69,4.84
2008-09-26,69,4.65
2008-10-03,0,4.44
2008-10-10,0,3.55
2008-10-17,0,4.12
2008-10-24,0,3.55
2008-10-31,0,4.71
2008-11-07,0,4.48
2008-11-14,0,2.75
2008-11-21,0,1.87
2008-11-28,0,2.74
2008-12-05,0,2.04
2008-12-12,0,2.07
2008-12-19,0,2.99
2008-12-26,0,2.59
2009-01-02,0,2.84
2009-01-09,0,3.29
2009-01-16,0,3.40
2009-01-23,0,3.56
2009-01-30,0,3.72
2009-02-06,0,4.08
2009-02-13,0,3.73
2009-02-20,0,2.81
2009-02-27,0,3.22
2009-03-06,0,2.91
2009-03-13,0,3.64
2009-03-20,0,3.43
2009-03-27,0,4.17
2009-04-03,0,4.50
2009-04-10,0,
2009-04-17,0,5.00
2009-04-24,0,4.86
2009-05-01,0,4.89
2009-05-08,0,4.85
2009-05-15,62,4.24
2009-05-22,61,4.51
2009-05-29,61,5.06
2009-06-05,61,5.30
2009-06-12,61,5.47
2009-06-19,61,5.33
2009-06-26,0,5.10
2009-07-03,0,
2009-07-10,0,5.08
2009-07-17,0,5.75
2009-07-24,0,6.27
2009-07-31,0,6.39
2009-08-07,0,6.83
2009-08-14,57,6.72
2009-08-21,57,7.14
2009-08-28,58,7.56
2009-09-04,58,7.35
2009-09-11,58,7.87
2009-09-18,57,8.20
2009-09-25,0,8.10
2009-10-02,0,7.46
2009-10-09,0,8.78
2009-10-16,0,7.95
2009-10-23,0,7.45
2009-10-30,0,6.79
2009-11-06,0,7.08
2009-11-13,53,7.51
2009-11-20,56,7.26
2009-11-27,59,7.30
2009-12-04,62,8.45
2009-12-11,58,8.64
2009-12-18,0,8.78
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,11.10
2010-01-15,0,10.13
2010-01-22,58,9.13
2010-01-29,45,8.72
2010-02-05,45,8.70
2010-02-12,49,8.44
2010-02-19,0,8.90
2010-02-26,0,9.06
2010-03-05,0,9.46
2010-03-12,0,9.97
2010-03-19,0,9.95
2010-03-26,0,10.49
2010-04-02,56,
2010-04-09,52,10.73
2010-04-16,52,10.92
2010-04-23,43,11.00
2010-04-30,0,9.35
2010-05-07,0,8.57
2010-05-14,0,8.94
2010-05-21,0,8.93
2010-05-28,0,9.09
2010-06-04,51,8.86
2010-06-11,53,8.93
2010-06-18,55,10.00
2010-06-25,45,9.46
2010-07-02,47,8.22
2010-07-09,48,8.57
2010-07-16,43,8.27
2010-07-23,49,8.48
2010-07-30,55,7.28
2010-08-06,62,7.58
2010-08-13,68,7.28
2010-08-20,47,7.12
2010-08-27,61,6.83
2010-09-03,55,7.05
2010-09-10,55,6.51
2010-09-17,55,6.76
2010-09-24,51,7.20
2010-10-01,53,7.29
2010-10-08,49,7.59
2010-10-15,55,7.61
2010-10-22,60,7.69
2010-10-29,71,8.26
2010-11-05,82,8.66
2010-11-12,37,7.72
2010-11-19,44,7.39
2010-11-26,85,7.63
2010-12-03,54,7.92
2010-12-10,40,8.25
2010-12-17,40,8.21
2010-12-24,40,
2010-12-31,50,8.02
2011-01-07,73,8.65
2011-01-14,51,9.71
2011-01-21,64,9.84
2011-01-28,77,10.37
2011-02-04,52,11.05
2011-02-11,53,11.32
2011-02-18,56,11.70
2011-02-25,42,11.44
2011-03-04,39,11.64
2011-03-11,39,10.24
2011-03-18,43,10.07
2011-03-25,46,11.55
2011-04-01,43,11.30
2011-04-08,43,11.07
2011-04-15,44,10.75
2011-04-22,45,
2011-04-29,55,11.32
2011-05-06,36,10.87
2011-05-13,53,10.40
2011-05-20,33,10.00
2011-05-27,40,10.02
2011-06-03,52,9.16
2011-06-10,64,8.44
2011-06-17,46,7.83
2011-06-24,36,7.21
2011-07-01,46,7.83
2011-07-08,33,7.68
2011-07-15,39,7.41
2011-07-22,44,8.09
2011-07-29,50,7.37
2011-08-05,59,6.31
2011-08-12,65,6.18
2011-08-19,45,5.25
2011-08-26,59,5.66
2011-09-02,34,5.50
2011-09-09,30,6.35
2011-09-16,57,7.03
2011-09-23,50,6.65
2011-09-30,50,5.04
2011-10-07,31,4.95
2011-10-14,31,5.70
2011-10-21,44,5.46
2011-10-28,32,5.88
2011-11-04,46,5.89
2011-11-11,60,5.43
2011-11-18,68,6.29
2011-11-25,49,5.50
2011-12-02,45,5.80
2011-12-09,39,5.89
2011-12-16,31,5.68
2011-12-23,47,6.40
2011-12-30,55,6.29
2012-01-06,59,7.20
2012-01-13,77,7.23
2012-01-20,55,7.76
2012-01-27,53,7.43
2012-02-03,52,7.95
2012-02-10,44,7.91
2012-02-17,39,8.43
2012-02-24,26,7.95
2012-03-02,55,8.65
2012-03-09,31,8.33
2012-03-16,46,8.82
2012-03-23,36,8.40
2012-03-30,39,8.10
2012-04-06,43,
2012-04-13,35,6.96
2012-04-20,36,6.64
2012-04-27,38,6.57
2012-05-04,58,6.55
2012-05-11,56,6.36
2012-05-18,49,5.63
2012-05-25,59,5.96
2012-06-01,36,5.45
2012-06-08,43,5.88
2012-06-15,50,5.89
2012-06-22,36,5.74
2012-06-29,38,6.31
2012-07-06,47,6.72
2012-07-13,54,6.13
2012-07-20,43,5.83
2012-07-27,70,6.28
2012-08-03,41,6.33
2012-08-10,39,6.76
2012-08-17,53,6.57
2012-08-24,37,6.30
2012-08-31,60,6.21
2012-09-07,48,6.42
2012-09-14,59,6.70
2012-09-21,42,6.36
2012-09-28,36,5.98
2012-10-05,56,5.89
2012-10-12,35,5.67
2012-10-19,41,5.45
2012-10-26,54,5.47
2012-11-02,51,5.71
2012-11-09,53,5.62
2012-11-16,64,5.47
2012-11-23,48,5.68
2012-11-30,38,5.97
2012-12-07,53,6.44
2012-12-14,32,6.85
2012-12-21,79,6.32
2012-12-28,30,6.13
2013-01-04,46,6.96
2013-01-11,61,7.54
2013-01-18,49,7.89
2013-01-25,43,7.87
2013-02-01,40,7.83
2013-02-08,59,7.75
2013-02-15,28,7.91
2013-02-22,45,8.02
2013-03-01,45,8.25
2013-03-08,45,9.20
2013-03-15,33,9.37
2013-03-22,50,10.04
2013-03-29,45,
2013-04-05,42,9.31
2013-04-12,39,10.01
2013-04-19,43,9.35
2013-04-26,45,9.43
2013-05-03,35,9.63
2013-05-10,31,10.82
2013-05-17,57,11.31
2013-05-24,22,11.59
2013-05-31,33,11.68
2013-06-07,55,12.65
2013-06-14,33,12.76
2013-06-21,52,13.90
2013-06-28,43,14.33
2013-07-05,36,14.31
2013-07-12,53,12.69
2013-07-19,37,13.73
2013-07-26,40,12.59
2013-08-02,56,13.50
2013-08-09,38,13.99
2013-08-16,38,14.01
2013-08-23,37,13.86
2013-08-30,45,13.57
2013-09-06,48,15.26
2013-09-13,57,16.20
2013-09-20,37,17.23
2013-09-27,47,17.62
2013-10-04,43,18.47
2013-10-11,49,16.84
2013-10-18,55,17.03
2013-10-25,32,16.58
2013-11-01,66,17.58
2013-11-08,55,18.11
2013-11-15,31,19.46
2013-11-22,38,20.19
2013-11-29,57,21.10
2013-12-06,32,22.31
2013-12-13,51,23.08
2013-12-20,45,22.17
2013-12-27,43,21.52
2014-01-03,41,20.97
2014-01-10,42,23.71
2014-01-17,48,22.38
2014-01-24,38,22.92
2014-01-31,38,23.04
2014-02-07,36,24.51
2014-02-14,34,25.08
2014-02-21,23,25.08
2014-02-28,32,24.19
2014-03-07,63,24.42
2014-03-14,38,23.96
2014-03-21,46,23.66
2014-03-28,45,21.91
2014-04-04,36,22.58
2014-04-11,38,21.13
2014-04-18,41,
2014-04-25,50,25.26
2014-05-02,0,
