Date,buy M,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,50.08
2004-02-13,39,49.35
2004-02-20,48,50.25
2004-02-27,57,52.37
2004-03-05,37,53.55
2004-03-12,37,51.94
2004-03-19,37,49.75
2004-03-26,0,50.50
2004-04-02,0,53.95
2004-04-09,0,
2004-04-16,0,53.30
2004-04-23,0,51.17
2004-04-30,36,49.00
2004-05-07,36,46.60
2004-05-14,45,46.34
2004-05-21,35,47.05
2004-05-28,35,47.71
2004-06-04,37,48.75
2004-06-11,39,
2004-06-18,42,50.19
2004-06-25,39,49.18
2004-07-02,41,47.58
2004-07-09,44,46.73
2004-07-16,54,44.75
2004-07-23,64,46.50
2004-07-30,35,47.92
2004-08-06,35,44.85
2004-08-13,35,44.58
2004-08-20,39,44.60
2004-08-27,44,45.00
2004-09-03,36,45.28
2004-09-10,43,44.97
2004-09-17,49,46.10
2004-09-24,30,46.55
2004-10-01,33,45.83
2004-10-08,33,47.33
2004-10-15,40,44.81
2004-10-22,47,46.86
2004-10-29,37,50.45
2004-11-05,38,53.72
2004-11-12,55,54.73
2004-11-19,59,54.81
2004-11-26,79,57.33
2004-12-03,50,55.09
2004-12-10,41,55.78
2004-12-17,53,54.35
2004-12-24,47,
2004-12-31,39,57.79
2005-01-07,55,56.56
2005-01-14,36,58.37
2005-01-21,28,55.15
2005-01-28,45,55.22
2005-02-04,45,58.62
2005-02-11,46,57.50
2005-02-18,25,56.72
2005-02-25,44,56.79
2005-03-04,42,60.95
2005-03-11,35,62.15
2005-03-18,33,63.03
2005-03-25,28,
2005-04-01,31,62.81
2005-04-08,30,64.25
2005-04-15,30,61.54
2005-04-22,42,61.35
2005-04-29,41,57.50
2005-05-06,36,63.18
2005-05-13,51,63.25
2005-05-20,31,68.86
2005-05-27,35,67.72
2005-06-03,53,67.90
2005-06-10,31,70.97
2005-06-17,38,73.15
2005-06-24,37,72.15
2005-07-01,65,73.36
2005-07-08,33,75.46
2005-07-15,47,73.79
2005-07-22,46,75.75
2005-07-29,34,75.87
2005-08-05,35,73.38
2005-08-12,36,74.92
2005-08-19,32,72.35
2005-08-26,43,70.50
2005-09-02,47,66.22
2005-09-09,33,68.50
2005-09-16,48,66.36
2005-09-23,26,66.19
2005-09-30,31,66.87
2005-10-07,27,65.00
2005-10-14,27,64.05
2005-10-21,41,61.01
2005-10-28,37,59.51
2005-11-04,36,64.14
2005-11-11,45,68.82
2005-11-18,50,69.53
2005-11-25,54,67.07
2005-12-02,52,66.65
2005-12-09,41,68.10
2005-12-16,55,64.97
2005-12-23,49,66.25
2005-12-30,56,66.33
2006-01-06,50,69.96
2006-01-13,39,74.73
2006-01-20,67,70.10
2006-01-27,34,67.75
2006-02-03,55,69.03
2006-02-10,49,68.97
2006-02-17,40,71.63
2006-02-24,43,70.45
2006-03-03,48,70.50
2006-03-10,39,71.88
2006-03-17,44,72.23
2006-03-24,38,71.65
2006-03-31,40,73.00
2006-04-07,52,76.61
2006-04-14,51,
2006-04-21,46,76.27
2006-04-28,30,77.85
2006-05-05,43,78.19
2006-05-12,38,74.85
2006-05-19,33,73.09
2006-05-26,40,72.17
2006-06-02,48,73.01
2006-06-09,37,70.64
2006-06-16,27,35.10
2006-06-23,48,36.16
2006-06-30,49,36.60
2006-07-07,43,36.46
2006-07-14,34,33.75
2006-07-21,45,33.25
2006-07-28,28,35.15
2006-08-04,36,35.08
2006-08-11,35,35.94
2006-08-18,32,37.33
2006-08-25,33,37.10
2006-09-01,35,38.79
2006-09-08,42,39.58
2006-09-15,45,41.99
2006-09-22,45,41.00
2006-09-29,33,43.21
2006-10-06,37,43.35
2006-10-13,38,44.90
2006-10-20,40,44.32
2006-10-27,39,43.88
2006-11-03,33,39.94
2006-11-10,39,40.66
2006-11-17,41,42.57
2006-11-24,54,43.11
2006-12-01,51,40.60
2006-12-08,59,40.38
2006-12-15,43,38.83
2006-12-22,46,38.09
2006-12-29,65,38.13
2007-01-05,39,36.89
2007-01-12,26,39.24
2007-01-19,39,40.22
2007-01-26,31,40.27
2007-02-02,37,41.88
2007-02-09,48,43.04
2007-02-16,48,44.10
2007-02-23,40,44.29
2007-03-02,32,44.25
2007-03-09,50,44.49
2007-03-16,36,44.36
2007-03-23,40,46.51
2007-03-30,50,45.05
2007-04-06,50,
2007-04-13,46,45.10
2007-04-20,49,45.06
2007-04-27,44,44.76
2007-05-04,41,43.66
2007-05-11,44,41.48
2007-05-18,48,39.70
2007-05-25,54,38.40
2007-06-01,44,40.58
2007-06-08,43,39.15
2007-06-15,41,38.95
2007-06-22,44,41.43
2007-06-29,50,39.78
2007-07-06,38,41.99
2007-07-13,48,39.75
2007-07-20,54,41.92
2007-07-27,34,36.90
2007-08-03,51,33.70
2007-08-10,41,33.63
2007-08-17,55,30.91
2007-08-24,52,31.78
2007-08-31,50,31.72
2007-09-07,41,29.76
2007-09-14,42,30.18
2007-09-21,47,33.12
2007-09-28,41,32.32
2007-10-05,58,35.10
2007-10-12,46,33.05
2007-10-19,49,30.24
2007-10-26,39,33.00
2007-11-02,45,31.11
2007-11-09,46,28.49
2007-11-16,54,28.32
2007-11-23,64,30.03
2007-11-30,73,29.65
2007-12-07,55,30.51
2007-12-14,67,27.77
2007-12-21,53,26.54
2007-12-28,71,25.48
2008-01-04,50,22.40
2008-01-11,50,21.31
2008-01-18,42,23.05
2008-01-25,48,24.95
2008-02-01,44,28.00
2008-02-08,50,24.20
2008-02-15,40,25.38
2008-02-22,47,24.62
2008-02-29,42,24.68
2008-03-07,51,23.41
2008-03-14,48,22.53
2008-03-21,56,
2008-03-28,50,21.97
2008-04-04,45,23.92
2008-04-11,41,23.12
2008-04-18,43,23.72
2008-04-25,42,25.57
2008-05-02,50,26.30
2008-05-09,37,23.21
2008-05-16,36,25.22
2008-05-23,36,22.49
2008-05-30,50,23.67
2008-06-06,44,22.25
2008-06-13,46,22.16
2008-06-20,42,20.91
2008-06-27,51,19.53
2008-07-04,40,
2008-07-11,49,15.58
2008-07-18,62,18.09
2008-07-25,53,18.07
2008-08-01,50,18.17
2008-08-08,48,20.73
2008-08-15,48,21.49
2008-08-22,56,20.13
2008-08-29,52,20.82
2008-09-05,50,21.08
2008-09-12,49,20.81
2008-09-19,40,19.96
2008-09-26,43,19.40
2008-10-03,46,15.19
2008-10-10,41,9.92
2008-10-17,51,9.84
2008-10-24,46,8.99
2008-10-31,44,12.29
2008-11-07,47,10.96
2008-11-14,44,7.52
2008-11-21,48,5.73
2008-11-28,54,7.42
2008-12-05,58,8.61
2008-12-12,54,8.50
2008-12-19,55,10.62
2008-12-26,49,8.60
2009-01-02,55,10.98
2009-01-09,48,10.30
2009-01-16,46,9.76
2009-01-23,52,9.65
2009-01-30,47,8.95
2009-02-06,55,9.70
2009-02-13,56,8.63
2009-02-20,47,7.86
2009-02-27,47,7.87
2009-03-06,50,6.94
2009-03-13,56,8.33
2009-03-20,43,8.00
2009-03-27,45,9.71
2009-04-03,51,10.36
2009-04-10,54,
2009-04-17,45,13.10
2009-04-24,49,13.23
2009-05-01,48,13.51
2009-05-08,46,12.83
2009-05-15,51,11.33
2009-05-22,47,11.19
2009-05-29,54,11.68
2009-06-05,46,12.81
2009-06-12,62,12.53
2009-06-19,51,11.39
2009-06-26,54,11.67
2009-07-03,46,
2009-07-10,46,10.61
2009-07-17,53,11.91
2009-07-24,51,13.57
2009-07-31,49,13.91
2009-08-07,64,15.99
2009-08-14,50,15.31
2009-08-21,53,15.35
2009-08-28,63,15.91
2009-09-04,55,15.21
2009-09-11,59,16.07
2009-09-18,49,18.03
2009-09-25,45,17.79
2009-10-02,45,17.40
2009-10-09,54,19.15
2009-10-16,62,19.82
2009-10-23,49,18.87
2009-10-30,59,17.57
2009-11-06,56,19.18
2009-11-13,55,18.01
2009-11-20,69,17.11
2009-11-27,62,16.97
2009-12-04,68,15.98
2009-12-11,68,17.02
2009-12-18,71,16.96
2009-12-25,62,
2010-01-01,69,
2010-01-08,55,16.92
2010-01-15,49,16.55
2010-01-22,56,15.57
2010-01-29,51,15.93
2010-02-05,49,16.42
2010-02-12,52,17.32
2010-02-19,52,18.54
2010-02-26,55,19.15
2010-03-05,53,20.45
2010-03-12,57,21.75
2010-03-19,55,20.89
2010-03-26,55,21.72
2010-04-02,50,
2010-04-09,54,23.51
2010-04-16,48,22.98
2010-04-23,50,24.83
2010-04-30,46,23.20
2010-05-07,65,21.94
2010-05-14,57,22.54
2010-05-21,53,21.05
2010-05-28,63,22.21
2010-06-04,56,21.03
2010-06-11,55,21.24
2010-06-18,45,21.46
2010-06-25,49,19.02
2010-07-02,58,17.85
2010-07-09,57,18.53
2010-07-16,52,17.16
2010-07-23,54,19.38
2010-07-30,56,18.65
2010-08-06,60,19.44
2010-08-13,67,20.13
2010-08-20,57,20.97
2010-08-27,59,19.60
2010-09-03,63,20.87
2010-09-10,62,20.80
2010-09-17,69,21.75
2010-09-24,63,22.75
2010-10-01,65,23.15
2010-10-08,66,24.36
2010-10-15,58,24.18
2010-10-22,57,22.18
2010-10-29,65,23.67
2010-11-05,65,25.57
2010-11-12,71,25.06
2010-11-19,69,25.08
2010-11-26,79,26.00
2010-12-03,81,25.06
2010-12-10,68,25.49
2010-12-17,72,25.89
2010-12-24,85,
2010-12-31,85,25.30
2011-01-07,65,23.31
2011-01-14,64,23.08
2011-01-21,67,23.14
2011-01-28,68,22.99
2011-02-04,67,22.82
2011-02-11,67,24.62
2011-02-18,55,23.75
2011-02-25,65,23.60
2011-03-04,65,23.36
2011-03-11,64,23.74
2011-03-18,48,22.99
2011-03-25,69,23.43
2011-04-01,63,24.35
2011-04-08,60,24.83
2011-04-15,52,24.40
2011-04-22,62,
2011-04-29,62,23.91
2011-05-06,61,26.08
2011-05-13,61,28.46
2011-05-20,61,28.63
2011-05-27,61,28.91
2011-06-03,59,27.54
2011-06-10,65,27.23
2011-06-17,63,27.27
2011-06-24,63,28.02
2011-07-01,70,29.88
2011-07-08,58,30.42
2011-07-15,73,29.98
2011-07-22,62,30.50
2011-07-29,65,28.87
2011-08-05,71,26.54
2011-08-12,72,25.55
2011-08-19,61,23.18
2011-08-26,58,24.90
2011-09-02,63,25.36
2011-09-09,56,25.17
2011-09-16,67,27.74
2011-09-23,70,25.62
2011-09-30,63,26.32
2011-10-07,61,26.95
2011-10-14,59,29.26
2011-10-21,63,29.84
2011-10-28,70,31.46
2011-11-04,60,31.36
2011-11-11,76,31.14
2011-11-18,72,30.36
2011-11-25,79,29.45
2011-12-02,77,32.54
2011-12-09,69,32.79
2011-12-16,75,31.03
2011-12-23,81,32.20
2011-12-30,82,32.18
2012-01-06,70,34.56
2012-01-13,61,34.42
2012-01-20,61,35.38
2012-01-27,59,33.82
2012-02-03,66,36.12
2012-02-10,62,35.68
2012-02-17,58,36.25
2012-02-24,67,37.06
2012-03-02,66,38.31
2012-03-09,62,39.67
2012-03-16,63,39.73
2012-03-23,63,39.84
2012-03-30,63,39.73
2012-04-06,56,
2012-04-13,58,39.98
2012-04-20,58,39.10
2012-04-27,54,41.18
2012-05-04,59,41.11
2012-05-11,64,37.98
2012-05-18,62,35.24
2012-05-25,60,37.76
2012-06-01,58,36.85
2012-06-08,64,37.21
2012-06-15,63,36.06
2012-06-22,63,33.78
2012-06-29,57,34.35
2012-07-06,62,34.03
2012-07-13,63,33.64
2012-07-20,60,35.60
2012-07-27,73,36.54
2012-08-03,64,37.26
2012-08-10,61,38.00
2012-08-17,66,38.95
2012-08-24,68,39.75
2012-08-31,67,40.31
2012-09-07,68,40.46
2012-09-14,60,39.24
2012-09-21,63,38.39
2012-09-28,73,37.62
2012-10-05,70,39.61
2012-10-12,60,39.41
2012-10-19,62,39.99
2012-10-26,68,38.48
2012-11-02,66,40.61
2012-11-09,68,38.93
2012-11-16,73,40.18
2012-11-23,93,41.73
2012-11-30,78,38.70
2012-12-07,69,39.41
2012-12-14,75,38.07
2012-12-21,83,37.51
2012-12-28,78,37.36
2013-01-04,65,37.94
2013-01-11,61,36.89
2013-01-18,61,38.42
2013-01-25,58,38.74
2013-02-01,61,39.51
2013-02-08,62,39.92
2013-02-15,55,39.12
2013-02-22,59,39.08
2013-03-01,58,40.68
2013-03-08,59,41.67
2013-03-15,61,41.78
2013-03-22,56,42.66
2013-03-29,62,
2013-04-05,54,43.39
2013-04-12,55,44.43
2013-04-19,60,43.54
2013-04-26,60,44.63
2013-05-03,61,46.23
2013-05-10,60,47.23
2013-05-17,62,48.67
2013-05-24,54,49.21
2013-05-31,61,48.34
2013-06-07,65,48.61
2013-06-14,59,48.48
2013-06-21,54,46.86
2013-06-28,63,48.00
2013-07-05,55,49.18
2013-07-12,63,49.43
2013-07-19,59,49.03
2013-07-26,67,48.17
2013-08-02,65,49.46
2013-08-09,68,48.52
2013-08-16,72,44.99
2013-08-23,78,44.79
2013-08-30,76,44.43
2013-09-06,76,45.08
2013-09-13,72,44.70
2013-09-20,92,44.62
2013-09-27,74,43.52
2013-10-04,73,44.07
2013-10-11,68,42.64
2013-10-18,72,44.39
2013-10-25,68,44.89
2013-11-01,73,45.96
2013-11-08,69,46.18
2013-11-15,77,51.09
2013-11-22,77,51.26
2013-11-29,100,53.26
2013-12-06,78,51.83
2013-12-13,81,51.41
2013-12-20,78,52.27
2013-12-27,83,52.70
2014-01-03,73,53.54
2014-01-10,61,55.84
2014-01-17,61,56.23
2014-01-24,66,54.42
2014-01-31,62,53.20
2014-02-07,61,53.09
2014-02-14,56,53.40
2014-02-21,63,53.71
2014-02-28,61,57.86
2014-03-07,63,58.05
2014-03-14,62,58.58
2014-03-21,64,58.97
2014-03-28,64,58.92
2014-04-04,63,59.74
2014-04-11,63,56.90
2014-04-18,68,
2014-04-25,61,57.57
2014-05-02,76,
