Date,buy NE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.75
2004-02-13,0,39.76
2004-02-20,0,40.10
2004-02-27,0,40.60
2004-03-05,0,41.59
2004-03-12,0,39.70
2004-03-19,0,39.14
2004-03-26,0,37.71
2004-04-02,0,37.09
2004-04-09,0,
2004-04-16,0,38.82
2004-04-23,0,38.01
2004-04-30,0,37.16
2004-05-07,0,35.30
2004-05-14,0,34.05
2004-05-21,0,33.95
2004-05-28,0,34.46
2004-06-04,0,34.48
2004-06-11,0,
2004-06-18,0,36.83
2004-06-25,0,37.39
2004-07-02,0,38.06
2004-07-09,0,38.42
2004-07-16,0,39.75
2004-07-23,0,38.05
2004-07-30,0,38.72
2004-08-06,0,36.71
2004-08-13,0,36.19
2004-08-20,0,38.19
2004-08-27,0,39.19
2004-09-03,0,42.33
2004-09-10,0,42.01
2004-09-17,0,44.68
2004-09-24,0,45.35
2004-10-01,0,46.07
2004-10-08,0,45.91
2004-10-15,0,44.83
2004-10-22,0,46.65
2004-10-29,0,45.68
2004-11-05,0,44.64
2004-11-12,0,45.55
2004-11-19,0,46.99
2004-11-26,0,48.32
2004-12-03,0,46.35
2004-12-10,0,46.16
2004-12-17,0,49.34
2004-12-24,0,
2004-12-31,0,49.74
2005-01-07,0,47.76
2005-01-14,0,52.28
2005-01-21,0,52.41
2005-01-28,0,52.41
2005-02-04,0,54.92
2005-02-11,0,56.33
2005-02-18,0,56.73
2005-02-25,0,57.18
2005-03-04,0,58.19
2005-03-11,0,55.12
2005-03-18,0,56.51
2005-03-25,0,
2005-04-01,0,58.30
2005-04-08,0,55.42
2005-04-15,0,51.68
2005-04-22,0,54.73
2005-04-29,0,50.90
2005-05-06,0,53.57
2005-05-13,0,50.09
2005-05-20,0,52.64
2005-05-27,0,56.29
2005-06-03,0,57.89
2005-06-10,0,61.60
2005-06-17,0,63.08
2005-06-24,0,63.15
2005-07-01,0,61.88
2005-07-08,0,62.21
2005-07-15,0,61.30
2005-07-22,0,67.50
2005-07-29,0,67.18
2005-08-05,0,70.02
2005-08-12,0,70.20
2005-08-19,0,68.89
2005-08-26,0,68.30
2005-09-02,0,69.77
2005-09-09,0,71.65
2005-09-16,0,70.15
2005-09-23,0,68.63
2005-09-30,0,68.46
2005-10-07,0,61.85
2005-10-14,0,61.16
2005-10-21,0,61.69
2005-10-28,0,64.00
2005-11-04,0,68.84
2005-11-11,0,67.00
2005-11-18,0,70.15
2005-11-25,0,73.72
2005-12-02,0,73.37
2005-12-09,0,74.33
2005-12-16,0,71.89
2005-12-23,0,72.97
2005-12-30,0,70.54
2006-01-06,0,77.00
2006-01-13,0,77.90
2006-01-20,0,82.55
2006-01-27,0,81.18
2006-02-03,0,75.75
2006-02-10,0,73.43
2006-02-17,0,72.96
2006-02-24,0,74.12
2006-03-03,0,78.61
2006-03-10,0,74.92
2006-03-17,0,79.48
2006-03-24,0,76.94
2006-03-31,0,81.10
2006-04-07,0,82.68
2006-04-14,0,
2006-04-21,0,84.85
2006-04-28,0,78.94
2006-05-05,0,82.60
2006-05-12,0,77.69
2006-05-19,0,68.98
2006-05-26,0,69.58
2006-06-02,0,71.79
2006-06-09,0,66.68
2006-06-16,0,69.11
2006-06-23,39,70.02
2006-06-30,0,74.42
2006-07-07,0,74.41
2006-07-14,0,73.75
2006-07-21,0,67.54
2006-07-28,0,70.67
2006-08-04,0,66.85
2006-08-11,0,64.60
2006-08-18,42,66.12
2006-08-25,0,67.46
2006-09-01,0,67.51
2006-09-08,0,65.96
2006-09-15,0,62.94
2006-09-22,0,62.51
2006-09-29,0,64.18
2006-10-06,0,61.89
2006-10-13,0,63.59
2006-10-20,0,68.86
2006-10-27,0,68.72
2006-11-03,0,70.77
2006-11-10,0,71.55
2006-11-17,0,71.85
2006-11-24,0,75.13
2006-12-01,0,80.15
2006-12-08,0,80.79
2006-12-15,0,80.56
2006-12-22,32,76.65
2006-12-29,42,76.15
2007-01-05,31,71.44
2007-01-12,31,70.80
2007-01-19,31,72.02
2007-01-26,31,71.58
2007-02-02,30,75.76
2007-02-09,31,72.75
2007-02-16,32,70.12
2007-02-23,32,71.98
2007-03-02,32,69.65
2007-03-09,32,74.14
2007-03-16,31,74.24
2007-03-23,31,80.60
2007-03-30,37,78.68
2007-04-06,44,
2007-04-13,51,82.08
2007-04-20,38,80.29
2007-04-27,38,87.19
2007-05-04,38,88.05
2007-05-11,30,88.32
2007-05-18,35,91.63
2007-05-25,33,90.59
2007-06-01,26,92.26
2007-06-08,24,89.58
2007-06-15,30,95.36
2007-06-22,29,98.75
2007-06-29,28,97.52
2007-07-06,24,102.16
2007-07-13,24,101.73
2007-07-20,38,102.46
2007-07-27,50,102.26
2007-08-03,26,97.27
2007-08-10,49,97.09
2007-08-17,26,95.15
2007-08-24,27,100.93
2007-08-31,27,49.06
2007-09-07,37,50.52
2007-09-14,32,48.30
2007-09-21,34,50.74
2007-09-28,23,49.05
2007-10-05,31,47.76
2007-10-12,26,50.15
2007-10-19,26,50.37
2007-10-26,24,53.16
2007-11-02,20,53.66
2007-11-09,31,53.22
2007-11-16,26,50.96
2007-11-23,41,51.08
2007-11-30,50,52.13
2007-12-07,31,53.71
2007-12-14,28,51.85
2007-12-21,50,54.70
2007-12-28,49,56.85
2008-01-04,39,54.99
2008-01-11,35,51.63
2008-01-18,23,45.41
2008-01-25,34,44.82
2008-02-01,30,45.29
2008-02-08,29,45.46
2008-02-15,34,47.75
2008-02-22,26,48.97
2008-02-29,32,49.15
2008-03-07,22,48.46
2008-03-14,24,49.56
2008-03-21,29,
2008-03-28,36,48.05
2008-04-04,27,52.97
2008-04-11,20,52.77
2008-04-18,30,57.46
2008-04-25,26,59.63
2008-05-02,30,58.08
2008-05-09,36,62.62
2008-05-16,32,65.44
2008-05-23,33,62.87
2008-05-30,33,63.14
2008-06-06,46,63.19
2008-06-13,44,65.19
2008-06-20,42,63.97
2008-06-27,40,64.76
2008-07-04,58,
2008-07-11,38,58.91
2008-07-18,38,55.95
2008-07-25,47,53.65
2008-08-01,52,52.64
2008-08-08,43,48.93
2008-08-15,39,49.37
2008-08-22,42,51.41
2008-08-29,33,50.29
2008-09-05,38,44.96
2008-09-12,23,46.92
2008-09-19,40,46.88
2008-09-26,30,46.91
2008-10-03,30,37.49
2008-10-10,27,25.14
2008-10-17,34,28.37
2008-10-24,26,25.90
2008-10-31,49,32.21
2008-11-07,24,29.09
2008-11-14,32,26.89
2008-11-21,37,22.72
2008-11-28,64,26.79
2008-12-05,49,21.83
2008-12-12,43,24.87
2008-12-19,60,21.83
2008-12-26,70,21.47
2009-01-02,49,23.75
2009-01-09,56,22.87
2009-01-16,39,21.61
2009-01-23,46,24.92
2009-01-30,47,27.15
2009-02-06,27,28.48
2009-02-13,37,26.62
2009-02-20,38,24.96
2009-02-27,60,24.59
2009-03-06,47,22.59
2009-03-13,48,24.37
2009-03-20,32,25.18
2009-03-27,34,24.81
2009-04-03,40,26.10
2009-04-10,43,
2009-04-17,43,27.57
2009-04-24,31,28.98
2009-05-01,43,28.45
2009-05-08,40,30.90
2009-05-15,32,27.92
2009-05-22,50,31.04
2009-05-29,32,34.37
2009-06-05,39,35.31
2009-06-12,46,36.22
2009-06-19,51,33.47
2009-06-26,53,31.38
2009-07-03,45,
2009-07-10,50,29.40
2009-07-17,50,31.26
2009-07-24,55,34.02
2009-07-31,46,33.86
2009-08-07,51,34.44
2009-08-14,59,34.46
2009-08-21,58,36.10
2009-08-28,51,35.88
2009-09-04,38,35.47
2009-09-11,51,36.90
2009-09-18,49,38.11
2009-09-25,42,36.96
2009-10-02,46,36.15
2009-10-09,57,40.44
2009-10-16,33,42.54
2009-10-23,49,43.81
2009-10-30,65,40.74
2009-11-06,43,42.34
2009-11-13,52,43.28
2009-11-20,54,40.02
2009-11-27,57,41.21
2009-12-04,58,39.95
2009-12-11,55,40.40
2009-12-18,53,41.09
2009-12-25,69,
2010-01-01,76,
2010-01-08,48,44.87
2010-01-15,44,43.73
2010-01-22,48,41.59
2010-01-29,52,40.32
2010-02-05,45,39.73
2010-02-12,59,40.69
2010-02-19,47,42.77
2010-02-26,46,42.26
2010-03-05,44,44.25
2010-03-12,47,43.50
2010-03-19,46,41.32
2010-03-26,45,39.59
2010-04-02,54,
2010-04-09,50,41.64
2010-04-16,53,40.38
2010-04-23,48,43.63
2010-04-30,42,39.49
2010-05-07,39,35.78
2010-05-14,39,34.64
2010-05-21,52,32.42
2010-05-28,52,29.07
2010-06-04,49,27.56
2010-06-11,65,29.78
2010-06-18,61,31.56
2010-06-25,61,29.28
2010-07-02,64,32.33
2010-07-09,58,31.67
2010-07-16,65,30.36
2010-07-23,66,31.81
2010-07-30,60,32.50
2010-08-06,54,34.43
2010-08-13,73,32.60
2010-08-20,46,31.50
2010-08-27,58,31.85
2010-09-03,66,32.70
2010-09-10,61,34.86
2010-09-17,51,35.08
2010-09-24,58,34.23
2010-10-01,59,33.50
2010-10-08,53,34.12
2010-10-15,57,35.90
2010-10-22,61,34.17
2010-10-29,69,34.53
2010-11-05,53,36.34
2010-11-12,65,36.90
2010-11-19,80,36.13
2010-11-26,78,34.39
2010-12-03,73,33.59
2010-12-10,63,34.67
2010-12-17,78,35.10
2010-12-24,85,
2010-12-31,97,35.77
2011-01-07,62,36.76
2011-01-14,58,38.09
2011-01-21,65,37.64
2011-01-28,60,37.34
2011-02-04,61,37.60
2011-02-11,61,38.91
2011-02-18,56,42.07
2011-02-25,57,44.19
2011-03-04,61,44.84
2011-03-11,68,44.10
2011-03-18,45,43.33
2011-03-25,54,45.14
2011-04-01,52,45.29
2011-04-08,70,45.60
2011-04-15,79,42.77
2011-04-22,59,
2011-04-29,60,43.01
2011-05-06,60,39.46
2011-05-13,58,39.59
2011-05-20,75,41.00
2011-05-27,58,41.55
2011-06-03,67,40.77
2011-06-10,51,38.63
2011-06-17,62,37.60
2011-06-24,63,37.71
2011-07-01,74,39.67
2011-07-08,56,37.34
2011-07-15,72,37.39
2011-07-22,68,38.07
2011-07-29,73,36.87
2011-08-05,70,31.13
2011-08-12,58,31.30
2011-08-19,70,29.66
2011-08-26,65,31.78
2011-09-02,73,32.66
2011-09-09,55,33.84
2011-09-16,62,35.37
2011-09-23,48,31.24
2011-09-30,54,29.35
2011-10-07,46,29.56
2011-10-14,47,31.48
2011-10-21,64,34.75
2011-10-28,60,37.55
2011-11-04,43,37.79
2011-11-11,70,37.59
2011-11-18,62,35.07
2011-11-25,79,32.46
2011-12-02,74,34.65
2011-12-09,66,33.04
2011-12-16,80,30.60
2011-12-23,100,31.63
2011-12-30,84,30.22
2012-01-06,67,30.29
2012-01-13,59,31.90
2012-01-20,71,34.69
2012-01-27,74,35.38
2012-02-03,68,36.90
2012-02-10,54,38.95
2012-02-17,66,38.36
2012-02-24,57,38.94
2012-03-02,63,40.29
2012-03-09,56,39.19
2012-03-16,66,41.25
2012-03-23,61,38.36
2012-03-30,60,37.47
2012-04-06,54,
2012-04-13,58,35.75
2012-04-20,57,37.67
2012-04-27,62,37.94
2012-05-04,65,36.57
2012-05-11,59,34.38
2012-05-18,50,32.23
2012-05-25,59,33.75
2012-06-01,61,30.59
2012-06-08,56,31.88
2012-06-15,63,31.57
2012-06-22,63,30.18
2012-06-29,55,32.53
2012-07-06,61,33.13
2012-07-13,59,34.48
2012-07-20,63,36.96
2012-07-27,67,37.61
2012-08-03,58,37.91
2012-08-10,67,38.39
2012-08-17,71,38.56
2012-08-24,68,38.45
2012-08-31,78,38.14
2012-09-07,53,37.02
2012-09-14,61,38.52
2012-09-21,56,37.74
2012-09-28,57,35.78
2012-10-05,59,35.17
2012-10-12,69,36.00
2012-10-19,59,39.81
2012-10-26,59,38.09
2012-11-02,63,37.13
2012-11-09,54,35.24
2012-11-16,63,33.51
2012-11-23,93,34.44
2012-11-30,77,34.49
2012-12-07,69,34.85
2012-12-14,66,33.87
2012-12-21,77,35.87
2012-12-28,86,34.05
2013-01-04,76,37.34
2013-01-11,59,36.42
2013-01-18,56,39.87
2013-01-25,55,38.23
2013-02-01,63,41.42
2013-02-08,59,39.76
2013-02-15,62,39.11
2013-02-22,50,37.23
2013-03-01,55,35.37
2013-03-08,64,35.85
2013-03-15,65,37.82
2013-03-22,63,36.63
2013-03-29,53,
2013-04-05,59,37.70
2013-04-12,65,36.70
2013-04-19,57,36.02
2013-04-26,56,37.11
2013-05-03,62,38.86
2013-05-10,52,40.03
2013-05-17,53,40.66
2013-05-24,51,40.61
2013-05-31,54,38.75
2013-06-07,62,39.23
2013-06-14,62,37.55
2013-06-21,64,37.17
2013-06-28,69,37.58
2013-07-05,72,38.60
2013-07-12,59,40.25
2013-07-19,60,41.14
2013-07-26,67,38.58
2013-08-02,61,39.76
2013-08-09,63,39.92
2013-08-16,71,38.66
2013-08-23,61,38.81
2013-08-30,60,37.20
2013-09-06,66,39.00
2013-09-13,54,38.80
2013-09-20,53,38.25
2013-09-27,61,37.60
2013-10-04,57,38.70
2013-10-11,48,37.70
2013-10-18,56,37.98
2013-10-25,66,38.08
2013-11-01,61,37.15
2013-11-08,60,39.56
2013-11-15,77,39.74
2013-11-22,65,39.56
2013-11-29,84,38.12
2013-12-06,78,37.85
2013-12-13,77,36.55
2013-12-20,76,36.32
2013-12-27,83,36.97
2014-01-03,73,36.72
2014-01-10,55,36.51
2014-01-17,68,35.39
2014-01-24,67,32.94
2014-01-31,76,31.03
2014-02-07,63,30.70
2014-02-14,65,31.16
2014-02-21,64,31.16
2014-02-28,64,31.05
2014-03-07,58,31.68
2014-03-14,55,29.08
2014-03-21,68,31.62
2014-03-28,56,32.47
2014-04-04,64,31.30
2014-04-11,59,29.70
2014-04-18,60,
2014-04-25,58,31.49
2014-05-02,44,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
