Date,buy NI,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,21.30
2004-02-13,0,21.45
2004-02-20,0,21.69
2004-02-27,0,21.71
2004-03-05,0,22.09
2004-03-12,0,21.50
2004-03-19,0,21.58
2004-03-26,0,20.98
2004-04-02,0,21.55
2004-04-09,0,
2004-04-16,0,21.25
2004-04-23,0,21.10
2004-04-30,0,20.16
2004-05-07,0,20.10
2004-05-14,0,20.00
2004-05-21,0,19.89
2004-05-28,0,20.26
2004-06-04,0,20.31
2004-06-11,0,
2004-06-18,0,20.70
2004-06-25,0,20.65
2004-07-02,0,20.65
2004-07-09,0,20.94
2004-07-16,0,21.27
2004-07-23,0,21.10
2004-07-30,0,20.70
2004-08-06,0,20.82
2004-08-13,0,20.54
2004-08-20,0,20.78
2004-08-27,0,20.59
2004-09-03,0,20.72
2004-09-10,0,21.00
2004-09-17,0,21.60
2004-09-24,0,20.91
2004-10-01,0,21.45
2004-10-08,0,21.43
2004-10-15,0,21.25
2004-10-22,0,21.01
2004-10-29,0,21.45
2004-11-05,0,21.00
2004-11-12,0,21.48
2004-11-19,0,21.23
2004-11-26,0,21.78
2004-12-03,0,21.77
2004-12-10,0,21.25
2004-12-17,0,21.83
2004-12-24,0,
2004-12-31,0,22.78
2005-01-07,0,21.98
2005-01-14,0,22.96
2005-01-21,0,22.73
2005-01-28,0,22.57
2005-02-04,0,23.08
2005-02-11,0,22.87
2005-02-18,0,22.66
2005-02-25,0,22.89
2005-03-04,0,22.98
2005-03-11,0,22.28
2005-03-18,0,22.70
2005-03-25,0,
2005-04-01,0,22.89
2005-04-08,0,22.92
2005-04-15,0,22.30
2005-04-22,0,22.94
2005-04-29,0,23.24
2005-05-06,0,23.53
2005-05-13,0,23.60
2005-05-20,0,23.70
2005-05-27,0,24.03
2005-06-03,0,23.98
2005-06-10,0,24.00
2005-06-17,0,24.67
2005-06-24,0,24.48
2005-07-01,0,24.94
2005-07-08,0,25.11
2005-07-15,0,24.60
2005-07-22,0,24.41
2005-07-29,0,24.29
2005-08-05,0,23.60
2005-08-12,0,23.20
2005-08-19,0,23.20
2005-08-26,0,23.72
2005-09-02,0,24.26
2005-09-09,0,24.36
2005-09-16,0,24.41
2005-09-23,0,23.57
2005-09-30,0,24.25
2005-10-07,0,23.36
2005-10-14,0,22.67
2005-10-21,0,22.42
2005-10-28,0,23.23
2005-11-04,0,22.52
2005-11-11,0,21.84
2005-11-18,0,21.56
2005-11-25,0,21.97
2005-12-02,0,21.56
2005-12-09,0,21.31
2005-12-16,0,21.96
2005-12-23,0,21.15
2005-12-30,0,20.86
2006-01-06,0,21.11
2006-01-13,0,21.00
2006-01-20,0,21.14
2006-01-27,0,20.53
2006-02-03,0,19.88
2006-02-10,0,20.65
2006-02-17,0,20.81
2006-02-24,0,20.71
2006-03-03,0,20.24
2006-03-10,0,20.30
2006-03-17,0,21.00
2006-03-24,0,20.72
2006-03-31,0,20.22
2006-04-07,0,20.22
2006-04-14,0,
2006-04-21,0,20.83
2006-04-28,0,21.11
2006-05-05,0,21.67
2006-05-12,0,21.62
2006-05-19,0,21.24
2006-05-26,0,21.22
2006-06-02,0,21.91
2006-06-09,0,21.90
2006-06-16,0,21.94
2006-06-23,0,21.90
2006-06-30,0,21.84
2006-07-07,0,22.28
2006-07-14,0,22.30
2006-07-21,0,23.01
2006-07-28,0,23.03
2006-08-04,0,22.12
2006-08-11,0,21.39
2006-08-18,0,21.29
2006-08-25,0,21.06
2006-09-01,0,21.22
2006-09-08,0,21.04
2006-09-15,0,21.07
2006-09-22,0,21.11
2006-09-29,0,21.74
2006-10-06,0,21.62
2006-10-13,0,21.97
2006-10-20,0,23.06
2006-10-27,0,23.09
2006-11-03,0,23.63
2006-11-10,0,23.92
2006-11-17,0,23.88
2006-11-24,0,23.88
2006-12-01,0,24.43
2006-12-08,0,24.39
2006-12-15,0,24.35
2006-12-22,0,24.07
2006-12-29,0,24.10
2007-01-05,0,23.57
2007-01-12,0,23.58
2007-01-19,0,23.28
2007-01-26,0,24.20
2007-02-02,0,23.94
2007-02-09,0,24.35
2007-02-16,0,24.31
2007-02-23,0,24.30
2007-03-02,0,23.54
2007-03-09,0,23.55
2007-03-16,0,23.76
2007-03-23,0,24.35
2007-03-30,0,24.44
2007-04-06,0,
2007-04-13,0,25.01
2007-04-20,0,24.80
2007-04-27,0,24.89
2007-05-04,0,25.03
2007-05-11,0,24.88
2007-05-18,0,25.36
2007-05-25,0,23.91
2007-06-01,0,22.03
2007-06-08,0,21.05
2007-06-15,0,21.50
2007-06-22,0,20.60
2007-06-29,0,20.71
2007-07-06,0,20.85
2007-07-13,0,21.24
2007-07-20,0,21.08
2007-07-27,0,19.23
2007-08-03,0,18.97
2007-08-10,0,19.40
2007-08-17,0,18.92
2007-08-24,0,19.85
2007-08-31,0,18.84
2007-09-07,0,18.72
2007-09-14,0,19.17
2007-09-21,0,19.40
2007-09-28,0,19.14
2007-10-05,30,19.90
2007-10-12,28,20.54
2007-10-19,28,19.64
2007-10-26,28,19.98
2007-11-02,31,18.63
2007-11-09,33,17.92
2007-11-16,35,17.97
2007-11-23,38,18.31
2007-11-30,0,18.51
2007-12-07,0,19.12
2007-12-14,0,18.90
2007-12-21,0,18.88
2007-12-28,0,18.86
2008-01-04,35,18.62
2008-01-11,0,19.24
2008-01-18,0,17.74
2008-01-25,0,17.97
2008-02-01,0,19.14
2008-02-08,0,18.57
2008-02-15,0,18.09
2008-02-22,0,17.96
2008-02-29,0,17.19
2008-03-07,30,17.28
2008-03-14,35,17.18
2008-03-21,40,
2008-03-28,27,17.02
2008-04-04,0,17.78
2008-04-11,0,17.60
2008-04-18,0,18.53
2008-04-25,0,18.40
2008-05-02,0,17.95
2008-05-09,0,17.81
2008-05-16,0,18.16
2008-05-23,0,17.65
2008-05-30,26,18.09
2008-06-06,26,17.21
2008-06-13,26,17.29
2008-06-20,27,17.25
2008-06-27,27,17.62
2008-07-04,33,
2008-07-11,27,17.74
2008-07-18,30,17.18
2008-07-25,25,16.93
2008-08-01,27,16.75
2008-08-08,25,16.81
2008-08-15,27,16.56
2008-08-22,29,16.66
2008-08-29,31,16.48
2008-09-05,32,15.91
2008-09-12,31,16.61
2008-09-19,33,15.59
2008-09-26,31,15.24
2008-10-03,33,14.81
2008-10-10,30,11.55
2008-10-17,36,13.09
2008-10-24,23,12.56
2008-10-31,32,12.96
2008-11-07,24,12.75
2008-11-14,25,11.55
2008-11-21,26,11.39
2008-11-28,27,12.05
2008-12-05,22,11.18
2008-12-12,23,11.64
2008-12-19,25,10.93
2008-12-26,26,10.70
2009-01-02,27,11.14
2009-01-09,28,11.08
2009-01-16,35,10.71
2009-01-23,32,10.48
2009-01-30,29,9.68
2009-02-06,32,10.77
2009-02-13,35,10.17
2009-02-20,28,8.70
2009-02-27,28,8.75
2009-03-06,28,8.17
2009-03-13,24,9.02
2009-03-20,19,9.64
2009-03-27,25,10.07
2009-04-03,26,10.11
2009-04-10,41,
2009-04-17,26,10.65
2009-04-24,27,10.84
2009-05-01,37,11.24
2009-05-08,35,11.40
2009-05-15,27,10.64
2009-05-22,41,10.47
2009-05-29,32,10.69
2009-06-05,35,10.94
2009-06-12,25,11.55
2009-06-19,23,11.37
2009-06-26,33,11.46
2009-07-03,32,
2009-07-10,32,11.56
2009-07-17,25,12.28
2009-07-24,25,13.30
2009-07-31,35,12.89
2009-08-07,40,13.09
2009-08-14,33,13.10
2009-08-21,20,13.57
2009-08-28,30,13.44
2009-09-04,40,13.17
2009-09-11,32,13.13
2009-09-18,29,13.48
2009-09-25,26,13.68
2009-10-02,23,13.45
2009-10-09,42,13.98
2009-10-16,43,13.85
2009-10-23,25,13.36
2009-10-30,42,12.92
2009-11-06,31,13.37
2009-11-13,32,13.92
2009-11-20,40,13.74
2009-11-27,30,14.21
2009-12-04,32,14.97
2009-12-11,24,15.42
2009-12-18,17,15.46
2009-12-25,23,
2010-01-01,29,
2010-01-08,42,15.02
2010-01-15,38,15.29
2010-01-22,33,14.58
2010-01-29,22,14.25
2010-02-05,37,14.68
2010-02-12,21,14.64
2010-02-19,24,15.16
2010-02-26,38,15.02
2010-03-05,29,15.38
2010-03-12,22,15.49
2010-03-19,35,15.73
2010-03-26,25,15.78
2010-04-02,37,
2010-04-09,29,16.25
2010-04-16,25,16.32
2010-04-23,30,16.71
2010-04-30,24,16.30
2010-05-07,21,15.36
2010-05-14,16,15.80
2010-05-21,30,14.86
2010-05-28,30,14.96
2010-06-04,19,14.35
2010-06-11,40,15.06
2010-06-18,26,15.54
2010-06-25,33,14.91
2010-07-02,35,14.69
2010-07-09,29,15.84
2010-07-16,30,15.61
2010-07-23,27,16.49
2010-07-30,28,16.50
2010-08-06,29,16.80
2010-08-13,24,16.57
2010-08-20,28,16.50
2010-08-27,44,17.47
2010-09-03,27,17.91
2010-09-10,31,17.04
2010-09-17,30,16.93
2010-09-24,38,17.34
2010-10-01,33,17.58
2010-10-08,24,17.75
2010-10-15,33,17.78
2010-10-22,39,17.71
2010-10-29,33,17.31
2010-11-05,21,17.63
2010-11-12,21,17.19
2010-11-19,24,17.02
2010-11-26,31,17.00
2010-12-03,24,16.96
2010-12-10,34,17.28
2010-12-17,37,17.11
2010-12-24,33,
2010-12-31,35,17.62
2011-01-07,33,18.21
2011-01-14,34,18.57
2011-01-21,29,18.61
2011-01-28,30,18.61
2011-02-04,50,18.40
2011-02-11,34,18.96
2011-02-18,28,19.10
2011-02-25,37,18.95
2011-03-04,32,19.08
2011-03-11,30,18.93
2011-03-18,24,18.53
2011-03-25,36,18.80
2011-04-01,30,19.37
2011-04-08,36,18.98
2011-04-15,40,19.17
2011-04-22,35,
2011-04-29,33,19.45
2011-05-06,40,19.44
2011-05-13,36,20.36
2011-05-20,25,20.37
2011-05-27,31,20.24
2011-06-03,35,19.69
2011-06-10,43,19.40
2011-06-17,32,19.50
2011-06-24,27,19.48
2011-07-01,36,20.59
2011-07-08,34,20.60
2011-07-15,37,20.44
2011-07-22,38,21.06
2011-07-29,36,20.13
2011-08-05,30,19.55
2011-08-12,38,19.63
2011-08-19,24,20.24
2011-08-26,34,20.54
2011-09-02,35,20.91
2011-09-09,32,21.02
2011-09-16,35,22.18
2011-09-23,38,21.09
2011-09-30,26,21.38
2011-10-07,30,21.55
2011-10-14,48,21.75
2011-10-21,36,22.90
2011-10-28,40,22.52
2011-11-04,34,22.23
2011-11-11,49,22.47
2011-11-18,36,22.00
2011-11-25,34,21.35
2011-12-02,37,22.56
2011-12-09,36,22.25
2011-12-16,31,22.53
2011-12-23,35,23.42
2011-12-30,29,23.81
2012-01-06,33,23.00
2012-01-13,29,23.16
2012-01-20,30,22.84
2012-01-27,36,22.90
2012-02-03,34,23.01
2012-02-10,35,23.06
2012-02-17,32,23.79
2012-02-24,29,23.68
2012-03-02,41,23.69
2012-03-09,46,24.11
2012-03-16,35,23.61
2012-03-23,41,24.02
2012-03-30,32,24.35
2012-04-06,35,
2012-04-13,32,23.92
2012-04-20,33,24.41
2012-04-27,36,24.49
2012-05-04,29,24.92
2012-05-11,27,25.25
2012-05-18,37,24.43
2012-05-25,30,25.04
2012-06-01,33,24.72
2012-06-08,23,25.25
2012-06-15,20,25.34
2012-06-22,39,24.31
2012-06-29,32,24.75
2012-07-06,26,24.75
2012-07-13,34,25.15
2012-07-20,34,25.64
2012-07-27,37,25.60
2012-08-03,42,25.28
2012-08-10,38,25.17
2012-08-17,35,24.70
2012-08-24,46,24.14
2012-08-31,37,24.34
2012-09-07,38,25.30
2012-09-14,34,25.61
2012-09-21,41,25.50
2012-09-28,37,25.48
2012-10-05,30,25.73
2012-10-12,21,25.32
2012-10-19,28,25.42
2012-10-26,36,25.46
2012-11-02,22,25.22
2012-11-09,38,24.30
2012-11-16,35,23.89
2012-11-23,28,24.02
2012-11-30,32,24.17
2012-12-07,33,24.44
2012-12-14,37,24.15
2012-12-21,33,24.97
2012-12-28,28,24.63
2013-01-04,36,25.40
2013-01-11,42,25.76
2013-01-18,53,26.24
2013-01-25,100,26.66
2013-02-01,99,27.19
2013-02-08,69,26.92
2013-02-15,61,26.78
2013-02-22,50,27.20
2013-03-01,38,27.93
2013-03-08,47,28.29
2013-03-15,46,28.28
2013-03-22,42,28.39
2013-03-29,37,
2013-04-05,30,29.87
2013-04-12,28,30.63
2013-04-19,46,31.09
2013-04-26,37,30.82
2013-05-03,31,30.53
2013-05-10,31,28.74
2013-05-17,37,29.78
2013-05-24,41,28.77
2013-05-31,40,28.73
2013-06-07,36,28.53
2013-06-14,31,29.11
2013-06-21,32,28.06
2013-06-28,31,28.64
2013-07-05,30,28.62
2013-07-12,21,30.29
2013-07-19,33,30.99
2013-07-26,45,31.43
2013-08-02,54,31.09
2013-08-09,42,30.67
2013-08-16,42,29.81
2013-08-23,32,29.63
2013-08-30,25,29.26
2013-09-06,27,29.11
2013-09-13,39,29.95
2013-09-20,41,30.38
2013-09-27,27,30.67
2013-10-04,27,30.59
2013-10-11,45,30.79
2013-10-18,27,31.68
2013-10-25,25,32.32
2013-11-01,29,31.72
2013-11-08,30,31.32
2013-11-15,20,32.45
2013-11-22,33,31.86
2013-11-29,44,31.62
2013-12-06,33,31.56
2013-12-13,32,30.94
2013-12-20,32,32.86
2013-12-27,32,32.64
2014-01-03,47,32.46
2014-01-10,45,33.67
2014-01-17,40,33.89
2014-01-24,33,33.59
2014-01-31,36,34.37
2014-02-07,39,34.01
2014-02-14,41,35.17
2014-02-21,39,35.40
2014-02-28,37,34.82
2014-03-07,35,34.72
2014-03-14,32,35.31
2014-03-21,38,35.07
2014-03-28,42,35.35
2014-04-04,40,35.29
2014-04-11,38,34.74
2014-04-18,33,
2014-04-25,44,36.07
2014-05-02,38,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
