Date,buy PNR,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,53.40
2004-02-13,0,51.37
2004-02-20,0,52.51
2004-02-27,0,54.01
2004-03-05,0,54.69
2004-03-12,0,52.16
2004-03-19,0,54.75
2004-03-26,0,57.00
2004-04-02,0,59.20
2004-04-09,0,
2004-04-16,0,58.16
2004-04-23,0,58.29
2004-04-30,0,59.59
2004-05-07,0,57.64
2004-05-14,0,58.25
2004-05-21,0,59.76
2004-05-28,0,61.28
2004-06-04,0,63.08
2004-06-11,0,
2004-06-18,0,31.68
2004-06-25,0,32.72
2004-07-02,0,32.95
2004-07-09,0,32.20
2004-07-16,0,32.80
2004-07-23,0,31.55
2004-07-30,0,31.32
2004-08-06,0,31.01
2004-08-13,0,30.90
2004-08-20,0,33.13
2004-08-27,0,33.02
2004-09-03,0,34.70
2004-09-10,0,34.18
2004-09-17,0,34.55
2004-09-24,0,33.97
2004-10-01,0,35.03
2004-10-08,0,34.63
2004-10-15,0,35.07
2004-10-22,0,34.55
2004-10-29,0,37.38
2004-11-05,0,38.52
2004-11-12,0,38.25
2004-11-19,0,38.98
2004-11-26,0,39.96
2004-12-03,0,40.80
2004-12-10,0,41.75
2004-12-17,0,42.85
2004-12-24,0,
2004-12-31,0,43.56
2005-01-07,0,41.03
2005-01-14,0,42.27
2005-01-21,0,42.96
2005-01-28,0,43.35
2005-02-04,0,41.89
2005-02-11,0,42.02
2005-02-18,0,41.85
2005-02-25,0,41.28
2005-03-04,0,42.19
2005-03-11,0,41.07
2005-03-18,0,39.33
2005-03-25,0,
2005-04-01,0,39.14
2005-04-08,0,39.83
2005-04-15,0,37.74
2005-04-22,0,38.11
2005-04-29,0,39.78
2005-05-06,0,41.26
2005-05-13,0,43.67
2005-05-20,0,43.60
2005-05-27,0,43.93
2005-06-03,0,43.75
2005-06-10,0,42.63
2005-06-17,0,44.88
2005-06-24,0,41.84
2005-07-01,0,42.62
2005-07-08,0,43.60
2005-07-15,0,44.06
2005-07-22,0,45.17
2005-07-29,0,40.17
2005-08-05,0,39.55
2005-08-12,0,39.72
2005-08-19,0,38.64
2005-08-26,0,37.98
2005-09-02,0,38.85
2005-09-09,0,39.50
2005-09-16,0,38.88
2005-09-23,0,37.00
2005-09-30,0,36.50
2005-10-07,0,34.52
2005-10-14,0,35.04
2005-10-21,0,35.48
2005-10-28,0,31.33
2005-11-04,0,34.15
2005-11-11,0,35.30
2005-11-18,0,37.40
2005-11-25,0,38.22
2005-12-02,0,37.46
2005-12-09,0,36.75
2005-12-16,0,36.43
2005-12-23,0,34.81
2005-12-30,0,34.52
2006-01-06,0,36.65
2006-01-13,0,36.70
2006-01-20,0,36.73
2006-01-27,0,38.39
2006-02-03,0,36.94
2006-02-10,0,38.23
2006-02-17,0,38.74
2006-02-24,0,40.00
2006-03-03,0,41.69
2006-03-10,0,40.74
2006-03-17,0,40.60
2006-03-24,0,41.09
2006-03-31,0,40.75
2006-04-07,0,39.90
2006-04-14,0,
2006-04-21,0,40.93
2006-04-28,0,38.28
2006-05-05,0,38.16
2006-05-12,0,36.25
2006-05-19,0,34.84
2006-05-26,0,34.21
2006-06-02,0,34.20
2006-06-09,0,32.95
2006-06-16,0,32.78
2006-06-23,0,33.42
2006-06-30,0,34.19
2006-07-07,0,33.57
2006-07-14,0,31.78
2006-07-21,0,30.30
2006-07-28,0,28.49
2006-08-04,0,29.38
2006-08-11,0,28.66
2006-08-18,0,29.67
2006-08-25,0,29.33
2006-09-01,0,29.88
2006-09-08,0,29.00
2006-09-15,0,28.55
2006-09-22,0,28.49
2006-09-29,0,26.19
2006-10-06,0,28.26
2006-10-13,0,29.51
2006-10-20,0,30.08
2006-10-27,0,31.29
2006-11-03,0,32.02
2006-11-10,0,32.59
2006-11-17,0,32.84
2006-11-24,0,33.30
2006-12-01,0,31.76
2006-12-08,0,32.85
2006-12-15,0,31.65
2006-12-22,0,31.05
2006-12-29,0,31.40
2007-01-05,0,30.15
2007-01-12,0,30.15
2007-01-19,0,30.29
2007-01-26,0,29.93
2007-02-02,0,31.52
2007-02-09,0,31.20
2007-02-16,0,32.78
2007-02-23,0,32.83
2007-03-02,0,31.01
2007-03-09,0,30.13
2007-03-16,0,29.50
2007-03-23,0,30.63
2007-03-30,0,31.16
2007-04-06,0,
2007-04-13,0,30.83
2007-04-20,0,31.24
2007-04-27,0,32.41
2007-05-04,0,33.28
2007-05-11,0,34.02
2007-05-18,0,34.99
2007-05-25,0,36.02
2007-06-01,0,37.26
2007-06-08,0,36.50
2007-06-15,0,38.06
2007-06-22,0,38.44
2007-06-29,0,38.57
2007-07-06,0,38.57
2007-07-13,0,38.94
2007-07-20,0,38.43
2007-07-27,0,36.26
2007-08-03,0,36.78
2007-08-10,0,37.38
2007-08-17,0,34.94
2007-08-24,0,35.77
2007-08-31,0,37.13
2007-09-07,0,35.46
2007-09-14,0,33.35
2007-09-21,0,32.08
2007-09-28,0,33.18
2007-10-05,0,33.78
2007-10-12,0,33.69
2007-10-19,0,32.95
2007-10-26,0,34.57
2007-11-02,0,35.91
2007-11-09,0,35.38
2007-11-16,0,33.56
2007-11-23,0,33.36
2007-11-30,0,33.92
2007-12-07,0,35.05
2007-12-14,0,34.48
2007-12-21,0,35.65
2007-12-28,0,35.08
2008-01-04,0,32.97
2008-01-11,0,30.78
2008-01-18,0,27.78
2008-01-25,0,29.82
2008-02-01,0,32.23
2008-02-08,0,33.63
2008-02-15,0,33.65
2008-02-22,0,33.49
2008-02-29,0,32.62
2008-03-07,0,31.00
2008-03-14,0,31.34
2008-03-21,0,
2008-03-28,0,31.48
2008-04-04,0,34.27
2008-04-11,0,32.61
2008-04-18,0,36.35
2008-04-25,0,36.59
2008-05-02,0,37.70
2008-05-09,0,36.73
2008-05-16,0,37.25
2008-05-23,0,35.73
2008-05-30,0,37.43
2008-06-06,0,36.32
2008-06-13,0,34.21
2008-06-20,0,34.44
2008-06-27,0,33.87
2008-07-04,0,
2008-07-11,0,32.03
2008-07-18,0,34.76
2008-07-25,0,35.02
2008-08-01,0,33.71
2008-08-08,0,36.25
2008-08-15,0,37.33
2008-08-22,0,37.22
2008-08-29,0,36.75
2008-09-05,0,35.15
2008-09-12,0,36.75
2008-09-19,0,39.47
2008-09-26,0,38.52
2008-10-03,0,32.17
2008-10-10,0,28.68
2008-10-17,0,27.49
2008-10-24,0,25.01
2008-10-31,0,27.64
2008-11-07,0,25.95
2008-11-14,0,23.28
2008-11-21,0,19.87
2008-11-28,0,24.86
2008-12-05,0,23.18
2008-12-12,0,23.74
2008-12-19,0,23.36
2008-12-26,0,23.52
2009-01-02,0,24.78
2009-01-09,0,25.15
2009-01-16,0,23.75
2009-01-23,0,23.04
2009-01-30,0,22.87
2009-02-06,0,25.78
2009-02-13,0,25.06
2009-02-20,0,22.22
2009-02-27,0,20.87
2009-03-06,0,17.95
2009-03-13,0,19.15
2009-03-20,0,20.33
2009-03-27,0,22.05
2009-04-03,0,24.69
2009-04-10,0,
2009-04-17,0,25.07
2009-04-24,0,26.82
2009-05-01,0,26.67
2009-05-08,0,27.90
2009-05-15,0,25.26
2009-05-22,0,24.02
2009-05-29,0,25.03
2009-06-05,0,27.94
2009-06-12,0,27.97
2009-06-19,0,25.58
2009-06-26,0,25.54
2009-07-03,0,
2009-07-10,0,24.01
2009-07-17,0,26.96
2009-07-24,0,28.28
2009-07-31,0,27.32
2009-08-07,0,27.61
2009-08-14,0,27.17
2009-08-21,0,28.04
2009-08-28,0,28.66
2009-09-04,0,29.27
2009-09-11,0,30.39
2009-09-18,0,30.69
2009-09-25,0,29.26
2009-10-02,0,28.53
2009-10-09,0,30.95
2009-10-16,0,32.73
2009-10-23,0,32.05
2009-10-30,0,29.10
2009-11-06,0,30.70
2009-11-13,0,31.22
2009-11-20,0,30.50
2009-11-27,0,30.34
2009-12-04,0,31.14
2009-12-11,0,31.48
2009-12-18,0,31.87
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,33.99
2010-01-15,0,32.73
2010-01-22,0,31.69
2010-01-29,0,30.54
2010-02-05,0,30.32
2010-02-12,0,31.13
2010-02-19,0,32.39
2010-02-26,0,32.56
2010-03-05,0,34.34
2010-03-12,0,34.16
2010-03-19,0,34.13
2010-03-26,0,34.64
2010-04-02,0,
2010-04-09,0,36.60
2010-04-16,0,36.46
2010-04-23,0,38.69
2010-04-30,0,36.16
2010-05-07,0,32.04
2010-05-14,0,34.58
2010-05-21,0,32.49
2010-05-28,0,34.36
2010-06-04,0,32.87
2010-06-11,0,33.48
2010-06-18,0,34.31
2010-06-25,0,33.38
2010-07-02,0,31.57
2010-07-09,0,33.05
2010-07-16,0,31.92
2010-07-23,0,34.36
2010-07-30,0,34.20
2010-08-06,0,33.98
2010-08-13,0,31.62
2010-08-20,0,31.11
2010-08-27,0,31.02
2010-09-03,0,31.82
2010-09-10,0,32.29
2010-09-17,0,32.83
2010-09-24,0,33.20
2010-10-01,0,33.57
2010-10-08,0,34.67
2010-10-15,0,34.70
2010-10-22,0,34.39
2010-10-29,0,32.73
2010-11-05,0,33.87
2010-11-12,0,32.82
2010-11-19,0,32.53
2010-11-26,0,33.11
2010-12-03,0,34.04
2010-12-10,0,35.50
2010-12-17,0,36.39
2010-12-24,0,
2010-12-31,0,36.51
2011-01-07,0,36.52
2011-01-14,0,36.98
2011-01-21,0,35.57
2011-01-28,0,35.77
2011-02-04,0,38.18
2011-02-11,0,38.14
2011-02-18,0,38.58
2011-02-25,0,37.21
2011-03-04,0,36.70
2011-03-11,0,36.16
2011-03-18,0,36.12
2011-03-25,0,37.29
2011-04-01,0,38.00
2011-04-08,0,38.89
2011-04-15,0,37.84
2011-04-22,0,
2011-04-29,0,40.16
2011-05-06,0,39.07
2011-05-13,0,39.41
2011-05-20,0,39.01
2011-05-27,0,39.85
2011-06-03,0,38.26
2011-06-10,0,37.00
2011-06-17,0,37.79
2011-06-24,0,38.74
2011-07-01,0,41.27
2011-07-08,0,42.06
2011-07-15,0,40.53
2011-07-22,0,40.48
2011-07-29,0,36.81
2011-08-05,0,33.53
2011-08-12,0,32.84
2011-08-19,0,30.26
2011-08-26,0,33.01
2011-09-02,0,32.15
2011-09-09,0,31.31
2011-09-16,0,33.97
2011-09-23,0,31.66
2011-09-30,0,32.01
2011-10-07,0,34.15
2011-10-14,0,36.34
2011-10-21,0,36.31
2011-10-28,64,36.83
2011-11-04,0,36.96
2011-11-11,0,37.76
2011-11-18,0,36.83
2011-11-25,0,34.57
2011-12-02,0,37.11
2011-12-09,0,36.74
2011-12-16,68,33.19
2011-12-23,68,33.51
2011-12-30,68,33.29
2012-01-06,68,35.25
2012-01-13,0,36.48
2012-01-20,0,37.22
2012-01-27,0,36.69
2012-02-03,0,38.26
2012-02-10,0,38.07
2012-02-17,0,39.13
2012-02-24,0,38.83
2012-03-02,0,38.36
2012-03-09,0,38.69
2012-03-16,0,39.83
2012-03-23,0,38.87
2012-03-30,0,47.61
2012-04-06,0,
2012-04-13,0,44.05
2012-04-20,0,44.80
2012-04-27,0,43.64
2012-05-04,0,42.67
2012-05-11,0,43.47
2012-05-18,0,40.53
2012-05-25,0,41.60
2012-06-01,0,39.85
2012-06-08,62,39.81
2012-06-15,70,38.98
2012-06-22,79,38.59
2012-06-29,0,38.28
2012-07-06,0,39.29
2012-07-13,0,38.85
2012-07-20,0,39.75
2012-07-27,0,44.75
2012-08-03,0,43.69
2012-08-10,0,42.87
2012-08-17,0,43.80
2012-08-24,0,43.17
2012-08-31,0,42.50
2012-09-07,0,43.30
2012-09-14,0,42.99
2012-09-21,0,44.04
2012-09-28,0,44.51
2012-10-05,0,45.46
2012-10-12,56,43.63
2012-10-19,72,42.58
2012-10-26,62,41.09
2012-11-02,64,45.75
2012-11-09,66,44.41
2012-11-16,56,44.84
2012-11-23,54,47.66
2012-11-30,54,48.49
2012-12-07,54,48.04
2012-12-14,54,47.96
2012-12-21,55,48.23
2012-12-28,56,47.51
2013-01-04,47,49.94
2013-01-11,47,50.39
2013-01-18,61,52.58
2013-01-25,75,53.25
2013-02-01,51,51.01
2013-02-08,51,51.05
2013-02-15,45,52.91
2013-02-22,45,51.56
2013-03-01,0,52.23
2013-03-08,0,51.69
2013-03-15,0,52.69
2013-03-22,0,53.39
2013-03-29,0,
2013-04-05,46,51.99
2013-04-12,45,53.35
2013-04-19,45,50.24
2013-04-26,45,53.80
2013-05-03,51,54.22
2013-05-10,57,55.75
2013-05-17,63,57.82
2013-05-24,50,57.47
2013-05-31,45,58.24
2013-06-07,52,59.05
2013-06-14,59,59.72
2013-06-21,54,56.87
2013-06-28,57,57.69
2013-07-05,60,58.78
2013-07-12,57,60.97
2013-07-19,57,60.74
2013-07-26,0,60.63
2013-08-02,0,62.53
2013-08-09,0,63.43
2013-08-16,0,62.11
2013-08-23,0,61.77
2013-08-30,0,60.11
2013-09-06,0,61.64
2013-09-13,0,64.09
2013-09-20,0,65.82
2013-09-27,48,65.52
2013-10-04,68,66.31
2013-10-11,56,66.39
2013-10-18,78,65.24
2013-10-25,60,66.67
2013-11-01,60,67.48
2013-11-08,67,67.36
2013-11-15,57,70.48
2013-11-22,57,70.37
2013-11-29,46,70.72
2013-12-06,53,70.95
2013-12-13,63,70.01
2013-12-20,56,75.40
2013-12-27,75,77.57
2014-01-03,72,76.63
2014-01-10,40,77.02
2014-01-17,40,77.60
2014-01-24,44,72.22
2014-01-31,40,74.33
2014-02-07,46,76.37
2014-02-14,51,78.38
2014-02-21,48,79.17
2014-02-28,53,80.81
2014-03-07,58,82.81
2014-03-14,63,77.43
2014-03-21,47,78.25
2014-03-28,47,77.66
2014-04-04,57,78.23
2014-04-11,66,77.05
2014-04-18,54,
2014-04-25,56,73.83
2014-05-02,100,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
