Date,buy RF,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,37.05
2004-02-13,0,37.03
2004-02-20,0,36.60
2004-02-27,0,36.90
2004-03-05,0,37.80
2004-03-12,0,36.90
2004-03-19,0,36.16
2004-03-26,0,35.94
2004-04-02,0,36.55
2004-04-09,0,
2004-04-16,0,34.96
2004-04-23,0,35.75
2004-04-30,0,34.71
2004-05-07,0,34.50
2004-05-14,0,35.02
2004-05-21,0,36.20
2004-05-28,0,38.02
2004-06-04,0,37.84
2004-06-11,0,
2004-06-18,0,36.47
2004-06-25,0,36.40
2004-07-02,0,30.55
2004-07-09,0,30.28
2004-07-16,0,30.02
2004-07-23,0,29.67
2004-07-30,0,29.69
2004-08-06,0,30.00
2004-08-13,0,30.66
2004-08-20,0,31.63
2004-08-27,0,31.68
2004-09-03,0,32.62
2004-09-10,0,33.03
2004-09-17,0,33.20
2004-09-24,0,32.69
2004-10-01,0,33.70
2004-10-08,0,33.36
2004-10-15,0,34.22
2004-10-22,0,34.03
2004-10-29,0,35.08
2004-11-05,0,35.50
2004-11-12,0,35.44
2004-11-19,0,34.84
2004-11-26,0,35.08
2004-12-03,0,35.49
2004-12-10,0,34.90
2004-12-17,0,35.31
2004-12-24,0,
2004-12-31,0,35.59
2005-01-07,0,34.98
2005-01-14,0,33.58
2005-01-21,0,32.87
2005-01-28,0,31.80
2005-02-04,0,32.30
2005-02-11,0,32.77
2005-02-18,0,32.65
2005-02-25,0,32.39
2005-03-04,0,33.70
2005-03-11,0,33.09
2005-03-18,0,32.87
2005-03-25,0,
2005-04-01,0,32.33
2005-04-08,0,32.56
2005-04-15,0,32.60
2005-04-22,0,32.48
2005-04-29,0,33.49
2005-05-06,0,33.35
2005-05-13,0,32.87
2005-05-20,0,33.89
2005-05-27,0,33.73
2005-06-03,0,33.60
2005-06-10,0,33.38
2005-06-17,0,33.96
2005-06-24,0,33.80
2005-07-01,0,34.11
2005-07-08,0,34.58
2005-07-15,0,34.79
2005-07-22,0,34.25
2005-07-29,0,33.64
2005-08-05,0,32.90
2005-08-12,0,33.16
2005-08-19,0,33.08
2005-08-26,0,32.17
2005-09-02,0,32.53
2005-09-09,0,32.56
2005-09-16,0,32.65
2005-09-23,0,31.76
2005-09-30,0,31.12
2005-10-07,0,30.30
2005-10-14,0,31.93
2005-10-21,0,31.82
2005-10-28,0,32.43
2005-11-04,0,32.89
2005-11-11,0,34.00
2005-11-18,0,33.96
2005-11-25,0,34.37
2005-12-02,0,34.27
2005-12-09,0,33.80
2005-12-16,0,34.94
2005-12-23,0,34.85
2005-12-30,0,34.16
2006-01-06,0,34.91
2006-01-13,0,34.71
2006-01-20,0,33.63
2006-01-27,0,34.10
2006-02-03,0,33.13
2006-02-10,0,33.82
2006-02-17,0,34.87
2006-02-24,67,35.08
2006-03-03,100,34.43
2006-03-10,0,34.90
2006-03-17,0,36.02
2006-03-24,0,35.88
2006-03-31,0,35.17
2006-04-07,0,34.86
2006-04-14,0,
2006-04-21,0,35.71
2006-04-28,0,36.51
2006-05-05,0,36.34
2006-05-12,0,35.68
2006-05-19,0,35.76
2006-05-26,0,34.38
2006-06-02,0,34.34
2006-06-09,0,34.10
2006-06-16,0,33.77
2006-06-23,0,32.89
2006-06-30,0,33.12
2006-07-07,0,33.28
2006-07-14,0,34.13
2006-07-21,0,35.82
2006-07-28,0,36.57
2006-08-04,50,37.04
2006-08-11,0,36.45
2006-08-18,0,36.72
2006-08-25,0,36.68
2006-09-01,0,36.13
2006-09-08,0,36.15
2006-09-15,0,36.99
2006-09-22,0,36.26
2006-09-29,0,36.79
2006-10-06,0,37.88
2006-10-13,0,38.87
2006-10-20,0,37.94
2006-10-27,0,37.94
2006-11-03,0,37.14
2006-11-10,0,37.29
2006-11-17,0,37.03
2006-11-24,0,36.79
2006-12-01,38,36.77
2006-12-08,35,36.71
2006-12-15,0,37.28
2006-12-22,0,37.23
2006-12-29,0,37.40
2007-01-05,0,37.19
2007-01-12,0,37.06
2007-01-19,0,36.47
2007-01-26,0,36.13
2007-02-02,0,36.45
2007-02-09,0,37.09
2007-02-16,0,37.41
2007-02-23,0,37.05
2007-03-02,0,35.35
2007-03-09,0,35.60
2007-03-16,0,34.55
2007-03-23,0,36.13
2007-03-30,0,35.37
2007-04-06,0,
2007-04-13,0,34.68
2007-04-20,0,35.53
2007-04-27,0,35.33
2007-05-04,0,35.87
2007-05-11,0,36.18
2007-05-18,0,36.49
2007-05-25,0,35.89
2007-06-01,0,35.91
2007-06-08,28,34.50
2007-06-15,29,34.50
2007-06-22,30,33.52
2007-06-29,28,33.10
2007-07-06,28,33.75
2007-07-13,28,34.05
2007-07-20,0,32.62
2007-07-27,0,30.28
2007-08-03,0,29.09
2007-08-10,0,30.69
2007-08-17,0,32.06
2007-08-24,0,32.68
2007-08-31,0,31.30
2007-09-07,30,30.42
2007-09-14,32,30.76
2007-09-21,34,30.51
2007-09-28,31,29.48
2007-10-05,23,31.01
2007-10-12,23,29.56
2007-10-19,23,26.40
2007-10-26,25,27.02
2007-11-02,26,25.24
2007-11-09,26,25.03
2007-11-16,26,24.32
2007-11-23,24,24.22
2007-11-30,24,26.43
2007-12-07,28,26.44
2007-12-14,26,24.00
2007-12-21,28,24.40
2007-12-28,46,23.59
2008-01-04,28,20.80
2008-01-11,44,20.47
2008-01-18,27,19.19
2008-01-25,21,22.79
2008-02-01,22,25.73
2008-02-08,24,23.21
2008-02-15,25,22.93
2008-02-22,29,23.11
2008-02-29,20,21.20
2008-03-07,20,20.36
2008-03-14,26,20.25
2008-03-21,23,
2008-03-28,22,19.65
2008-04-04,34,20.91
2008-04-11,29,19.77
2008-04-18,36,21.60
2008-04-25,19,22.22
2008-05-02,19,23.47
2008-05-09,19,21.17
2008-05-16,19,20.17
2008-05-23,19,18.66
2008-05-30,24,17.82
2008-06-06,29,15.45
2008-06-13,20,13.28
2008-06-20,20,11.22
2008-06-27,20,10.78
2008-07-04,21,
2008-07-11,28,8.54
2008-07-18,22,10.11
2008-07-25,20,9.08
2008-08-01,26,9.53
2008-08-08,28,9.64
2008-08-15,27,9.10
2008-08-22,27,8.48
2008-08-29,24,9.27
2008-09-05,24,11.09
2008-09-12,21,11.69
2008-09-19,27,19.80
2008-09-26,25,14.00
2008-10-03,25,13.52
2008-10-10,17,9.14
2008-10-17,24,10.77
2008-10-24,21,8.94
2008-10-31,21,11.09
2008-11-07,22,10.96
2008-11-14,17,9.67
2008-11-21,17,7.95
2008-11-28,17,10.19
2008-12-05,18,9.56
2008-12-12,22,8.86
2008-12-19,40,8.07
2008-12-26,24,8.24
2009-01-02,22,8.61
2009-01-09,22,7.17
2009-01-16,20,6.07
2009-01-23,20,4.66
2009-01-30,20,3.46
2009-02-06,26,4.20
2009-02-13,17,3.38
2009-02-20,21,2.84
2009-02-27,21,3.42
2009-03-06,21,2.94
2009-03-13,15,3.89
2009-03-20,15,4.02
2009-03-27,16,4.32
2009-04-03,17,4.56
2009-04-10,19,
2009-04-17,21,7.23
2009-04-24,15,5.56
2009-05-01,15,4.39
2009-05-08,23,6.53
2009-05-15,32,4.85
2009-05-22,24,4.04
2009-05-29,23,4.19
2009-06-05,23,4.00
2009-06-12,26,4.46
2009-06-19,23,4.13
2009-06-26,23,3.95
2009-07-03,19,
2009-07-10,16,3.90
2009-07-17,16,4.05
2009-07-24,16,3.69
2009-07-31,19,4.42
2009-08-07,20,4.93
2009-08-14,21,5.64
2009-08-21,25,5.86
2009-08-28,17,5.97
2009-09-04,18,5.53
2009-09-11,20,5.51
2009-09-18,13,6.13
2009-09-25,17,6.36
2009-10-02,23,5.79
2009-10-09,29,5.95
2009-10-16,22,5.83
2009-10-23,23,5.53
2009-10-30,24,4.84
2009-11-06,30,4.75
2009-11-13,16,4.83
2009-11-20,16,5.45
2009-11-27,20,5.58
2009-12-04,19,5.71
2009-12-11,27,5.58
2009-12-18,20,5.45
2009-12-25,32,
2010-01-01,39,
2010-01-08,28,6.18
2010-01-15,19,6.52
2010-01-22,28,6.60
2010-01-29,26,6.35
2010-02-05,16,6.18
2010-02-12,24,6.35
2010-02-19,13,6.57
2010-02-26,19,6.75
2010-03-05,15,6.84
2010-03-12,20,7.34
2010-03-19,18,7.38
2010-03-26,16,7.63
2010-04-02,15,
2010-04-09,23,8.59
2010-04-16,17,8.30
2010-04-23,19,8.95
2010-04-30,16,8.84
2010-05-07,18,7.99
2010-05-14,16,8.26
2010-05-21,16,7.47
2010-05-28,12,7.63
2010-06-04,19,7.13
2010-06-11,19,7.06
2010-06-18,13,7.15
2010-06-25,22,6.99
2010-07-02,16,6.24
2010-07-09,18,7.15
2010-07-16,22,6.55
2010-07-23,21,6.65
2010-07-30,11,7.33
2010-08-06,22,7.40
2010-08-13,11,7.15
2010-08-20,12,6.82
2010-08-27,30,6.60
2010-09-03,13,6.89
2010-09-10,20,6.89
2010-09-17,19,6.83
2010-09-24,18,6.95
2010-10-01,22,7.18
2010-10-08,21,7.42
2010-10-15,22,7.06
2010-10-22,13,7.14
2010-10-29,15,6.30
2010-11-05,16,6.45
2010-11-12,20,6.15
2010-11-19,22,5.50
2010-11-26,21,5.25
2010-12-03,22,6.08
2010-12-10,28,6.46
2010-12-17,19,6.24
2010-12-24,24,
2010-12-31,33,7.00
2011-01-07,22,7.02
2011-01-14,15,7.47
2011-01-21,24,7.40
2011-01-28,24,6.88
2011-02-04,11,7.84
2011-02-11,16,8.02
2011-02-18,11,7.79
2011-02-25,22,7.56
2011-03-04,12,7.48
2011-03-11,13,7.48
2011-03-18,13,7.10
2011-03-25,13,7.18
2011-04-01,28,7.29
2011-04-08,15,7.27
2011-04-15,12,7.17
2011-04-22,16,
2011-04-29,20,7.34
2011-05-06,10,7.09
2011-05-13,10,7.05
2011-05-20,12,6.95
2011-05-27,11,6.98
2011-06-03,17,6.36
2011-06-10,13,6.14
2011-06-17,18,6.27
2011-06-24,13,5.94
2011-07-01,18,6.30
2011-07-08,16,6.15
2011-07-15,11,5.99
2011-07-22,18,6.20
2011-07-29,15,6.09
2011-08-05,15,5.10
2011-08-12,12,4.30
2011-08-19,13,3.86
2011-08-26,14,4.12
2011-09-02,14,4.13
2011-09-09,14,3.97
2011-09-16,17,4.00
2011-09-23,18,3.43
2011-09-30,10,3.33
2011-10-07,13,3.40
2011-10-14,15,3.70
2011-10-21,14,3.78
2011-10-28,21,4.27
2011-11-04,20,4.02
2011-11-11,18,4.17
2011-11-18,15,4.10
2011-11-25,15,3.69
2011-12-02,19,4.22
2011-12-09,15,4.12
2011-12-16,13,3.99
2011-12-23,22,4.40
2011-12-30,22,4.30
2012-01-06,12,4.41
2012-01-13,16,4.79
2012-01-20,18,4.91
2012-01-27,16,5.31
2012-02-03,11,5.64
2012-02-10,11,5.67
2012-02-17,21,6.00
2012-02-24,17,5.80
2012-03-02,15,5.96
2012-03-09,15,5.80
2012-03-16,12,6.41
2012-03-23,11,6.43
2012-03-30,14,6.59
2012-04-06,13,
2012-04-13,12,6.11
2012-04-20,13,6.07
2012-04-27,16,6.88
2012-05-04,10,6.70
2012-05-11,15,6.66
2012-05-18,16,6.13
2012-05-25,15,6.32
2012-06-01,9,5.88
2012-06-08,16,6.15
2012-06-15,18,6.45
2012-06-22,13,6.67
2012-06-29,14,6.75
2012-07-06,12,6.68
2012-07-13,18,6.70
2012-07-20,17,6.41
2012-07-27,23,7.10
2012-08-03,15,6.93
2012-08-10,12,7.00
2012-08-17,19,7.16
2012-08-24,13,7.18
2012-08-31,17,6.96
2012-09-07,12,7.37
2012-09-14,17,7.62
2012-09-21,13,7.52
2012-09-28,13,7.20
2012-10-05,14,7.57
2012-10-12,16,7.28
2012-10-19,15,7.13
2012-10-26,14,6.58
2012-11-02,10,6.66
2012-11-09,12,6.45
2012-11-16,9,6.32
2012-11-23,21,6.69
2012-11-30,17,6.67
2012-12-07,13,6.64
2012-12-14,15,6.70
2012-12-21,17,7.11
2012-12-28,19,6.93
2013-01-04,18,7.59
2013-01-11,15,7.24
2013-01-18,14,7.43
2013-01-25,21,7.69
2013-02-01,15,7.88
2013-02-08,16,7.93
2013-02-15,10,7.85
2013-02-22,13,7.77
2013-03-01,16,7.71
2013-03-08,18,8.15
2013-03-15,17,8.36
2013-03-22,15,8.21
2013-03-29,17,
2013-04-05,12,7.99
2013-04-12,14,8.11
2013-04-19,12,7.83
2013-04-26,8,8.37
2013-05-03,11,8.58
2013-05-10,15,8.81
2013-05-17,9,9.05
2013-05-24,12,9.10
2013-05-31,10,9.13
2013-06-07,12,9.21
2013-06-14,13,8.98
2013-06-21,17,9.10
2013-06-28,13,9.53
2013-07-05,11,10.18
2013-07-12,12,10.00
2013-07-19,11,10.23
2013-07-26,15,10.23
2013-08-02,11,10.24
2013-08-09,12,9.92
2013-08-16,12,9.84
2013-08-23,14,9.94
2013-08-30,11,9.40
2013-09-06,13,9.55
2013-09-13,14,9.52
2013-09-20,10,9.29
2013-09-27,14,9.30
2013-10-04,11,9.43
2013-10-11,12,9.59
2013-10-18,15,10.11
2013-10-25,8,9.49
2013-11-01,11,9.55
2013-11-08,14,9.78
2013-11-15,11,9.85
2013-11-22,16,9.86
2013-11-29,18,9.73
2013-12-06,21,9.71
2013-12-13,17,9.53
2013-12-20,17,9.63
2013-12-27,14,9.83
2014-01-03,18,9.87
2014-01-10,8,10.48
2014-01-17,7,10.57
2014-01-24,14,10.55
2014-01-31,13,10.17
2014-02-07,15,10.23
2014-02-14,11,10.35
2014-02-21,10,10.24
2014-02-28,12,10.64
2014-03-07,16,11.05
2014-03-14,11,10.63
2014-03-21,14,11.09
2014-03-28,13,10.95
2014-04-04,10,10.97
2014-04-11,10,10.17
2014-04-18,14,
2014-04-25,12,10.15
2014-05-02,16,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
