Date,buy SO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,29.24
2004-02-13,0,29.50
2004-02-20,0,29.83
2004-02-27,0,30.32
2004-03-05,0,30.63
2004-03-12,0,30.15
2004-03-19,0,30.16
2004-03-26,0,30.39
2004-04-02,0,30.36
2004-04-09,0,
2004-04-16,0,29.55
2004-04-23,0,29.23
2004-04-30,64,28.76
2004-05-07,59,28.12
2004-05-14,50,28.25
2004-05-21,50,28.10
2004-05-28,50,28.92
2004-06-04,50,29.14
2004-06-11,51,
2004-06-18,53,28.96
2004-06-25,0,29.05
2004-07-02,0,29.03
2004-07-09,0,28.95
2004-07-16,0,29.50
2004-07-23,0,29.38
2004-07-30,0,29.28
2004-08-06,0,29.85
2004-08-13,0,29.83
2004-08-20,53,29.66
2004-08-27,46,30.01
2004-09-03,46,30.48
2004-09-10,46,30.35
2004-09-17,46,30.43
2004-09-24,46,29.85
2004-10-01,46,30.24
2004-10-08,48,30.61
2004-10-15,51,30.29
2004-10-22,53,31.60
2004-10-29,56,31.59
2004-11-05,52,32.43
2004-11-12,52,33.16
2004-11-19,52,32.80
2004-11-26,52,33.80
2004-12-03,38,32.61
2004-12-10,38,32.70
2004-12-17,39,33.00
2004-12-24,46,
2004-12-31,53,33.52
2005-01-07,61,32.78
2005-01-14,43,32.94
2005-01-21,38,32.89
2005-01-28,38,33.50
2005-02-04,55,33.76
2005-02-11,46,33.18
2005-02-18,41,32.47
2005-02-25,50,32.47
2005-03-04,48,32.60
2005-03-11,33,31.80
2005-03-18,36,32.09
2005-03-25,40,
2005-04-01,44,31.95
2005-04-08,48,31.95
2005-04-15,39,31.95
2005-04-22,39,33.00
2005-04-29,41,32.95
2005-05-06,46,33.20
2005-05-13,34,33.68
2005-05-20,34,34.32
2005-05-27,39,34.14
2005-06-03,44,34.43
2005-06-10,31,34.45
2005-06-17,44,34.26
2005-06-24,45,34.22
2005-07-01,35,35.08
2005-07-08,32,35.61
2005-07-15,32,35.57
2005-07-22,35,35.34
2005-07-29,44,34.99
2005-08-05,48,34.22
2005-08-12,53,34.19
2005-08-19,34,33.69
2005-08-26,35,33.92
2005-09-02,32,35.07
2005-09-09,35,35.49
2005-09-16,44,36.16
2005-09-23,42,35.74
2005-09-30,34,35.76
2005-10-07,40,34.90
2005-10-14,37,33.30
2005-10-21,39,33.84
2005-10-28,41,34.36
2005-11-04,47,34.51
2005-11-11,53,34.45
2005-11-18,52,34.79
2005-11-25,41,34.92
2005-12-02,29,35.04
2005-12-09,42,35.21
2005-12-16,68,35.38
2005-12-23,51,35.14
2005-12-30,58,34.53
2006-01-06,33,35.10
2006-01-13,26,34.92
2006-01-20,40,35.05
2006-01-27,32,35.27
2006-02-03,35,33.42
2006-02-10,39,33.43
2006-02-17,25,33.86
2006-02-24,32,34.13
2006-03-03,34,33.82
2006-03-10,35,33.27
2006-03-17,37,33.80
2006-03-24,28,33.07
2006-03-31,24,32.77
2006-04-07,31,31.96
2006-04-14,31,
2006-04-21,36,31.99
2006-04-28,32,32.23
2006-05-05,32,32.02
2006-05-12,40,31.14
2006-05-19,42,31.19
2006-05-26,24,32.34
2006-06-02,33,32.62
2006-06-09,27,32.63
2006-06-16,33,32.51
2006-06-23,47,32.04
2006-06-30,33,32.05
2006-07-07,32,32.61
2006-07-14,25,32.52
2006-07-21,35,33.53
2006-07-28,41,33.83
2006-08-04,51,33.75
2006-08-11,40,33.40
2006-08-18,38,33.69
2006-08-25,36,33.54
2006-09-01,35,34.22
2006-09-08,41,34.05
2006-09-15,22,34.57
2006-09-22,42,34.27
2006-09-29,42,34.46
2006-10-06,25,34.77
2006-10-13,35,35.09
2006-10-20,40,35.78
2006-10-27,30,36.03
2006-11-03,33,35.77
2006-11-10,36,36.07
2006-11-17,29,36.18
2006-11-24,38,36.14
2006-12-01,37,36.34
2006-12-08,44,36.46
2006-12-15,32,36.97
2006-12-22,36,36.88
2006-12-29,30,36.86
2007-01-05,26,36.44
2007-01-12,32,36.25
2007-01-19,36,36.73
2007-01-26,17,36.39
2007-02-02,33,36.30
2007-02-09,36,36.39
2007-02-16,43,36.42
2007-02-23,33,36.21
2007-03-02,52,35.40
2007-03-09,37,35.25
2007-03-16,26,35.39
2007-03-23,49,36.85
2007-03-30,47,36.65
2007-04-06,46,
2007-04-13,43,37.45
2007-04-20,47,38.18
2007-04-27,38,38.17
2007-05-04,53,37.61
2007-05-11,69,36.98
2007-05-18,53,37.33
2007-05-25,53,35.47
2007-06-01,60,35.87
2007-06-08,65,34.60
2007-06-15,52,35.61
2007-06-22,47,33.95
2007-06-29,53,34.29
2007-07-06,67,34.08
2007-07-13,52,34.87
2007-07-20,46,34.26
2007-07-27,64,33.79
2007-08-03,54,33.62
2007-08-10,53,36.66
2007-08-17,41,36.00
2007-08-24,53,36.12
2007-08-31,48,35.49
2007-09-07,24,35.34
2007-09-14,36,36.40
2007-09-21,32,37.04
2007-09-28,43,36.28
2007-10-05,39,36.73
2007-10-12,48,36.65
2007-10-19,44,35.40
2007-10-26,35,36.20
2007-11-02,47,35.72
2007-11-09,48,35.85
2007-11-16,53,37.02
2007-11-23,46,38.04
2007-11-30,48,37.62
2007-12-07,48,38.90
2007-12-14,48,38.49
2007-12-21,37,39.20
2007-12-28,45,39.15
2008-01-04,51,38.71
2008-01-11,51,39.76
2008-01-18,43,37.74
2008-01-25,42,36.09
2008-02-01,52,37.30
2008-02-08,41,35.75
2008-02-15,38,35.78
2008-02-22,42,35.52
2008-02-29,39,34.53
2008-03-07,40,34.29
2008-03-14,39,34.45
2008-03-21,49,
2008-03-28,50,35.37
2008-04-04,48,36.51
2008-04-11,50,36.30
2008-04-18,39,36.95
2008-04-25,44,37.10
2008-05-02,44,37.11
2008-05-09,44,36.29
2008-05-16,41,36.74
2008-05-23,50,36.00
2008-05-30,56,36.20
2008-06-06,51,34.92
2008-06-13,52,35.09
2008-06-20,60,34.49
2008-06-27,50,34.43
2008-07-04,43,
2008-07-11,50,35.99
2008-07-18,62,34.84
2008-07-25,50,35.13
2008-08-01,55,34.59
2008-08-08,69,36.57
2008-08-15,50,37.44
2008-08-22,48,37.79
2008-08-29,46,37.51
2008-09-05,51,37.10
2008-09-12,52,38.14
2008-09-19,43,38.40
2008-09-26,32,38.62
2008-10-03,65,37.15
2008-10-10,53,32.26
2008-10-17,59,33.49
2008-10-24,46,34.61
2008-10-31,45,34.34
2008-11-07,75,34.83
2008-11-14,47,35.21
2008-11-21,50,35.59
2008-11-28,70,36.32
2008-12-05,50,36.89
2008-12-12,66,36.34
2008-12-19,59,35.84
2008-12-26,59,35.97
2009-01-02,58,37.47
2009-01-09,54,35.53
2009-01-16,45,35.03
2009-01-23,45,34.65
2009-01-30,55,33.45
2009-02-06,52,33.59
2009-02-13,53,31.39
2009-02-20,57,30.17
2009-02-27,67,30.31
2009-03-06,49,28.05
2009-03-13,57,27.14
2009-03-20,52,30.58
2009-03-27,43,30.57
2009-04-03,46,31.08
2009-04-10,61,
2009-04-17,46,29.64
2009-04-24,52,29.46
2009-05-01,65,28.82
2009-05-08,67,28.76
2009-05-15,54,28.12
2009-05-22,58,27.70
2009-05-29,63,28.41
2009-06-05,87,28.91
2009-06-12,68,30.55
2009-06-19,64,30.61
2009-06-26,58,31.90
2009-07-03,49,
2009-07-10,61,30.70
2009-07-17,66,31.48
2009-07-24,68,32.63
2009-07-31,60,31.40
2009-08-07,64,31.51
2009-08-14,65,31.47
2009-08-21,53,31.51
2009-08-28,63,31.58
2009-09-04,61,31.42
2009-09-11,58,31.03
2009-09-18,53,32.03
2009-09-25,60,31.90
2009-10-02,56,31.73
2009-10-09,57,31.84
2009-10-16,60,32.50
2009-10-23,65,32.67
2009-10-30,56,31.19
2009-11-06,68,31.59
2009-11-13,59,31.58
2009-11-20,72,31.40
2009-11-27,58,31.61
2009-12-04,61,32.83
2009-12-11,67,34.22
2009-12-18,62,33.79
2009-12-25,69,
2010-01-01,61,
2010-01-08,65,32.83
2010-01-15,70,33.34
2010-01-22,63,32.54
2010-01-29,66,32.00
2010-02-05,49,31.70
2010-02-12,58,31.17
2010-02-19,63,32.29
2010-02-26,59,31.77
2010-03-05,72,32.22
2010-03-12,55,32.48
2010-03-19,56,33.18
2010-03-26,73,33.10
2010-04-02,70,
2010-04-09,71,33.93
2010-04-16,59,33.87
2010-04-23,70,34.73
2010-04-30,71,34.56
2010-05-07,72,33.92
2010-05-14,68,34.47
2010-05-21,64,33.62
2010-05-28,67,32.70
2010-06-04,80,32.13
2010-06-11,84,33.03
2010-06-18,73,34.11
2010-06-25,71,33.28
2010-07-02,80,33.38
2010-07-09,72,34.71
2010-07-16,71,34.78
2010-07-23,78,35.89
2010-07-30,69,35.33
2010-08-06,80,35.88
2010-08-13,80,35.84
2010-08-20,75,35.78
2010-08-27,65,36.97
2010-09-03,74,36.99
2010-09-10,62,37.11
2010-09-17,66,37.06
2010-09-24,63,37.49
2010-10-01,71,37.14
2010-10-08,73,37.71
2010-10-15,59,37.68
2010-10-22,67,38.32
2010-10-29,63,37.87
2010-11-05,66,38.47
2010-11-12,79,38.09
2010-11-19,69,38.07
2010-11-26,71,37.83
2010-12-03,71,38.12
2010-12-10,75,37.82
2010-12-17,83,37.90
2010-12-24,76,
2010-12-31,78,38.23
2011-01-07,87,38.08
2011-01-14,70,38.50
2011-01-21,74,38.25
2011-01-28,76,37.77
2011-02-04,72,37.34
2011-02-11,74,38.03
2011-02-18,76,37.87
2011-02-25,69,38.06
2011-03-04,81,37.97
2011-03-11,73,38.28
2011-03-18,64,37.00
2011-03-25,76,37.58
2011-04-01,83,38.31
2011-04-08,76,38.40
2011-04-15,79,38.33
2011-04-22,73,
2011-04-29,95,39.04
2011-05-06,78,39.50
2011-05-13,74,40.49
2011-05-20,78,40.47
2011-05-27,73,39.80
2011-06-03,71,39.37
2011-06-10,80,39.33
2011-06-17,82,39.81
2011-06-24,86,39.43
2011-07-01,90,40.72
2011-07-08,88,40.31
2011-07-15,81,40.22
2011-07-22,86,40.58
2011-07-29,89,39.54
2011-08-05,79,39.87
2011-08-12,83,39.21
2011-08-19,82,39.97
2011-08-26,78,40.83
2011-09-02,81,41.16
2011-09-09,79,40.74
2011-09-16,84,42.59
2011-09-23,74,42.42
2011-09-30,72,42.37
2011-10-07,69,42.37
2011-10-14,84,42.67
2011-10-21,76,43.94
2011-10-28,82,43.31
2011-11-04,85,43.20
2011-11-11,85,43.94
2011-11-18,87,43.20
2011-11-25,93,42.47
2011-12-02,90,43.76
2011-12-09,100,44.56
2011-12-16,88,44.55
2011-12-23,86,45.90
2011-12-30,89,46.29
2012-01-06,85,44.48
2012-01-13,84,45.27
2012-01-20,74,45.30
2012-01-27,75,45.02
2012-02-03,79,44.30
2012-02-10,84,44.61
2012-02-17,77,44.38
2012-02-24,91,44.54
2012-03-02,89,44.27
2012-03-09,78,45.11
2012-03-16,86,44.34
2012-03-23,78,44.12
2012-03-30,75,44.93
2012-04-06,81,
2012-04-13,74,44.74
2012-04-20,79,45.83
2012-04-27,80,45.99
2012-05-04,87,45.36
2012-05-11,84,45.54
2012-05-18,82,45.48
2012-05-25,94,45.69
2012-06-01,93,45.95
2012-06-08,81,47.38
2012-06-15,76,48.00
2012-06-22,94,46.55
2012-06-29,88,46.30
2012-07-06,90,46.54
2012-07-13,95,47.61
2012-07-20,91,47.77
2012-07-27,82,48.42
2012-08-03,90,47.35
2012-08-10,88,46.92
2012-08-17,86,46.08
2012-08-24,91,45.88
2012-08-31,91,45.33
2012-09-07,94,45.91
2012-09-14,90,45.05
2012-09-21,84,45.26
2012-09-28,93,46.09
2012-10-05,84,45.97
2012-10-12,73,45.61
2012-10-19,82,46.64
2012-10-26,76,46.33
2012-11-02,78,45.77
2012-11-09,87,43.03
2012-11-16,84,42.69
2012-11-23,94,42.03
2012-11-30,95,43.55
2012-12-07,89,43.73
2012-12-14,93,42.95
2012-12-21,88,43.32
2012-12-28,94,42.33
2013-01-04,100,44.16
2013-01-11,83,43.16
2013-01-18,82,43.49
2013-01-25,83,44.45
2013-02-01,90,44.01
2013-02-08,80,43.85
2013-02-15,83,44.11
2013-02-22,85,44.74
2013-03-01,81,44.83
2013-03-08,82,45.32
2013-03-15,89,45.52
2013-03-22,88,45.66
2013-03-29,87,
2013-04-05,81,47.19
2013-04-12,82,47.88
2013-04-19,79,48.51
2013-04-26,94,47.95
2013-05-03,92,47.26
2013-05-10,85,46.10
2013-05-17,87,46.60
2013-05-24,82,45.20
2013-05-31,75,43.90
2013-06-07,83,44.44
2013-06-14,80,44.49
2013-06-21,84,43.10
2013-06-28,87,44.13
2013-07-05,82,43.14
2013-07-12,88,44.99
2013-07-19,85,45.56
2013-07-26,86,45.34
2013-08-02,91,44.34
2013-08-09,94,43.87
2013-08-16,94,42.39
2013-08-23,87,42.23
2013-08-30,78,41.62
2013-09-06,79,41.12
2013-09-13,75,40.96
2013-09-20,79,41.78
2013-09-27,79,41.23
2013-10-04,84,40.66
2013-10-11,79,41.69
2013-10-18,74,41.94
2013-10-25,74,42.46
2013-11-01,76,41.02
2013-11-08,82,41.21
2013-11-15,80,42.42
2013-11-22,87,41.23
2013-11-29,84,40.63
2013-12-06,95,41.43
2013-12-13,89,40.12
2013-12-20,85,41.06
2013-12-27,98,40.86
2014-01-03,94,40.47
2014-01-10,86,41.39
2014-01-17,80,41.16
2014-01-24,80,41.22
2014-01-31,76,41.24
2014-02-07,75,41.10
2014-02-14,79,42.52
2014-02-21,80,42.35
2014-02-28,82,42.35
2014-03-07,83,42.10
2014-03-14,88,43.49
2014-03-21,78,42.92
2014-03-28,82,43.37
2014-04-04,85,43.70
2014-04-11,86,44.57
2014-04-18,78,
2014-04-25,79,46.26
2014-05-02,81,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
