Date,buy TEL,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,
2005-08-19,0,
2005-08-26,0,
2005-09-02,0,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,0,
2005-10-21,0,
2005-10-28,0,
2005-11-04,0,
2005-11-11,0,
2005-11-18,0,
2005-11-25,0,
2005-12-02,0,
2005-12-09,0,
2005-12-16,0,
2005-12-23,0,
2005-12-30,0,
2006-01-06,0,
2006-01-13,0,
2006-01-20,0,
2006-01-27,0,
2006-02-03,0,
2006-02-10,0,
2006-02-17,0,
2006-02-24,0,
2006-03-03,0,
2006-03-10,0,
2006-03-17,0,
2006-03-24,0,
2006-03-31,0,
2006-04-07,0,
2006-04-14,0,
2006-04-21,0,
2006-04-28,0,
2006-05-05,0,
2006-05-12,0,
2006-05-19,0,
2006-05-26,0,
2006-06-02,0,
2006-06-09,0,
2006-06-16,0,
2006-06-23,0,
2006-06-30,0,
2006-07-07,0,
2006-07-14,0,
2006-07-21,0,
2006-07-28,0,
2006-08-04,0,
2006-08-11,0,
2006-08-18,0,
2006-08-25,0,
2006-09-01,0,
2006-09-08,0,
2006-09-15,0,
2006-09-22,0,
2006-09-29,0,
2006-10-06,0,
2006-10-13,0,
2006-10-20,0,
2006-10-27,0,
2006-11-03,0,
2006-11-10,0,
2006-11-17,0,
2006-11-24,0,
2006-12-01,0,
2006-12-08,0,
2006-12-15,0,
2006-12-22,0,
2006-12-29,0,
2007-01-05,0,
2007-01-12,0,
2007-01-19,0,
2007-01-26,0,
2007-02-02,0,
2007-02-09,0,
2007-02-16,0,
2007-02-23,0,
2007-03-02,0,
2007-03-09,0,
2007-03-16,0,
2007-03-23,0,
2007-03-30,0,
2007-04-06,0,
2007-04-13,0,
2007-04-20,0,
2007-04-27,0,
2007-05-04,0,
2007-05-11,0,
2007-05-18,0,
2007-05-25,0,
2007-06-01,0,
2007-06-08,0,
2007-06-15,0,38.80
2007-06-22,0,38.95
2007-06-29,0,39.06
2007-07-06,0,39.82
2007-07-13,0,39.47
2007-07-20,0,38.03
2007-07-27,0,36.95
2007-08-03,0,35.09
2007-08-10,0,32.81
2007-08-17,100,35.10
2007-08-24,0,36.27
2007-08-31,0,34.87
2007-09-07,0,33.50
2007-09-14,0,33.06
2007-09-21,0,33.45
2007-09-28,0,35.43
2007-10-05,88,36.05
2007-10-12,85,37.00
2007-10-19,85,36.24
2007-10-26,78,33.70
2007-11-02,78,35.37
2007-11-09,0,32.57
2007-11-16,0,35.02
2007-11-23,0,35.43
2007-11-30,0,37.39
2007-12-07,0,37.42
2007-12-14,0,36.54
2007-12-21,0,37.28
2007-12-28,0,37.80
2008-01-04,0,35.52
2008-01-11,0,33.42
2008-01-18,0,32.26
2008-01-25,0,33.23
2008-02-01,0,33.89
2008-02-08,70,34.60
2008-02-15,0,35.08
2008-02-22,0,34.53
2008-02-29,0,32.90
2008-03-07,0,32.43
2008-03-14,0,31.73
2008-03-21,0,
2008-03-28,0,33.83
2008-04-04,0,35.84
2008-04-11,0,34.14
2008-04-18,0,36.87
2008-04-25,0,37.61
2008-05-02,0,39.81
2008-05-09,0,38.15
2008-05-16,0,39.17
2008-05-23,0,38.13
2008-05-30,0,40.12
2008-06-06,75,38.29
2008-06-13,0,38.55
2008-06-20,0,36.81
2008-06-27,0,36.03
2008-07-04,0,
2008-07-11,0,34.91
2008-07-18,0,36.38
2008-07-25,0,36.38
2008-08-01,0,32.74
2008-08-08,0,34.30
2008-08-15,0,34.38
2008-08-22,0,32.90
2008-08-29,0,32.91
2008-09-05,0,30.50
2008-09-12,0,29.89
2008-09-19,0,30.15
2008-09-26,76,27.39
2008-10-03,56,25.65
2008-10-10,56,20.37
2008-10-17,56,20.14
2008-10-24,56,17.69
2008-10-31,57,19.44
2008-11-07,57,17.68
2008-11-14,54,14.50
2008-11-21,57,14.60
2008-11-28,60,16.48
2008-12-05,81,17.27
2008-12-12,65,16.06
2008-12-19,65,15.72
2008-12-26,67,15.23
2009-01-02,52,17.23
2009-01-09,52,16.92
2009-01-16,52,15.82
2009-01-23,51,15.64
2009-01-30,51,14.16
2009-02-06,50,14.77
2009-02-13,50,13.85
2009-02-20,50,11.01
2009-02-27,52,9.48
2009-03-06,54,7.88
2009-03-13,49,9.51
2009-03-20,49,10.35
2009-03-27,53,11.98
2009-04-03,54,12.82
2009-04-10,83,
2009-04-17,78,16.23
2009-04-24,78,17.05
2009-05-01,78,17.74
2009-05-08,78,17.95
2009-05-15,67,16.80
2009-05-22,66,16.86
2009-05-29,66,17.37
2009-06-05,66,19.86
2009-06-12,66,19.87
2009-06-19,57,20.22
2009-06-26,57,18.35
2009-07-03,57,
2009-07-10,48,16.68
2009-07-17,48,18.77
2009-07-24,68,20.50
2009-07-31,49,21.47
2009-08-07,49,22.26
2009-08-14,53,22.74
2009-08-21,48,23.55
2009-08-28,55,23.42
2009-09-04,63,22.93
2009-09-11,48,23.79
2009-09-18,48,23.80
2009-09-25,48,22.56
2009-10-02,52,21.12
2009-10-09,56,22.61
2009-10-16,46,23.64
2009-10-23,46,23.26
2009-10-30,50,21.25
2009-11-06,50,22.77
2009-11-13,61,24.12
2009-11-20,73,23.84
2009-11-27,46,23.46
2009-12-04,44,23.80
2009-12-11,51,23.92
2009-12-18,57,23.26
2009-12-25,86,
2010-01-01,72,
2010-01-08,44,25.00
2010-01-15,41,25.24
2010-01-22,41,24.98
2010-01-29,41,24.88
2010-02-05,60,24.60
2010-02-12,47,25.30
2010-02-19,47,26.40
2010-02-26,47,25.63
2010-03-05,78,25.79
2010-03-12,59,26.64
2010-03-19,59,27.50
2010-03-26,59,27.68
2010-04-02,61,
2010-04-09,62,29.05
2010-04-16,55,28.49
2010-04-23,55,29.57
2010-04-30,49,32.12
2010-05-07,60,27.98
2010-05-14,76,28.99
2010-05-21,76,27.93
2010-05-28,69,28.82
2010-06-04,50,28.13
2010-06-11,42,28.83
2010-06-18,42,28.82
2010-06-25,58,27.55
2010-07-02,76,24.58
2010-07-09,66,25.08
2010-07-16,76,25.37
2010-07-23,66,26.04
2010-07-30,68,27.00
2010-08-06,55,28.07
2010-08-13,65,26.73
2010-08-20,87,26.23
2010-08-27,84,24.94
2010-09-03,34,26.46
2010-09-10,55,26.35
2010-09-17,50,27.34
2010-09-24,43,29.26
2010-10-01,77,29.83
2010-10-08,39,29.95
2010-10-15,55,30.79
2010-10-22,60,31.40
2010-10-29,59,31.68
2010-11-05,38,33.10
2010-11-12,40,31.87
2010-11-19,59,31.97
2010-11-26,37,31.37
2010-12-03,57,33.05
2010-12-10,70,33.55
2010-12-17,71,35.34
2010-12-24,58,
2010-12-31,90,35.40
2011-01-07,61,35.23
2011-01-14,52,36.58
2011-01-21,49,36.45
2011-01-28,46,35.51
2011-02-04,41,36.89
2011-02-11,45,38.51
2011-02-18,53,37.72
2011-02-25,80,35.69
2011-03-04,80,36.78
2011-03-11,33,34.65
2011-03-18,70,33.19
2011-03-25,47,34.13
2011-04-01,48,35.02
2011-04-08,39,33.92
2011-04-15,70,35.61
2011-04-22,59,
2011-04-29,49,35.85
2011-05-06,42,37.03
2011-05-13,47,36.69
2011-05-20,42,37.09
2011-05-27,53,36.56
2011-06-03,43,36.11
2011-06-10,49,35.00
2011-06-17,44,33.83
2011-06-24,39,34.67
2011-07-01,44,37.90
2011-07-08,34,37.73
2011-07-15,51,35.20
2011-07-22,47,36.41
2011-07-29,44,34.43
2011-08-05,58,30.49
2011-08-12,33,30.67
2011-08-19,36,28.09
2011-08-26,53,29.66
2011-09-02,37,29.31
2011-09-09,33,28.09
2011-09-16,38,29.48
2011-09-23,40,27.93
2011-09-30,75,28.14
2011-10-07,64,29.50
2011-10-14,43,34.25
2011-10-21,47,33.87
2011-10-28,52,36.34
2011-11-04,53,35.11
2011-11-11,49,34.64
2011-11-18,53,32.90
2011-11-25,29,30.11
2011-12-02,66,31.42
2011-12-09,26,33.02
2011-12-16,30,30.45
2011-12-23,57,31.29
2011-12-30,65,30.81
2012-01-06,64,32.36
2012-01-13,47,34.45
2012-01-20,47,36.03
2012-01-27,47,34.30
2012-02-03,48,35.27
2012-02-10,44,35.11
2012-02-17,46,36.01
2012-02-24,59,35.97
2012-03-02,46,36.65
2012-03-09,52,36.05
2012-03-16,48,37.23
2012-03-23,57,36.38
2012-03-30,44,36.75
2012-04-06,57,
2012-04-13,36,34.76
2012-04-20,43,35.06
2012-04-27,37,36.64
2012-05-04,47,34.41
2012-05-11,65,33.27
2012-05-18,47,30.67
2012-05-25,55,31.61
2012-06-01,55,30.51
2012-06-08,41,32.48
2012-06-15,57,32.55
2012-06-22,32,32.29
2012-06-29,34,31.91
2012-07-06,46,31.38
2012-07-13,58,31.58
2012-07-20,37,31.79
2012-07-27,39,33.05
2012-08-03,37,32.98
2012-08-10,44,35.25
2012-08-17,53,35.70
2012-08-24,45,35.03
2012-08-31,64,35.17
2012-09-07,57,36.16
2012-09-14,54,37.11
2012-09-21,46,35.74
2012-09-28,51,34.01
2012-10-05,47,34.20
2012-10-12,48,32.75
2012-10-19,35,32.94
2012-10-26,49,32.22
2012-11-02,41,32.37
2012-11-09,58,34.09
2012-11-16,58,34.09
2012-11-23,59,35.50
2012-11-30,45,35.19
2012-12-07,49,35.89
2012-12-14,51,36.15
2012-12-21,52,37.43
2012-12-28,45,36.34
2013-01-04,67,37.64
2013-01-11,33,37.90
2013-01-18,46,38.72
2013-01-25,47,39.47
2013-02-01,54,39.37
2013-02-08,31,40.52
2013-02-15,40,41.03
2013-02-22,54,41.01
2013-03-01,45,40.23
2013-03-08,51,42.22
2013-03-15,52,41.83
2013-03-22,46,41.82
2013-03-29,52,
2013-04-05,51,41.14
2013-04-12,56,41.61
2013-04-19,40,39.38
2013-04-26,29,42.43
2013-05-03,51,44.44
2013-05-10,30,44.49
2013-05-17,41,45.99
2013-05-24,45,45.28
2013-05-31,45,44.39
2013-06-07,31,45.53
2013-06-14,54,45.42
2013-06-21,54,45.61
2013-06-28,50,45.54
2013-07-05,46,46.70
2013-07-12,60,47.46
2013-07-19,69,47.77
2013-07-26,52,50.52
2013-08-02,42,51.51
2013-08-09,39,50.64
2013-08-16,41,49.40
2013-08-23,46,50.08
2013-08-30,64,49.00
2013-09-06,45,50.22
2013-09-13,38,53.44
2013-09-20,33,53.10
2013-09-27,42,51.96
2013-10-04,43,52.12
2013-10-11,48,51.98
2013-10-18,50,53.57
2013-10-25,53,53.60
2013-11-01,59,51.21
2013-11-08,59,52.22
2013-11-15,60,52.39
2013-11-22,49,52.99
2013-11-29,56,52.72
2013-12-06,48,53.62
2013-12-13,63,51.98
2013-12-20,35,53.74
2013-12-27,62,54.53
2014-01-03,57,54.49
2014-01-10,55,55.44
2014-01-17,35,55.94
2014-01-24,49,57.32
2014-01-31,53,56.51
2014-02-07,44,56.61
2014-02-14,39,57.24
2014-02-21,39,57.47
2014-02-28,57,58.58
2014-03-07,40,59.11
2014-03-14,43,57.00
2014-03-21,52,60.16
2014-03-28,47,59.51
2014-04-04,53,59.98
2014-04-11,53,58.85
2014-04-18,46,
2014-04-25,48,59.24
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
