Date,buy TSN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,17.03
2004-02-13,0,16.38
2004-02-20,0,15.86
2004-02-27,0,15.88
2004-03-05,0,16.99
2004-03-12,0,17.19
2004-03-19,0,17.99
2004-03-26,0,18.07
2004-04-02,0,18.16
2004-04-09,0,
2004-04-16,0,18.86
2004-04-23,0,19.10
2004-04-30,0,18.74
2004-05-07,0,19.67
2004-05-14,0,19.58
2004-05-21,0,19.03
2004-05-28,0,20.52
2004-06-04,0,20.35
2004-06-11,0,
2004-06-18,0,19.82
2004-06-25,0,20.65
2004-07-02,0,20.99
2004-07-09,0,20.86
2004-07-16,0,20.64
2004-07-23,0,19.95
2004-07-30,0,19.06
2004-08-06,0,18.40
2004-08-13,0,18.59
2004-08-20,0,19.32
2004-08-27,0,17.77
2004-09-03,0,16.76
2004-09-10,0,16.78
2004-09-17,0,16.64
2004-09-24,0,16.05
2004-10-01,0,16.45
2004-10-08,0,15.90
2004-10-15,0,15.23
2004-10-22,0,14.61
2004-10-29,0,14.50
2004-11-05,0,15.59
2004-11-12,0,16.88
2004-11-19,0,16.25
2004-11-26,0,16.68
2004-12-03,0,17.03
2004-12-10,0,16.78
2004-12-17,0,17.40
2004-12-24,0,
2004-12-31,0,18.40
2005-01-07,0,17.67
2005-01-14,0,17.44
2005-01-21,0,17.54
2005-01-28,0,17.75
2005-02-04,0,17.07
2005-02-11,0,16.67
2005-02-18,0,17.04
2005-02-25,0,17.33
2005-03-04,0,17.27
2005-03-11,0,17.47
2005-03-18,0,17.08
2005-03-25,0,
2005-04-01,0,16.53
2005-04-08,0,16.77
2005-04-15,0,16.77
2005-04-22,0,16.05
2005-04-29,0,16.89
2005-05-06,0,18.16
2005-05-13,0,18.59
2005-05-20,0,19.08
2005-05-27,0,18.83
2005-06-03,0,18.50
2005-06-10,0,18.37
2005-06-17,0,18.65
2005-06-24,0,18.00
2005-07-01,0,17.80
2005-07-08,0,18.26
2005-07-15,0,19.47
2005-07-22,0,18.90
2005-07-29,0,18.64
2005-08-05,0,17.86
2005-08-12,0,17.61
2005-08-19,0,17.64
2005-08-26,0,17.60
2005-09-02,0,17.89
2005-09-09,0,18.03
2005-09-16,0,18.00
2005-09-23,0,17.68
2005-09-30,0,18.05
2005-10-07,0,18.10
2005-10-14,0,17.88
2005-10-21,0,17.72
2005-10-28,0,17.50
2005-11-04,0,18.52
2005-11-11,0,18.50
2005-11-18,0,16.74
2005-11-25,0,16.78
2005-12-02,0,16.87
2005-12-09,0,16.49
2005-12-16,0,16.86
2005-12-23,0,17.24
2005-12-30,0,17.10
2006-01-06,0,16.81
2006-01-13,0,16.55
2006-01-20,0,16.25
2006-01-27,0,15.37
2006-02-03,0,14.30
2006-02-10,0,14.54
2006-02-17,0,14.66
2006-02-24,0,14.11
2006-03-03,0,13.34
2006-03-10,0,13.65
2006-03-17,0,13.36
2006-03-24,0,13.78
2006-03-31,0,13.74
2006-04-07,0,13.26
2006-04-14,0,
2006-04-21,0,14.05
2006-04-28,0,14.60
2006-05-05,0,14.98
2006-05-12,0,15.37
2006-05-19,0,16.49
2006-05-26,0,16.36
2006-06-02,0,15.91
2006-06-09,0,15.34
2006-06-16,0,14.51
2006-06-23,0,15.01
2006-06-30,0,14.86
2006-07-07,0,14.45
2006-07-14,0,14.37
2006-07-21,0,14.26
2006-07-28,0,14.57
2006-08-04,0,13.48
2006-08-11,0,13.45
2006-08-18,0,14.26
2006-08-25,0,14.47
2006-09-01,0,14.71
2006-09-08,0,15.20
2006-09-15,0,15.95
2006-09-22,0,15.95
2006-09-29,0,15.88
2006-10-06,0,15.20
2006-10-13,0,15.10
2006-10-20,0,14.55
2006-10-27,0,14.33
2006-11-03,0,14.20
2006-11-10,0,14.35
2006-11-17,0,15.37
2006-11-24,0,15.61
2006-12-01,0,15.80
2006-12-08,0,16.64
2006-12-15,0,16.70
2006-12-22,0,16.66
2006-12-29,0,16.45
2007-01-05,0,16.50
2007-01-12,0,16.73
2007-01-19,0,15.83
2007-01-26,0,16.69
2007-02-02,0,18.12
2007-02-09,0,18.12
2007-02-16,0,18.94
2007-02-23,0,18.55
2007-03-02,0,17.79
2007-03-09,0,17.99
2007-03-16,0,18.23
2007-03-23,0,19.03
2007-03-30,0,19.41
2007-04-06,0,
2007-04-13,0,20.45
2007-04-20,0,20.81
2007-04-27,0,21.20
2007-05-04,0,21.36
2007-05-11,0,21.64
2007-05-18,0,22.05
2007-05-25,0,22.08
2007-06-01,0,22.22
2007-06-08,0,21.80
2007-06-15,0,22.53
2007-06-22,0,23.07
2007-06-29,0,23.04
2007-07-06,0,23.68
2007-07-13,0,23.91
2007-07-20,0,23.67
2007-07-27,0,21.41
2007-08-03,0,20.40
2007-08-10,0,19.97
2007-08-17,0,20.01
2007-08-24,0,21.86
2007-08-31,0,21.55
2007-09-07,0,18.54
2007-09-14,0,18.40
2007-09-21,0,18.81
2007-09-28,0,17.85
2007-10-05,0,17.69
2007-10-12,0,18.16
2007-10-19,0,16.87
2007-10-26,0,15.80
2007-11-02,0,15.12
2007-11-09,0,14.75
2007-11-16,0,15.06
2007-11-23,0,14.83
2007-11-30,0,14.91
2007-12-07,0,15.28
2007-12-14,0,14.41
2007-12-21,0,15.34
2007-12-28,0,15.40
2008-01-04,0,13.91
2008-01-11,0,14.12
2008-01-18,0,13.32
2008-01-25,0,13.26
2008-02-01,0,14.41
2008-02-08,0,13.68
2008-02-15,0,13.63
2008-02-22,0,14.57
2008-02-29,0,14.41
2008-03-07,0,15.81
2008-03-14,0,15.95
2008-03-21,0,
2008-03-28,0,16.13
2008-04-04,0,16.82
2008-04-11,0,16.85
2008-04-18,0,19.02
2008-04-25,0,18.15
2008-05-02,0,17.80
2008-05-09,0,17.35
2008-05-16,0,18.26
2008-05-23,0,17.82
2008-05-30,0,18.84
2008-06-06,0,16.18
2008-06-13,0,14.96
2008-06-20,0,14.88
2008-06-27,0,14.64
2008-07-04,0,
2008-07-11,0,14.69
2008-07-18,0,16.36
2008-07-25,0,16.23
2008-08-01,0,14.87
2008-08-08,0,16.31
2008-08-15,0,16.75
2008-08-22,0,16.01
2008-08-29,0,14.52
2008-09-05,0,14.23
2008-09-12,0,13.49
2008-09-19,0,13.13
2008-09-26,0,12.69
2008-10-03,0,11.68
2008-10-10,0,10.54
2008-10-17,0,11.05
2008-10-24,0,9.64
2008-10-31,0,8.74
2008-11-07,0,7.46
2008-11-14,0,4.90
2008-11-21,0,5.15
2008-11-28,0,6.71
2008-12-05,0,7.35
2008-12-12,0,7.11
2008-12-19,0,8.10
2008-12-26,79,8.20
2009-01-02,0,9.35
2009-01-09,0,8.45
2009-01-16,0,8.78
2009-01-23,0,8.66
2009-01-30,0,8.85
2009-02-06,0,9.72
2009-02-13,0,8.80
2009-02-20,0,7.75
2009-02-27,0,8.43
2009-03-06,0,7.98
2009-03-13,0,9.41
2009-03-20,0,9.12
2009-03-27,0,9.84
2009-04-03,0,10.53
2009-04-10,0,
2009-04-17,0,11.17
2009-04-24,0,10.93
2009-05-01,54,10.56
2009-05-08,0,12.38
2009-05-15,0,12.56
2009-05-22,0,13.38
2009-05-29,0,13.32
2009-06-05,0,13.28
2009-06-12,0,13.05
2009-06-19,0,12.55
2009-06-26,0,12.85
2009-07-03,0,
2009-07-10,0,12.40
2009-07-17,0,12.64
2009-07-24,0,11.84
2009-07-31,0,11.43
2009-08-07,0,11.25
2009-08-14,0,11.37
2009-08-21,0,11.82
2009-08-28,0,11.78
2009-09-04,0,12.23
2009-09-11,0,12.75
2009-09-18,0,12.70
2009-09-25,0,12.69
2009-10-02,0,12.32
2009-10-09,0,12.75
2009-10-16,0,12.41
2009-10-23,0,12.07
2009-10-30,0,12.52
2009-11-06,0,12.87
2009-11-13,0,12.91
2009-11-20,0,13.07
2009-11-27,0,12.29
2009-12-04,44,12.60
2009-12-11,51,12.64
2009-12-18,59,12.18
2009-12-25,66,
2010-01-01,57,
2010-01-08,0,13.30
2010-01-15,0,13.89
2010-01-22,0,13.77
2010-01-29,0,13.82
2010-02-05,0,14.65
2010-02-12,0,16.04
2010-02-19,0,16.95
2010-02-26,0,17.04
2010-03-05,0,17.24
2010-03-12,0,17.54
2010-03-19,0,17.72
2010-03-26,0,18.70
2010-04-02,0,
2010-04-09,0,19.67
2010-04-16,0,19.88
2010-04-23,0,20.15
2010-04-30,45,19.59
2010-05-07,0,18.62
2010-05-14,0,17.70
2010-05-21,0,17.08
2010-05-28,0,17.58
2010-06-04,0,17.50
2010-06-11,0,18.57
2010-06-18,0,18.32
2010-06-25,0,17.30
2010-07-02,0,16.43
2010-07-09,0,17.54
2010-07-16,39,17.18
2010-07-23,0,17.93
2010-07-30,0,17.51
2010-08-06,0,17.14
2010-08-13,0,16.27
2010-08-20,0,16.62
2010-08-27,34,16.61
2010-09-03,33,16.21
2010-09-10,33,16.84
2010-09-17,33,15.85
2010-09-24,33,15.65
2010-10-01,37,16.26
2010-10-08,41,15.01
2010-10-15,42,15.36
2010-10-22,42,15.63
2010-10-29,42,15.55
2010-11-05,43,15.10
2010-11-12,43,14.99
2010-11-19,40,15.64
2010-11-26,40,16.18
2010-12-03,40,16.90
2010-12-10,40,17.74
2010-12-17,40,17.18
2010-12-24,51,
2010-12-31,76,17.22
2011-01-07,52,16.93
2011-01-14,29,17.01
2011-01-21,29,17.25
2011-01-28,29,16.55
2011-02-04,32,18.56
2011-02-11,36,18.49
2011-02-18,31,18.63
2011-02-25,30,18.87
2011-03-04,30,18.42
2011-03-11,30,19.49
2011-03-18,30,19.06
2011-03-25,35,19.82
2011-04-01,31,19.32
2011-04-08,31,19.31
2011-04-15,31,19.63
2011-04-22,29,
2011-04-29,0,19.90
2011-05-06,0,18.89
2011-05-13,0,18.53
2011-05-20,0,18.76
2011-05-27,0,18.54
2011-06-03,28,17.76
2011-06-10,28,17.12
2011-06-17,28,18.18
2011-06-24,28,18.90
2011-07-01,28,19.53
2011-07-08,28,18.65
2011-07-15,0,18.43
2011-07-22,0,18.25
2011-07-29,0,17.56
2011-08-05,0,16.31
2011-08-12,0,17.16
2011-08-19,0,16.63
2011-08-26,0,16.87
2011-09-02,26,17.09
2011-09-09,0,16.71
2011-09-16,0,17.43
2011-09-23,0,16.44
2011-09-30,0,17.36
2011-10-07,0,17.37
2011-10-14,26,18.55
2011-10-21,29,18.80
2011-10-28,24,19.58
2011-11-04,27,19.33
2011-11-11,30,19.51
2011-11-18,33,19.45
2011-11-25,36,19.25
2011-12-02,35,20.16
2011-12-09,33,20.53
2011-12-16,49,20.37
2011-12-23,37,20.91
2011-12-30,91,20.64
2012-01-06,28,20.32
2012-01-13,51,19.88
2012-01-20,40,19.20
2012-01-27,40,18.80
2012-02-03,24,19.38
2012-02-10,28,18.92
2012-02-17,33,18.99
2012-02-24,26,18.99
2012-03-02,42,19.43
2012-03-09,31,19.86
2012-03-16,24,19.86
2012-03-23,24,19.48
2012-03-30,22,19.15
2012-04-06,22,
2012-04-13,41,17.93
2012-04-20,24,18.05
2012-04-27,24,18.22
2012-05-04,24,18.04
2012-05-11,26,19.58
2012-05-18,27,19.12
2012-05-25,29,19.32
2012-06-01,30,18.68
2012-06-08,32,19.05
2012-06-15,25,18.76
2012-06-22,32,18.93
2012-06-29,22,18.83
2012-07-06,22,17.59
2012-07-13,22,16.15
2012-07-20,22,15.09
2012-07-27,22,15.07
2012-08-03,32,15.40
2012-08-10,41,16.04
2012-08-17,33,15.46
2012-08-24,22,15.15
2012-08-31,21,15.66
2012-09-07,21,15.70
2012-09-14,21,16.46
2012-09-21,21,16.44
2012-09-28,21,16.02
2012-10-05,21,16.37
2012-10-12,22,16.02
2012-10-19,31,16.44
2012-10-26,37,16.54
2012-11-02,19,17.13
2012-11-09,19,16.81
2012-11-16,31,16.88
2012-11-23,66,19.25
2012-11-30,39,19.17
2012-12-07,34,19.63
2012-12-14,39,19.65
2012-12-21,42,19.47
2012-12-28,100,19.18
2013-01-04,48,20.34
2013-01-11,36,20.32
2013-01-18,41,21.85
2013-01-25,23,22.44
2013-02-01,25,22.80
2013-02-08,20,23.78
2013-02-15,18,24.01
2013-02-22,36,23.80
2013-03-01,36,23.18
2013-03-08,36,24.00
2013-03-15,29,24.41
2013-03-22,26,24.13
2013-03-29,35,
2013-04-05,47,24.03
2013-04-12,24,23.88
2013-04-19,17,24.08
2013-04-26,22,24.72
2013-05-03,24,24.93
2013-05-10,22,24.75
2013-05-17,22,24.95
2013-05-24,17,24.87
2013-05-31,26,25.00
2013-06-07,26,25.05
2013-06-14,19,25.56
2013-06-21,20,25.19
2013-06-28,21,25.68
2013-07-05,28,26.32
2013-07-12,26,27.19
2013-07-19,19,27.07
2013-07-26,19,27.15
2013-08-02,23,28.51
2013-08-09,19,31.36
2013-08-16,17,31.44
2013-08-23,17,31.48
2013-08-30,17,28.95
2013-09-06,23,29.50
2013-09-13,31,30.25
2013-09-20,21,30.32
2013-09-27,21,28.60
2013-10-04,21,28.84
2013-10-11,20,29.76
2013-10-18,21,28.45
2013-10-25,18,28.14
2013-11-01,24,27.71
2013-11-08,32,28.00
2013-11-15,27,28.77
2013-11-22,25,31.82
2013-11-29,41,31.69
2013-12-06,41,33.82
2013-12-13,32,33.11
2013-12-20,34,33.21
2013-12-27,64,33.47
2014-01-03,60,33.42
2014-01-10,28,34.84
2014-01-17,26,35.04
2014-01-24,39,34.77
2014-01-31,38,37.40
2014-02-07,17,36.09
2014-02-14,21,37.73
2014-02-21,27,38.91
2014-02-28,37,39.45
2014-03-07,30,40.27
2014-03-14,23,41.48
2014-03-21,24,42.37
2014-03-28,15,43.15
2014-04-04,19,41.22
2014-04-11,18,41.67
2014-04-18,16,
2014-04-25,15,42.43
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
