Date,buy WIN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,66,
2004-02-06,77,
2004-02-13,78,
2004-02-20,78,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,79,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,82,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,73,
2004-09-03,61,
2004-09-10,61,
2004-09-17,66,
2004-09-24,71,
2004-10-01,51,
2004-10-08,77,
2004-10-15,67,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,79,
2004-12-03,65,
2004-12-10,65,
2004-12-17,48,
2004-12-24,49,
2004-12-31,51,
2005-01-07,53,
2005-01-14,55,
2005-01-21,56,
2005-01-28,42,
2005-02-04,49,
2005-02-11,56,15.60
2005-02-18,51,16.00
2005-02-25,51,15.69
2005-03-04,51,15.71
2005-03-11,67,15.25
2005-03-18,83,15.01
2005-03-25,49,
2005-04-01,49,14.47
2005-04-08,83,14.39
2005-04-15,43,14.16
2005-04-22,45,13.40
2005-04-29,47,13.50
2005-05-06,53,13.48
2005-05-13,41,12.99
2005-05-20,41,13.68
2005-05-27,42,13.60
2005-06-03,42,14.48
2005-06-10,42,14.20
2005-06-17,42,14.14
2005-06-24,43,14.09
2005-07-01,59,13.80
2005-07-08,44,13.99
2005-07-15,51,14.04
2005-07-22,56,13.77
2005-07-29,61,13.97
2005-08-05,67,13.59
2005-08-12,46,13.75
2005-08-19,42,13.57
2005-08-26,52,13.64
2005-09-02,40,13.91
2005-09-09,40,14.00
2005-09-16,40,14.02
2005-09-23,48,14.00
2005-09-30,32,13.63
2005-10-07,43,12.75
2005-10-14,33,12.50
2005-10-21,38,12.55
2005-10-28,44,12.44
2005-11-04,38,12.39
2005-11-11,37,12.48
2005-11-18,37,11.63
2005-11-25,60,11.55
2005-12-02,44,12.21
2005-12-09,36,12.31
2005-12-16,36,12.13
2005-12-23,40,12.03
2005-12-30,60,11.40
2006-01-06,31,12.18
2006-01-13,31,11.80
2006-01-20,49,11.68
2006-01-27,50,11.83
2006-02-03,38,11.75
2006-02-10,29,11.75
2006-02-17,34,11.90
2006-02-24,53,12.04
2006-03-03,45,12.59
2006-03-10,28,12.50
2006-03-17,36,12.90
2006-03-24,32,13.23
2006-03-31,50,13.16
2006-04-07,43,13.14
2006-04-14,43,
2006-04-21,40,13.35
2006-04-28,40,13.05
2006-05-05,29,13.02
2006-05-12,37,13.20
2006-05-19,24,12.81
2006-05-26,32,12.56
2006-06-02,48,12.24
2006-06-09,33,12.37
2006-06-16,33,12.00
2006-06-23,30,11.90
2006-06-30,45,11.45
2006-07-07,29,11.65
2006-07-14,25,11.53
2006-07-21,28,11.65
2006-07-28,25,12.25
2006-08-04,37,13.04
2006-08-11,29,12.56
2006-08-18,37,12.93
2006-08-25,33,12.97
2006-09-01,32,13.34
2006-09-08,25,13.25
2006-09-15,40,12.94
2006-09-22,26,13.00
2006-09-29,30,13.19
2006-10-06,24,13.47
2006-10-13,25,13.75
2006-10-20,31,13.66
2006-10-27,25,13.85
2006-11-03,31,13.64
2006-11-10,48,13.68
2006-11-17,56,13.81
2006-11-24,38,13.89
2006-12-01,39,13.74
2006-12-08,40,14.13
2006-12-15,29,14.35
2006-12-22,42,13.78
2006-12-29,42,14.22
2007-01-05,53,13.90
2007-01-12,38,14.15
2007-01-19,35,14.69
2007-01-26,37,14.61
2007-02-02,32,14.75
2007-02-09,32,14.80
2007-02-16,19,15.00
2007-02-23,34,15.44
2007-03-02,25,14.38
2007-03-09,44,14.46
2007-03-16,25,14.41
2007-03-23,38,14.83
2007-03-30,27,14.69
2007-04-06,37,
2007-04-13,17,14.56
2007-04-20,21,14.80
2007-04-27,32,14.78
2007-05-04,25,14.86
2007-05-11,36,14.72
2007-05-18,32,14.76
2007-05-25,30,14.92
2007-06-01,38,15.15
2007-06-08,21,14.90
2007-06-15,24,14.90
2007-06-22,34,15.05
2007-06-29,27,14.76
2007-07-06,23,14.85
2007-07-13,34,14.71
2007-07-20,28,14.73
2007-07-27,36,13.70
2007-08-03,40,13.53
2007-08-10,27,13.81
2007-08-17,39,13.36
2007-08-24,29,13.98
2007-08-31,27,14.28
2007-09-07,31,14.11
2007-09-14,48,13.91
2007-09-21,32,14.45
2007-09-28,33,14.12
2007-10-05,23,14.08
2007-10-12,40,14.36
2007-10-19,28,13.97
2007-10-26,29,13.74
2007-11-02,38,13.17
2007-11-09,29,13.59
2007-11-16,35,13.28
2007-11-23,44,13.03
2007-11-30,41,12.95
2007-12-07,46,13.35
2007-12-14,30,13.27
2007-12-21,32,12.99
2007-12-28,49,12.83
2008-01-04,46,11.97
2008-01-11,37,11.59
2008-01-18,40,11.09
2008-01-25,50,11.03
2008-02-01,40,11.73
2008-02-08,30,11.60
2008-02-15,33,12.10
2008-02-22,35,11.79
2008-02-29,26,11.76
2008-03-07,28,11.92
2008-03-14,42,11.68
2008-03-21,43,
2008-03-28,50,11.68
2008-04-04,23,12.06
2008-04-11,29,11.79
2008-04-18,26,11.95
2008-04-25,20,11.58
2008-05-02,41,12.34
2008-05-09,36,12.81
2008-05-16,30,13.22
2008-05-23,38,12.83
2008-05-30,42,13.34
2008-06-06,35,13.49
2008-06-13,38,13.04
2008-06-20,28,12.76
2008-06-27,36,12.17
2008-07-04,42,
2008-07-11,34,12.11
2008-07-18,32,12.10
2008-07-25,41,11.87
2008-08-01,37,11.83
2008-08-08,51,12.60
2008-08-15,52,12.85
2008-08-22,35,12.03
2008-08-29,26,12.42
2008-09-05,40,12.14
2008-09-12,35,12.07
2008-09-19,34,11.81
2008-09-26,39,11.31
2008-10-03,34,10.50
2008-10-10,39,8.31
2008-10-17,38,8.69
2008-10-24,43,7.66
2008-10-31,35,7.51
2008-11-07,53,8.55
2008-11-14,38,8.43
2008-11-21,48,7.38
2008-11-28,48,8.86
2008-12-05,44,8.43
2008-12-12,43,8.65
2008-12-19,38,9.17
2008-12-26,35,9.35
2009-01-02,41,9.44
2009-01-09,29,9.03
2009-01-16,29,8.73
2009-01-23,31,8.83
2009-01-30,28,8.68
2009-02-06,40,8.99
2009-02-13,31,8.26
2009-02-20,44,7.71
2009-02-27,36,7.46
2009-03-06,37,6.57
2009-03-13,42,7.24
2009-03-20,35,8.00
2009-03-27,40,8.02
2009-04-03,26,8.52
2009-04-10,37,
2009-04-17,34,8.44
2009-04-24,37,8.30
2009-05-01,30,8.46
2009-05-08,33,9.05
2009-05-15,30,8.24
2009-05-22,40,8.13
2009-05-29,58,8.41
2009-06-05,36,8.43
2009-06-12,31,8.54
2009-06-19,33,8.21
2009-06-26,40,8.25
2009-07-03,29,
2009-07-10,39,7.92
2009-07-17,36,8.16
2009-07-24,45,8.37
2009-07-31,53,8.77
2009-08-07,42,8.81
2009-08-14,34,8.55
2009-08-21,46,8.60
2009-08-28,40,8.55
2009-09-04,40,8.57
2009-09-11,48,9.03
2009-09-18,39,9.72
2009-09-25,41,9.87
2009-10-02,28,9.78
2009-10-09,49,10.07
2009-10-16,39,10.17
2009-10-23,59,9.96
2009-10-30,43,9.64
2009-11-06,45,10.28
2009-11-13,39,9.93
2009-11-20,50,10.05
2009-11-27,57,10.12
2009-12-04,48,10.62
2009-12-11,42,11.00
2009-12-18,62,10.83
2009-12-25,44,
2010-01-01,46,
2010-01-08,48,10.88
2010-01-15,39,10.65
2010-01-22,50,10.55
2010-01-29,40,10.31
2010-02-05,45,10.00
2010-02-12,49,10.18
2010-02-19,47,10.33
2010-02-26,49,10.13
2010-03-05,46,10.37
2010-03-12,37,10.96
2010-03-19,41,10.98
2010-03-26,40,11.24
2010-04-02,47,
2010-04-09,43,10.96
2010-04-16,34,10.98
2010-04-23,40,11.12
2010-04-30,60,11.04
2010-05-07,52,10.22
2010-05-14,40,10.73
2010-05-21,49,10.55
2010-05-28,51,10.67
2010-06-04,39,10.79
2010-06-11,48,11.07
2010-06-18,56,11.33
2010-06-25,65,11.12
2010-07-02,48,10.60
2010-07-09,54,11.13
2010-07-16,48,11.17
2010-07-23,40,11.48
2010-07-30,50,11.40
2010-08-06,40,11.55
2010-08-13,50,11.33
2010-08-20,47,11.19
2010-08-27,47,11.38
2010-09-03,50,11.95
2010-09-10,49,12.33
2010-09-17,46,12.41
2010-09-24,48,13.03
2010-10-01,51,12.32
2010-10-08,46,12.14
2010-10-15,53,12.36
2010-10-22,50,12.45
2010-10-29,52,12.66
2010-11-05,46,13.23
2010-11-12,47,13.00
2010-11-19,55,13.25
2010-11-26,62,13.14
2010-12-03,45,13.66
2010-12-10,44,14.00
2010-12-17,56,13.99
2010-12-24,59,
2010-12-31,48,13.94
2011-01-07,60,13.51
2011-01-14,46,13.09
2011-01-21,47,12.74
2011-01-28,56,12.69
2011-02-04,55,13.03
2011-02-11,52,13.19
2011-02-18,46,12.57
2011-02-25,49,12.46
2011-03-04,46,12.40
2011-03-11,46,12.85
2011-03-18,42,12.93
2011-03-25,58,12.89
2011-04-01,49,12.74
2011-04-08,50,12.60
2011-04-15,39,12.68
2011-04-22,46,
2011-04-29,45,12.81
2011-05-06,45,12.86
2011-05-13,50,13.30
2011-05-20,48,13.47
2011-05-27,57,13.41
2011-06-03,55,13.13
2011-06-10,43,12.81
2011-06-17,47,13.08
2011-06-24,57,13.04
2011-07-01,53,13.12
2011-07-08,47,13.13
2011-07-15,46,12.60
2011-07-22,41,12.70
2011-07-29,47,12.21
2011-08-05,47,11.60
2011-08-12,56,11.87
2011-08-19,44,11.63
2011-08-26,49,12.06
2011-09-02,47,12.52
2011-09-09,50,12.55
2011-09-16,45,12.90
2011-09-23,49,12.30
2011-09-30,44,11.65
2011-10-07,46,11.24
2011-10-14,41,11.85
2011-10-21,49,12.02
2011-10-28,50,12.27
2011-11-04,43,11.85
2011-11-11,50,11.99
2011-11-18,47,11.64
2011-11-25,53,11.13
2011-12-02,50,11.76
2011-12-09,48,11.72
2011-12-16,56,11.58
2011-12-23,58,12.01
2011-12-30,51,11.74
2012-01-06,60,11.70
2012-01-13,47,12.08
2012-01-20,45,12.33
2012-01-27,44,12.00
2012-02-03,48,12.30
2012-02-10,55,12.37
2012-02-17,59,12.48
2012-02-24,56,12.16
2012-03-02,50,12.09
2012-03-09,50,12.17
2012-03-16,43,12.09
2012-03-23,37,11.91
2012-03-30,100,11.71
2012-04-06,41,
2012-04-13,52,11.20
2012-04-20,42,11.28
2012-04-27,64,11.26
2012-05-04,73,11.33
2012-05-11,53,9.94
2012-05-18,41,9.39
2012-05-25,46,9.49
2012-06-01,48,9.19
2012-06-08,47,9.36
2012-06-15,50,9.47
2012-06-22,48,9.68
2012-06-29,44,9.66
2012-07-06,42,9.76
2012-07-13,49,9.77
2012-07-20,46,9.85
2012-07-27,42,9.73
2012-08-03,51,10.04
2012-08-10,46,9.41
2012-08-17,50,9.55
2012-08-24,49,9.73
2012-08-31,44,9.87
2012-09-07,49,10.21
2012-09-14,66,10.78
2012-09-21,69,10.93
2012-09-28,82,10.09
2012-10-05,86,10.17
2012-10-12,85,9.97
2012-10-19,69,9.91
2012-10-26,65,9.66
2012-11-02,66,9.53
2012-11-09,72,8.50
2012-11-16,61,8.27
2012-11-23,60,8.32
2012-11-30,90,8.38
2012-12-07,70,8.36
2012-12-14,49,8.77
2012-12-21,55,8.73
2012-12-28,43,8.30
2013-01-04,55,9.32
2013-01-11,60,9.96
2013-01-18,51,9.63
2013-01-25,48,9.65
2013-02-01,49,9.80
2013-02-08,40,9.78
2013-02-15,35,8.93
2013-02-22,46,8.48
2013-03-01,51,8.73
2013-03-08,50,8.56
2013-03-15,50,8.82
2013-03-22,45,8.60
2013-03-29,45,
2013-04-05,43,8.33
2013-04-12,49,8.87
2013-04-19,45,8.64
2013-04-26,40,8.45
2013-05-03,53,8.36
2013-05-10,48,8.36
2013-05-17,53,8.69
2013-05-24,45,8.67
2013-05-31,47,8.03
2013-06-07,42,7.89
2013-06-14,50,8.31
2013-06-21,47,7.94
2013-06-28,44,7.71
2013-07-05,41,7.90
2013-07-12,50,8.15
2013-07-19,47,8.10
2013-07-26,41,8.17
2013-08-02,46,8.59
2013-08-09,61,8.20
2013-08-16,43,8.13
2013-08-23,43,8.22
2013-08-30,41,8.07
2013-09-06,44,8.26
2013-09-13,45,8.47
2013-09-20,47,8.48
2013-09-27,43,8.12
2013-10-04,41,8.02
2013-10-11,46,8.50
2013-10-18,56,8.60
2013-10-25,43,8.56
2013-11-01,47,8.54
2013-11-08,46,8.02
2013-11-15,51,8.25
2013-11-22,50,8.16
2013-11-29,55,8.07
2013-12-06,47,8.05
2013-12-13,61,7.96
2013-12-20,75,8.24
2013-12-27,56,8.13
2014-01-03,57,7.99
2014-01-10,54,8.05
2014-01-17,49,7.90
2014-01-24,54,7.56
2014-01-31,45,7.48
2014-02-07,47,7.36
2014-02-14,50,7.92
2014-02-21,44,7.86
2014-02-28,43,8.02
2014-03-07,48,8.16
2014-03-14,46,8.26
2014-03-21,44,8.40
2014-03-28,49,8.22
2014-04-04,51,8.63
2014-04-11,46,8.51
2014-04-18,48,
2014-04-25,36,8.85
2014-05-02,43,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
