Date,buy WY,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,61.95
2004-02-13,0,63.46
2004-02-20,0,64.96
2004-02-27,0,65.25
2004-03-05,0,66.55
2004-03-12,0,63.13
2004-03-19,0,64.15
2004-03-26,0,64.66
2004-04-02,0,65.45
2004-04-09,0,
2004-04-16,0,67.35
2004-04-23,0,66.59
2004-04-30,0,59.20
2004-05-07,0,56.04
2004-05-14,0,58.24
2004-05-21,0,58.65
2004-05-28,0,60.48
2004-06-04,0,59.65
2004-06-11,0,
2004-06-18,0,61.15
2004-06-25,0,60.30
2004-07-02,0,61.98
2004-07-09,0,59.97
2004-07-16,0,60.35
2004-07-23,0,59.98
2004-07-30,0,62.00
2004-08-06,0,60.16
2004-08-13,0,60.47
2004-08-20,0,63.30
2004-08-27,0,62.64
2004-09-03,0,64.21
2004-09-10,0,65.12
2004-09-17,0,64.32
2004-09-24,0,63.76
2004-10-01,0,66.52
2004-10-08,0,65.12
2004-10-15,0,62.58
2004-10-22,0,60.30
2004-10-29,0,62.64
2004-11-05,0,65.50
2004-11-12,0,66.85
2004-11-19,0,65.26
2004-11-26,0,66.50
2004-12-03,0,67.19
2004-12-10,0,66.98
2004-12-17,0,66.86
2004-12-24,0,
2004-12-31,0,67.22
2005-01-07,0,67.56
2005-01-14,0,66.62
2005-01-21,0,63.19
2005-01-28,0,62.66
2005-02-04,0,64.43
2005-02-11,0,62.92
2005-02-18,0,65.81
2005-02-25,0,67.85
2005-03-04,0,69.38
2005-03-11,0,68.38
2005-03-18,0,68.37
2005-03-25,0,
2005-04-01,0,68.45
2005-04-08,0,70.82
2005-04-15,0,66.17
2005-04-22,0,63.47
2005-04-29,0,68.61
2005-05-06,0,67.51
2005-05-13,0,62.86
2005-05-20,0,64.97
2005-05-27,0,64.02
2005-06-03,0,64.11
2005-06-10,0,64.15
2005-06-17,0,67.89
2005-06-24,0,65.11
2005-07-01,0,63.89
2005-07-08,0,64.73
2005-07-15,0,64.28
2005-07-22,0,68.34
2005-07-29,0,68.98
2005-08-05,0,67.67
2005-08-12,0,67.29
2005-08-19,0,64.89
2005-08-26,0,63.74
2005-09-02,0,65.25
2005-09-09,0,65.81
2005-09-16,0,67.96
2005-09-23,0,67.75
2005-09-30,0,68.75
2005-10-07,0,64.60
2005-10-14,0,61.69
2005-10-21,0,62.11
2005-10-28,0,63.22
2005-11-04,0,62.80
2005-11-11,0,62.22
2005-11-18,0,64.61
2005-11-25,0,64.83
2005-12-02,0,67.36
2005-12-09,0,66.30
2005-12-16,0,66.27
2005-12-23,0,67.00
2005-12-30,0,66.34
2006-01-06,0,67.75
2006-01-13,0,66.48
2006-01-20,0,66.72
2006-01-27,0,68.49
2006-02-03,0,67.50
2006-02-10,0,69.25
2006-02-17,0,70.00
2006-02-24,0,69.02
2006-03-03,0,67.57
2006-03-10,0,70.88
2006-03-17,0,73.28
2006-03-24,0,73.18
2006-03-31,0,72.43
2006-04-07,0,74.04
2006-04-14,0,
2006-04-21,0,75.04
2006-04-28,0,70.47
2006-05-05,0,70.83
2006-05-12,0,68.13
2006-05-19,0,65.46
2006-05-26,0,64.61
2006-06-02,0,64.34
2006-06-09,0,60.02
2006-06-16,0,59.05
2006-06-23,0,60.30
2006-06-30,0,62.25
2006-07-07,0,60.62
2006-07-14,0,58.10
2006-07-21,0,55.35
2006-07-28,0,58.57
2006-08-04,0,57.36
2006-08-11,0,55.60
2006-08-18,0,57.97
2006-08-25,0,60.69
2006-09-01,0,62.20
2006-09-08,0,63.16
2006-09-15,0,62.09
2006-09-22,0,59.02
2006-09-29,0,61.53
2006-10-06,0,61.35
2006-10-13,0,65.13
2006-10-20,0,64.20
2006-10-27,0,63.60
2006-11-03,0,62.97
2006-11-10,0,63.39
2006-11-17,0,63.86
2006-11-24,0,64.30
2006-12-01,0,64.81
2006-12-08,0,66.68
2006-12-15,0,71.93
2006-12-22,0,70.26
2006-12-29,0,70.65
2007-01-05,0,71.54
2007-01-12,0,73.00
2007-01-19,0,74.25
2007-01-26,0,75.15
2007-02-02,0,76.52
2007-02-09,0,78.14
2007-02-16,0,83.03
2007-02-23,0,82.25
2007-03-02,0,86.18
2007-03-09,0,82.17
2007-03-16,0,79.19
2007-03-23,0,78.06
2007-03-30,0,74.74
2007-04-06,0,
2007-04-13,0,76.02
2007-04-20,0,77.50
2007-04-27,0,81.35
2007-05-04,0,82.62
2007-05-11,0,81.34
2007-05-18,0,80.14
2007-05-25,0,79.95
2007-06-01,0,82.35
2007-06-08,0,81.61
2007-06-15,0,82.05
2007-06-22,0,80.57
2007-06-29,0,78.93
2007-07-06,0,80.65
2007-07-13,0,81.68
2007-07-20,0,81.40
2007-07-27,0,72.00
2007-08-03,0,66.60
2007-08-10,0,66.42
2007-08-17,0,65.00
2007-08-24,0,67.05
2007-08-31,0,68.17
2007-09-07,0,67.30
2007-09-14,0,69.39
2007-09-21,0,71.87
2007-09-28,0,72.30
2007-10-05,0,75.76
2007-10-12,0,73.40
2007-10-19,0,69.69
2007-10-26,0,68.34
2007-11-02,0,73.27
2007-11-09,0,69.42
2007-11-16,0,71.78
2007-11-23,0,68.71
2007-11-30,0,73.18
2007-12-07,0,75.53
2007-12-14,0,72.49
2007-12-21,0,74.09
2007-12-28,0,73.58
2008-01-04,0,68.62
2008-01-11,0,66.00
2008-01-18,0,63.43
2008-01-25,0,63.43
2008-02-01,0,69.51
2008-02-08,0,62.34
2008-02-15,0,63.86
2008-02-22,0,63.38
2008-02-29,0,61.20
2008-03-07,0,60.09
2008-03-14,0,61.97
2008-03-21,0,
2008-03-28,0,63.70
2008-04-04,0,65.62
2008-04-11,0,61.02
2008-04-18,0,64.21
2008-04-25,0,65.97
2008-05-02,0,63.68
2008-05-09,0,62.68
2008-05-16,0,67.32
2008-05-23,0,64.05
2008-05-30,0,62.33
2008-06-06,0,58.23
2008-06-13,0,56.63
2008-06-20,0,52.75
2008-06-27,0,50.38
2008-07-04,0,
2008-07-11,0,47.83
2008-07-18,0,51.14
2008-07-25,0,50.05
2008-08-01,0,55.78
2008-08-08,0,50.55
2008-08-15,0,55.01
2008-08-22,0,53.23
2008-08-29,0,55.49
2008-09-05,0,54.64
2008-09-12,0,56.81
2008-09-19,0,62.29
2008-09-26,0,62.32
2008-10-03,0,56.80
2008-10-10,0,46.92
2008-10-17,0,39.77
2008-10-24,0,30.59
2008-10-31,0,38.22
2008-11-07,0,32.72
2008-11-14,0,32.78
2008-11-21,0,31.67
2008-11-28,0,37.62
2008-12-05,0,35.39
2008-12-12,0,37.76
2008-12-19,0,33.59
2008-12-26,0,30.56
2009-01-02,0,31.89
2009-01-09,0,30.98
2009-01-16,0,29.38
2009-01-23,0,28.04
2009-01-30,0,27.34
2009-02-06,0,28.03
2009-02-13,0,26.12
2009-02-20,0,24.92
2009-02-27,0,24.16
2009-03-06,0,19.36
2009-03-13,0,23.82
2009-03-20,0,26.52
2009-03-27,0,28.83
2009-04-03,0,31.06
2009-04-10,0,
2009-04-17,0,34.45
2009-04-24,0,37.64
2009-05-01,0,34.78
2009-05-08,0,35.66
2009-05-15,0,31.45
2009-05-22,0,32.44
2009-05-29,0,33.58
2009-06-05,0,34.26
2009-06-12,0,34.18
2009-06-19,0,28.89
2009-06-26,0,30.16
2009-07-03,0,
2009-07-10,0,27.97
2009-07-17,0,30.64
2009-07-24,0,34.75
2009-07-31,0,35.04
2009-08-07,0,38.31
2009-08-14,0,35.96
2009-08-21,0,37.02
2009-08-28,0,37.79
2009-09-04,0,37.09
2009-09-11,0,37.29
2009-09-18,0,39.65
2009-09-25,0,36.95
2009-10-02,0,35.08
2009-10-09,0,36.35
2009-10-16,0,40.11
2009-10-23,0,39.48
2009-10-30,0,36.34
2009-11-06,0,37.62
2009-11-13,0,38.36
2009-11-20,61,37.86
2009-11-27,0,37.69
2009-12-04,0,42.54
2009-12-11,0,42.04
2009-12-18,0,42.80
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,44.11
2010-01-15,0,43.59
2010-01-22,0,41.26
2010-01-29,0,39.90
2010-02-05,0,39.45
2010-02-12,68,39.54
2010-02-19,0,41.29
2010-02-26,0,40.40
2010-03-05,0,43.38
2010-03-12,0,43.68
2010-03-19,0,44.37
2010-03-26,0,44.30
2010-04-02,0,
2010-04-09,0,47.19
2010-04-16,0,47.86
2010-04-23,0,53.30
2010-04-30,0,49.52
2010-05-07,0,44.67
2010-05-14,0,46.09
2010-05-21,0,42.98
2010-05-28,0,42.58
2010-06-04,0,40.12
2010-06-11,0,41.01
2010-06-18,0,39.25
2010-06-25,69,37.30
2010-07-02,61,34.49
2010-07-09,61,35.84
2010-07-16,55,40.50
2010-07-23,55,16.63
2010-07-30,60,16.22
2010-08-06,66,17.17
2010-08-13,0,16.36
2010-08-20,0,16.15
2010-08-27,0,15.78
2010-09-03,0,16.39
2010-09-10,0,16.28
2010-09-17,0,15.97
2010-09-24,0,16.33
2010-10-01,48,16.09
2010-10-08,53,15.82
2010-10-15,60,15.52
2010-10-22,67,15.72
2010-10-29,67,16.22
2010-11-05,68,17.50
2010-11-12,69,17.45
2010-11-19,69,17.18
2010-11-26,70,17.03
2010-12-03,54,17.70
2010-12-10,55,17.76
2010-12-17,56,18.16
2010-12-24,59,
2010-12-31,63,18.93
2011-01-07,46,20.57
2011-01-14,44,21.63
2011-01-21,60,22.49
2011-01-28,57,22.67
2011-02-04,41,24.30
2011-02-11,44,25.20
2011-02-18,47,25.16
2011-02-25,50,24.20
2011-03-04,42,23.57
2011-03-11,42,24.38
2011-03-18,60,24.39
2011-03-25,79,24.22
2011-04-01,59,25.14
2011-04-08,59,23.61
2011-04-15,59,22.69
2011-04-22,53,
2011-04-29,58,23.01
2011-05-06,63,22.09
2011-05-13,67,21.91
2011-05-20,46,21.76
2011-05-27,50,20.87
2011-06-03,73,20.77
2011-06-10,42,20.40
2011-06-17,42,20.33
2011-06-24,42,20.33
2011-07-01,50,22.29
2011-07-08,51,22.10
2011-07-15,51,21.65
2011-07-22,59,22.18
2011-07-29,54,19.99
2011-08-05,54,17.87
2011-08-12,50,16.83
2011-08-19,50,15.70
2011-08-26,100,17.00
2011-09-02,55,17.11
2011-09-09,42,16.86
2011-09-16,42,17.80
2011-09-23,55,15.95
2011-09-30,68,15.55
2011-10-07,45,16.03
2011-10-14,54,17.19
2011-10-21,41,17.09
2011-10-28,46,18.30
2011-11-04,51,17.31
2011-11-11,44,16.89
2011-11-18,36,16.41
2011-11-25,76,15.48
2011-12-02,64,16.77
2011-12-09,50,17.23
2011-12-16,64,16.70
2011-12-23,86,18.17
2011-12-30,95,18.67
2012-01-06,54,19.02
2012-01-13,51,20.22
2012-01-20,37,20.65
2012-01-27,54,20.47
2012-02-03,40,21.30
2012-02-10,40,20.02
2012-02-17,56,20.65
2012-02-24,46,21.06
2012-03-02,43,21.16
2012-03-09,51,21.48
2012-03-16,72,22.01
2012-03-23,56,21.87
2012-03-30,56,21.92
2012-04-06,38,
2012-04-13,41,20.74
2012-04-20,33,20.98
2012-04-27,38,20.85
2012-05-04,44,19.98
2012-05-11,49,20.07
2012-05-18,52,18.76
2012-05-25,56,19.77
2012-06-01,46,19.11
2012-06-08,36,20.45
2012-06-15,54,20.79
2012-06-22,49,20.69
2012-06-29,55,22.36
2012-07-06,73,22.29
2012-07-13,68,23.37
2012-07-20,42,23.06
2012-07-27,50,23.59
2012-08-03,63,23.65
2012-08-10,56,23.54
2012-08-17,80,24.24
2012-08-24,60,24.37
2012-08-31,58,24.91
2012-09-07,54,25.45
2012-09-14,69,27.15
2012-09-21,69,26.53
2012-09-28,49,26.14
2012-10-05,49,26.64
2012-10-12,45,26.26
2012-10-19,44,28.01
2012-10-26,77,27.37
2012-11-02,35,27.73
2012-11-09,35,26.31
2012-11-16,56,25.38
2012-11-23,65,26.72
2012-11-30,66,27.56
2012-12-07,40,27.21
2012-12-14,49,27.33
2012-12-21,73,28.14
2012-12-28,65,27.58
2013-01-04,37,29.39
2013-01-11,55,30.80
2013-01-18,51,30.63
2013-01-25,38,30.95
2013-02-01,54,30.39
2013-02-08,43,30.21
2013-02-15,52,30.65
2013-02-22,55,29.72
2013-03-01,42,29.57
2013-03-08,66,30.24
2013-03-15,29,30.55
2013-03-22,65,31.01
2013-03-29,57,
2013-04-05,66,31.16
2013-04-12,55,31.78
2013-04-19,50,29.84
2013-04-26,42,30.53
2013-05-03,48,30.65
2013-05-10,40,31.39
2013-05-17,55,32.48
2013-05-24,31,31.74
2013-05-31,68,29.82
2013-06-07,52,29.03
2013-06-14,69,28.29
2013-06-21,47,27.42
2013-06-28,58,28.49
2013-07-05,48,28.31
2013-07-12,64,29.55
2013-07-19,38,29.86
2013-07-26,56,28.80
2013-08-02,45,27.98
2013-08-09,72,27.81
2013-08-16,51,27.06
2013-08-23,61,27.81
2013-08-30,63,27.38
2013-09-06,68,28.51
2013-09-13,75,28.39
2013-09-20,65,28.81
2013-09-27,60,28.93
2013-10-04,65,28.59
2013-10-11,47,29.34
2013-10-18,58,30.11
2013-10-25,51,31.39
2013-11-01,52,30.34
2013-11-08,63,29.30
2013-11-15,61,29.74
2013-11-22,70,29.56
2013-11-29,80,30.13
2013-12-06,57,29.82
2013-12-13,37,30.01
2013-12-20,72,31.40
2013-12-27,73,31.30
2014-01-03,71,31.34
2014-01-10,33,31.06
2014-01-17,51,30.97
2014-01-24,49,30.19
2014-01-31,46,29.88
2014-02-07,57,29.88
2014-02-14,60,30.45
2014-02-21,48,30.18
2014-02-28,61,29.51
2014-03-07,57,29.79
2014-03-14,41,29.86
2014-03-21,75,29.29
2014-03-28,36,29.18
2014-04-04,57,29.60
2014-04-11,52,27.72
2014-04-18,62,
2014-04-25,51,29.52
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
