Date,buy YUM,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,33.25
2004-02-13,0,35.31
2004-02-20,0,35.64
2004-02-27,0,37.03
2004-03-05,0,38.28
2004-03-12,0,37.18
2004-03-19,0,37.10
2004-03-26,0,37.46
2004-04-02,0,38.50
2004-04-09,0,
2004-04-16,0,38.39
2004-04-23,0,39.05
2004-04-30,0,38.79
2004-05-07,0,37.76
2004-05-14,0,36.32
2004-05-21,0,36.37
2004-05-28,0,37.50
2004-06-04,0,37.07
2004-06-11,0,
2004-06-18,0,38.00
2004-06-25,0,37.62
2004-07-02,0,36.62
2004-07-09,0,36.02
2004-07-16,0,38.50
2004-07-23,0,37.91
2004-07-30,0,38.39
2004-08-06,0,36.79
2004-08-13,0,37.45
2004-08-20,0,39.02
2004-08-27,0,39.35
2004-09-03,0,39.95
2004-09-10,0,40.91
2004-09-17,0,40.67
2004-09-24,0,40.59
2004-10-01,0,40.39
2004-10-08,0,41.43
2004-10-15,0,42.87
2004-10-22,0,42.87
2004-10-29,0,43.50
2004-11-05,0,46.00
2004-11-12,0,44.95
2004-11-19,0,43.73
2004-11-26,0,45.79
2004-12-03,0,46.58
2004-12-10,0,45.86
2004-12-17,0,46.33
2004-12-24,0,
2004-12-31,0,47.18
2005-01-07,0,46.35
2005-01-14,0,45.18
2005-01-21,0,45.52
2005-01-28,0,45.12
2005-02-04,0,46.40
2005-02-11,0,46.98
2005-02-18,0,48.19
2005-02-25,0,48.89
2005-03-04,0,50.07
2005-03-11,0,50.80
2005-03-18,0,50.45
2005-03-25,0,
2005-04-01,0,51.20
2005-04-08,0,50.63
2005-04-15,0,50.21
2005-04-22,0,47.86
2005-04-29,0,46.96
2005-05-06,0,48.20
2005-05-13,0,47.84
2005-05-20,0,50.59
2005-05-27,0,51.98
2005-06-03,0,52.04
2005-06-10,0,53.09
2005-06-17,0,53.32
2005-06-24,0,51.43
2005-07-01,0,51.48
2005-07-08,0,51.87
2005-07-15,0,51.42
2005-07-22,0,52.77
2005-07-29,0,52.35
2005-08-05,0,50.15
2005-08-12,0,51.30
2005-08-19,0,50.89
2005-08-26,0,48.81
2005-09-02,0,46.86
2005-09-09,0,51.00
2005-09-16,0,50.58
2005-09-23,0,48.94
2005-09-30,0,48.41
2005-10-07,0,50.08
2005-10-14,0,50.00
2005-10-21,0,51.21
2005-10-28,0,50.11
2005-11-04,0,52.17
2005-11-11,0,48.50
2005-11-18,0,48.64
2005-11-25,0,49.05
2005-12-02,0,48.90
2005-12-09,0,48.13
2005-12-16,0,48.33
2005-12-23,0,48.30
2005-12-30,0,46.88
2006-01-06,0,49.02
2006-01-13,0,48.05
2006-01-20,0,47.01
2006-01-27,0,50.23
2006-02-03,0,50.45
2006-02-10,0,50.07
2006-02-17,0,50.00
2006-02-24,0,49.75
2006-03-03,0,48.59
2006-03-10,0,48.78
2006-03-17,0,50.45
2006-03-24,0,48.79
2006-03-31,0,48.86
2006-04-07,0,47.94
2006-04-14,0,
2006-04-21,0,49.04
2006-04-28,0,51.68
2006-05-05,0,52.48
2006-05-12,0,53.17
2006-05-19,0,52.39
2006-05-26,0,51.39
2006-06-02,0,50.87
2006-06-09,0,51.71
2006-06-16,0,51.91
2006-06-23,0,49.92
2006-06-30,0,50.27
2006-07-07,0,50.34
2006-07-14,0,47.71
2006-07-21,0,44.93
2006-07-28,0,45.01
2006-08-04,0,47.00
2006-08-11,0,46.15
2006-08-18,0,49.10
2006-08-25,0,47.52
2006-09-01,0,49.38
2006-09-08,0,49.65
2006-09-15,0,52.90
2006-09-22,0,52.49
2006-09-29,0,52.05
2006-10-06,0,54.00
2006-10-13,0,58.03
2006-10-20,0,58.05
2006-10-27,0,58.96
2006-11-03,0,58.02
2006-11-10,0,60.74
2006-11-17,0,62.00
2006-11-24,0,63.12
2006-12-01,0,60.95
2006-12-08,0,59.72
2006-12-15,0,58.68
2006-12-22,0,58.77
2006-12-29,0,58.80
2007-01-05,0,58.19
2007-01-12,0,59.87
2007-01-19,0,59.00
2007-01-26,0,59.24
2007-02-02,0,59.67
2007-02-09,0,60.49
2007-02-16,0,60.27
2007-02-23,0,60.51
2007-03-02,0,56.51
2007-03-09,0,57.72
2007-03-16,0,57.74
2007-03-23,0,59.45
2007-03-30,0,57.76
2007-04-06,0,
2007-04-13,0,59.63
2007-04-20,0,61.07
2007-04-27,0,62.84
2007-05-04,0,67.01
2007-05-11,0,66.69
2007-05-18,0,66.89
2007-05-25,0,67.30
2007-06-01,0,68.25
2007-06-08,0,67.22
2007-06-15,0,68.22
2007-06-22,0,64.83
2007-06-29,0,32.72
2007-07-06,0,34.05
2007-07-13,0,34.48
2007-07-20,0,34.13
2007-07-27,0,31.79
2007-08-03,0,31.30
2007-08-10,0,31.19
2007-08-17,0,31.30
2007-08-24,0,33.10
2007-08-31,0,32.72
2007-09-07,0,31.71
2007-09-14,0,32.50
2007-09-21,0,34.28
2007-09-28,0,33.83
2007-10-05,0,34.35
2007-10-12,0,37.24
2007-10-19,0,37.47
2007-10-26,0,39.13
2007-11-02,0,39.07
2007-11-09,0,37.78
2007-11-16,0,38.07
2007-11-23,0,37.65
2007-11-30,0,37.15
2007-12-07,0,39.48
2007-12-14,0,38.39
2007-12-21,0,38.47
2007-12-28,0,38.54
2008-01-04,0,36.82
2008-01-11,0,36.34
2008-01-18,0,33.39
2008-01-25,0,36.24
2008-02-01,0,35.24
2008-02-08,0,34.15
2008-02-15,0,35.26
2008-02-22,0,34.85
2008-02-29,0,34.45
2008-03-07,0,35.13
2008-03-14,0,36.03
2008-03-21,0,
2008-03-28,0,36.85
2008-04-04,0,38.88
2008-04-11,0,37.47
2008-04-18,0,39.72
2008-04-25,0,41.05
2008-05-02,0,40.50
2008-05-09,0,39.74
2008-05-16,0,40.83
2008-05-23,0,38.49
2008-05-30,0,39.70
2008-06-06,0,37.89
2008-06-13,0,37.87
2008-06-20,0,36.53
2008-06-27,0,35.01
2008-07-04,0,
2008-07-11,0,35.68
2008-07-18,0,35.15
2008-07-25,0,34.17
2008-08-01,0,35.35
2008-08-08,0,38.22
2008-08-15,0,37.40
2008-08-22,0,36.37
2008-08-29,0,35.68
2008-09-05,0,36.96
2008-09-12,0,38.05
2008-09-19,0,39.23
2008-09-26,0,33.94
2008-10-03,0,30.79
2008-10-10,0,27.57
2008-10-17,0,27.80
2008-10-24,0,26.02
2008-10-31,0,29.01
2008-11-07,0,27.33
2008-11-14,0,24.98
2008-11-21,0,24.22
2008-11-28,0,26.94
2008-12-05,0,29.00
2008-12-12,0,27.86
2008-12-19,0,30.39
2008-12-26,0,30.28
2009-01-02,0,32.00
2009-01-09,0,30.62
2009-01-16,0,29.91
2009-01-23,0,29.08
2009-01-30,0,28.62
2009-02-06,0,30.08
2009-02-13,0,29.14
2009-02-20,0,28.13
2009-02-27,0,26.28
2009-03-06,0,24.50
2009-03-13,100,26.98
2009-03-20,0,26.61
2009-03-27,0,28.79
2009-04-03,0,30.33
2009-04-10,0,
2009-04-17,0,32.07
2009-04-24,0,34.87
2009-05-01,0,33.10
2009-05-08,0,33.92
2009-05-15,0,33.16
2009-05-22,0,33.85
2009-05-29,0,34.63
2009-06-05,0,35.76
2009-06-12,0,35.01
2009-06-19,0,34.48
2009-06-26,0,33.23
2009-07-03,0,
2009-07-10,0,34.98
2009-07-17,0,33.61
2009-07-24,0,33.90
2009-07-31,0,35.46
2009-08-07,0,36.56
2009-08-14,0,34.94
2009-08-21,0,36.02
2009-08-28,0,34.92
2009-09-04,0,34.04
2009-09-11,0,33.40
2009-09-18,0,34.74
2009-09-25,0,32.50
2009-10-02,0,33.15
2009-10-09,0,35.00
2009-10-16,0,35.25
2009-10-23,0,34.29
2009-10-30,0,32.95
2009-11-06,0,35.23
2009-11-13,0,35.29
2009-11-20,0,35.73
2009-11-27,0,35.40
2009-12-04,0,34.03
2009-12-11,0,34.46
2009-12-18,0,34.51
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,34.72
2010-01-15,0,35.67
2010-01-22,0,34.29
2010-01-29,0,34.21
2010-02-05,0,32.98
2010-02-12,0,33.36
2010-02-19,0,33.79
2010-02-26,0,33.72
2010-03-05,0,34.87
2010-03-12,0,37.47
2010-03-19,0,37.94
2010-03-26,0,38.27
2010-04-02,0,
2010-04-09,0,40.70
2010-04-16,0,42.70
2010-04-23,0,43.44
2010-04-30,0,42.42
2010-05-07,0,39.61
2010-05-14,0,40.57
2010-05-21,0,40.15
2010-05-28,0,40.95
2010-06-04,0,40.86
2010-06-11,0,42.00
2010-06-18,0,42.49
2010-06-25,0,40.96
2010-07-02,0,38.53
2010-07-09,0,40.27
2010-07-16,0,40.07
2010-07-23,0,41.62
2010-07-30,0,41.30
2010-08-06,0,42.36
2010-08-13,0,40.85
2010-08-20,0,42.32
2010-08-27,0,42.32
2010-09-03,0,44.35
2010-09-10,0,44.52
2010-09-17,0,45.75
2010-09-24,0,46.50
2010-10-01,0,46.48
2010-10-08,0,47.65
2010-10-15,0,48.85
2010-10-22,0,49.57
2010-10-29,0,49.56
2010-11-05,0,51.33
2010-11-12,0,50.79
2010-11-19,0,50.79
2010-11-26,0,50.05
2010-12-03,80,50.57
2010-12-10,0,50.26
2010-12-17,0,50.05
2010-12-24,0,
2010-12-31,0,49.05
2011-01-07,0,49.52
2011-01-14,0,47.84
2011-01-21,70,48.27
2011-01-28,0,46.40
2011-02-04,0,49.30
2011-02-11,0,49.77
2011-02-18,0,51.17
2011-02-25,0,50.01
2011-03-04,0,50.97
2011-03-11,0,52.58
2011-03-18,0,51.00
2011-03-25,0,51.84
2011-04-01,0,51.40
2011-04-08,75,49.58
2011-04-15,69,51.12
2011-04-22,69,
2011-04-29,69,53.64
2011-05-06,69,53.64
2011-05-13,69,54.86
2011-05-20,0,56.26
2011-05-27,0,55.45
2011-06-03,0,54.42
2011-06-10,0,52.80
2011-06-17,0,54.83
2011-06-24,0,53.84
2011-07-01,0,56.75
2011-07-08,63,55.61
2011-07-15,0,55.51
2011-07-22,0,54.57
2011-07-29,0,52.82
2011-08-05,0,50.71
2011-08-12,0,51.34
2011-08-19,62,49.41
2011-08-26,0,52.77
2011-09-02,0,52.65
2011-09-09,0,51.53
2011-09-16,0,53.85
2011-09-23,0,51.66
2011-09-30,0,49.39
2011-10-07,0,49.24
2011-10-14,0,52.14
2011-10-21,0,53.74
2011-10-28,0,54.14
2011-11-04,0,53.98
2011-11-11,0,55.81
2011-11-18,54,53.84
2011-11-25,49,52.72
2011-12-02,51,56.25
2011-12-09,53,57.96
2011-12-16,54,57.70
2011-12-23,56,59.03
2011-12-30,50,59.01
2012-01-06,50,59.85
2012-01-13,50,61.23
2012-01-20,50,62.48
2012-01-27,45,62.85
2012-02-03,45,63.84
2012-02-10,59,64.74
2012-02-17,59,65.25
2012-02-24,60,65.54
2012-03-02,61,66.24
2012-03-09,62,67.41
2012-03-16,62,68.40
2012-03-23,0,70.64
2012-03-30,0,71.18
2012-04-06,0,
2012-04-13,0,72.86
2012-04-20,0,73.93
2012-04-27,0,73.32
2012-05-04,0,71.15
2012-05-11,53,71.70
2012-05-18,49,67.43
2012-05-25,49,70.40
2012-06-01,55,64.70
2012-06-08,60,64.59
2012-06-15,65,64.99
2012-06-22,57,66.11
2012-06-29,57,64.42
2012-07-06,49,64.92
2012-07-13,44,64.72
2012-07-20,49,64.95
2012-07-27,53,66.73
2012-08-03,58,67.53
2012-08-10,49,66.83
2012-08-17,0,66.10
2012-08-24,0,64.03
2012-08-31,0,63.72
2012-09-07,0,65.75
2012-09-14,0,66.56
2012-09-21,51,68.52
2012-09-28,41,66.34
2012-10-05,41,66.00
2012-10-12,41,69.45
2012-10-19,44,70.09
2012-10-26,44,69.90
2012-11-02,44,72.12
2012-11-09,44,71.97
2012-11-16,44,71.89
2012-11-23,55,74.00
2012-11-30,66,67.08
2012-12-07,39,66.30
2012-12-14,54,67.90
2012-12-21,52,63.88
2012-12-28,48,64.72
2013-01-04,58,68.32
2013-01-11,52,66.87
2013-01-18,51,65.15
2013-01-25,48,64.63
2013-02-01,44,65.93
2013-02-08,44,65.30
2013-02-15,48,63.99
2013-02-22,50,65.45
2013-03-01,50,65.21
2013-03-08,43,67.72
2013-03-15,39,70.20
2013-03-22,39,69.69
2013-03-29,41,
2013-04-05,43,66.97
2013-04-12,43,67.80
2013-04-19,43,65.04
2013-04-26,36,66.86
2013-05-03,43,68.91
2013-05-10,36,70.36
2013-05-17,35,70.16
2013-05-24,60,69.21
2013-05-31,50,67.75
2013-06-07,35,73.52
2013-06-14,65,71.11
2013-06-21,53,68.98
2013-06-28,35,69.34
2013-07-05,40,71.66
2013-07-12,51,70.64
2013-07-19,37,72.08
2013-07-26,62,74.00
2013-08-02,47,74.39
2013-08-09,47,74.40
2013-08-16,48,72.16
2013-08-23,50,72.57
2013-08-30,46,70.02
2013-09-06,37,69.61
2013-09-13,37,72.53
2013-09-20,37,72.09
2013-09-27,39,72.13
2013-10-04,42,71.53
2013-10-11,44,67.00
2013-10-18,54,66.68
2013-10-25,54,66.57
2013-11-01,54,68.48
2013-11-08,43,70.57
2013-11-15,43,73.98
2013-11-22,56,78.30
2013-11-29,62,77.68
2013-12-06,32,74.37
2013-12-13,33,71.81
2013-12-20,42,73.39
2013-12-27,51,73.87
2014-01-03,53,75.56
2014-01-10,54,75.02
2014-01-17,32,72.10
2014-01-24,69,68.82
2014-01-31,56,67.15
2014-02-07,45,71.73
2014-02-14,59,73.42
2014-02-21,43,72.85
2014-02-28,43,74.08
2014-03-07,31,77.16
2014-03-14,43,75.08
2014-03-21,56,75.27
2014-03-28,34,74.20
2014-04-04,34,75.44
2014-04-11,34,74.37
2014-04-18,33,
2014-04-25,57,77.67
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
