Date,sell ABC,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,55.59
2004-02-13,0,56.61
2004-02-20,0,56.90
2004-02-27,0,58.03
2004-03-05,0,58.34
2004-03-12,0,56.21
2004-03-19,0,53.80
2004-03-26,0,53.50
2004-04-02,0,54.79
2004-04-09,0,
2004-04-16,0,55.43
2004-04-23,0,58.00
2004-04-30,0,57.89
2004-05-07,0,60.89
2004-05-14,0,58.97
2004-05-21,0,57.94
2004-05-28,0,59.98
2004-06-04,0,61.64
2004-06-11,0,
2004-06-18,0,59.75
2004-06-25,0,58.44
2004-07-02,0,55.55
2004-07-09,0,53.09
2004-07-16,0,52.90
2004-07-23,0,55.38
2004-07-30,0,54.06
2004-08-06,0,52.99
2004-08-13,0,49.91
2004-08-20,0,52.78
2004-08-27,0,54.07
2004-09-03,0,56.27
2004-09-10,0,54.50
2004-09-17,0,55.05
2004-09-24,0,54.92
2004-10-01,0,55.02
2004-10-08,0,52.92
2004-10-15,0,52.60
2004-10-22,0,51.75
2004-10-29,0,55.04
2004-11-05,0,57.53
2004-11-12,0,59.00
2004-11-19,0,57.30
2004-11-26,0,57.92
2004-12-03,0,59.83
2004-12-10,0,63.68
2004-12-17,0,61.67
2004-12-24,0,
2004-12-31,0,58.68
2005-01-07,0,57.90
2005-01-14,0,57.27
2005-01-21,0,57.01
2005-01-28,0,58.37
2005-02-04,0,59.60
2005-02-11,0,60.34
2005-02-18,0,60.00
2005-02-25,0,60.00
2005-03-04,0,62.65
2005-03-11,0,60.31
2005-03-18,0,60.86
2005-03-25,0,
2005-04-01,0,56.36
2005-04-08,0,57.83
2005-04-15,0,60.50
2005-04-22,0,60.00
2005-04-29,0,61.28
2005-05-06,0,62.99
2005-05-13,0,63.92
2005-05-20,0,65.97
2005-05-27,0,65.02
2005-06-03,0,65.10
2005-06-10,0,64.56
2005-06-17,0,68.17
2005-06-24,0,67.05
2005-07-01,0,69.35
2005-07-08,0,70.89
2005-07-15,0,70.82
2005-07-22,0,69.31
2005-07-29,0,71.79
2005-08-05,0,72.05
2005-08-12,0,73.00
2005-08-19,0,71.89
2005-08-26,0,72.69
2005-09-02,0,73.83
2005-09-09,0,74.95
2005-09-16,0,78.22
2005-09-23,0,77.10
2005-09-30,0,77.30
2005-10-07,0,75.98
2005-10-14,0,74.81
2005-10-21,0,75.06
2005-10-28,0,75.34
2005-11-04,0,76.50
2005-11-11,0,76.98
2005-11-18,0,78.00
2005-11-25,0,79.39
2005-12-02,0,79.46
2005-12-09,0,81.43
2005-12-16,0,81.93
2005-12-23,0,81.80
2005-12-30,0,41.40
2006-01-06,0,41.00
2006-01-13,0,41.42
2006-01-20,0,41.03
2006-01-27,0,44.08
2006-02-03,0,43.60
2006-02-10,0,43.66
2006-02-17,0,43.97
2006-02-24,0,45.88
2006-03-03,0,45.50
2006-03-10,0,45.76
2006-03-17,0,47.71
2006-03-24,0,47.30
2006-03-31,0,48.27
2006-04-07,0,46.10
2006-04-14,0,
2006-04-21,0,46.89
2006-04-28,0,43.15
2006-05-05,0,43.92
2006-05-12,0,43.98
2006-05-19,0,43.45
2006-05-26,0,44.25
2006-06-02,0,43.73
2006-06-09,0,41.79
2006-06-16,0,41.30
2006-06-23,0,40.97
2006-06-30,0,41.92
2006-07-07,0,42.25
2006-07-14,0,41.69
2006-07-21,0,41.98
2006-07-28,0,43.00
2006-08-04,0,42.72
2006-08-11,0,43.31
2006-08-18,0,43.67
2006-08-25,0,43.72
2006-09-01,0,45.44
2006-09-08,0,44.95
2006-09-15,0,46.41
2006-09-22,0,44.43
2006-09-29,0,45.20
2006-10-06,0,45.95
2006-10-13,0,46.15
2006-10-20,0,46.69
2006-10-27,0,46.73
2006-11-03,0,45.42
2006-11-10,0,45.13
2006-11-17,0,46.97
2006-11-24,0,45.22
2006-12-01,0,45.73
2006-12-08,0,46.00
2006-12-15,0,46.43
2006-12-22,0,44.66
2006-12-29,0,44.96
2007-01-05,0,45.73
2007-01-12,0,47.37
2007-01-19,0,48.01
2007-01-26,0,52.83
2007-02-02,0,52.33
2007-02-09,0,53.51
2007-02-16,0,54.90
2007-02-23,0,55.01
2007-03-02,0,51.68
2007-03-09,0,53.09
2007-03-16,0,51.86
2007-03-23,0,53.89
2007-03-30,0,52.75
2007-04-06,0,
2007-04-13,0,54.35
2007-04-20,0,54.76
2007-04-27,0,50.33
2007-05-04,0,51.32
2007-05-11,0,50.00
2007-05-18,0,51.32
2007-05-25,0,52.20
2007-06-01,0,51.34
2007-06-08,0,51.20
2007-06-15,0,50.49
2007-06-22,0,49.40
2007-06-29,0,49.47
2007-07-06,0,49.93
2007-07-13,0,50.16
2007-07-20,0,48.33
2007-07-27,0,46.33
2007-08-03,0,46.09
2007-08-10,0,45.56
2007-08-17,0,46.15
2007-08-24,0,47.74
2007-08-31,0,47.85
2007-09-07,0,47.10
2007-09-14,0,44.65
2007-09-21,0,45.32
2007-09-28,0,45.33
2007-10-05,0,45.84
2007-10-12,0,45.45
2007-10-19,0,44.27
2007-10-26,0,44.54
2007-11-02,0,43.88
2007-11-09,0,43.72
2007-11-16,0,44.98
2007-11-23,0,43.89
2007-11-30,0,45.37
2007-12-07,0,45.89
2007-12-14,0,42.83
2007-12-21,0,44.55
2007-12-28,0,45.50
2008-01-04,0,43.80
2008-01-11,0,47.31
2008-01-18,0,46.59
2008-01-25,0,44.97
2008-02-01,0,46.63
2008-02-08,0,45.33
2008-02-15,0,43.62
2008-02-22,0,43.07
2008-02-29,0,41.72
2008-03-07,0,41.13
2008-03-14,0,39.18
2008-03-21,0,
2008-03-28,0,40.99
2008-04-04,0,40.91
2008-04-11,0,39.35
2008-04-18,0,40.77
2008-04-25,0,40.93
2008-05-02,0,41.45
2008-05-09,0,41.19
2008-05-16,0,41.13
2008-05-23,0,41.14
2008-05-30,0,41.33
2008-06-06,0,41.12
2008-06-13,0,40.98
2008-06-20,0,39.78
2008-06-27,0,39.21
2008-07-04,0,
2008-07-11,0,38.36
2008-07-18,0,37.86
2008-07-25,0,42.19
2008-08-01,0,42.04
2008-08-08,0,43.15
2008-08-15,0,42.39
2008-08-22,0,42.09
2008-08-29,0,41.01
2008-09-05,0,40.55
2008-09-12,0,41.06
2008-09-19,0,39.43
2008-09-26,0,38.29
2008-10-03,0,37.00
2008-10-10,0,29.45
2008-10-17,0,31.02
2008-10-24,0,30.66
2008-10-31,0,31.27
2008-11-07,0,30.25
2008-11-14,0,29.98
2008-11-21,0,29.75
2008-11-28,0,31.35
2008-12-05,0,30.75
2008-12-12,0,33.06
2008-12-19,0,34.40
2008-12-26,0,34.41
2009-01-02,0,35.57
2009-01-09,0,35.93
2009-01-16,0,37.41
2009-01-23,0,36.07
2009-01-30,0,36.32
2009-02-06,0,38.76
2009-02-13,0,37.35
2009-02-20,0,35.65
2009-02-27,0,31.76
2009-03-06,0,30.71
2009-03-13,0,31.25
2009-03-20,0,30.58
2009-03-27,0,32.29
2009-04-03,0,32.77
2009-04-10,0,
2009-04-17,0,34.84
2009-04-24,0,34.58
2009-05-01,0,34.35
2009-05-08,0,36.29
2009-05-15,0,34.99
2009-05-22,0,36.58
2009-05-29,0,37.10
2009-06-05,70,36.38
2009-06-12,0,36.55
2009-06-19,0,18.31
2009-06-26,0,18.17
2009-07-03,0,
2009-07-10,0,17.72
2009-07-17,0,18.98
2009-07-24,0,19.31
2009-07-31,0,19.72
2009-08-07,0,20.34
2009-08-14,0,20.44
2009-08-21,0,21.05
2009-08-28,0,21.20
2009-09-04,0,21.29
2009-09-11,0,21.66
2009-09-18,0,21.76
2009-09-25,0,21.51
2009-10-02,0,21.62
2009-10-09,0,22.61
2009-10-16,0,23.53
2009-10-23,0,23.19
2009-10-30,0,22.15
2009-11-06,0,23.62
2009-11-13,0,24.60
2009-11-20,0,24.49
2009-11-27,0,24.86
2009-12-04,0,24.67
2009-12-11,0,24.79
2009-12-18,0,26.03
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,26.05
2010-01-15,0,26.92
2010-01-22,0,26.66
2010-01-29,0,27.26
2010-02-05,0,27.01
2010-02-12,0,27.35
2010-02-19,0,28.14
2010-02-26,0,28.04
2010-03-05,0,28.41
2010-03-12,0,27.93
2010-03-19,0,28.68
2010-03-26,0,28.59
2010-04-02,0,
2010-04-09,58,29.47
2010-04-16,57,29.88
2010-04-23,57,31.13
2010-04-30,57,30.85
2010-05-07,57,29.91
2010-05-14,57,31.31
2010-05-21,66,30.83
2010-05-28,74,31.28
2010-06-04,0,30.77
2010-06-11,0,31.92
2010-06-18,0,32.56
2010-06-25,0,31.87
2010-07-02,0,30.92
2010-07-09,77,31.84
2010-07-16,65,32.14
2010-07-23,65,30.53
2010-07-30,62,29.97
2010-08-06,62,30.24
2010-08-13,62,29.04
2010-08-20,62,28.92
2010-08-27,62,27.73
2010-09-03,64,28.08
2010-09-10,66,28.47
2010-09-17,66,30.18
2010-09-24,67,31.35
2010-10-01,67,30.85
2010-10-08,53,31.67
2010-10-15,68,32.29
2010-10-22,57,32.06
2010-10-29,52,32.83
2010-11-05,54,31.68
2010-11-12,56,31.32
2010-11-19,51,31.02
2010-11-26,51,30.89
2010-12-03,53,32.14
2010-12-10,54,32.11
2010-12-17,55,33.18
2010-12-24,0,
2010-12-31,0,34.12
2011-01-07,0,34.93
2011-01-14,0,35.43
2011-01-21,0,36.10
2011-01-28,0,36.00
2011-02-04,69,36.56
2011-02-11,59,36.66
2011-02-18,62,37.79
2011-02-25,58,37.39
2011-03-04,58,37.67
2011-03-11,54,37.02
2011-03-18,54,37.30
2011-03-25,42,39.29
2011-04-01,42,40.35
2011-04-08,42,40.20
2011-04-15,63,39.59
2011-04-22,44,
2011-04-29,43,40.64
2011-05-06,52,41.47
2011-05-13,61,42.04
2011-05-20,70,41.59
2011-05-27,54,41.06
2011-06-03,42,40.35
2011-06-10,46,41.12
2011-06-17,49,41.00
2011-06-24,70,40.14
2011-07-01,46,42.12
2011-07-08,46,42.65
2011-07-15,46,41.99
2011-07-22,50,40.52
2011-07-29,46,38.31
2011-08-05,64,36.81
2011-08-12,81,38.30
2011-08-19,53,37.54
2011-08-26,51,38.48
2011-09-02,41,38.81
2011-09-09,41,38.40
2011-09-16,41,39.31
2011-09-23,41,37.76
2011-09-30,54,37.27
2011-10-07,67,35.78
2011-10-14,50,38.18
2011-10-21,52,39.71
2011-10-28,48,42.08
2011-11-04,40,39.22
2011-11-11,40,39.67
2011-11-18,42,37.28
2011-11-25,43,35.98
2011-12-02,57,37.01
2011-12-09,53,36.37
2011-12-16,36,36.75
2011-12-23,45,37.42
2011-12-30,55,37.19
2012-01-06,39,38.59
2012-01-13,40,37.80
2012-01-20,50,40.09
2012-01-27,53,38.98
2012-02-03,86,39.23
2012-02-10,46,38.60
2012-02-17,33,36.68
2012-02-24,59,37.70
2012-03-02,37,36.59
2012-03-09,54,37.86
2012-03-16,58,38.32
2012-03-23,42,38.96
2012-03-30,46,39.66
2012-04-06,57,
2012-04-13,44,37.53
2012-04-20,32,37.75
2012-04-27,42,36.90
2012-05-04,46,36.17
2012-05-11,51,36.62
2012-05-18,39,35.99
2012-05-25,44,36.90
2012-06-01,49,36.28
2012-06-08,48,37.06
2012-06-15,58,37.29
2012-06-22,55,37.93
2012-06-29,61,39.35
2012-07-06,58,38.76
2012-07-13,58,39.64
2012-07-20,45,39.21
2012-07-27,43,38.66
2012-08-03,39,39.39
2012-08-10,39,38.69
2012-08-17,37,37.54
2012-08-24,36,38.10
2012-08-31,51,38.52
2012-09-07,47,38.18
2012-09-14,37,37.36
2012-09-21,47,38.97
2012-09-28,61,38.71
2012-10-05,37,39.52
2012-10-12,44,39.50
2012-10-19,56,40.28
2012-10-26,74,39.34
2012-11-02,50,40.50
2012-11-09,41,40.47
2012-11-16,44,40.26
2012-11-23,50,41.38
2012-11-30,48,42.22
2012-12-07,53,42.27
2012-12-14,62,43.36
2012-12-21,70,43.64
2012-12-28,67,42.82
2013-01-04,76,43.69
2013-01-11,63,43.84
2013-01-18,73,45.85
2013-01-25,35,45.03
2013-02-01,50,46.53
2013-02-08,72,46.89
2013-02-15,40,46.60
2013-02-22,60,46.95
2013-03-01,34,47.98
2013-03-08,45,48.48
2013-03-15,41,48.89
2013-03-22,46,49.82
2013-03-29,43,
2013-04-05,60,52.08
2013-04-12,52,54.18
2013-04-19,62,55.92
2013-04-26,42,53.26
2013-05-03,42,54.57
2013-05-10,52,54.84
2013-05-17,41,54.99
2013-05-24,31,54.44
2013-05-31,34,54.08
2013-06-07,59,52.94
2013-06-14,47,54.93
2013-06-21,60,54.34
2013-06-28,57,55.83
2013-07-05,51,55.56
2013-07-12,48,58.39
2013-07-19,30,58.81
2013-07-26,56,58.47
2013-08-02,26,58.48
2013-08-09,69,59.49
2013-08-16,51,56.53
2013-08-23,44,57.45
2013-08-30,44,56.92
2013-09-06,52,58.24
2013-09-13,62,60.28
2013-09-20,29,61.65
2013-09-27,42,61.28
2013-10-04,39,62.47
2013-10-11,47,62.65
2013-10-18,65,64.61
2013-10-25,48,65.24
2013-11-01,42,66.38
2013-11-08,50,68.00
2013-11-15,61,69.50
2013-11-22,57,70.02
2013-11-29,46,70.53
2013-12-06,45,70.29
2013-12-13,65,68.45
2013-12-20,79,69.82
2013-12-27,75,70.21
2014-01-03,52,69.94
2014-01-10,56,71.34
2014-01-17,46,70.53
2014-01-24,78,67.25
2014-01-31,52,67.22
2014-02-07,57,66.54
2014-02-14,63,68.00
2014-02-21,68,68.40
2014-02-28,45,67.85
2014-03-07,100,68.94
2014-03-14,43,67.57
2014-03-21,59,64.82
2014-03-28,43,64.82
2014-04-04,56,65.05
2014-04-11,56,64.17
2014-04-18,64,
2014-04-25,49,62.83
2014-05-02,0,
