Date,sell ACE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,44.60
2004-02-13,0,45.14
2004-02-20,0,44.48
2004-02-27,0,44.96
2004-03-05,0,45.11
2004-03-12,0,44.18
2004-03-19,0,42.46
2004-03-26,0,42.34
2004-04-02,0,44.04
2004-04-09,0,
2004-04-16,0,43.35
2004-04-23,0,43.10
2004-04-30,0,43.84
2004-05-07,0,41.83
2004-05-14,0,41.38
2004-05-21,0,41.18
2004-05-28,0,41.18
2004-06-04,0,42.27
2004-06-11,0,
2004-06-18,0,42.40
2004-06-25,0,42.70
2004-07-02,0,41.90
2004-07-09,0,41.93
2004-07-16,0,42.28
2004-07-23,0,38.65
2004-07-30,0,40.59
2004-08-06,0,38.43
2004-08-13,0,38.28
2004-08-20,0,39.28
2004-08-27,0,39.02
2004-09-03,0,38.95
2004-09-10,0,38.85
2004-09-17,0,39.96
2004-09-24,0,39.19
2004-10-01,0,41.10
2004-10-08,0,41.04
2004-10-15,0,34.98
2004-10-22,0,34.55
2004-10-29,0,38.06
2004-11-05,0,39.09
2004-11-12,0,39.20
2004-11-19,0,38.99
2004-11-26,0,40.18
2004-12-03,0,41.04
2004-12-10,0,40.61
2004-12-17,0,42.45
2004-12-24,0,
2004-12-31,0,42.75
2005-01-07,0,42.50
2005-01-14,0,42.50
2005-01-21,0,42.83
2005-01-28,0,42.13
2005-02-04,0,45.98
2005-02-11,0,47.25
2005-02-18,0,44.91
2005-02-25,0,44.98
2005-03-04,0,45.62
2005-03-11,0,45.63
2005-03-18,0,43.05
2005-03-25,0,
2005-04-01,0,39.93
2005-04-08,0,40.20
2005-04-15,0,39.29
2005-04-22,0,40.02
2005-04-29,0,42.96
2005-05-06,0,43.38
2005-05-13,0,41.81
2005-05-20,0,43.36
2005-05-27,0,43.40
2005-06-03,0,43.27
2005-06-10,0,44.69
2005-06-17,0,45.90
2005-06-24,0,43.84
2005-07-01,0,45.29
2005-07-08,0,45.40
2005-07-15,0,45.88
2005-07-22,0,46.51
2005-07-29,0,46.21
2005-08-05,0,45.73
2005-08-12,0,44.88
2005-08-19,0,45.11
2005-08-26,0,45.05
2005-09-02,0,44.63
2005-09-09,0,44.18
2005-09-16,0,47.31
2005-09-23,0,45.88
2005-09-30,0,47.07
2005-10-07,0,47.96
2005-10-14,0,49.07
2005-10-21,0,50.14
2005-10-28,0,51.55
2005-11-04,0,53.49
2005-11-11,0,55.90
2005-11-18,0,55.74
2005-11-25,0,56.05
2005-12-02,0,55.50
2005-12-09,0,54.94
2005-12-16,0,54.80
2005-12-23,0,53.83
2005-12-30,0,53.44
2006-01-06,0,56.06
2006-01-13,0,54.90
2006-01-20,0,52.90
2006-01-27,0,53.64
2006-02-03,0,54.08
2006-02-10,0,52.91
2006-02-17,0,54.52
2006-02-24,0,55.35
2006-03-03,0,54.82
2006-03-10,0,54.93
2006-03-17,0,56.43
2006-03-24,0,53.91
2006-03-31,0,52.01
2006-04-07,0,51.19
2006-04-14,0,
2006-04-21,0,53.97
2006-04-28,0,55.54
2006-05-05,0,54.34
2006-05-12,0,53.00
2006-05-19,0,52.51
2006-05-26,0,52.67
2006-06-02,0,50.94
2006-06-09,0,50.12
2006-06-16,0,48.60
2006-06-23,0,48.56
2006-06-30,0,50.59
2006-07-07,0,49.80
2006-07-14,0,49.70
2006-07-21,0,51.23
2006-07-28,0,52.13
2006-08-04,0,50.69
2006-08-11,0,49.31
2006-08-18,0,52.08
2006-08-25,0,52.13
2006-09-01,0,54.02
2006-09-08,0,54.93
2006-09-15,0,55.39
2006-09-22,0,54.42
2006-09-29,0,54.73
2006-10-06,0,56.28
2006-10-13,0,58.30
2006-10-20,0,56.65
2006-10-27,0,57.77
2006-11-03,0,56.58
2006-11-10,0,57.62
2006-11-17,0,57.80
2006-11-24,0,57.62
2006-12-01,0,56.38
2006-12-08,0,58.11
2006-12-15,0,60.72
2006-12-22,0,60.18
2006-12-29,0,60.57
2007-01-05,0,59.13
2007-01-12,0,58.80
2007-01-19,0,59.30
2007-01-26,0,58.23
2007-02-02,0,58.72
2007-02-09,0,58.23
2007-02-16,0,58.66
2007-02-23,0,57.59
2007-03-02,0,55.42
2007-03-09,0,55.01
2007-03-16,0,54.97
2007-03-23,0,56.87
2007-03-30,0,57.06
2007-04-06,0,
2007-04-13,0,58.15
2007-04-20,0,58.53
2007-04-27,0,60.38
2007-05-04,0,59.90
2007-05-11,0,62.20
2007-05-18,0,61.74
2007-05-25,0,61.33
2007-06-01,0,61.45
2007-06-08,0,61.28
2007-06-15,0,62.37
2007-06-22,0,62.49
2007-06-29,0,62.52
2007-07-06,0,62.60
2007-07-13,0,61.77
2007-07-20,0,60.55
2007-07-27,0,57.33
2007-08-03,0,54.72
2007-08-10,0,56.65
2007-08-17,0,57.50
2007-08-24,0,60.00
2007-08-31,0,57.76
2007-09-07,0,56.16
2007-09-14,0,57.95
2007-09-21,0,59.41
2007-09-28,0,60.57
2007-10-05,0,62.20
2007-10-12,0,63.00
2007-10-19,0,58.92
2007-10-26,0,60.66
2007-11-02,0,57.94
2007-11-09,0,58.53
2007-11-16,0,58.16
2007-11-23,0,58.78
2007-11-30,0,59.83
2007-12-07,0,60.84
2007-12-14,0,59.51
2007-12-21,0,61.91
2007-12-28,0,61.90
2008-01-04,0,60.74
2008-01-11,0,60.18
2008-01-18,0,56.49
2008-01-25,0,57.64
2008-02-01,0,59.32
2008-02-08,0,57.30
2008-02-15,0,57.81
2008-02-22,0,58.42
2008-02-29,0,56.24
2008-03-07,0,54.91
2008-03-14,0,53.66
2008-03-21,0,
2008-03-28,0,54.47
2008-04-04,0,57.02
2008-04-11,0,56.19
2008-04-18,0,59.18
2008-04-25,0,59.16
2008-05-02,0,61.50
2008-05-09,0,59.74
2008-05-16,0,61.28
2008-05-23,0,58.67
2008-05-30,0,60.07
2008-06-06,0,61.22
2008-06-13,0,60.73
2008-06-20,0,57.11
2008-06-27,0,55.24
2008-07-04,0,
2008-07-11,0,49.30
2008-07-18,0,49.03
2008-07-25,0,47.90
2008-08-01,0,51.38
2008-08-08,0,54.11
2008-08-15,0,52.13
2008-08-22,0,51.66
2008-08-29,0,52.61
2008-09-05,0,52.30
2008-09-12,0,52.12
2008-09-19,0,66.00
2008-09-26,0,57.30
2008-10-03,0,52.75
2008-10-10,0,40.75
2008-10-17,0,46.58
2008-10-24,0,48.51
2008-10-31,0,57.36
2008-11-07,0,53.40
2008-11-14,0,52.70
2008-11-21,0,45.85
2008-11-28,0,52.25
2008-12-05,0,51.83
2008-12-12,0,47.11
2008-12-19,0,52.06
2008-12-26,0,51.92
2009-01-02,0,53.03
2009-01-09,0,49.75
2009-01-16,0,49.77
2009-01-23,0,44.13
2009-01-30,0,43.66
2009-02-06,0,44.47
2009-02-13,0,42.33
2009-02-20,0,39.38
2009-02-27,0,36.51
2009-03-06,0,32.50
2009-03-13,0,36.61
2009-03-20,0,38.68
2009-03-27,0,40.15
2009-04-03,0,43.87
2009-04-10,0,
2009-04-17,0,45.96
2009-04-24,0,44.00
2009-05-01,0,45.84
2009-05-08,0,43.52
2009-05-15,0,43.12
2009-05-22,51,43.94
2009-05-29,0,43.99
2009-06-05,0,46.01
2009-06-12,0,44.98
2009-06-19,0,42.90
2009-06-26,0,43.96
2009-07-03,66,
2009-07-10,0,41.80
2009-07-17,0,44.44
2009-07-24,0,48.40
2009-07-31,0,49.06
2009-08-07,0,50.54
2009-08-14,0,49.29
2009-08-21,0,50.52
2009-08-28,59,52.38
2009-09-04,0,51.56
2009-09-11,0,51.24
2009-09-18,0,50.03
2009-09-25,0,51.46
2009-10-02,0,53.76
2009-10-09,0,54.51
2009-10-16,0,54.85
2009-10-23,50,54.38
2009-10-30,0,51.36
2009-11-06,0,51.28
2009-11-13,0,51.50
2009-11-20,0,49.73
2009-11-27,0,48.18
2009-12-04,0,48.81
2009-12-11,0,50.21
2009-12-18,0,48.85
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,47.50
2010-01-15,0,48.21
2010-01-22,0,47.89
2010-01-29,0,49.27
2010-02-05,0,48.33
2010-02-12,0,48.81
2010-02-19,0,50.39
2010-02-26,39,49.99
2010-03-05,42,51.49
2010-03-12,45,50.20
2010-03-19,47,52.70
2010-03-26,0,52.76
2010-04-02,0,
2010-04-09,0,53.44
2010-04-16,0,52.62
2010-04-23,0,53.13
2010-04-30,0,53.19
2010-05-07,0,50.54
2010-05-14,0,53.03
2010-05-21,0,49.94
2010-05-28,0,49.16
2010-06-04,0,48.44
2010-06-11,0,51.26
2010-06-18,0,53.08
2010-06-25,0,53.20
2010-07-02,0,50.83
2010-07-09,0,54.69
2010-07-16,0,53.70
2010-07-23,0,52.75
2010-07-30,0,53.08
2010-08-06,0,53.56
2010-08-13,0,53.42
2010-08-20,0,53.51
2010-08-27,48,54.34
2010-09-03,40,55.24
2010-09-10,40,55.55
2010-09-17,42,57.90
2010-09-24,38,58.05
2010-10-01,38,58.19
2010-10-08,37,58.91
2010-10-15,37,59.67
2010-10-22,37,60.38
2010-10-29,37,59.42
2010-11-05,37,61.88
2010-11-12,38,59.80
2010-11-19,40,60.45
2010-11-26,45,58.91
2010-12-03,51,59.43
2010-12-10,57,60.28
2010-12-17,63,61.05
2010-12-24,31,
2010-12-31,31,62.25
2011-01-07,31,61.26
2011-01-14,31,60.79
2011-01-21,31,60.51
2011-01-28,34,61.17
2011-02-04,30,63.06
2011-02-11,30,63.44
2011-02-18,30,65.74
2011-02-25,30,63.28
2011-03-04,38,62.69
2011-03-11,30,61.39
2011-03-18,39,60.83
2011-03-25,45,62.37
2011-04-01,42,65.84
2011-04-08,42,65.79
2011-04-15,48,65.88
2011-04-22,38,
2011-04-29,50,67.25
2011-05-06,33,67.24
2011-05-13,54,67.80
2011-05-20,36,68.61
2011-05-27,33,68.58
2011-06-03,55,68.10
2011-06-10,53,65.99
2011-06-17,44,64.31
2011-06-24,45,63.95
2011-07-01,45,66.26
2011-07-08,45,65.64
2011-07-15,54,64.57
2011-07-22,42,65.78
2011-07-29,42,66.98
2011-08-05,51,63.18
2011-08-12,38,62.73
2011-08-19,44,59.98
2011-08-26,51,62.40
2011-09-02,36,62.22
2011-09-09,30,61.60
2011-09-16,43,62.86
2011-09-23,35,59.70
2011-09-30,40,60.60
2011-10-07,50,60.34
2011-10-14,44,63.15
2011-10-21,34,70.19
2011-10-28,37,72.86
2011-11-04,42,72.04
2011-11-11,46,71.24
2011-11-18,51,67.88
2011-11-25,46,64.93
2011-12-02,33,68.38
2011-12-09,50,69.37
2011-12-16,35,66.74
2011-12-23,40,70.47
2011-12-30,42,70.12
2012-01-06,43,70.03
2012-01-13,55,69.76
2012-01-20,43,72.67
2012-01-27,43,69.46
2012-02-03,38,74.21
2012-02-10,31,73.08
2012-02-17,43,73.58
2012-02-24,31,73.13
2012-03-02,50,72.45
2012-03-09,50,71.68
2012-03-16,61,72.27
2012-03-23,54,72.75
2012-03-30,71,73.20
2012-04-06,86,
2012-04-13,54,71.56
2012-04-20,56,75.30
2012-04-27,60,76.36
2012-05-04,40,76.44
2012-05-11,55,76.27
2012-05-18,46,72.02
2012-05-25,70,73.18
2012-06-01,44,70.22
2012-06-08,51,72.85
2012-06-15,50,72.75
2012-06-22,49,72.28
2012-06-29,65,74.13
2012-07-06,59,72.53
2012-07-13,42,72.81
2012-07-20,67,70.78
2012-07-27,49,73.56
2012-08-03,56,73.66
2012-08-10,66,72.74
2012-08-17,83,73.46
2012-08-24,59,74.25
2012-08-31,45,73.73
2012-09-07,66,75.07
2012-09-14,60,77.03
2012-09-21,58,75.93
2012-09-28,63,75.60
2012-10-05,39,78.13
2012-10-12,56,77.01
2012-10-19,59,80.52
2012-10-26,68,79.35
2012-11-02,49,77.50
2012-11-09,40,78.15
2012-11-16,57,77.30
2012-11-23,54,79.80
2012-11-30,49,79.23
2012-12-07,51,80.97
2012-12-14,69,79.32
2012-12-21,54,80.07
2012-12-28,46,78.97
2013-01-04,49,82.32
2013-01-11,51,82.76
2013-01-18,49,83.24
2013-01-25,42,85.34
2013-02-01,48,85.59
2013-02-08,50,86.20
2013-02-15,52,86.50
2013-02-22,52,86.69
2013-03-01,36,85.67
2013-03-08,65,86.98
2013-03-15,45,88.26
2013-03-22,57,88.32
2013-03-29,67,
2013-04-05,64,88.98
2013-04-12,56,91.99
2013-04-19,93,89.03
2013-04-26,62,88.94
2013-05-03,56,89.90
2013-05-10,83,91.60
2013-05-17,85,91.65
2013-05-24,59,89.78
2013-05-31,78,89.68
2013-06-07,95,89.88
2013-06-14,53,88.55
2013-06-21,72,86.15
2013-06-28,55,89.48
2013-07-05,100,90.12
2013-07-12,84,93.50
2013-07-19,80,94.74
2013-07-26,72,92.33
2013-08-02,89,91.95
2013-08-09,71,89.74
2013-08-16,86,89.55
2013-08-23,41,90.44
2013-08-30,68,87.72
2013-09-06,73,88.19
2013-09-13,52,91.67
2013-09-20,49,94.99
2013-09-27,72,94.32
2013-10-04,55,92.88
2013-10-11,50,94.10
2013-10-18,73,96.97
2013-10-25,57,96.14
2013-11-01,60,95.86
2013-11-08,58,98.28
2013-11-15,54,98.70
2013-11-22,57,102.59
2013-11-29,76,102.78
2013-12-06,62,101.95
2013-12-13,64,99.26
2013-12-20,44,101.19
2013-12-27,56,102.62
2014-01-03,63,101.44
2014-01-10,52,98.67
2014-01-17,61,97.10
2014-01-24,52,92.19
2014-01-31,56,93.81
2014-02-07,58,94.60
2014-02-14,73,96.97
2014-02-21,57,97.19
2014-02-28,75,97.87
2014-03-07,46,97.77
2014-03-14,56,97.78
2014-03-21,68,99.26
2014-03-28,43,97.89
2014-04-04,50,98.39
2014-04-11,68,99.31
2014-04-18,68,
2014-04-25,65,101.59
2014-05-02,69,
