Date,sell ADS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,70,
2004-01-30,78,
2004-02-06,85,30.17
2004-02-13,93,29.53
2004-02-20,100,29.25
2004-02-27,0,29.95
2004-03-05,0,30.20
2004-03-12,0,30.95
2004-03-19,0,32.07
2004-03-26,0,32.86
2004-04-02,0,33.70
2004-04-09,74,
2004-04-16,67,33.37
2004-04-23,67,37.43
2004-04-30,67,34.77
2004-05-07,67,35.58
2004-05-14,70,35.85
2004-05-21,72,35.92
2004-05-28,78,37.01
2004-06-04,73,39.38
2004-06-11,73,
2004-06-18,0,39.84
2004-06-25,0,41.15
2004-07-02,0,41.33
2004-07-09,0,40.23
2004-07-16,0,38.95
2004-07-23,0,37.55
2004-07-30,0,39.71
2004-08-06,94,36.11
2004-08-13,73,36.12
2004-08-20,78,36.92
2004-08-27,91,37.68
2004-09-03,62,38.94
2004-09-10,68,39.62
2004-09-17,75,40.00
2004-09-24,82,40.30
2004-10-01,88,41.44
2004-10-08,89,40.70
2004-10-15,50,43.25
2004-10-22,50,40.64
2004-10-29,65,42.28
2004-11-05,55,41.91
2004-11-12,50,43.00
2004-11-19,50,43.35
2004-11-26,50,42.93
2004-12-03,62,43.67
2004-12-10,52,44.37
2004-12-17,44,47.29
2004-12-24,44,
2004-12-31,44,47.48
2005-01-07,44,46.42
2005-01-14,44,44.04
2005-01-21,62,44.75
2005-01-28,43,43.52
2005-02-04,55,42.46
2005-02-11,66,41.51
2005-02-18,60,39.29
2005-02-25,60,39.45
2005-03-04,60,38.28
2005-03-11,44,38.96
2005-03-18,44,39.83
2005-03-25,44,
2005-04-01,46,41.18
2005-04-08,47,39.58
2005-04-15,48,37.38
2005-04-22,84,42.79
2005-04-29,67,40.40
2005-05-06,41,38.87
2005-05-13,50,35.95
2005-05-20,43,37.95
2005-05-27,53,37.71
2005-06-03,63,37.00
2005-06-10,47,36.90
2005-06-17,47,39.11
2005-06-24,40,39.95
2005-07-01,60,41.00
2005-07-08,69,41.85
2005-07-15,40,43.44
2005-07-22,40,43.55
2005-07-29,43,42.57
2005-08-05,52,41.44
2005-08-12,58,41.81
2005-08-19,66,41.22
2005-08-26,44,41.79
2005-09-02,84,40.65
2005-09-09,54,41.02
2005-09-16,41,40.86
2005-09-23,47,40.66
2005-09-30,53,39.15
2005-10-07,53,37.93
2005-10-14,53,37.62
2005-10-21,35,36.90
2005-10-28,39,34.73
2005-11-04,42,36.04
2005-11-11,37,36.90
2005-11-18,50,37.18
2005-11-25,35,38.76
2005-12-02,33,37.50
2005-12-09,31,36.70
2005-12-16,31,35.85
2005-12-23,33,36.47
2005-12-30,36,35.60
2006-01-06,38,38.81
2006-01-13,41,39.10
2006-01-20,56,40.63
2006-01-27,48,42.45
2006-02-03,61,43.73
2006-02-10,32,43.04
2006-02-17,64,43.56
2006-02-24,60,43.85
2006-03-03,37,43.62
2006-03-10,57,46.01
2006-03-17,53,46.32
2006-03-24,53,46.50
2006-03-31,51,46.77
2006-04-07,39,46.07
2006-04-14,46,
2006-04-21,29,56.07
2006-04-28,53,55.00
2006-05-05,42,54.18
2006-05-12,48,51.33
2006-05-19,35,52.69
2006-05-26,38,54.02
2006-06-02,54,55.17
2006-06-09,36,53.74
2006-06-16,39,55.22
2006-06-23,49,55.80
2006-06-30,46,58.82
2006-07-07,29,57.68
2006-07-14,49,53.98
2006-07-21,44,50.41
2006-07-28,54,51.39
2006-08-04,48,51.77
2006-08-11,67,47.57
2006-08-18,36,52.75
2006-08-25,36,48.55
2006-09-01,34,51.06
2006-09-08,46,51.50
2006-09-15,47,54.80
2006-09-22,53,54.65
2006-09-29,31,55.19
2006-10-06,39,57.33
2006-10-13,39,56.35
2006-10-20,38,60.46
2006-10-27,30,59.95
2006-11-03,35,59.20
2006-11-10,36,62.38
2006-11-17,50,64.83
2006-11-24,47,64.16
2006-12-01,49,64.95
2006-12-08,41,64.09
2006-12-15,41,63.88
2006-12-22,33,61.28
2006-12-29,33,62.47
2007-01-05,33,64.66
2007-01-12,29,65.42
2007-01-19,40,64.04
2007-01-26,56,66.95
2007-02-02,36,66.43
2007-02-09,35,63.56
2007-02-16,46,62.82
2007-02-23,56,62.95
2007-03-02,30,58.65
2007-03-09,48,57.56
2007-03-16,48,59.84
2007-03-23,25,63.39
2007-03-30,50,61.62
2007-04-06,42,
2007-04-13,31,65.54
2007-04-20,52,63.96
2007-04-27,45,64.27
2007-05-04,37,64.33
2007-05-11,31,62.88
2007-05-18,57,78.33
2007-05-25,42,77.75
2007-06-01,48,77.81
2007-06-08,36,77.74
2007-06-15,48,77.30
2007-06-22,41,77.56
2007-06-29,55,77.28
2007-07-06,38,78.16
2007-07-13,42,77.35
2007-07-20,27,77.69
2007-07-27,47,75.33
2007-08-03,37,77.25
2007-08-10,53,74.38
2007-08-17,42,72.90
2007-08-24,43,77.15
2007-08-31,35,78.45
2007-09-07,32,78.80
2007-09-14,37,78.64
2007-09-21,44,78.54
2007-09-28,32,77.44
2007-10-05,34,79.04
2007-10-12,27,79.65
2007-10-19,45,80.60
2007-10-26,40,80.41
2007-11-02,38,80.10
2007-11-09,41,77.26
2007-11-16,38,77.74
2007-11-23,41,77.46
2007-11-30,48,77.70
2007-12-07,39,78.25
2007-12-14,31,76.46
2007-12-21,32,74.70
2007-12-28,26,73.67
2008-01-04,39,72.00
2008-01-11,37,68.25
2008-01-18,38,61.93
2008-01-25,26,65.60
2008-02-01,30,53.90
2008-02-08,46,55.02
2008-02-15,31,55.40
2008-02-22,41,51.36
2008-02-29,30,50.63
2008-03-07,36,45.50
2008-03-14,37,46.63
2008-03-21,39,
2008-03-28,27,47.38
2008-04-04,40,48.48
2008-04-11,37,47.90
2008-04-18,49,52.84
2008-04-25,41,56.06
2008-05-02,34,58.83
2008-05-09,31,59.11
2008-05-16,35,59.94
2008-05-23,27,56.55
2008-05-30,29,60.04
2008-06-06,41,57.96
2008-06-13,25,60.78
2008-06-20,42,60.50
2008-06-27,39,55.98
2008-07-04,32,
2008-07-11,51,51.79
2008-07-18,31,59.60
2008-07-25,54,62.26
2008-08-01,37,64.68
2008-08-08,44,65.47
2008-08-15,29,65.14
2008-08-22,41,63.98
2008-08-29,34,64.24
2008-09-05,33,63.20
2008-09-12,35,64.64
2008-09-19,27,60.67
2008-09-26,38,62.24
2008-10-03,33,59.90
2008-10-10,32,44.40
2008-10-17,33,46.93
2008-10-24,34,45.29
2008-10-31,30,50.16
2008-11-07,26,50.94
2008-11-14,32,45.13
2008-11-21,38,38.40
2008-11-28,48,43.31
2008-12-05,38,44.94
2008-12-12,39,42.53
2008-12-19,34,47.28
2008-12-26,24,45.73
2009-01-02,32,47.60
2009-01-09,48,44.58
2009-01-16,30,42.34
2009-01-23,35,39.75
2009-01-30,37,41.59
2009-02-06,30,41.50
2009-02-13,34,35.97
2009-02-20,46,29.60
2009-02-27,32,29.60
2009-03-06,32,23.78
2009-03-13,34,30.78
2009-03-20,39,31.44
2009-03-27,42,36.34
2009-04-03,35,38.40
2009-04-10,39,
2009-04-17,38,44.22
2009-04-24,38,42.40
2009-05-01,40,41.56
2009-05-08,26,42.90
2009-05-15,32,38.82
2009-05-22,38,38.62
2009-05-29,33,40.50
2009-06-05,35,43.25
2009-06-12,50,48.28
2009-06-19,44,43.48
2009-06-26,31,40.30
2009-07-03,39,
2009-07-10,50,37.63
2009-07-17,30,46.30
2009-07-24,31,50.48
2009-07-31,34,51.00
2009-08-07,46,57.26
2009-08-14,45,59.51
2009-08-21,33,56.66
2009-08-28,35,56.96
2009-09-04,35,55.71
2009-09-11,28,58.83
2009-09-18,28,63.96
2009-09-25,37,59.07
2009-10-02,35,58.90
2009-10-09,30,60.94
2009-10-16,28,66.48
2009-10-23,35,60.28
2009-10-30,40,54.98
2009-11-06,37,59.13
2009-11-13,28,60.52
2009-11-20,30,59.10
2009-11-27,37,61.71
2009-12-04,27,61.16
2009-12-11,34,63.36
2009-12-18,29,64.66
2009-12-25,15,
2010-01-01,29,
2010-01-08,30,67.68
2010-01-15,27,65.64
2010-01-22,21,61.32
2010-01-29,27,59.46
2010-02-05,27,55.30
2010-02-12,35,53.86
2010-02-19,33,56.88
2010-02-26,27,55.44
2010-03-05,25,60.36
2010-03-12,36,62.75
2010-03-19,28,64.07
2010-03-26,28,64.12
2010-04-02,31,
2010-04-09,35,64.96
2010-04-16,31,66.87
2010-04-23,33,76.74
2010-04-30,28,75.06
2010-05-07,34,71.50
2010-05-14,30,69.93
2010-05-21,23,69.81
2010-05-28,26,70.66
2010-06-04,30,68.61
2010-06-11,44,69.39
2010-06-18,32,70.50
2010-06-25,29,63.90
2010-07-02,30,55.70
2010-07-09,32,58.20
2010-07-16,25,55.88
2010-07-23,26,56.66
2010-07-30,28,57.48
2010-08-06,26,61.42
2010-08-13,26,58.07
2010-08-20,32,56.59
2010-08-27,31,57.33
2010-09-03,31,61.00
2010-09-10,32,61.76
2010-09-17,27,63.30
2010-09-24,28,65.35
2010-10-01,28,65.71
2010-10-08,24,64.55
2010-10-15,25,68.35
2010-10-22,20,64.24
2010-10-29,19,60.72
2010-11-05,32,62.95
2010-11-12,25,62.18
2010-11-19,32,61.72
2010-11-26,34,63.70
2010-12-03,22,68.18
2010-12-10,18,69.84
2010-12-17,25,70.07
2010-12-24,18,
2010-12-31,23,71.03
2011-01-07,21,71.20
2011-01-14,26,72.16
2011-01-21,22,71.64
2011-01-28,23,71.25
2011-02-04,23,76.51
2011-02-11,33,78.53
2011-02-18,23,78.96
2011-02-25,30,78.35
2011-03-04,23,81.22
2011-03-11,26,78.73
2011-03-18,23,81.13
2011-03-25,25,84.86
2011-04-01,27,85.93
2011-04-08,22,85.00
2011-04-15,20,83.66
2011-04-22,28,
2011-04-29,25,95.00
2011-05-06,22,90.79
2011-05-13,24,91.78
2011-05-20,25,91.49
2011-05-27,31,93.72
2011-06-03,23,89.86
2011-06-10,23,86.40
2011-06-17,19,88.13
2011-06-24,28,89.35
2011-07-01,24,94.64
2011-07-08,22,97.73
2011-07-15,27,94.22
2011-07-22,24,97.65
2011-07-29,23,98.34
2011-08-05,24,88.17
2011-08-12,23,89.36
2011-08-19,22,83.01
2011-08-26,15,89.90
2011-09-02,13,90.52
2011-09-09,23,89.70
2011-09-16,26,95.04
2011-09-23,22,91.54
2011-09-30,19,92.70
2011-10-07,24,94.60
2011-10-14,29,94.15
2011-10-21,27,97.99
2011-10-28,21,104.97
2011-11-04,23,102.57
2011-11-11,22,101.95
2011-11-18,27,95.83
2011-11-25,28,93.08
2011-12-02,25,104.85
2011-12-09,18,103.70
2011-12-16,16,103.00
2011-12-23,15,105.74
2011-12-30,15,103.84
2012-01-06,15,102.54
2012-01-13,26,106.03
2012-01-20,23,108.49
2012-01-27,26,110.40
2012-02-03,23,115.57
2012-02-10,20,117.93
2012-02-17,18,119.62
2012-02-24,27,121.88
2012-03-02,21,120.70
2012-03-09,23,122.90
2012-03-16,19,124.87
2012-03-23,25,125.98
2012-03-30,23,125.96
2012-04-06,23,
2012-04-13,18,124.32
2012-04-20,25,128.40
2012-04-27,25,130.28
2012-05-04,21,126.41
2012-05-11,22,127.20
2012-05-18,24,121.25
2012-05-25,23,127.18
2012-06-01,18,122.19
2012-06-08,18,124.80
2012-06-15,23,128.91
2012-06-22,18,129.40
2012-06-29,19,135.00
2012-07-06,25,135.92
2012-07-13,22,132.23
2012-07-20,25,130.55
2012-07-27,21,130.60
2012-08-03,23,129.29
2012-08-10,19,131.28
2012-08-17,20,137.47
2012-08-24,21,138.49
2012-08-31,22,137.65
2012-09-07,22,141.19
2012-09-14,20,140.91
2012-09-21,24,142.21
2012-09-28,17,141.95
2012-10-05,17,144.02
2012-10-12,23,137.84
2012-10-19,21,144.33
2012-10-26,17,142.64
2012-11-02,23,143.43
2012-11-09,16,142.32
2012-11-16,21,139.66
2012-11-23,24,140.83
2012-11-30,19,142.49
2012-12-07,17,142.96
2012-12-14,18,144.10
2012-12-21,21,146.31
2012-12-28,13,144.02
2013-01-04,17,151.10
2013-01-11,14,155.53
2013-01-18,20,155.80
2013-01-25,23,158.05
2013-02-01,18,156.75
2013-02-08,19,154.08
2013-02-15,18,155.41
2013-02-22,17,154.02
2013-03-01,17,158.58
2013-03-08,20,157.85
2013-03-15,19,157.84
2013-03-22,17,157.46
2013-03-29,19,
2013-04-05,17,155.35
2013-04-12,16,157.87
2013-04-19,20,160.07
2013-04-26,18,166.89
2013-05-03,18,173.95
2013-05-10,17,177.19
2013-05-17,20,178.08
2013-05-24,15,181.63
2013-05-31,18,177.09
2013-06-07,20,178.37
2013-06-14,18,177.79
2013-06-21,15,172.63
2013-06-28,20,181.03
2013-07-05,15,182.32
2013-07-12,19,190.51
2013-07-19,18,188.79
2013-07-26,20,191.76
2013-08-02,24,203.11
2013-08-09,17,206.01
2013-08-16,21,202.55
2013-08-23,20,202.30
2013-08-30,14,195.70
2013-09-06,17,199.43
2013-09-13,18,206.09
2013-09-20,15,209.75
2013-09-27,16,209.28
2013-10-04,15,217.86
2013-10-11,18,223.55
2013-10-18,18,231.08
2013-10-25,17,234.47
2013-11-01,18,236.78
2013-11-08,23,242.86
2013-11-15,22,249.11
2013-11-22,17,243.27
2013-11-29,19,242.26
2013-12-06,18,248.70
2013-12-13,18,250.87
2013-12-20,14,250.50
2013-12-27,15,258.15
2014-01-03,13,263.70
2014-01-10,17,258.26
2014-01-17,23,256.89
2014-01-24,30,249.72
2014-01-31,21,239.66
2014-02-07,31,265.08
2014-02-14,26,280.11
2014-02-21,29,282.95
2014-02-28,33,285.11
2014-03-07,38,287.78
2014-03-14,31,278.59
2014-03-21,17,286.50
2014-03-28,17,274.23
2014-04-04,20,262.69
2014-04-11,20,246.38
2014-04-18,17,
2014-04-25,13,236.12
2014-05-02,13,
