Date,sell AN,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,31,
2004-01-30,34,
2004-02-06,38,17.14
2004-02-13,41,16.32
2004-02-20,35,16.40
2004-02-27,32,16.68
2004-03-05,35,16.68
2004-03-12,38,16.40
2004-03-19,41,16.61
2004-03-26,35,16.94
2004-04-02,35,17.23
2004-04-09,40,
2004-04-16,45,17.10
2004-04-23,25,17.00
2004-04-30,25,17.02
2004-05-07,33,16.30
2004-05-14,41,15.61
2004-05-21,34,16.11
2004-05-28,27,16.67
2004-06-04,33,16.93
2004-06-11,39,
2004-06-18,41,17.06
2004-06-25,47,17.07
2004-07-02,42,16.84
2004-07-09,35,15.92
2004-07-16,34,15.58
2004-07-23,34,15.42
2004-07-30,25,16.12
2004-08-06,38,15.76
2004-08-13,42,15.67
2004-08-20,36,16.05
2004-08-27,28,16.45
2004-09-03,39,16.46
2004-09-10,32,16.12
2004-09-17,36,17.04
2004-09-24,40,16.81
2004-10-01,37,17.32
2004-10-08,34,16.99
2004-10-15,35,16.66
2004-10-22,28,16.49
2004-10-29,26,17.23
2004-11-05,24,17.68
2004-11-12,38,17.61
2004-11-19,39,18.50
2004-11-26,41,18.56
2004-12-03,30,18.64
2004-12-10,36,18.05
2004-12-17,41,18.58
2004-12-24,27,
2004-12-31,35,19.21
2005-01-07,44,18.66
2005-01-14,18,19.06
2005-01-21,25,18.69
2005-01-28,26,18.61
2005-02-04,27,19.79
2005-02-11,21,19.66
2005-02-18,36,19.74
2005-02-25,31,19.37
2005-03-04,33,19.99
2005-03-11,34,19.28
2005-03-18,27,18.50
2005-03-25,27,
2005-04-01,39,18.72
2005-04-08,34,18.97
2005-04-15,32,17.92
2005-04-22,26,18.04
2005-04-29,32,18.27
2005-05-06,30,18.94
2005-05-13,37,19.22
2005-05-20,27,19.74
2005-05-27,21,19.80
2005-06-03,32,19.90
2005-06-10,32,20.21
2005-06-17,27,20.34
2005-06-24,47,20.32
2005-07-01,48,20.63
2005-07-08,44,20.86
2005-07-15,39,21.13
2005-07-22,42,21.46
2005-07-29,29,21.59
2005-08-05,30,21.19
2005-08-12,33,21.08
2005-08-19,28,20.67
2005-08-26,30,20.45
2005-09-02,34,20.61
2005-09-09,33,20.73
2005-09-16,37,20.47
2005-09-23,30,20.05
2005-09-30,25,19.97
2005-10-07,28,19.30
2005-10-14,19,18.94
2005-10-21,25,18.53
2005-10-28,22,19.68
2005-11-04,28,20.07
2005-11-11,22,19.87
2005-11-18,25,20.17
2005-11-25,26,20.65
2005-12-02,33,21.13
2005-12-09,41,21.58
2005-12-16,31,22.60
2005-12-23,20,22.08
2005-12-30,28,21.73
2006-01-06,27,22.40
2006-01-13,29,22.70
2006-01-20,33,22.22
2006-01-27,25,22.39
2006-02-03,33,22.26
2006-02-10,24,21.44
2006-02-17,33,21.69
2006-02-24,38,21.35
2006-03-03,25,21.13
2006-03-10,42,21.82
2006-03-17,33,21.95
2006-03-24,34,21.53
2006-03-31,35,21.55
2006-04-07,43,22.48
2006-04-14,34,
2006-04-21,36,22.15
2006-04-28,28,22.52
2006-05-05,30,22.66
2006-05-12,29,22.54
2006-05-19,25,21.73
2006-05-26,32,21.74
2006-06-02,28,21.44
2006-06-09,43,21.00
2006-06-16,34,20.90
2006-06-23,16,20.88
2006-06-30,32,21.44
2006-07-07,38,20.91
2006-07-14,28,20.21
2006-07-21,35,19.99
2006-07-28,36,20.08
2006-08-04,23,19.90
2006-08-11,32,19.43
2006-08-18,34,19.88
2006-08-25,27,19.01
2006-09-01,38,19.49
2006-09-08,22,19.64
2006-09-15,31,20.70
2006-09-22,27,20.17
2006-09-29,35,20.90
2006-10-06,40,20.82
2006-10-13,30,20.85
2006-10-20,33,20.70
2006-10-27,37,19.98
2006-11-03,33,19.54
2006-11-10,27,20.26
2006-11-17,27,20.49
2006-11-24,33,20.63
2006-12-01,23,20.55
2006-12-08,18,20.67
2006-12-15,29,20.89
2006-12-22,26,21.31
2006-12-29,22,21.32
2007-01-05,23,20.87
2007-01-12,32,21.56
2007-01-19,24,21.89
2007-01-26,32,21.95
2007-02-02,33,22.90
2007-02-09,20,22.74
2007-02-16,35,22.90
2007-02-23,29,22.73
2007-03-02,34,21.83
2007-03-09,28,21.67
2007-03-16,30,21.00
2007-03-23,27,21.71
2007-03-30,35,21.24
2007-04-06,30,
2007-04-13,29,20.76
2007-04-20,28,22.00
2007-04-27,32,21.23
2007-05-04,28,20.83
2007-05-11,30,20.96
2007-05-18,29,21.63
2007-05-25,35,21.70
2007-06-01,24,22.49
2007-06-08,36,22.23
2007-06-15,32,22.55
2007-06-22,38,22.50
2007-06-29,23,22.44
2007-07-06,36,22.45
2007-07-13,31,21.89
2007-07-20,32,21.40
2007-07-27,33,19.21
2007-08-03,31,18.79
2007-08-10,38,19.93
2007-08-17,33,19.12
2007-08-24,36,19.65
2007-08-31,28,18.98
2007-09-07,28,18.03
2007-09-14,27,18.23
2007-09-21,28,17.69
2007-09-28,26,17.72
2007-10-05,33,18.50
2007-10-12,34,17.97
2007-10-19,33,17.14
2007-10-26,32,17.12
2007-11-02,34,17.16
2007-11-09,30,16.51
2007-11-16,36,16.56
2007-11-23,26,16.37
2007-11-30,35,16.50
2007-12-07,28,17.42
2007-12-14,36,15.20
2007-12-21,26,15.48
2007-12-28,31,15.47
2008-01-04,39,13.90
2008-01-11,29,12.98
2008-01-18,41,12.50
2008-01-25,37,14.25
2008-02-01,39,16.59
2008-02-08,33,15.51
2008-02-15,48,15.10
2008-02-22,32,15.46
2008-02-29,31,14.57
2008-03-07,37,14.03
2008-03-14,32,13.74
2008-03-21,41,
2008-03-28,43,14.65
2008-04-04,42,15.95
2008-04-11,32,14.95
2008-04-18,44,15.70
2008-04-25,40,15.70
2008-05-02,43,16.57
2008-05-09,39,16.03
2008-05-16,39,16.46
2008-05-23,47,15.51
2008-05-30,36,15.79
2008-06-06,43,14.45
2008-06-13,31,13.91
2008-06-20,41,11.97
2008-06-27,33,10.44
2008-07-04,42,
2008-07-11,45,8.09
2008-07-18,45,8.25
2008-07-25,47,9.75
2008-08-01,46,10.39
2008-08-08,39,11.87
2008-08-15,41,12.37
2008-08-22,42,11.93
2008-08-29,46,11.35
2008-09-05,35,12.28
2008-09-12,44,12.40
2008-09-19,40,13.32
2008-09-26,43,12.83
2008-10-03,40,10.93
2008-10-10,38,8.10
2008-10-17,46,7.34
2008-10-24,40,4.43
2008-10-31,34,6.87
2008-11-07,29,6.55
2008-11-14,37,6.35
2008-11-21,33,6.45
2008-11-28,35,8.54
2008-12-05,40,9.51
2008-12-12,43,8.88
2008-12-19,41,9.65
2008-12-26,35,8.56
2009-01-02,40,10.64
2009-01-09,42,9.65
2009-01-16,44,8.42
2009-01-23,48,8.14
2009-01-30,43,9.28
2009-02-06,42,11.38
2009-02-13,45,10.68
2009-02-20,42,9.78
2009-02-27,48,9.98
2009-03-06,54,9.72
2009-03-13,38,12.10
2009-03-20,47,12.07
2009-03-27,47,14.29
2009-04-03,43,15.38
2009-04-10,42,
2009-04-17,50,16.64
2009-04-24,48,16.19
2009-05-01,44,17.43
2009-05-08,52,16.63
2009-05-15,50,15.97
2009-05-22,39,15.23
2009-05-29,42,15.88
2009-06-05,43,17.44
2009-06-12,55,17.57
2009-06-19,44,17.06
2009-06-26,48,17.23
2009-07-03,45,
2009-07-10,49,16.53
2009-07-17,49,18.23
2009-07-24,54,20.01
2009-07-31,53,20.68
2009-08-07,50,19.98
2009-08-14,46,18.49
2009-08-21,51,19.11
2009-08-28,47,19.63
2009-09-04,47,17.67
2009-09-11,53,17.86
2009-09-18,50,17.92
2009-09-25,54,17.66
2009-10-02,48,17.25
2009-10-09,50,17.99
2009-10-16,53,19.69
2009-10-23,53,20.53
2009-10-30,46,17.24
2009-11-06,59,18.56
2009-11-13,53,18.28
2009-11-20,57,17.78
2009-11-27,45,17.44
2009-12-04,51,18.06
2009-12-11,48,18.35
2009-12-18,51,18.90
2009-12-25,46,
2010-01-01,47,
2010-01-08,56,20.69
2010-01-15,52,19.18
2010-01-22,53,18.36
2010-01-29,52,18.00
2010-02-05,46,17.59
2010-02-12,51,17.72
2010-02-19,52,18.42
2010-02-26,50,17.75
2010-03-05,59,18.76
2010-03-12,61,18.54
2010-03-19,48,18.56
2010-03-26,56,19.00
2010-04-02,49,
2010-04-09,55,18.36
2010-04-16,56,19.08
2010-04-23,59,21.06
2010-04-30,58,20.20
2010-05-07,62,19.03
2010-05-14,57,19.46
2010-05-21,56,19.28
2010-05-28,50,20.03
2010-06-04,57,20.86
2010-06-11,55,21.33
2010-06-18,60,21.18
2010-06-25,60,20.03
2010-07-02,66,18.90
2010-07-09,54,19.37
2010-07-16,64,19.99
2010-07-23,71,23.14
2010-07-30,67,24.43
2010-08-06,59,24.43
2010-08-13,65,22.68
2010-08-20,61,23.42
2010-08-27,62,23.24
2010-09-03,59,24.54
2010-09-10,58,23.35
2010-09-17,55,23.34
2010-09-24,62,23.70
2010-10-01,60,23.59
2010-10-08,54,23.27
2010-10-15,55,23.74
2010-10-22,61,23.82
2010-10-29,60,23.22
2010-11-05,58,26.38
2010-11-12,64,26.40
2010-11-19,66,26.13
2010-11-26,57,26.04
2010-12-03,65,26.89
2010-12-10,68,26.50
2010-12-17,61,27.18
2010-12-24,52,
2010-12-31,60,28.20
2011-01-07,66,27.76
2011-01-14,66,28.39
2011-01-21,68,28.76
2011-01-28,60,28.70
2011-02-04,63,30.84
2011-02-11,71,33.96
2011-02-18,68,34.39
2011-02-25,63,33.51
2011-03-04,64,32.68
2011-03-11,69,33.48
2011-03-18,56,33.29
2011-03-25,71,34.52
2011-04-01,75,35.62
2011-04-08,66,34.85
2011-04-15,69,32.95
2011-04-22,77,
2011-04-29,72,33.91
2011-05-06,66,34.24
2011-05-13,69,33.65
2011-05-20,73,33.09
2011-05-27,77,34.55
2011-06-03,66,33.66
2011-06-10,69,33.33
2011-06-17,82,33.11
2011-06-24,66,34.44
2011-07-01,73,36.94
2011-07-08,63,39.22
2011-07-15,74,39.18
2011-07-22,66,39.08
2011-07-29,77,37.61
2011-08-05,68,34.98
2011-08-12,69,35.60
2011-08-19,74,35.72
2011-08-26,69,39.00
2011-09-02,68,39.27
2011-09-09,64,38.42
2011-09-16,68,37.28
2011-09-23,67,32.94
2011-09-30,71,32.78
2011-10-07,72,34.60
2011-10-14,71,37.74
2011-10-21,78,39.13
2011-10-28,75,39.62
2011-11-04,69,36.40
2011-11-11,76,34.07
2011-11-18,71,33.50
2011-11-25,68,34.06
2011-12-02,79,36.18
2011-12-09,73,36.90
2011-12-16,66,35.77
2011-12-23,60,37.12
2011-12-30,61,36.87
2012-01-06,70,33.44
2012-01-13,73,34.10
2012-01-20,70,35.21
2012-01-27,71,36.50
2012-02-03,75,37.02
2012-02-10,73,36.11
2012-02-17,73,35.00
2012-02-24,80,34.02
2012-03-02,78,34.32
2012-03-09,72,34.14
2012-03-16,83,34.74
2012-03-23,78,35.33
2012-03-30,80,34.31
2012-04-06,68,
2012-04-13,87,32.97
2012-04-20,75,33.74
2012-04-27,75,34.51
2012-05-04,89,34.94
2012-05-11,76,35.02
2012-05-18,83,34.38
2012-05-25,80,36.27
2012-06-01,71,35.00
2012-06-08,77,37.22
2012-06-15,81,36.90
2012-06-22,77,35.87
2012-06-29,82,35.28
2012-07-06,78,38.91
2012-07-13,83,39.84
2012-07-20,83,39.68
2012-07-27,83,40.12
2012-08-03,77,38.83
2012-08-10,73,39.58
2012-08-17,84,39.87
2012-08-24,83,40.52
2012-08-31,81,40.20
2012-09-07,83,41.82
2012-09-14,88,42.17
2012-09-21,92,42.95
2012-09-28,90,43.67
2012-10-05,79,46.53
2012-10-12,78,46.69
2012-10-19,82,48.45
2012-10-26,84,44.61
2012-11-02,76,43.56
2012-11-09,83,40.87
2012-11-16,83,41.08
2012-11-23,76,42.08
2012-11-30,90,38.94
2012-12-07,87,39.74
2012-12-14,79,38.42
2012-12-21,73,38.90
2012-12-28,65,38.92
2013-01-04,76,42.23
2013-01-11,80,43.05
2013-01-18,80,44.16
2013-01-25,81,44.14
2013-02-01,86,47.58
2013-02-08,82,48.60
2013-02-15,80,46.03
2013-02-22,77,44.54
2013-03-01,82,43.45
2013-03-08,84,44.69
2013-03-15,80,44.14
2013-03-22,79,43.58
2013-03-29,88,
2013-04-05,78,41.39
2013-04-12,82,44.17
2013-04-19,85,43.82
2013-04-26,82,44.61
2013-05-03,90,45.63
2013-05-10,80,45.88
2013-05-17,82,46.00
2013-05-24,72,46.28
2013-05-31,70,46.33
2013-06-07,77,46.82
2013-06-14,83,44.07
2013-06-21,75,42.98
2013-06-28,75,43.39
2013-07-05,75,46.14
2013-07-12,85,46.00
2013-07-19,85,44.74
2013-07-26,80,45.78
2013-08-02,85,49.29
2013-08-09,86,48.44
2013-08-16,87,45.65
2013-08-23,79,46.42
2013-08-30,78,46.74
2013-09-06,75,49.27
2013-09-13,86,53.05
2013-09-20,84,53.32
2013-09-27,86,52.71
2013-10-04,81,50.95
2013-10-11,86,50.00
2013-10-18,92,50.18
2013-10-25,84,49.16
2013-11-01,91,48.39
2013-11-08,89,47.08
2013-11-15,84,49.86
2013-11-22,86,49.04
2013-11-29,76,49.04
2013-12-06,86,50.55
2013-12-13,79,50.01
2013-12-20,77,49.84
2013-12-27,65,50.06
2014-01-03,75,49.75
2014-01-10,83,49.80
2014-01-17,94,47.82
2014-01-24,84,47.34
2014-01-31,83,49.39
2014-02-07,84,51.13
2014-02-14,90,51.76
2014-02-21,100,51.08
2014-02-28,94,52.64
2014-03-07,89,53.71
2014-03-14,84,53.05
2014-03-21,86,53.02
2014-03-28,90,52.08
2014-04-04,92,53.47
2014-04-11,87,52.73
2014-04-18,93,
2014-04-25,89,52.69
2014-05-02,98,
