Date,sell C,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,49.31
2004-02-13,0,49.49
2004-02-20,0,48.89
2004-02-27,0,50.26
2004-03-05,0,50.00
2004-03-12,0,49.31
2004-03-19,0,50.34
2004-03-26,0,50.06
2004-04-02,0,51.80
2004-04-09,0,
2004-04-16,0,50.10
2004-04-23,0,49.18
2004-04-30,0,48.09
2004-05-07,0,46.72
2004-05-14,0,45.65
2004-05-21,0,45.34
2004-05-28,0,46.43
2004-06-04,0,46.55
2004-06-11,0,
2004-06-18,0,47.50
2004-06-25,0,46.80
2004-07-02,0,45.76
2004-07-09,0,45.03
2004-07-16,0,43.62
2004-07-23,0,44.31
2004-07-30,0,44.09
2004-08-06,0,43.19
2004-08-13,0,44.01
2004-08-20,0,45.95
2004-08-27,0,46.72
2004-09-03,0,46.84
2004-09-10,0,47.24
2004-09-17,0,46.95
2004-09-24,0,44.15
2004-10-01,0,44.87
2004-10-08,0,44.56
2004-10-15,0,43.94
2004-10-22,0,42.56
2004-10-29,0,44.37
2004-11-05,0,46.13
2004-11-12,0,47.07
2004-11-19,0,45.15
2004-11-26,0,45.42
2004-12-03,0,45.65
2004-12-10,0,45.91
2004-12-17,0,46.62
2004-12-24,0,
2004-12-31,0,48.18
2005-01-07,0,48.65
2005-01-14,0,47.51
2005-01-21,0,47.93
2005-01-28,0,48.38
2005-02-04,0,49.78
2005-02-11,0,49.40
2005-02-18,0,48.57
2005-02-25,0,48.28
2005-03-04,0,48.40
2005-03-11,0,47.79
2005-03-18,0,46.85
2005-03-25,0,
2005-04-01,0,44.62
2005-04-08,0,45.40
2005-04-15,0,45.75
2005-04-22,0,46.32
2005-04-29,0,46.96
2005-05-06,0,46.59
2005-05-13,0,45.91
2005-05-20,0,47.80
2005-05-27,0,47.28
2005-06-03,0,47.56
2005-06-10,0,47.64
2005-06-17,0,47.46
2005-06-24,0,46.95
2005-07-01,0,46.16
2005-07-08,0,46.51
2005-07-15,0,46.42
2005-07-22,0,44.42
2005-07-29,0,43.50
2005-08-05,0,43.63
2005-08-12,0,43.62
2005-08-19,0,44.16
2005-08-26,0,43.10
2005-09-02,0,43.88
2005-09-09,0,44.61
2005-09-16,0,45.45
2005-09-23,0,45.24
2005-09-30,0,45.52
2005-10-07,0,45.41
2005-10-14,0,45.04
2005-10-21,0,44.31
2005-10-28,0,45.90
2005-11-04,0,45.60
2005-11-11,0,48.00
2005-11-18,0,48.41
2005-11-25,0,49.52
2005-12-02,0,48.77
2005-12-09,0,48.91
2005-12-16,0,49.37
2005-12-23,0,49.24
2005-12-30,0,48.53
2006-01-06,0,48.62
2006-01-13,0,48.92
2006-01-20,0,45.69
2006-01-27,0,46.87
2006-02-03,0,45.06
2006-02-10,0,45.96
2006-02-17,0,46.24
2006-02-24,0,46.85
2006-03-03,0,45.92
2006-03-10,0,46.99
2006-03-17,0,47.41
2006-03-24,0,47.81
2006-03-31,0,47.23
2006-04-07,0,47.66
2006-04-14,0,
2006-04-21,0,48.01
2006-04-28,0,49.95
2006-05-05,0,50.37
2006-05-12,0,48.99
2006-05-19,0,48.80
2006-05-26,0,49.57
2006-06-02,0,50.14
2006-06-09,0,49.77
2006-06-16,0,48.36
2006-06-23,0,47.74
2006-06-30,0,48.25
2006-07-07,0,49.08
2006-07-14,0,47.58
2006-07-21,0,46.93
2006-07-28,0,48.33
2006-08-04,0,48.50
2006-08-11,0,47.64
2006-08-18,0,48.60
2006-08-25,0,48.64
2006-09-01,0,49.37
2006-09-08,0,48.72
2006-09-15,0,49.19
2006-09-22,0,49.50
2006-09-29,0,49.67
2006-10-06,0,51.05
2006-10-13,0,50.38
2006-10-20,0,49.91
2006-10-27,0,50.36
2006-11-03,0,49.59
2006-11-10,0,50.63
2006-11-17,0,50.80
2006-11-24,0,50.31
2006-12-01,0,49.38
2006-12-08,0,51.85
2006-12-15,0,54.07
2006-12-22,0,54.55
2006-12-29,0,55.70
2007-01-05,0,54.77
2007-01-12,0,54.38
2007-01-19,0,54.50
2007-01-26,0,54.67
2007-02-02,0,54.66
2007-02-09,0,53.40
2007-02-16,0,54.10
2007-02-23,0,53.77
2007-03-02,0,49.97
2007-03-09,0,50.33
2007-03-16,0,49.53
2007-03-23,0,51.72
2007-03-30,0,51.34
2007-04-06,0,
2007-04-13,0,51.60
2007-04-20,0,53.42
2007-04-27,0,53.37
2007-05-04,0,54.09
2007-05-11,70,53.11
2007-05-18,63,55.00
2007-05-25,63,55.12
2007-06-01,63,54.51
2007-06-08,63,53.33
2007-06-15,63,53.98
2007-06-22,0,52.41
2007-06-29,0,51.29
2007-07-06,0,51.70
2007-07-13,0,52.52
2007-07-20,0,50.73
2007-07-27,0,46.97
2007-08-03,0,45.72
2007-08-10,0,47.00
2007-08-17,77,48.81
2007-08-24,67,48.50
2007-08-31,67,46.88
2007-09-07,0,45.48
2007-09-14,0,46.64
2007-09-21,0,47.51
2007-09-28,0,46.67
2007-10-05,0,48.30
2007-10-12,0,47.87
2007-10-19,0,42.36
2007-10-26,69,42.63
2007-11-02,55,37.73
2007-11-09,47,33.10
2007-11-16,47,34.00
2007-11-23,57,31.70
2007-11-30,66,33.30
2007-12-07,75,34.31
2007-12-14,51,30.70
2007-12-21,56,30.24
2007-12-28,61,29.29
2008-01-04,65,28.24
2008-01-11,56,28.56
2008-01-18,64,24.45
2008-01-25,73,26.64
2008-02-01,48,29.69
2008-02-08,48,26.03
2008-02-15,48,25.48
2008-02-22,48,25.12
2008-02-29,61,23.71
2008-03-07,61,20.91
2008-03-14,0,19.78
2008-03-21,0,
2008-03-28,0,20.83
2008-04-04,0,24.08
2008-04-11,0,23.36
2008-04-18,64,25.11
2008-04-25,51,26.60
2008-05-02,51,26.39
2008-05-09,51,23.63
2008-05-16,55,23.12
2008-05-23,59,21.12
2008-05-30,46,21.89
2008-06-06,46,20.06
2008-06-13,46,20.48
2008-06-20,46,19.30
2008-06-27,46,17.25
2008-07-04,87,
2008-07-11,57,16.19
2008-07-18,57,19.35
2008-07-25,47,18.85
2008-08-01,47,18.87
2008-08-08,51,19.39
2008-08-15,77,18.55
2008-08-22,55,18.14
2008-08-29,53,18.99
2008-09-05,60,19.07
2008-09-12,46,17.96
2008-09-19,54,20.65
2008-09-26,46,20.15
2008-10-03,58,18.35
2008-10-10,48,14.11
2008-10-17,42,14.88
2008-10-24,42,12.14
2008-10-31,42,13.65
2008-11-07,38,11.82
2008-11-14,38,9.52
2008-11-21,41,3.77
2008-11-28,43,8.29
2008-12-05,76,7.71
2008-12-12,43,7.70
2008-12-19,43,7.02
2008-12-26,54,6.73
2009-01-02,65,7.14
2009-01-09,68,6.75
2009-01-16,51,3.50
2009-01-23,65,3.47
2009-01-30,50,3.55
2009-02-06,64,3.91
2009-02-13,46,3.49
2009-02-20,57,1.95
2009-02-27,85,1.50
2009-03-06,62,1.03
2009-03-13,69,1.78
2009-03-20,42,2.62
2009-03-27,72,2.62
2009-04-03,66,2.85
2009-04-10,44,
2009-04-17,50,3.65
2009-04-24,58,3.19
2009-05-01,63,2.97
2009-05-08,61,4.02
2009-05-15,61,3.48
2009-05-22,34,3.67
2009-05-29,47,3.72
2009-06-05,53,3.46
2009-06-12,59,3.47
2009-06-19,43,3.17
2009-06-26,52,3.03
2009-07-03,57,
2009-07-10,68,2.59
2009-07-17,34,3.02
2009-07-24,45,2.73
2009-07-31,79,3.17
2009-08-07,52,3.85
2009-08-14,55,4.04
2009-08-21,44,4.70
2009-08-28,52,5.23
2009-09-04,63,4.85
2009-09-11,57,4.61
2009-09-18,59,4.26
2009-09-25,50,4.38
2009-10-02,51,4.52
2009-10-09,52,4.63
2009-10-16,66,4.59
2009-10-23,56,4.46
2009-10-30,62,4.09
2009-11-06,41,4.06
2009-11-13,52,4.05
2009-11-20,57,4.20
2009-11-27,44,4.06
2009-12-04,34,4.06
2009-12-11,63,3.95
2009-12-18,44,3.40
2009-12-25,44,
2010-01-01,54,
2010-01-08,48,3.59
2010-01-15,73,3.42
2010-01-22,51,3.25
2010-01-29,45,3.32
2010-02-05,51,3.22
2010-02-12,50,3.18
2010-02-19,68,3.42
2010-02-26,62,3.40
2010-03-05,50,3.50
2010-03-12,60,3.97
2010-03-19,29,3.90
2010-03-26,52,4.31
2010-04-02,55,
2010-04-09,55,4.55
2010-04-16,81,4.56
2010-04-23,55,4.86
2010-04-30,56,4.37
2010-05-07,85,4.00
2010-05-14,40,3.98
2010-05-21,54,3.75
2010-05-28,65,3.96
2010-06-04,66,3.79
2010-06-11,67,3.88
2010-06-18,46,4.01
2010-06-25,62,3.94
2010-07-02,68,3.79
2010-07-09,73,4.04
2010-07-16,59,3.90
2010-07-23,82,4.02
2010-07-30,74,4.10
2010-08-06,80,4.06
2010-08-13,63,3.88
2010-08-20,92,3.75
2010-08-27,64,3.76
2010-09-03,59,3.91
2010-09-10,63,3.91
2010-09-17,66,3.95
2010-09-24,70,3.90
2010-10-01,50,4.09
2010-10-08,61,4.19
2010-10-15,68,3.95
2010-10-22,71,4.11
2010-10-29,56,4.17
2010-11-05,51,4.49
2010-11-12,61,4.29
2010-11-19,88,4.27
2010-11-26,53,4.11
2010-12-03,70,4.45
2010-12-10,58,4.77
2010-12-17,64,4.70
2010-12-24,67,
2010-12-31,64,4.73
2011-01-07,78,4.94
2011-01-14,78,5.13
2011-01-21,90,4.89
2011-01-28,70,4.72
2011-02-04,81,4.82
2011-02-11,76,4.88
2011-02-18,69,4.91
2011-02-25,70,4.70
2011-03-04,57,4.54
2011-03-11,67,4.57
2011-03-18,67,4.50
2011-03-25,45,4.46
2011-04-01,77,4.45
2011-04-08,66,4.56
2011-04-15,69,4.42
2011-04-22,52,
2011-04-29,84,4.59
2011-05-06,55,4.52
2011-05-13,57,41.53
2011-05-20,55,41.02
2011-05-27,75,40.97
2011-06-03,81,39.85
2011-06-10,50,37.92
2011-06-17,68,38.30
2011-06-24,67,39.59
2011-07-01,47,42.88
2011-07-08,59,42.03
2011-07-15,54,38.38
2011-07-22,57,40.26
2011-07-29,81,38.34
2011-08-05,78,33.44
2011-08-12,81,29.85
2011-08-19,52,26.77
2011-08-26,82,29.84
2011-09-02,62,28.40
2011-09-09,66,26.74
2011-09-16,45,28.99
2011-09-23,61,24.98
2011-09-30,76,25.62
2011-10-07,85,24.63
2011-10-14,61,28.40
2011-10-21,77,30.30
2011-10-28,71,34.16
2011-11-04,67,30.34
2011-11-11,91,29.33
2011-11-18,88,26.28
2011-11-25,65,23.63
2011-12-02,53,28.17
2011-12-09,55,28.77
2011-12-16,70,26.03
2011-12-23,56,27.46
2011-12-30,86,26.31
2012-01-06,72,28.55
2012-01-13,54,30.74
2012-01-20,87,29.64
2012-01-27,69,30.87
2012-02-03,65,33.54
2012-02-10,58,32.93
2012-02-17,65,32.92
2012-02-24,91,32.35
2012-03-02,72,34.10
2012-03-09,67,34.20
2012-03-16,81,36.69
2012-03-23,75,37.13
2012-03-30,79,36.55
2012-04-06,59,
2012-04-13,67,33.41
2012-04-20,59,33.89
2012-04-27,64,33.50
2012-05-04,63,31.60
2012-05-11,98,29.35
2012-05-18,63,26.01
2012-05-25,45,26.47
2012-06-01,72,25.39
2012-06-08,67,27.77
2012-06-15,53,28.31
2012-06-22,50,27.99
2012-06-29,73,27.41
2012-07-06,76,26.36
2012-07-13,66,26.65
2012-07-20,79,25.87
2012-07-27,56,27.30
2012-08-03,53,27.40
2012-08-10,86,28.90
2012-08-17,47,29.03
2012-08-24,79,29.83
2012-08-31,60,29.71
2012-09-07,53,32.07
2012-09-14,79,34.79
2012-09-21,78,33.67
2012-09-28,59,32.72
2012-10-05,65,34.77
2012-10-12,53,34.75
2012-10-19,51,37.16
2012-10-26,100,36.60
2012-11-02,73,37.60
2012-11-09,78,35.93
2012-11-16,71,34.98
2012-11-23,62,36.03
2012-11-30,71,34.57
2012-12-07,84,37.64
2012-12-14,67,37.60
2012-12-21,76,39.49
2012-12-28,76,39.01
2013-01-04,82,42.43
2013-01-11,69,42.34
2013-01-18,76,41.66
2013-01-25,59,42.91
2013-02-01,67,43.02
2013-02-08,85,42.68
2013-02-15,59,43.84
2013-02-22,69,42.79
2013-03-01,63,42.11
2013-03-08,65,46.68
2013-03-15,65,47.26
2013-03-22,60,45.23
2013-03-29,80,
2013-04-05,75,43.01
2013-04-12,76,44.78
2013-04-19,54,45.03
2013-04-26,61,46.92
2013-05-03,74,46.97
2013-05-10,76,48.75
2013-05-17,51,51.45
2013-05-24,66,50.52
2013-05-31,74,51.99
2013-06-07,63,51.60
2013-06-14,76,49.22
2013-06-21,61,46.87
2013-06-28,77,47.97
2013-07-05,68,48.53
2013-07-12,63,50.81
2013-07-19,77,52.35
2013-07-26,63,52.21
2013-08-02,66,53.00
2013-08-09,81,51.32
2013-08-16,59,50.35
2013-08-23,76,49.83
2013-08-30,66,48.33
2013-09-06,61,49.22
2013-09-13,76,50.49
2013-09-20,94,51.21
2013-09-27,74,48.89
2013-10-04,65,49.14
2013-10-11,77,49.22
2013-10-18,71,51.15
2013-10-25,65,50.06
2013-11-01,67,48.74
2013-11-08,63,49.94
2013-11-15,76,50.40
2013-11-22,69,52.41
2013-11-29,38,52.92
2013-12-06,74,51.49
2013-12-13,66,50.97
2013-12-20,63,52.21
2013-12-27,74,52.26
2014-01-03,78,53.40
2014-01-10,91,54.72
2014-01-17,77,52.27
2014-01-24,64,49.33
2014-01-31,67,47.43
2014-02-07,81,49.34
2014-02-14,68,49.52
2014-02-21,62,48.26
2014-02-28,99,48.63
2014-03-07,61,49.62
2014-03-14,49,46.88
2014-03-21,58,50.08
2014-03-28,66,47.25
2014-04-04,66,47.11
2014-04-11,71,45.68
2014-04-18,73,
2014-04-25,74,47.75
2014-05-02,76,
