Date,sell GE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,33.18
2004-02-13,0,32.72
2004-02-20,0,32.70
2004-02-27,0,32.52
2004-03-05,0,32.77
2004-03-12,0,30.60
2004-03-19,0,30.14
2004-03-26,0,30.10
2004-04-02,0,31.06
2004-04-09,0,
2004-04-16,0,31.23
2004-04-23,0,30.69
2004-04-30,0,29.95
2004-05-07,0,30.00
2004-05-14,0,30.16
2004-05-21,0,30.65
2004-05-28,0,31.12
2004-06-04,0,31.23
2004-06-11,0,
2004-06-18,0,32.58
2004-06-25,0,32.18
2004-07-02,0,31.67
2004-07-09,0,32.17
2004-07-16,0,33.09
2004-07-23,0,32.52
2004-07-30,0,33.25
2004-08-06,0,31.52
2004-08-13,0,31.89
2004-08-20,0,32.65
2004-08-27,0,32.77
2004-09-03,0,32.84
2004-09-10,0,33.88
2004-09-17,0,34.22
2004-09-24,0,33.41
2004-10-01,0,33.97
2004-10-08,0,33.74
2004-10-15,0,33.55
2004-10-22,0,32.95
2004-10-29,0,34.12
2004-11-05,0,35.19
2004-11-12,0,36.25
2004-11-19,0,36.27
2004-11-26,0,35.44
2004-12-03,0,35.83
2004-12-10,0,36.69
2004-12-17,0,36.75
2004-12-24,0,
2004-12-31,0,36.50
2005-01-07,0,36.00
2005-01-14,0,35.52
2005-01-21,0,35.13
2005-01-28,0,35.75
2005-02-04,0,36.25
2005-02-11,0,36.23
2005-02-18,0,35.88
2005-02-25,0,35.62
2005-03-04,0,36.12
2005-03-11,0,35.82
2005-03-18,0,35.88
2005-03-25,0,
2005-04-01,0,35.47
2005-04-08,0,35.74
2005-04-15,0,35.75
2005-04-22,0,36.10
2005-04-29,0,36.20
2005-05-06,0,35.85
2005-05-13,0,35.70
2005-05-20,0,37.00
2005-05-27,0,36.88
2005-06-03,0,36.70
2005-06-10,0,36.63
2005-06-17,0,36.50
2005-06-24,0,34.78
2005-07-01,0,34.74
2005-07-08,0,34.99
2005-07-15,0,35.53
2005-07-22,0,35.07
2005-07-29,0,34.50
2005-08-05,0,33.81
2005-08-12,0,34.25
2005-08-19,0,33.95
2005-08-26,0,33.38
2005-09-02,0,33.33
2005-09-09,0,33.98
2005-09-16,0,34.47
2005-09-23,0,33.40
2005-09-30,0,33.67
2005-10-07,0,34.22
2005-10-14,0,34.34
2005-10-21,0,33.73
2005-10-28,0,34.05
2005-11-04,0,34.02
2005-11-11,0,34.65
2005-11-18,0,35.75
2005-11-25,0,36.20
2005-12-02,0,35.50
2005-12-09,0,35.53
2005-12-16,0,36.06
2005-12-23,0,35.42
2005-12-30,0,35.05
2006-01-06,0,35.47
2006-01-13,0,35.10
2006-01-20,0,33.37
2006-01-27,0,32.95
2006-02-03,0,32.85
2006-02-10,0,33.28
2006-02-17,0,33.61
2006-02-24,0,33.14
2006-03-03,0,33.06
2006-03-10,0,33.65
2006-03-17,0,34.51
2006-03-24,0,33.95
2006-03-31,0,34.78
2006-04-07,0,34.03
2006-04-14,0,
2006-04-21,0,33.97
2006-04-28,0,34.59
2006-05-05,0,35.16
2006-05-12,0,34.28
2006-05-19,0,34.16
2006-05-26,0,34.33
2006-06-02,0,34.66
2006-06-09,0,34.07
2006-06-16,0,33.93
2006-06-23,0,33.16
2006-06-30,0,32.96
2006-07-07,0,33.30
2006-07-14,0,32.11
2006-07-21,0,32.25
2006-07-28,0,33.02
2006-08-04,0,32.80
2006-08-11,0,32.50
2006-08-18,0,34.00
2006-08-25,0,33.84
2006-09-01,0,34.14
2006-09-08,0,34.01
2006-09-15,0,34.85
2006-09-22,0,34.40
2006-09-29,0,35.30
2006-10-06,0,36.14
2006-10-13,0,35.98
2006-10-20,0,35.47
2006-10-27,0,35.21
2006-11-03,0,34.77
2006-11-10,0,35.17
2006-11-17,0,36.25
2006-11-24,0,35.69
2006-12-01,0,35.28
2006-12-08,0,35.27
2006-12-15,0,37.36
2006-12-22,0,37.57
2006-12-29,0,37.21
2007-01-05,0,37.56
2007-01-12,69,37.89
2007-01-19,67,36.95
2007-01-26,0,36.07
2007-02-02,0,36.27
2007-02-09,0,35.53
2007-02-16,0,35.87
2007-02-23,0,35.10
2007-03-02,0,34.87
2007-03-09,0,34.32
2007-03-16,0,34.36
2007-03-23,0,35.82
2007-03-30,0,35.36
2007-04-06,0,
2007-04-13,0,35.38
2007-04-20,0,35.13
2007-04-27,0,36.84
2007-05-04,0,37.15
2007-05-11,0,36.97
2007-05-18,0,36.96
2007-05-25,0,37.56
2007-06-01,0,37.45
2007-06-08,0,37.32
2007-06-15,0,38.12
2007-06-22,0,38.24
2007-06-29,0,38.28
2007-07-06,0,38.48
2007-07-13,0,39.50
2007-07-20,0,40.12
2007-07-27,0,38.79
2007-08-03,0,38.06
2007-08-10,0,38.23
2007-08-17,0,38.45
2007-08-24,0,39.41
2007-08-31,0,38.87
2007-09-07,0,38.75
2007-09-14,0,40.35
2007-09-21,0,41.25
2007-09-28,0,41.40
2007-10-05,0,41.77
2007-10-12,0,41.03
2007-10-19,0,40.04
2007-10-26,0,40.38
2007-11-02,0,40.33
2007-11-09,0,38.38
2007-11-16,0,38.65
2007-11-23,0,37.67
2007-11-30,0,38.29
2007-12-07,0,37.23
2007-12-14,0,36.91
2007-12-21,0,37.14
2007-12-28,0,37.34
2008-01-04,0,36.04
2008-01-11,0,35.17
2008-01-18,0,34.31
2008-01-25,0,34.00
2008-02-01,0,36.16
2008-02-08,0,33.84
2008-02-15,0,34.37
2008-02-22,0,33.55
2008-02-29,0,33.14
2008-03-07,0,32.23
2008-03-14,0,33.82
2008-03-21,0,
2008-03-28,0,36.61
2008-04-04,0,37.56
2008-04-11,0,32.05
2008-04-18,0,32.69
2008-04-25,0,33.33
2008-05-02,0,33.34
2008-05-09,0,32.27
2008-05-16,100,32.13
2008-05-23,40,30.43
2008-05-30,0,30.72
2008-06-06,0,30.02
2008-06-13,0,29.15
2008-06-20,0,27.38
2008-06-27,0,26.26
2008-07-04,0,
2008-07-11,53,27.66
2008-07-18,0,28.00
2008-07-25,0,28.71
2008-08-01,0,28.21
2008-08-08,0,29.64
2008-08-15,0,29.80
2008-08-22,0,29.12
2008-08-29,0,28.10
2008-09-05,0,27.88
2008-09-12,0,26.75
2008-09-19,0,26.62
2008-09-26,37,25.25
2008-10-03,38,21.57
2008-10-10,39,21.50
2008-10-17,0,19.63
2008-10-24,0,17.83
2008-10-31,0,19.51
2008-11-07,0,18.86
2008-11-14,0,16.02
2008-11-21,0,14.03
2008-11-28,0,17.17
2008-12-05,0,17.85
2008-12-12,0,17.11
2008-12-19,38,16.50
2008-12-26,0,15.97
2009-01-02,0,17.07
2009-01-09,0,16.00
2009-01-16,0,13.96
2009-01-23,0,12.03
2009-01-30,0,12.13
2009-02-06,0,11.10
2009-02-13,0,11.44
2009-02-20,0,9.38
2009-02-27,32,8.51
2009-03-06,68,7.06
2009-03-13,28,9.62
2009-03-20,30,9.54
2009-03-27,32,10.78
2009-04-03,34,10.94
2009-04-10,36,
2009-04-17,0,12.39
2009-04-24,0,12.11
2009-05-01,0,12.69
2009-05-08,0,14.53
2009-05-15,0,12.86
2009-05-22,0,13.10
2009-05-29,0,13.48
2009-06-05,0,13.54
2009-06-12,0,13.51
2009-06-19,29,12.10
2009-06-26,28,11.75
2009-07-03,28,
2009-07-10,28,10.78
2009-07-17,28,11.65
2009-07-24,0,12.03
2009-07-31,0,13.40
2009-08-07,0,14.70
2009-08-14,0,13.92
2009-08-21,0,14.21
2009-08-28,40,14.08
2009-09-04,33,13.87
2009-09-11,0,14.67
2009-09-18,0,16.50
2009-09-25,0,16.37
2009-10-02,0,15.36
2009-10-09,0,16.18
2009-10-16,29,16.08
2009-10-23,28,15.20
2009-10-30,28,14.26
2009-11-06,26,15.33
2009-11-13,25,15.66
2009-11-20,25,15.59
2009-11-27,25,15.94
2009-12-04,25,16.20
2009-12-11,24,15.92
2009-12-18,24,15.59
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,16.60
2010-01-15,0,16.44
2010-01-22,0,16.11
2010-01-29,0,16.08
2010-02-05,0,15.79
2010-02-12,24,15.55
2010-02-19,23,16.17
2010-02-26,23,16.06
2010-03-05,21,16.35
2010-03-12,21,17.04
2010-03-19,21,18.07
2010-03-26,21,18.34
2010-04-02,22,
2010-04-09,24,18.52
2010-04-16,25,18.97
2010-04-23,27,19.07
2010-04-30,29,18.86
2010-05-07,31,16.88
2010-05-14,33,17.64
2010-05-21,22,16.42
2010-05-28,22,16.35
2010-06-04,27,15.71
2010-06-11,33,15.56
2010-06-18,29,15.95
2010-06-25,24,14.91
2010-07-02,24,13.88
2010-07-09,23,14.95
2010-07-16,21,14.55
2010-07-23,21,15.71
2010-07-30,21,16.12
2010-08-06,25,16.45
2010-08-13,0,15.38
2010-08-20,0,15.03
2010-08-27,0,14.71
2010-09-03,0,15.39
2010-09-10,0,15.98
2010-09-17,0,16.29
2010-09-24,0,16.66
2010-10-01,18,16.36
2010-10-08,26,17.12
2010-10-15,18,16.30
2010-10-22,18,16.06
2010-10-29,19,16.02
2010-11-05,20,16.73
2010-11-12,21,16.25
2010-11-19,23,16.22
2010-11-26,21,15.80
2010-12-03,21,16.78
2010-12-10,22,17.72
2010-12-17,23,17.70
2010-12-24,19,
2010-12-31,19,18.29
2011-01-07,19,18.43
2011-01-14,20,18.82
2011-01-21,25,19.74
2011-01-28,22,20.20
2011-02-04,22,20.56
2011-02-11,16,21.33
2011-02-18,16,21.44
2011-02-25,18,20.82
2011-03-04,21,20.37
2011-03-11,21,20.36
2011-03-18,21,19.25
2011-03-25,19,19.75
2011-04-01,20,20.34
2011-04-08,21,20.19
2011-04-15,23,20.04
2011-04-22,24,
2011-04-29,16,20.45
2011-05-06,16,20.01
2011-05-13,16,19.89
2011-05-20,18,19.62
2011-05-27,21,19.44
2011-06-03,19,18.82
2011-06-10,19,18.32
2011-06-17,19,18.49
2011-06-24,20,17.97
2011-07-01,21,19.20
2011-07-08,22,18.99
2011-07-15,23,18.41
2011-07-22,18,19.04
2011-07-29,18,17.91
2011-08-05,22,16.51
2011-08-12,28,15.88
2011-08-19,16,15.09
2011-08-26,17,15.54
2011-09-02,18,15.76
2011-09-09,18,15.09
2011-09-16,19,16.33
2011-09-23,19,15.21
2011-09-30,17,15.22
2011-10-07,17,15.50
2011-10-14,18,16.60
2011-10-21,21,16.31
2011-10-28,18,17.25
2011-11-04,14,16.39
2011-11-11,14,16.30
2011-11-18,14,15.65
2011-11-25,14,14.70
2011-12-02,15,16.09
2011-12-09,13,16.84
2011-12-16,14,17.01
2011-12-23,14,18.23
2011-12-30,15,17.91
2012-01-06,16,18.65
2012-01-13,15,18.84
2012-01-20,14,19.15
2012-01-27,14,19.03
2012-02-03,16,19.02
2012-02-10,18,18.88
2012-02-17,15,19.28
2012-02-24,16,19.24
2012-03-02,17,18.97
2012-03-09,18,19.04
2012-03-16,19,20.20
2012-03-23,15,19.78
2012-03-30,13,20.07
2012-04-06,15,
2012-04-13,17,18.88
2012-04-20,19,19.36
2012-04-27,14,19.78
2012-05-04,16,19.34
2012-05-11,19,19.01
2012-05-18,21,18.95
2012-05-25,18,19.20
2012-06-01,20,18.54
2012-06-08,15,19.20
2012-06-15,18,20.00
2012-06-22,18,19.81
2012-06-29,18,20.84
2012-07-06,15,20.00
2012-07-13,15,19.77
2012-07-20,23,19.87
2012-07-27,18,20.92
2012-08-03,13,20.96
2012-08-10,18,21.10
2012-08-17,19,21.00
2012-08-24,21,20.80
2012-08-31,17,20.71
2012-09-07,17,21.59
2012-09-14,17,22.11
2012-09-21,16,22.53
2012-09-28,16,22.71
2012-10-05,23,23.12
2012-10-12,14,22.48
2012-10-19,18,22.03
2012-10-26,23,21.11
2012-11-02,13,21.31
2012-11-09,13,21.00
2012-11-16,18,20.15
2012-11-23,13,21.04
2012-11-30,21,21.13
2012-12-07,18,21.46
2012-12-14,13,21.62
2012-12-21,13,20.88
2012-12-28,13,20.44
2013-01-04,11,21.20
2013-01-11,11,21.13
2013-01-18,11,22.04
2013-01-25,13,22.29
2013-02-01,16,22.62
2013-02-08,19,22.50
2013-02-15,14,23.29
2013-02-22,20,23.39
2013-03-01,13,23.19
2013-03-08,11,23.77
2013-03-15,14,23.44
2013-03-22,23,23.37
2013-03-29,13,
2013-04-05,18,22.93
2013-04-12,20,23.46
2013-04-19,22,21.75
2013-04-26,23,22.21
2013-05-03,17,22.57
2013-05-10,17,22.90
2013-05-17,16,23.46
2013-05-24,22,23.53
2013-05-31,24,23.32
2013-06-07,13,23.86
2013-06-14,13,23.52
2013-06-21,14,23.36
2013-06-28,15,23.19
2013-07-05,14,23.24
2013-07-12,19,23.76
2013-07-19,16,24.72
2013-07-26,21,24.65
2013-08-02,12,24.70
2013-08-09,12,24.25
2013-08-16,16,23.95
2013-08-23,13,23.78
2013-08-30,17,23.14
2013-09-06,20,23.16
2013-09-13,11,23.78
2013-09-20,18,24.01
2013-09-27,14,24.05
2013-10-04,12,24.05
2013-10-11,10,24.40
2013-10-18,12,25.55
2013-10-25,10,25.88
2013-11-01,19,26.54
2013-11-08,14,27.05
2013-11-15,14,27.20
2013-11-22,16,27.08
2013-11-29,17,26.66
2013-12-06,17,26.94
2013-12-13,16,26.84
2013-12-20,10,27.36
2013-12-27,12,27.83
2014-01-03,13,27.48
2014-01-10,13,26.96
2014-01-17,12,26.58
2014-01-24,16,24.95
2014-01-31,16,25.13
2014-02-07,11,25.19
2014-02-14,11,25.74
2014-02-21,11,24.94
2014-02-28,15,25.47
2014-03-07,13,26.13
2014-03-14,13,25.11
2014-03-21,10,25.40
2014-03-28,15,25.88
2014-04-04,10,26.02
2014-04-11,16,25.43
2014-04-18,18,
2014-04-25,21,26.60
2014-05-02,0,
