Date,sell GPS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,20.22
2004-02-13,0,20.20
2004-02-20,0,20.48
2004-02-27,0,20.80
2004-03-05,0,21.62
2004-03-12,0,20.98
2004-03-19,0,20.63
2004-03-26,0,21.08
2004-04-02,0,22.02
2004-04-09,0,
2004-04-16,0,22.16
2004-04-23,0,23.00
2004-04-30,0,22.01
2004-05-07,0,22.00
2004-05-14,0,21.89
2004-05-21,0,22.58
2004-05-28,0,24.15
2004-06-04,0,24.65
2004-06-11,0,
2004-06-18,0,24.46
2004-06-25,0,25.13
2004-07-02,0,23.44
2004-07-09,0,23.74
2004-07-16,0,22.22
2004-07-23,0,21.67
2004-07-30,0,22.70
2004-08-06,0,19.64
2004-08-13,0,19.62
2004-08-20,0,20.62
2004-08-27,0,19.29
2004-09-03,0,20.08
2004-09-10,0,20.02
2004-09-17,0,20.01
2004-09-24,0,19.35
2004-10-01,0,19.04
2004-10-08,0,19.15
2004-10-15,0,19.20
2004-10-22,0,19.90
2004-10-29,0,19.98
2004-11-05,0,22.37
2004-11-12,0,23.24
2004-11-19,0,22.70
2004-11-26,0,23.04
2004-12-03,0,21.48
2004-12-10,0,20.45
2004-12-17,0,20.17
2004-12-24,0,
2004-12-31,0,21.12
2005-01-07,0,20.72
2005-01-14,0,20.95
2005-01-21,0,20.86
2005-01-28,0,21.81
2005-02-04,0,21.39
2005-02-11,0,21.69
2005-02-18,0,21.09
2005-02-25,0,21.29
2005-03-04,0,21.59
2005-03-11,0,22.58
2005-03-18,0,21.49
2005-03-25,0,
2005-04-01,0,21.51
2005-04-08,0,21.42
2005-04-15,0,21.02
2005-04-22,0,21.29
2005-04-29,0,21.35
2005-05-06,0,20.98
2005-05-13,0,20.60
2005-05-20,0,21.46
2005-05-27,0,21.19
2005-06-03,0,20.84
2005-06-10,0,20.99
2005-06-17,0,20.95
2005-06-24,0,19.91
2005-07-01,0,19.82
2005-07-08,0,20.97
2005-07-15,0,20.72
2005-07-22,0,21.36
2005-07-29,0,21.11
2005-08-05,0,20.62
2005-08-12,0,21.63
2005-08-19,0,19.74
2005-08-26,0,18.98
2005-09-02,0,18.52
2005-09-09,0,18.95
2005-09-16,0,18.00
2005-09-23,0,17.10
2005-09-30,0,17.43
2005-10-07,0,16.73
2005-10-14,0,16.18
2005-10-21,0,16.34
2005-10-28,0,16.87
2005-11-04,0,17.27
2005-11-11,0,18.45
2005-11-18,0,17.06
2005-11-25,0,17.72
2005-12-02,0,17.79
2005-12-09,0,17.84
2005-12-16,0,18.24
2005-12-23,0,17.64
2005-12-30,0,17.64
2006-01-06,0,17.61
2006-01-13,0,17.42
2006-01-20,0,16.98
2006-01-27,0,17.38
2006-02-03,0,18.63
2006-02-10,0,18.25
2006-02-17,0,18.82
2006-02-24,0,18.43
2006-03-03,0,18.27
2006-03-10,0,18.01
2006-03-17,0,18.22
2006-03-24,0,18.15
2006-03-31,0,18.68
2006-04-07,0,18.21
2006-04-14,0,
2006-04-21,0,17.92
2006-04-28,0,18.09
2006-05-05,0,18.37
2006-05-12,0,17.85
2006-05-19,0,18.48
2006-05-26,0,18.34
2006-06-02,0,17.89
2006-06-09,0,17.79
2006-06-16,0,17.60
2006-06-23,0,17.53
2006-06-30,0,17.40
2006-07-07,0,16.62
2006-07-14,0,16.36
2006-07-21,0,16.26
2006-07-28,0,17.12
2006-08-04,0,16.75
2006-08-11,0,16.90
2006-08-18,0,16.65
2006-08-25,0,16.61
2006-09-01,0,16.90
2006-09-08,0,16.90
2006-09-15,0,17.92
2006-09-22,0,18.39
2006-09-29,0,18.95
2006-10-06,0,19.07
2006-10-13,0,19.85
2006-10-20,0,19.30
2006-10-27,0,20.72
2006-11-03,0,19.57
2006-11-10,0,20.19
2006-11-17,0,19.81
2006-11-24,0,19.30
2006-12-01,0,18.68
2006-12-08,0,19.66
2006-12-15,0,20.39
2006-12-22,0,19.95
2006-12-29,0,19.50
2007-01-05,0,18.89
2007-01-12,0,20.30
2007-01-19,0,20.00
2007-01-26,0,19.04
2007-02-02,0,19.47
2007-02-09,0,19.55
2007-02-16,0,20.02
2007-02-23,0,19.81
2007-03-02,0,18.40
2007-03-09,0,17.84
2007-03-16,0,17.50
2007-03-23,0,17.85
2007-03-30,0,17.21
2007-04-06,0,
2007-04-13,0,18.47
2007-04-20,0,18.96
2007-04-27,0,18.31
2007-05-04,0,18.50
2007-05-11,0,18.32
2007-05-18,0,18.44
2007-05-25,0,18.18
2007-06-01,0,18.51
2007-06-08,0,18.47
2007-06-15,0,18.97
2007-06-22,0,19.34
2007-06-29,0,19.10
2007-07-06,0,19.22
2007-07-13,0,18.56
2007-07-20,0,18.63
2007-07-27,0,17.79
2007-08-03,0,16.44
2007-08-10,0,16.75
2007-08-17,0,17.27
2007-08-24,0,18.51
2007-08-31,0,18.76
2007-09-07,0,17.94
2007-09-14,0,18.00
2007-09-21,0,18.55
2007-09-28,0,18.44
2007-10-05,0,18.91
2007-10-12,0,19.01
2007-10-19,0,17.75
2007-10-26,75,18.61
2007-11-02,0,18.21
2007-11-09,0,19.38
2007-11-16,0,20.09
2007-11-23,0,18.89
2007-11-30,0,20.40
2007-12-07,0,21.57
2007-12-14,0,21.18
2007-12-21,0,21.76
2007-12-28,0,21.36
2008-01-04,0,19.66
2008-01-11,0,17.20
2008-01-18,0,17.23
2008-01-25,0,17.80
2008-02-01,0,19.34
2008-02-08,0,19.78
2008-02-15,0,19.70
2008-02-22,0,19.71
2008-02-29,0,20.17
2008-03-07,0,19.58
2008-03-14,0,19.81
2008-03-21,0,
2008-03-28,0,19.52
2008-04-04,0,19.05
2008-04-11,0,17.95
2008-04-18,0,19.00
2008-04-25,0,19.34
2008-05-02,0,18.68
2008-05-09,0,17.94
2008-05-16,0,18.43
2008-05-23,0,17.94
2008-05-30,0,18.25
2008-06-06,0,17.17
2008-06-13,0,18.00
2008-06-20,0,17.45
2008-06-27,0,16.74
2008-07-04,0,
2008-07-11,0,15.25
2008-07-18,0,16.60
2008-07-25,0,16.29
2008-08-01,0,16.34
2008-08-08,0,18.09
2008-08-15,0,19.40
2008-08-22,0,19.88
2008-08-29,0,19.45
2008-09-05,0,19.19
2008-09-12,0,19.37
2008-09-19,0,19.08
2008-09-26,0,18.37
2008-10-03,0,16.83
2008-10-10,0,13.82
2008-10-17,0,13.42
2008-10-24,0,11.21
2008-10-31,0,12.94
2008-11-07,0,12.82
2008-11-14,0,11.55
2008-11-21,0,12.10
2008-11-28,71,13.02
2008-12-05,78,14.01
2008-12-12,86,13.19
2008-12-19,93,13.57
2008-12-26,100,12.97
2009-01-02,0,14.07
2009-01-09,0,12.99
2009-01-16,0,12.14
2009-01-23,0,12.00
2009-01-30,0,11.28
2009-02-06,0,11.94
2009-02-13,0,11.62
2009-02-20,55,11.55
2009-02-27,0,10.79
2009-03-06,0,9.85
2009-03-13,0,11.99
2009-03-20,0,11.98
2009-03-27,0,13.06
2009-04-03,0,15.25
2009-04-10,0,
2009-04-17,0,15.12
2009-04-24,0,15.28
2009-05-01,0,15.77
2009-05-08,0,16.55
2009-05-15,0,15.16
2009-05-22,0,16.39
2009-05-29,0,17.85
2009-06-05,0,16.63
2009-06-12,0,16.37
2009-06-19,0,15.80
2009-06-26,0,16.06
2009-07-03,47,
2009-07-10,48,14.96
2009-07-17,48,16.17
2009-07-24,48,15.94
2009-07-31,0,16.32
2009-08-07,0,18.58
2009-08-14,0,18.78
2009-08-21,0,19.48
2009-08-28,0,19.93
2009-09-04,0,21.12
2009-09-11,0,21.60
2009-09-18,0,22.02
2009-09-25,44,21.48
2009-10-02,0,20.81
2009-10-09,0,22.24
2009-10-16,0,22.96
2009-10-23,0,22.02
2009-10-30,0,21.34
2009-11-06,0,23.03
2009-11-13,0,22.42
2009-11-20,0,21.95
2009-11-27,0,22.03
2009-12-04,0,21.77
2009-12-11,40,21.46
2009-12-18,44,20.89
2009-12-25,48,
2010-01-01,52,
2010-01-08,0,20.40
2010-01-15,0,19.56
2010-01-22,0,18.86
2010-01-29,0,19.08
2010-02-05,0,19.88
2010-02-12,53,19.95
2010-02-19,37,19.85
2010-02-26,37,21.50
2010-03-05,37,22.32
2010-03-12,37,22.80
2010-03-19,37,23.22
2010-03-26,37,23.42
2010-04-02,37,
2010-04-09,37,24.85
2010-04-16,37,25.00
2010-04-23,37,26.06
2010-04-30,37,24.73
2010-05-07,0,22.27
2010-05-14,0,22.96
2010-05-21,0,22.15
2010-05-28,0,21.80
2010-06-04,0,20.96
2010-06-11,45,21.99
2010-06-18,59,21.24
2010-06-25,73,20.20
2010-07-02,36,19.48
2010-07-09,36,18.53
2010-07-16,36,18.13
2010-07-23,40,18.41
2010-07-30,34,18.11
2010-08-06,34,18.28
2010-08-13,34,17.67
2010-08-20,34,17.32
2010-08-27,34,17.03
2010-09-03,36,17.65
2010-09-10,38,17.37
2010-09-17,40,18.91
2010-09-24,42,18.83
2010-10-01,35,18.51
2010-10-08,35,18.21
2010-10-15,35,19.52
2010-10-22,35,19.15
2010-10-29,34,19.01
2010-11-05,34,20.81
2010-11-12,34,20.49
2010-11-19,36,20.70
2010-11-26,37,20.90
2010-12-03,39,21.44
2010-12-10,31,21.48
2010-12-17,31,21.19
2010-12-24,31,
2010-12-31,31,22.14
2011-01-07,31,20.51
2011-01-14,0,20.41
2011-01-21,0,20.10
2011-01-28,0,19.20
2011-02-04,0,20.10
2011-02-11,0,21.40
2011-02-18,28,23.05
2011-02-25,29,22.75
2011-03-04,29,21.59
2011-03-11,30,21.97
2011-03-18,32,21.87
2011-03-25,33,22.56
2011-04-01,32,22.63
2011-04-08,32,22.25
2011-04-15,32,22.47
2011-04-22,32,
2011-04-29,0,23.24
2011-05-06,0,22.60
2011-05-13,0,23.05
2011-05-20,0,19.22
2011-05-27,0,19.20
2011-06-03,31,17.92
2011-06-10,32,17.72
2011-06-17,34,17.83
2011-06-24,35,17.66
2011-07-01,36,18.28
2011-07-08,34,18.98
2011-07-15,34,18.91
2011-07-22,33,19.66
2011-07-29,33,19.29
2011-08-05,28,16.75
2011-08-12,0,16.49
2011-08-19,0,15.69
2011-08-26,0,16.28
2011-09-02,0,15.60
2011-09-09,0,16.00
2011-09-16,25,17.04
2011-09-23,28,16.31
2011-09-30,30,16.24
2011-10-07,27,17.30
2011-10-14,28,17.78
2011-10-21,28,18.71
2011-10-28,29,19.33
2011-11-04,27,19.65
2011-11-11,27,20.33
2011-11-18,31,18.76
2011-11-25,44,17.62
2011-12-02,33,18.70
2011-12-09,33,18.85
2011-12-16,30,18.30
2011-12-23,30,18.61
2011-12-30,24,18.55
2012-01-06,24,18.00
2012-01-13,25,18.26
2012-01-20,27,18.63
2012-01-27,32,18.93
2012-02-03,37,21.71
2012-02-10,22,21.59
2012-02-17,22,22.72
2012-02-24,22,22.57
2012-03-02,22,24.41
2012-03-09,22,25.00
2012-03-16,26,25.39
2012-03-23,22,26.46
2012-03-30,37,26.14
2012-04-06,52,
2012-04-13,24,26.56
2012-04-20,24,27.85
2012-04-27,24,28.53
2012-05-04,24,28.20
2012-05-11,27,28.00
2012-05-18,30,25.71
2012-05-25,33,27.16
2012-06-01,36,25.26
2012-06-08,38,26.24
2012-06-15,23,26.73
2012-06-22,24,27.36
2012-06-29,28,27.36
2012-07-06,26,27.88
2012-07-13,26,27.90
2012-07-20,24,29.20
2012-07-27,29,29.91
2012-08-03,35,33.46
2012-08-10,33,34.21
2012-08-17,27,35.99
2012-08-24,49,35.12
2012-08-31,32,35.82
2012-09-07,27,35.93
2012-09-14,31,35.20
2012-09-21,29,36.19
2012-09-28,22,35.78
2012-10-05,32,37.10
2012-10-12,25,36.10
2012-10-19,23,36.37
2012-10-26,47,35.41
2012-11-02,21,35.11
2012-11-09,19,33.62
2012-11-16,31,33.59
2012-11-23,19,35.50
2012-11-30,36,34.46
2012-12-07,45,31.81
2012-12-14,21,31.45
2012-12-21,41,31.37
2012-12-28,53,30.43
2013-01-04,33,32.10
2013-01-11,22,31.71
2013-01-18,25,32.96
2013-01-25,23,33.54
2013-02-01,25,32.97
2013-02-08,27,32.23
2013-02-15,29,32.88
2013-02-22,22,31.96
2013-03-01,22,33.87
2013-03-08,22,36.23
2013-03-15,22,36.39
2013-03-22,24,35.66
2013-03-29,17,
2013-04-05,17,36.65
2013-04-12,38,38.18
2013-04-19,35,37.00
2013-04-26,19,37.49
2013-05-03,18,38.81
2013-05-10,28,40.99
2013-05-17,24,40.96
2013-05-24,26,40.64
2013-05-31,29,40.55
2013-06-07,28,42.09
2013-06-14,37,41.48
2013-06-21,26,41.32
2013-06-28,26,41.73
2013-07-05,31,43.30
2013-07-12,35,45.10
2013-07-19,34,45.03
2013-07-26,34,45.48
2013-08-02,19,46.48
2013-08-09,23,44.10
2013-08-16,28,43.12
2013-08-23,38,41.97
2013-08-30,34,40.44
2013-09-06,18,40.39
2013-09-13,28,41.64
2013-09-20,23,41.55
2013-09-27,27,40.67
2013-10-04,23,40.51
2013-10-11,23,36.83
2013-10-18,23,37.22
2013-10-25,21,36.66
2013-11-01,28,36.78
2013-11-08,21,41.43
2013-11-15,24,42.15
2013-11-22,22,41.31
2013-11-29,29,40.97
2013-12-06,19,39.46
2013-12-13,29,38.49
2013-12-20,36,38.57
2013-12-27,31,38.62
2014-01-03,31,39.52
2014-01-10,28,39.84
2014-01-17,32,37.30
2014-01-24,24,37.21
2014-01-31,27,38.08
2014-02-07,35,42.00
2014-02-14,20,42.34
2014-02-21,30,42.77
2014-02-28,36,43.75
2014-03-07,20,42.38
2014-03-14,24,42.08
2014-03-21,24,41.69
2014-03-28,25,40.17
2014-04-04,34,41.37
2014-04-11,21,38.40
2014-04-18,24,
2014-04-25,26,38.78
2014-05-02,0,
