Date,sell HD,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,36.33
2004-02-13,0,36.17
2004-02-20,0,35.70
2004-02-27,0,36.31
2004-03-05,0,37.45
2004-03-12,0,36.09
2004-03-19,0,36.68
2004-03-26,0,36.93
2004-04-02,0,36.68
2004-04-09,0,
2004-04-16,0,36.20
2004-04-23,0,36.49
2004-04-30,0,35.19
2004-05-07,0,33.00
2004-05-14,0,33.80
2004-05-21,0,34.47
2004-05-28,0,35.92
2004-06-04,0,35.33
2004-06-11,0,
2004-06-18,0,35.37
2004-06-25,0,35.25
2004-07-02,0,34.69
2004-07-09,0,34.37
2004-07-16,0,33.92
2004-07-23,0,33.00
2004-07-30,0,33.72
2004-08-06,0,32.90
2004-08-13,0,33.14
2004-08-20,0,36.36
2004-08-27,0,36.59
2004-09-03,0,37.48
2004-09-10,0,37.54
2004-09-17,0,38.31
2004-09-24,0,38.43
2004-10-01,0,39.25
2004-10-08,0,39.02
2004-10-15,0,39.81
2004-10-22,0,39.17
2004-10-29,0,41.08
2004-11-05,0,42.29
2004-11-12,0,43.22
2004-11-19,0,42.70
2004-11-26,0,43.37
2004-12-03,0,41.79
2004-12-10,0,42.64
2004-12-17,0,42.01
2004-12-24,0,
2004-12-31,0,42.74
2005-01-07,0,41.42
2005-01-14,0,41.90
2005-01-21,0,40.90
2005-01-28,0,40.41
2005-02-04,0,42.42
2005-02-11,0,42.81
2005-02-18,0,42.02
2005-02-25,0,40.58
2005-03-04,0,40.09
2005-03-11,0,39.42
2005-03-18,0,38.88
2005-03-25,0,
2005-04-01,0,37.60
2005-04-08,0,37.48
2005-04-15,0,36.11
2005-04-22,0,36.02
2005-04-29,0,35.37
2005-05-06,0,37.16
2005-05-13,0,36.29
2005-05-20,0,39.63
2005-05-27,0,39.97
2005-06-03,0,39.72
2005-06-10,0,39.50
2005-06-17,0,40.20
2005-06-24,0,38.24
2005-07-01,0,39.49
2005-07-08,0,40.08
2005-07-15,0,41.61
2005-07-22,0,43.47
2005-07-29,0,43.51
2005-08-05,0,40.95
2005-08-12,0,41.28
2005-08-19,0,40.37
2005-08-26,0,39.81
2005-09-02,0,40.33
2005-09-09,0,41.22
2005-09-16,0,39.90
2005-09-23,0,38.53
2005-09-30,0,38.14
2005-10-07,0,37.80
2005-10-14,0,38.41
2005-10-21,0,39.65
2005-10-28,0,40.52
2005-11-04,0,41.36
2005-11-11,0,41.91
2005-11-18,0,42.44
2005-11-25,0,42.42
2005-12-02,0,41.67
2005-12-09,0,41.02
2005-12-16,0,42.50
2005-12-23,0,41.59
2005-12-30,0,40.48
2006-01-06,0,40.38
2006-01-13,0,41.91
2006-01-20,0,40.17
2006-01-27,0,40.00
2006-02-03,0,39.82
2006-02-10,0,39.22
2006-02-17,0,41.86
2006-02-24,0,41.63
2006-03-03,0,42.20
2006-03-10,0,41.25
2006-03-17,0,42.90
2006-03-24,0,43.12
2006-03-31,0,42.30
2006-04-07,0,42.10
2006-04-14,0,
2006-04-21,0,40.28
2006-04-28,0,39.93
2006-05-05,0,41.29
2006-05-12,0,40.00
2006-05-19,0,38.94
2006-05-26,0,38.67
2006-06-02,0,38.00
2006-06-09,0,36.95
2006-06-16,0,36.91
2006-06-23,0,36.41
2006-06-30,0,35.79
2006-07-07,0,35.37
2006-07-14,0,33.84
2006-07-21,0,33.85
2006-07-28,0,34.59
2006-08-04,0,34.71
2006-08-11,0,33.27
2006-08-18,0,34.77
2006-08-25,0,33.48
2006-09-01,0,34.64
2006-09-08,0,34.28
2006-09-15,0,37.22
2006-09-22,0,35.96
2006-09-29,0,36.27
2006-10-06,0,37.14
2006-10-13,0,36.90
2006-10-20,0,35.99
2006-10-27,0,37.07
2006-11-03,0,37.20
2006-11-10,0,36.64
2006-11-17,0,38.28
2006-11-24,0,37.72
2006-12-01,0,38.97
2006-12-08,0,38.80
2006-12-15,0,39.89
2006-12-22,0,38.89
2006-12-29,0,40.16
2007-01-05,0,39.79
2007-01-12,0,40.11
2007-01-19,0,40.55
2007-01-26,0,39.94
2007-02-02,0,40.83
2007-02-09,0,41.00
2007-02-16,0,41.44
2007-02-23,0,40.96
2007-03-02,0,39.01
2007-03-09,0,38.67
2007-03-16,0,37.51
2007-03-23,0,38.22
2007-03-30,0,36.74
2007-04-06,0,
2007-04-13,0,37.89
2007-04-20,0,39.21
2007-04-27,0,38.47
2007-05-04,0,38.90
2007-05-11,0,38.86
2007-05-18,0,38.88
2007-05-25,0,38.38
2007-06-01,0,39.21
2007-06-08,0,37.95
2007-06-15,0,37.95
2007-06-22,0,39.36
2007-06-29,0,39.35
2007-07-06,0,40.30
2007-07-13,0,40.87
2007-07-20,0,39.39
2007-07-27,0,36.75
2007-08-03,0,36.19
2007-08-10,0,35.92
2007-08-17,0,33.31
2007-08-24,0,34.68
2007-08-31,0,38.31
2007-09-07,0,34.21
2007-09-14,0,35.68
2007-09-21,0,34.47
2007-09-28,0,32.44
2007-10-05,0,34.22
2007-10-12,0,33.44
2007-10-19,0,30.76
2007-10-26,0,31.35
2007-11-02,0,30.40
2007-11-09,0,28.05
2007-11-16,0,29.07
2007-11-23,0,28.95
2007-11-30,0,28.56
2007-12-07,0,29.49
2007-12-14,42,26.63
2007-12-21,43,26.66
2007-12-28,44,26.68
2008-01-04,45,24.96
2008-01-11,46,24.71
2008-01-18,40,26.28
2008-01-25,39,28.53
2008-02-01,39,30.45
2008-02-08,39,27.97
2008-02-15,39,27.52
2008-02-22,39,27.77
2008-02-29,0,26.55
2008-03-07,0,25.88
2008-03-14,0,25.75
2008-03-21,0,
2008-03-28,0,27.38
2008-04-04,0,28.79
2008-04-11,0,28.17
2008-04-18,0,28.68
2008-04-25,0,29.78
2008-05-02,0,30.12
2008-05-09,0,27.98
2008-05-16,0,29.10
2008-05-23,0,26.77
2008-05-30,0,27.36
2008-06-06,0,27.18
2008-06-13,42,27.53
2008-06-20,42,26.25
2008-06-27,0,24.02
2008-07-04,0,
2008-07-11,0,21.58
2008-07-18,0,23.44
2008-07-25,0,23.80
2008-08-01,0,23.90
2008-08-08,0,26.37
2008-08-15,0,27.53
2008-08-22,0,27.11
2008-08-29,0,27.12
2008-09-05,0,28.59
2008-09-12,0,28.80
2008-09-19,0,27.37
2008-09-26,38,26.46
2008-10-03,0,23.81
2008-10-10,0,19.75
2008-10-17,0,20.21
2008-10-24,0,18.51
2008-10-31,0,23.59
2008-11-07,0,21.06
2008-11-14,0,20.54
2008-11-21,0,19.29
2008-11-28,35,23.11
2008-12-05,35,24.40
2008-12-12,36,23.47
2008-12-19,0,24.22
2008-12-26,0,23.56
2009-01-02,0,24.13
2009-01-09,0,23.86
2009-01-16,0,23.20
2009-01-23,0,21.72
2009-01-30,33,21.53
2009-02-06,32,23.53
2009-02-13,37,21.22
2009-02-20,41,19.46
2009-02-27,32,20.89
2009-03-06,32,18.00
2009-03-13,32,20.71
2009-03-20,32,22.16
2009-03-27,31,23.63
2009-04-03,30,25.00
2009-04-10,30,
2009-04-17,38,26.10
2009-04-24,34,26.31
2009-05-01,32,25.77
2009-05-08,34,25.50
2009-05-15,0,24.40
2009-05-22,0,22.86
2009-05-29,0,23.16
2009-06-05,0,24.17
2009-06-12,0,24.15
2009-06-19,0,23.52
2009-06-26,0,23.61
2009-07-03,28,
2009-07-10,37,22.52
2009-07-17,37,24.67
2009-07-24,28,25.32
2009-07-31,28,25.94
2009-08-07,29,27.26
2009-08-14,29,27.14
2009-08-21,29,27.50
2009-08-28,30,27.69
2009-09-04,26,27.03
2009-09-11,29,27.34
2009-09-18,46,28.23
2009-09-25,36,26.85
2009-10-02,37,26.03
2009-10-09,33,26.96
2009-10-16,24,27.26
2009-10-23,24,26.27
2009-10-30,24,25.09
2009-11-06,28,26.08
2009-11-13,31,27.34
2009-11-20,24,27.18
2009-11-27,27,27.61
2009-12-04,28,28.08
2009-12-11,52,28.49
2009-12-18,36,28.65
2009-12-25,36,
2010-01-01,31,
2010-01-08,47,28.98
2010-01-15,58,28.57
2010-01-22,29,27.72
2010-01-29,26,28.01
2010-02-05,35,27.98
2010-02-12,31,29.00
2010-02-19,34,30.15
2010-02-26,30,31.20
2010-03-05,23,31.80
2010-03-12,23,32.45
2010-03-19,28,32.36
2010-03-26,28,32.75
2010-04-02,25,
2010-04-09,25,33.25
2010-04-16,26,35.01
2010-04-23,49,36.39
2010-04-30,26,35.23
2010-05-07,35,33.43
2010-05-14,24,35.20
2010-05-21,29,33.02
2010-05-28,34,33.86
2010-06-04,39,32.15
2010-06-11,29,32.22
2010-06-18,29,31.94
2010-06-25,32,30.20
2010-07-02,36,27.76
2010-07-09,22,28.26
2010-07-16,29,27.11
2010-07-23,30,28.25
2010-07-30,31,28.51
2010-08-06,35,28.68
2010-08-13,38,27.31
2010-08-20,25,28.17
2010-08-27,23,28.74
2010-09-03,23,29.85
2010-09-10,44,29.68
2010-09-17,44,29.89
2010-09-24,33,31.64
2010-10-01,45,31.82
2010-10-08,37,31.89
2010-10-15,28,30.70
2010-10-22,44,31.48
2010-10-29,26,30.90
2010-11-05,31,31.92
2010-11-12,51,31.44
2010-11-19,36,31.22
2010-11-26,43,31.00
2010-12-03,28,33.48
2010-12-10,20,34.40
2010-12-17,34,35.10
2010-12-24,24,
2010-12-31,41,35.06
2011-01-07,50,34.38
2011-01-14,27,35.89
2011-01-21,32,36.51
2011-01-28,41,36.70
2011-02-04,32,36.80
2011-02-11,61,37.48
2011-02-18,46,38.48
2011-02-25,34,37.08
2011-03-04,52,37.22
2011-03-11,37,37.14
2011-03-18,42,36.00
2011-03-25,26,37.42
2011-04-01,39,37.56
2011-04-08,26,37.46
2011-04-15,29,38.17
2011-04-22,48,
2011-04-29,27,37.15
2011-05-06,16,36.99
2011-05-13,28,37.01
2011-05-20,44,37.05
2011-05-27,26,36.00
2011-06-03,48,34.63
2011-06-10,32,33.47
2011-06-17,39,34.53
2011-06-24,28,35.08
2011-07-01,36,36.73
2011-07-08,37,36.62
2011-07-15,31,35.91
2011-07-22,53,36.52
2011-07-29,28,34.93
2011-08-05,32,30.74
2011-08-12,46,30.58
2011-08-19,45,31.88
2011-08-26,41,34.00
2011-09-02,35,32.18
2011-09-09,31,31.87
2011-09-16,41,34.61
2011-09-23,37,33.72
2011-09-30,37,32.87
2011-10-07,33,33.92
2011-10-14,24,35.05
2011-10-21,33,36.86
2011-10-28,33,36.12
2011-11-04,31,36.39
2011-11-11,27,38.06
2011-11-18,42,37.88
2011-11-25,38,36.47
2011-12-02,50,39.94
2011-12-09,48,40.23
2011-12-16,39,40.42
2011-12-23,29,42.09
2011-12-30,47,42.04
2012-01-06,28,43.20
2012-01-13,47,43.51
2012-01-20,36,44.51
2012-01-27,39,44.87
2012-02-03,32,45.17
2012-02-10,46,45.33
2012-02-17,23,46.71
2012-02-24,51,46.98
2012-03-02,45,47.41
2012-03-09,41,48.10
2012-03-16,32,49.05
2012-03-23,32,49.54
2012-03-30,25,50.31
2012-04-06,37,
2012-04-13,46,50.96
2012-04-20,37,51.46
2012-04-27,31,51.95
2012-05-04,34,51.96
2012-05-11,39,50.34
2012-05-18,43,47.05
2012-05-25,37,49.44
2012-06-01,38,47.96
2012-06-08,48,52.35
2012-06-15,55,51.87
2012-06-22,38,52.02
2012-06-29,33,52.99
2012-07-06,38,52.15
2012-07-13,25,52.09
2012-07-20,29,50.70
2012-07-27,40,53.71
2012-08-03,49,52.29
2012-08-10,36,53.06
2012-08-17,40,56.73
2012-08-24,40,56.96
2012-08-31,51,56.75
2012-09-07,46,57.26
2012-09-14,44,59.46
2012-09-21,53,59.42
2012-09-28,51,60.37
2012-10-05,50,63.20
2012-10-12,50,59.56
2012-10-19,48,61.89
2012-10-26,61,60.04
2012-11-02,63,62.02
2012-11-09,59,60.96
2012-11-16,65,62.12
2012-11-23,83,64.82
2012-11-30,70,65.07
2012-12-07,75,64.45
2012-12-14,71,62.06
2012-12-21,78,61.32
2012-12-28,100,60.65
2013-01-04,81,63.18
2013-01-11,65,63.70
2013-01-18,69,65.47
2013-01-25,62,67.82
2013-02-01,48,67.30
2013-02-08,58,67.01
2013-02-15,57,67.52
2013-02-22,48,65.58
2013-03-01,45,69.03
2013-03-08,61,71.37
2013-03-15,51,69.05
2013-03-22,38,69.56
2013-03-29,56,
2013-04-05,59,70.06
2013-04-12,55,73.62
2013-04-19,43,74.00
2013-04-26,43,73.35
2013-05-03,51,73.96
2013-05-10,55,76.01
2013-05-17,48,76.86
2013-05-24,58,78.99
2013-05-31,53,78.66
2013-06-07,62,78.74
2013-06-14,57,76.59
2013-06-21,51,73.82
2013-06-28,37,77.47
2013-07-05,47,78.29
2013-07-12,52,80.54
2013-07-19,57,79.89
2013-07-26,50,78.74
2013-08-02,52,80.23
2013-08-09,68,78.97
2013-08-16,52,75.38
2013-08-23,66,73.89
2013-08-30,51,74.49
2013-09-06,64,72.70
2013-09-13,49,75.11
2013-09-20,78,77.00
2013-09-27,57,75.96
2013-10-04,52,75.78
2013-10-11,50,76.32
2013-10-18,66,74.69
2013-10-25,64,76.25
2013-11-01,56,76.99
2013-11-08,52,75.48
2013-11-15,59,80.03
2013-11-22,65,79.18
2013-11-29,72,80.67
2013-12-06,77,79.84
2013-12-13,56,79.01
2013-12-20,50,80.04
2013-12-27,79,81.64
2014-01-03,69,81.89
2014-01-10,57,82.01
2014-01-17,53,81.00
2014-01-24,60,79.16
2014-01-31,49,76.85
2014-02-07,53,76.45
2014-02-14,59,77.93
2014-02-21,45,77.74
2014-02-28,52,82.03
2014-03-07,45,82.55
2014-03-14,56,79.38
2014-03-21,64,80.42
2014-03-28,49,78.72
2014-04-04,59,78.72
2014-04-11,50,75.70
2014-04-18,45,
2014-04-25,57,79.38
2014-05-02,47,
