Date,sell IP,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,42.22
2004-02-13,0,43.40
2004-02-20,0,43.77
2004-02-27,0,44.26
2004-03-05,0,44.03
2004-03-12,0,41.41
2004-03-19,0,41.47
2004-03-26,0,41.58
2004-04-02,0,42.67
2004-04-09,0,
2004-04-16,0,42.74
2004-04-23,0,43.20
2004-04-30,0,40.32
2004-05-07,0,38.41
2004-05-14,0,40.77
2004-05-21,0,40.60
2004-05-28,0,41.93
2004-06-04,0,41.77
2004-06-11,0,
2004-06-18,0,43.72
2004-06-25,0,43.49
2004-07-02,0,43.55
2004-07-09,0,42.83
2004-07-16,0,43.52
2004-07-23,0,42.31
2004-07-30,0,43.23
2004-08-06,0,41.35
2004-08-13,0,40.70
2004-08-20,0,41.81
2004-08-27,0,41.15
2004-09-03,0,40.80
2004-09-10,0,40.11
2004-09-17,0,39.90
2004-09-24,0,38.85
2004-10-01,0,40.76
2004-10-08,0,40.62
2004-10-15,0,39.12
2004-10-22,0,38.60
2004-10-29,0,38.51
2004-11-05,0,40.12
2004-11-12,0,40.81
2004-11-19,0,40.50
2004-11-26,0,41.80
2004-12-03,0,40.52
2004-12-10,0,40.75
2004-12-17,0,41.34
2004-12-24,0,
2004-12-31,0,42.00
2005-01-07,0,41.29
2005-01-14,0,40.92
2005-01-21,0,39.10
2005-01-28,0,39.40
2005-02-04,0,39.54
2005-02-11,0,37.27
2005-02-18,0,38.36
2005-02-25,0,38.11
2005-03-04,0,39.60
2005-03-11,0,39.25
2005-03-18,0,38.93
2005-03-25,0,
2005-04-01,0,36.35
2005-04-08,0,37.30
2005-04-15,0,34.43
2005-04-22,0,33.85
2005-04-29,0,34.29
2005-05-06,0,33.79
2005-05-13,0,31.65
2005-05-20,0,32.89
2005-05-27,0,32.54
2005-06-03,0,32.87
2005-06-10,0,32.69
2005-06-17,0,33.90
2005-06-24,0,32.45
2005-07-01,0,30.34
2005-07-08,0,30.61
2005-07-15,0,30.86
2005-07-22,0,31.59
2005-07-29,0,31.60
2005-08-05,0,31.19
2005-08-12,0,31.31
2005-08-19,0,31.07
2005-08-26,0,30.53
2005-09-02,0,30.61
2005-09-09,0,31.85
2005-09-16,0,31.57
2005-09-23,0,30.30
2005-09-30,0,29.80
2005-10-07,0,28.39
2005-10-14,0,27.20
2005-10-21,0,28.01
2005-10-28,0,28.86
2005-11-04,0,29.36
2005-11-11,0,29.83
2005-11-18,0,30.89
2005-11-25,0,31.41
2005-12-02,0,33.46
2005-12-09,0,33.83
2005-12-16,0,33.69
2005-12-23,0,34.43
2005-12-30,0,33.61
2006-01-06,0,34.18
2006-01-13,0,33.25
2006-01-20,0,32.26
2006-01-27,0,32.71
2006-02-03,0,32.50
2006-02-10,0,32.66
2006-02-17,0,33.47
2006-02-24,0,33.44
2006-03-03,0,32.60
2006-03-10,0,34.21
2006-03-17,0,35.21
2006-03-24,0,34.43
2006-03-31,0,34.57
2006-04-07,0,34.40
2006-04-14,0,
2006-04-21,0,37.18
2006-04-28,0,36.35
2006-05-05,0,37.44
2006-05-12,0,34.60
2006-05-19,0,33.71
2006-05-26,0,33.92
2006-06-02,0,33.81
2006-06-09,0,32.18
2006-06-16,0,31.77
2006-06-23,0,31.76
2006-06-30,0,32.30
2006-07-07,0,32.75
2006-07-14,0,32.36
2006-07-21,0,31.67
2006-07-28,0,33.88
2006-08-04,0,33.64
2006-08-11,0,34.10
2006-08-18,0,34.84
2006-08-25,0,35.07
2006-09-01,0,35.01
2006-09-08,0,35.08
2006-09-15,0,34.00
2006-09-22,0,34.06
2006-09-29,0,34.63
2006-10-06,0,35.34
2006-10-13,0,35.60
2006-10-20,0,33.81
2006-10-27,0,33.76
2006-11-03,0,31.92
2006-11-10,0,32.23
2006-11-17,0,32.84
2006-11-24,0,32.86
2006-12-01,0,33.17
2006-12-08,0,33.98
2006-12-15,0,34.78
2006-12-22,0,33.80
2006-12-29,0,34.10
2007-01-05,0,33.46
2007-01-12,0,34.29
2007-01-19,0,34.67
2007-01-26,0,32.84
2007-02-02,0,34.88
2007-02-09,0,35.85
2007-02-16,0,37.78
2007-02-23,0,37.18
2007-03-02,0,35.05
2007-03-09,0,35.25
2007-03-16,0,35.30
2007-03-23,0,36.42
2007-03-30,0,36.40
2007-04-06,0,
2007-04-13,0,36.92
2007-04-20,0,37.20
2007-04-27,0,37.68
2007-05-04,0,38.10
2007-05-11,0,38.89
2007-05-18,0,39.12
2007-05-25,0,38.95
2007-06-01,0,39.58
2007-06-08,0,38.38
2007-06-15,0,38.33
2007-06-22,0,38.79
2007-06-29,0,39.05
2007-07-06,0,39.33
2007-07-13,0,40.79
2007-07-20,0,40.30
2007-07-27,0,36.72
2007-08-03,0,34.86
2007-08-10,0,33.73
2007-08-17,0,33.07
2007-08-24,0,34.40
2007-08-31,0,35.11
2007-09-07,0,35.06
2007-09-14,0,34.92
2007-09-21,0,35.86
2007-09-28,0,35.87
2007-10-05,0,36.43
2007-10-12,0,35.68
2007-10-19,0,35.10
2007-10-26,0,36.43
2007-11-02,0,35.45
2007-11-09,0,34.17
2007-11-16,0,34.11
2007-11-23,0,32.89
2007-11-30,0,33.75
2007-12-07,0,34.52
2007-12-14,0,32.36
2007-12-21,0,33.09
2007-12-28,0,32.55
2008-01-04,0,31.30
2008-01-11,0,31.02
2008-01-18,0,30.68
2008-01-25,0,31.65
2008-02-01,0,32.68
2008-02-08,0,31.84
2008-02-15,0,32.51
2008-02-22,0,32.40
2008-02-29,0,31.70
2008-03-07,0,31.31
2008-03-14,0,32.26
2008-03-21,0,
2008-03-28,0,26.95
2008-04-04,0,28.74
2008-04-11,0,27.18
2008-04-18,0,28.65
2008-04-25,0,28.17
2008-05-02,0,25.73
2008-05-09,0,25.82
2008-05-16,0,28.07
2008-05-23,0,26.49
2008-05-30,0,27.22
2008-06-06,0,25.68
2008-06-13,0,25.14
2008-06-20,0,24.48
2008-06-27,0,23.39
2008-07-04,0,
2008-07-11,0,22.00
2008-07-18,0,23.38
2008-07-25,0,23.41
2008-08-01,0,28.52
2008-08-08,0,28.96
2008-08-15,0,28.96
2008-08-22,0,27.68
2008-08-29,0,27.05
2008-09-05,0,28.47
2008-09-12,0,30.59
2008-09-19,0,28.92
2008-09-26,0,28.24
2008-10-03,0,25.30
2008-10-10,0,19.32
2008-10-17,0,18.01
2008-10-24,0,16.05
2008-10-31,0,17.26
2008-11-07,0,14.88
2008-11-14,0,12.52
2008-11-21,0,11.06
2008-11-28,0,12.45
2008-12-05,0,11.06
2008-12-12,0,12.17
2008-12-19,0,12.24
2008-12-26,0,11.49
2009-01-02,0,12.43
2009-01-09,0,11.70
2009-01-16,0,10.89
2009-01-23,0,10.83
2009-01-30,0,9.12
2009-02-06,0,8.00
2009-02-13,0,6.89
2009-02-20,0,6.12
2009-02-27,0,5.69
2009-03-06,0,4.09
2009-03-13,0,6.17
2009-03-20,0,7.08
2009-03-27,0,8.07
2009-04-03,0,7.96
2009-04-10,0,
2009-04-17,0,8.82
2009-04-24,0,10.86
2009-05-01,0,13.04
2009-05-08,0,14.36
2009-05-15,0,12.49
2009-05-22,0,14.31
2009-05-29,0,14.37
2009-06-05,0,14.48
2009-06-12,0,15.81
2009-06-19,0,13.75
2009-06-26,0,13.96
2009-07-03,0,
2009-07-10,0,14.69
2009-07-17,0,16.25
2009-07-24,0,18.72
2009-07-31,0,18.81
2009-08-07,0,20.18
2009-08-14,0,19.99
2009-08-21,0,21.18
2009-08-28,0,22.38
2009-09-04,0,22.44
2009-09-11,0,23.47
2009-09-18,0,23.14
2009-09-25,0,21.71
2009-10-02,0,21.39
2009-10-09,0,23.18
2009-10-16,0,24.16
2009-10-23,0,23.72
2009-10-30,0,22.31
2009-11-06,0,23.96
2009-11-13,0,24.81
2009-11-20,0,24.89
2009-11-27,0,24.85
2009-12-04,0,25.86
2009-12-11,0,25.79
2009-12-18,0,26.66
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,26.93
2010-01-15,0,26.08
2010-01-22,60,24.43
2010-01-29,0,22.91
2010-02-05,0,22.67
2010-02-12,0,22.57
2010-02-19,0,24.25
2010-02-26,0,23.17
2010-03-05,45,25.35
2010-03-12,0,25.34
2010-03-19,0,25.82
2010-03-26,0,24.99
2010-04-02,0,
2010-04-09,0,27.47
2010-04-16,0,27.85
2010-04-23,0,28.63
2010-04-30,0,26.74
2010-05-07,0,23.16
2010-05-14,0,23.78
2010-05-21,0,22.28
2010-05-28,0,23.23
2010-06-04,0,21.93
2010-06-11,0,24.30
2010-06-18,0,25.73
2010-06-25,0,24.59
2010-07-02,0,22.59
2010-07-09,0,23.67
2010-07-16,0,22.78
2010-07-23,0,24.98
2010-07-30,0,24.20
2010-08-06,0,24.06
2010-08-13,0,21.87
2010-08-20,0,21.21
2010-08-27,0,20.38
2010-09-03,0,22.39
2010-09-10,75,22.39
2010-09-17,64,23.46
2010-09-24,44,21.83
2010-10-01,55,22.36
2010-10-08,78,22.19
2010-10-15,55,23.53
2010-10-22,42,23.68
2010-10-29,42,25.28
2010-11-05,49,26.44
2010-11-12,68,25.67
2010-11-19,56,24.80
2010-11-26,53,25.12
2010-12-03,37,26.24
2010-12-10,100,26.85
2010-12-17,44,25.94
2010-12-24,66,
2010-12-31,80,27.24
2011-01-07,52,27.99
2011-01-14,35,28.67
2011-01-21,52,27.91
2011-01-28,63,28.44
2011-02-04,73,29.22
2011-02-11,69,29.34
2011-02-18,41,29.02
2011-02-25,59,28.08
2011-03-04,77,26.78
2011-03-11,54,25.99
2011-03-18,57,26.87
2011-03-25,61,27.79
2011-04-01,37,30.42
2011-04-08,51,29.90
2011-04-15,72,29.95
2011-04-22,43,
2011-04-29,77,30.88
2011-05-06,54,31.77
2011-05-13,44,31.37
2011-05-20,77,31.31
2011-05-27,61,30.91
2011-06-03,76,29.88
2011-06-10,66,28.30
2011-06-17,64,26.57
2011-06-24,81,28.78
2011-07-01,71,30.61
2011-07-08,61,30.26
2011-07-15,58,29.87
2011-07-22,80,30.86
2011-07-29,54,29.70
2011-08-05,64,25.55
2011-08-12,50,25.55
2011-08-19,79,23.67
2011-08-26,58,25.68
2011-09-02,78,25.49
2011-09-09,68,26.17
2011-09-16,65,27.98
2011-09-23,76,25.02
2011-09-30,70,23.25
2011-10-07,82,24.05
2011-10-14,61,26.01
2011-10-21,69,25.93
2011-10-28,84,28.81
2011-11-04,59,28.81
2011-11-11,91,28.89
2011-11-18,90,28.02
2011-11-25,68,25.89
2011-12-02,75,28.77
2011-12-09,69,28.27
2011-12-16,69,27.79
2011-12-23,79,29.24
2011-12-30,63,29.60
2012-01-06,98,30.94
2012-01-13,41,31.49
2012-01-20,67,32.46
2012-01-27,48,30.98
2012-02-03,27,31.85
2012-02-10,48,31.85
2012-02-17,48,33.46
2012-02-24,53,32.92
2012-03-02,57,35.62
2012-03-09,43,35.23
2012-03-16,55,35.57
2012-03-23,51,35.19
2012-03-30,29,35.10
2012-04-06,29,
2012-04-13,29,32.97
2012-04-20,29,33.02
2012-04-27,29,33.85
2012-05-04,30,32.13
2012-05-11,41,31.28
2012-05-18,53,28.88
2012-05-25,29,29.31
2012-06-01,30,28.13
2012-06-08,30,29.27
2012-06-15,31,28.84
2012-06-22,32,29.22
2012-06-29,42,28.91
2012-07-06,48,29.07
2012-07-13,31,30.75
2012-07-20,31,32.29
2012-07-27,34,33.36
2012-08-03,32,32.71
2012-08-10,32,32.89
2012-08-17,41,34.58
2012-08-24,35,34.55
2012-08-31,33,34.56
2012-09-07,39,36.30
2012-09-14,63,35.52
2012-09-21,58,35.51
2012-09-28,32,36.32
2012-10-05,47,36.81
2012-10-12,31,36.80
2012-10-19,45,37.42
2012-10-26,43,35.66
2012-11-02,40,35.93
2012-11-09,40,34.85
2012-11-16,38,34.31
2012-11-23,33,36.26
2012-11-30,46,37.14
2012-12-07,30,36.04
2012-12-14,39,38.06
2012-12-21,38,39.31
2012-12-28,27,38.91
2013-01-04,27,40.85
2013-01-11,22,40.11
2013-01-18,32,41.91
2013-01-25,62,42.51
2013-02-01,39,42.35
2013-02-08,37,42.60
2013-02-15,28,42.17
2013-02-22,30,43.00
2013-03-01,32,44.28
2013-03-08,27,46.78
2013-03-15,27,45.66
2013-03-22,27,45.10
2013-03-29,33,
2013-04-05,45,46.15
2013-04-12,25,48.20
2013-04-19,21,45.67
2013-04-26,34,46.41
2013-05-03,23,45.62
2013-05-10,26,46.50
2013-05-17,36,48.18
2013-05-24,46,47.05
2013-05-31,23,46.15
2013-06-07,27,45.62
2013-06-14,23,45.35
2013-06-21,23,43.60
2013-06-28,32,44.31
2013-07-05,35,46.32
2013-07-12,30,48.13
2013-07-19,27,47.72
2013-07-26,30,49.11
2013-08-02,23,49.40
2013-08-09,36,48.02
2013-08-16,37,47.97
2013-08-23,36,46.86
2013-08-30,31,47.21
2013-09-06,31,47.86
2013-09-13,38,48.67
2013-09-20,26,47.79
2013-09-27,30,45.44
2013-10-04,30,43.70
2013-10-11,26,44.89
2013-10-18,40,45.47
2013-10-25,31,45.57
2013-11-01,32,44.96
2013-11-08,37,43.96
2013-11-15,35,45.53
2013-11-22,29,46.89
2013-11-29,27,46.65
2013-12-06,27,46.44
2013-12-13,35,47.83
2013-12-20,48,48.35
2013-12-27,28,49.04
2014-01-03,25,48.62
2014-01-10,32,48.93
2014-01-17,36,48.34
2014-01-24,32,45.56
2014-01-31,26,47.74
2014-02-07,33,47.42
2014-02-14,26,49.18
2014-02-21,37,49.16
2014-02-28,38,48.89
2014-03-07,28,48.15
2014-03-14,46,46.13
2014-03-21,42,45.78
2014-03-28,31,45.80
2014-04-04,31,45.81
2014-04-11,31,44.98
2014-04-18,37,
2014-04-25,30,45.63
2014-05-02,0,
