Date,sell KORS,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,
2005-08-19,0,
2005-08-26,0,
2005-09-02,0,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,0,
2005-10-21,0,
2005-10-28,0,
2005-11-04,0,
2005-11-11,0,
2005-11-18,0,
2005-11-25,0,
2005-12-02,0,
2005-12-09,0,
2005-12-16,0,
2005-12-23,0,
2005-12-30,0,
2006-01-06,0,
2006-01-13,0,
2006-01-20,0,
2006-01-27,0,
2006-02-03,0,
2006-02-10,0,
2006-02-17,0,
2006-02-24,0,
2006-03-03,0,
2006-03-10,0,
2006-03-17,0,
2006-03-24,0,
2006-03-31,0,
2006-04-07,0,
2006-04-14,0,
2006-04-21,0,
2006-04-28,0,
2006-05-05,0,
2006-05-12,0,
2006-05-19,0,
2006-05-26,0,
2006-06-02,0,
2006-06-09,0,
2006-06-16,0,
2006-06-23,0,
2006-06-30,0,
2006-07-07,0,
2006-07-14,0,
2006-07-21,0,
2006-07-28,0,
2006-08-04,0,
2006-08-11,0,
2006-08-18,0,
2006-08-25,0,
2006-09-01,0,
2006-09-08,0,
2006-09-15,0,
2006-09-22,0,
2006-09-29,0,
2006-10-06,0,
2006-10-13,0,
2006-10-20,0,
2006-10-27,0,
2006-11-03,0,
2006-11-10,0,
2006-11-17,0,
2006-11-24,0,
2006-12-01,0,
2006-12-08,0,
2006-12-15,0,
2006-12-22,0,
2006-12-29,0,
2007-01-05,0,
2007-01-12,0,
2007-01-19,0,
2007-01-26,0,
2007-02-02,0,
2007-02-09,0,
2007-02-16,0,
2007-02-23,0,
2007-03-02,0,
2007-03-09,0,
2007-03-16,0,
2007-03-23,0,
2007-03-30,0,
2007-04-06,0,
2007-04-13,0,
2007-04-20,0,
2007-04-27,0,
2007-05-04,0,
2007-05-11,0,
2007-05-18,0,
2007-05-25,0,
2007-06-01,0,
2007-06-08,0,
2007-06-15,0,
2007-06-22,0,
2007-06-29,0,
2007-07-06,0,
2007-07-13,0,
2007-07-20,0,
2007-07-27,0,
2007-08-03,0,
2007-08-10,0,
2007-08-17,0,
2007-08-24,0,
2007-08-31,0,
2007-09-07,0,
2007-09-14,0,
2007-09-21,0,
2007-09-28,0,
2007-10-05,0,
2007-10-12,0,
2007-10-19,0,
2007-10-26,0,
2007-11-02,0,
2007-11-09,0,
2007-11-16,0,
2007-11-23,0,
2007-11-30,0,
2007-12-07,0,
2007-12-14,0,
2007-12-21,0,
2007-12-28,0,
2008-01-04,0,
2008-01-11,0,
2008-01-18,0,
2008-01-25,0,
2008-02-01,0,
2008-02-08,0,
2008-02-15,0,
2008-02-22,0,
2008-02-29,0,
2008-03-07,0,
2008-03-14,0,
2008-03-21,0,
2008-03-28,0,
2008-04-04,0,
2008-04-11,0,
2008-04-18,0,
2008-04-25,0,
2008-05-02,0,
2008-05-09,0,
2008-05-16,0,
2008-05-23,0,
2008-05-30,0,
2008-06-06,0,
2008-06-13,0,
2008-06-20,0,
2008-06-27,0,
2008-07-04,0,
2008-07-11,0,
2008-07-18,0,
2008-07-25,0,
2008-08-01,0,
2008-08-08,0,
2008-08-15,0,
2008-08-22,0,
2008-08-29,0,
2008-09-05,0,
2008-09-12,0,
2008-09-19,0,
2008-09-26,0,
2008-10-03,0,
2008-10-10,0,
2008-10-17,0,
2008-10-24,0,
2008-10-31,0,
2008-11-07,0,
2008-11-14,0,
2008-11-21,0,
2008-11-28,0,
2008-12-05,0,
2008-12-12,0,
2008-12-19,0,
2008-12-26,0,
2009-01-02,0,
2009-01-09,0,
2009-01-16,0,
2009-01-23,0,
2009-01-30,0,
2009-02-06,0,
2009-02-13,0,
2009-02-20,0,
2009-02-27,0,
2009-03-06,0,
2009-03-13,0,
2009-03-20,0,
2009-03-27,0,
2009-04-03,0,
2009-04-10,0,
2009-04-17,0,
2009-04-24,0,
2009-05-01,0,
2009-05-08,0,
2009-05-15,0,
2009-05-22,0,
2009-05-29,0,
2009-06-05,0,
2009-06-12,0,
2009-06-19,0,
2009-06-26,0,
2009-07-03,0,
2009-07-10,0,
2009-07-17,0,
2009-07-24,0,
2009-07-31,0,
2009-08-07,0,
2009-08-14,0,
2009-08-21,0,
2009-08-28,0,
2009-09-04,0,
2009-09-11,0,
2009-09-18,0,
2009-09-25,0,
2009-10-02,0,
2009-10-09,0,
2009-10-16,0,
2009-10-23,0,
2009-10-30,0,
2009-11-06,0,
2009-11-13,0,
2009-11-20,0,
2009-11-27,0,
2009-12-04,0,
2009-12-11,0,
2009-12-18,0,
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,
2010-01-15,0,
2010-01-22,0,
2010-01-29,0,
2010-02-05,0,
2010-02-12,0,
2010-02-19,0,
2010-02-26,0,
2010-03-05,0,
2010-03-12,0,
2010-03-19,0,
2010-03-26,0,
2010-04-02,0,
2010-04-09,0,
2010-04-16,0,
2010-04-23,0,
2010-04-30,0,
2010-05-07,0,
2010-05-14,0,
2010-05-21,0,
2010-05-28,0,
2010-06-04,0,
2010-06-11,0,
2010-06-18,0,
2010-06-25,0,
2010-07-02,0,
2010-07-09,0,
2010-07-16,0,
2010-07-23,0,
2010-07-30,0,
2010-08-06,0,
2010-08-13,0,
2010-08-20,0,
2010-08-27,0,
2010-09-03,0,
2010-09-10,0,
2010-09-17,0,
2010-09-24,0,
2010-10-01,0,
2010-10-08,0,
2010-10-15,0,
2010-10-22,0,
2010-10-29,0,
2010-11-05,0,
2010-11-12,0,
2010-11-19,0,
2010-11-26,0,
2010-12-03,0,
2010-12-10,0,
2010-12-17,0,
2010-12-24,0,
2010-12-31,0,
2011-01-07,0,
2011-01-14,0,
2011-01-21,0,
2011-01-28,0,
2011-02-04,0,
2011-02-11,0,
2011-02-18,0,
2011-02-25,0,
2011-03-04,0,
2011-03-11,0,
2011-03-18,0,
2011-03-25,0,
2011-04-01,0,
2011-04-08,0,
2011-04-15,0,
2011-04-22,0,
2011-04-29,0,
2011-05-06,0,
2011-05-13,0,
2011-05-20,0,
2011-05-27,0,
2011-06-03,0,
2011-06-10,0,
2011-06-17,0,
2011-06-24,0,
2011-07-01,0,
2011-07-08,0,
2011-07-15,0,
2011-07-22,0,
2011-07-29,0,
2011-08-05,0,
2011-08-12,0,
2011-08-19,0,
2011-08-26,0,
2011-09-02,0,
2011-09-09,0,
2011-09-16,0,
2011-09-23,0,
2011-09-30,0,
2011-10-07,0,
2011-10-14,0,
2011-10-21,0,
2011-10-28,0,
2011-11-04,0,
2011-11-11,0,
2011-11-18,0,
2011-11-25,0,
2011-12-02,0,
2011-12-09,0,
2011-12-16,0,24.10
2011-12-23,42,27.00
2011-12-30,36,27.25
2012-01-06,0,26.00
2012-01-13,0,26.56
2012-01-20,0,29.35
2012-01-27,0,29.85
2012-02-03,0,32.51
2012-02-10,0,33.47
2012-02-17,0,41.82
2012-02-24,0,41.51
2012-03-02,0,47.95
2012-03-09,0,49.59
2012-03-16,0,46.28
2012-03-23,0,47.00
2012-03-30,0,46.59
2012-04-06,0,
2012-04-13,0,43.62
2012-04-20,0,41.28
2012-04-27,0,45.90
2012-05-04,0,43.80
2012-05-11,0,40.62
2012-05-18,0,37.55
2012-05-25,0,41.20
2012-06-01,0,37.76
2012-06-08,0,38.37
2012-06-15,0,39.25
2012-06-22,0,42.86
2012-06-29,0,41.84
2012-07-06,0,43.54
2012-07-13,0,39.40
2012-07-20,0,39.98
2012-07-27,37,41.33
2012-08-03,34,41.19
2012-08-10,34,42.32
2012-08-17,38,52.09
2012-08-24,43,53.92
2012-08-31,47,53.95
2012-09-07,35,56.03
2012-09-14,29,53.59
2012-09-21,29,57.35
2012-09-28,45,53.18
2012-10-05,36,53.46
2012-10-12,36,52.98
2012-10-19,36,55.05
2012-10-26,36,54.49
2012-11-02,30,56.20
2012-11-09,33,50.43
2012-11-16,38,50.32
2012-11-23,76,51.47
2012-11-30,29,53.15
2012-12-07,37,51.60
2012-12-14,50,49.88
2012-12-21,90,53.49
2012-12-28,66,49.18
2013-01-04,29,52.23
2013-01-11,38,52.94
2013-01-18,30,54.48
2013-01-25,33,58.08
2013-02-01,30,55.72
2013-02-08,42,57.10
2013-02-15,50,63.27
2013-02-22,29,59.11
2013-03-01,29,59.23
2013-03-08,29,58.19
2013-03-15,26,57.38
2013-03-22,26,55.61
2013-03-29,30,
2013-04-05,29,54.98
2013-04-12,48,56.00
2013-04-19,41,53.08
2013-04-26,39,56.12
2013-05-03,37,58.04
2013-05-10,40,60.36
2013-05-17,44,60.61
2013-05-24,36,60.09
2013-05-31,31,62.82
2013-06-07,31,62.69
2013-06-14,44,60.80
2013-06-21,29,59.18
2013-06-28,31,62.02
2013-07-05,25,62.97
2013-07-12,30,63.82
2013-07-19,46,62.12
2013-07-26,57,64.83
2013-08-02,25,68.80
2013-08-09,57,72.05
2013-08-16,40,70.20
2013-08-23,39,72.57
2013-08-30,23,74.09
2013-09-06,23,75.70
2013-09-13,35,74.03
2013-09-20,67,75.98
2013-09-27,49,74.45
2013-10-04,41,76.35
2013-10-11,26,72.88
2013-10-18,28,75.24
2013-10-25,45,76.24
2013-11-01,51,75.43
2013-11-08,45,79.40
2013-11-15,61,82.73
2013-11-22,48,80.64
2013-11-29,88,81.55
2013-12-06,61,79.68
2013-12-13,65,82.27
2013-12-20,90,83.88
2013-12-27,100,80.58
2014-01-03,87,82.51
2014-01-10,52,79.80
2014-01-17,30,77.03
2014-01-24,32,80.07
2014-01-31,32,79.93
2014-02-07,67,94.22
2014-02-14,87,98.46
2014-02-21,42,97.56
2014-02-28,42,98.03
2014-03-07,38,98.28
2014-03-14,38,98.12
2014-03-21,44,97.46
2014-03-28,48,92.75
2014-04-04,50,89.54
2014-04-11,31,86.87
2014-04-18,82,
2014-04-25,63,89.88
2014-05-02,54,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
