Date,sell K,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,38.05
2004-02-13,0,38.49
2004-02-20,0,38.95
2004-02-27,0,39.49
2004-03-05,0,39.30
2004-03-12,0,39.55
2004-03-19,0,38.87
2004-03-26,0,38.42
2004-04-02,0,39.19
2004-04-09,0,
2004-04-16,0,41.34
2004-04-23,0,42.82
2004-04-30,0,42.90
2004-05-07,0,42.34
2004-05-14,0,42.02
2004-05-21,0,42.31
2004-05-28,0,42.40
2004-06-04,0,42.46
2004-06-11,0,
2004-06-18,0,41.07
2004-06-25,0,41.17
2004-07-02,0,41.31
2004-07-09,0,41.85
2004-07-16,0,41.21
2004-07-23,0,40.23
2004-07-30,0,41.66
2004-08-06,0,40.76
2004-08-13,0,40.89
2004-08-20,0,41.58
2004-08-27,0,42.01
2004-09-03,0,42.01
2004-09-10,0,42.12
2004-09-17,0,42.71
2004-09-24,0,41.44
2004-10-01,0,42.70
2004-10-08,0,42.09
2004-10-15,0,42.05
2004-10-22,0,42.41
2004-10-29,0,43.00
2004-11-05,0,44.27
2004-11-12,0,45.00
2004-11-19,0,44.29
2004-11-26,0,45.01
2004-12-03,0,44.48
2004-12-10,0,43.38
2004-12-17,0,44.02
2004-12-24,0,
2004-12-31,0,44.66
2005-01-07,0,44.21
2005-01-14,0,44.30
2005-01-21,0,44.30
2005-01-28,0,45.29
2005-02-04,0,44.45
2005-02-11,0,44.90
2005-02-18,0,44.01
2005-02-25,0,44.30
2005-03-04,0,44.58
2005-03-11,0,43.35
2005-03-18,0,42.81
2005-03-25,0,
2005-04-01,0,42.69
2005-04-08,0,43.30
2005-04-15,0,43.43
2005-04-22,0,42.92
2005-04-29,0,44.95
2005-05-06,0,45.46
2005-05-13,0,44.90
2005-05-20,0,45.19
2005-05-27,0,45.75
2005-06-03,0,46.18
2005-06-10,0,45.52
2005-06-17,0,45.50
2005-06-24,0,44.47
2005-07-01,0,44.64
2005-07-08,0,44.63
2005-07-15,0,44.80
2005-07-22,0,44.49
2005-07-29,0,45.31
2005-08-05,0,44.82
2005-08-12,0,45.30
2005-08-19,0,45.74
2005-08-26,0,45.16
2005-09-02,0,45.17
2005-09-09,0,45.83
2005-09-16,0,45.00
2005-09-23,0,44.06
2005-09-30,0,46.13
2005-10-07,0,45.61
2005-10-14,0,45.81
2005-10-21,0,46.09
2005-10-28,0,46.46
2005-11-04,0,43.90
2005-11-11,0,44.87
2005-11-18,0,44.57
2005-11-25,0,45.18
2005-12-02,0,44.56
2005-12-09,0,43.89
2005-12-16,0,44.63
2005-12-23,0,44.13
2005-12-30,0,43.22
2006-01-06,0,44.40
2006-01-13,0,43.76
2006-01-20,0,43.33
2006-01-27,0,43.75
2006-02-03,0,43.29
2006-02-10,0,43.01
2006-02-17,0,44.50
2006-02-24,0,44.93
2006-03-03,0,44.23
2006-03-10,0,45.28
2006-03-17,0,45.48
2006-03-24,0,44.98
2006-03-31,0,44.04
2006-04-07,0,43.90
2006-04-14,0,
2006-04-21,0,44.20
2006-04-28,0,46.31
2006-05-05,0,46.39
2006-05-12,0,46.06
2006-05-19,0,45.89
2006-05-26,0,47.31
2006-06-02,0,47.67
2006-06-09,0,47.00
2006-06-16,0,47.37
2006-06-23,0,47.83
2006-06-30,0,48.43
2006-07-07,0,47.53
2006-07-14,0,48.07
2006-07-21,0,48.74
2006-07-28,0,48.38
2006-08-04,0,48.28
2006-08-11,0,48.94
2006-08-18,0,49.67
2006-08-25,0,49.80
2006-09-01,0,50.52
2006-09-08,0,49.96
2006-09-15,0,49.71
2006-09-22,0,49.92
2006-09-29,0,49.52
2006-10-06,0,49.69
2006-10-13,0,47.90
2006-10-20,0,49.39
2006-10-27,0,50.00
2006-11-03,0,49.37
2006-11-10,0,49.36
2006-11-17,0,50.15
2006-11-24,0,50.10
2006-12-01,0,49.60
2006-12-08,0,49.92
2006-12-15,0,50.58
2006-12-22,0,50.11
2006-12-29,0,50.06
2007-01-05,0,49.72
2007-01-12,0,50.23
2007-01-19,0,50.00
2007-01-26,0,50.32
2007-02-02,0,48.98
2007-02-09,0,48.89
2007-02-16,0,49.78
2007-02-23,0,49.84
2007-03-02,0,49.24
2007-03-09,0,50.47
2007-03-16,0,50.55
2007-03-23,0,51.74
2007-03-30,0,51.43
2007-04-06,0,
2007-04-13,0,51.56
2007-04-20,0,52.54
2007-04-27,0,53.08
2007-05-04,0,53.21
2007-05-11,0,53.07
2007-05-18,0,53.65
2007-05-25,0,53.49
2007-06-01,0,54.32
2007-06-08,0,52.05
2007-06-15,0,52.17
2007-06-22,0,51.36
2007-06-29,0,51.79
2007-07-06,0,51.69
2007-07-13,0,52.23
2007-07-20,0,51.76
2007-07-27,0,51.95
2007-08-03,0,52.58
2007-08-10,0,53.32
2007-08-17,0,54.20
2007-08-24,0,54.60
2007-08-31,0,54.93
2007-09-07,0,54.60
2007-09-14,0,56.15
2007-09-21,0,55.99
2007-09-28,0,56.00
2007-10-05,0,55.13
2007-10-12,0,54.99
2007-10-19,0,53.50
2007-10-26,0,54.44
2007-11-02,0,52.58
2007-11-09,0,52.39
2007-11-16,0,52.77
2007-11-23,0,52.96
2007-11-30,93,54.04
2007-12-07,0,54.22
2007-12-14,0,53.62
2007-12-21,0,53.54
2007-12-28,0,52.92
2008-01-04,0,51.17
2008-01-11,0,50.89
2008-01-18,0,48.56
2008-01-25,0,47.59
2008-02-01,0,49.02
2008-02-08,0,49.18
2008-02-15,0,51.73
2008-02-22,0,51.04
2008-02-29,0,50.72
2008-03-07,0,49.45
2008-03-14,0,49.89
2008-03-21,62,
2008-03-28,0,52.48
2008-04-04,0,53.15
2008-04-11,0,51.95
2008-04-18,0,52.66
2008-04-25,0,51.37
2008-05-02,0,52.40
2008-05-09,0,50.87
2008-05-16,0,51.49
2008-05-23,0,50.56
2008-05-30,0,51.81
2008-06-06,0,50.05
2008-06-13,0,52.00
2008-06-20,0,51.00
2008-06-27,0,47.96
2008-07-04,0,
2008-07-11,0,50.87
2008-07-18,0,51.60
2008-07-25,0,52.27
2008-08-01,0,52.46
2008-08-08,0,55.71
2008-08-15,0,55.50
2008-08-22,0,54.39
2008-08-29,0,54.44
2008-09-05,0,55.01
2008-09-12,57,56.21
2008-09-19,52,56.68
2008-09-26,52,57.39
2008-10-03,52,57.21
2008-10-10,53,48.49
2008-10-17,54,50.46
2008-10-24,0,48.22
2008-10-31,0,50.42
2008-11-07,0,49.54
2008-11-14,0,46.93
2008-11-21,0,43.02
2008-11-28,0,43.43
2008-12-05,0,42.73
2008-12-12,0,42.53
2008-12-19,53,42.63
2008-12-26,59,42.30
2009-01-02,64,45.05
2009-01-09,45,43.54
2009-01-16,45,44.63
2009-01-23,45,44.23
2009-01-30,44,43.69
2009-02-06,44,43.58
2009-02-13,44,41.38
2009-02-20,47,40.17
2009-02-27,50,38.92
2009-03-06,53,37.16
2009-03-13,55,36.99
2009-03-20,51,36.43
2009-03-27,51,36.89
2009-04-03,51,38.01
2009-04-10,55,
2009-04-17,49,40.10
2009-04-24,55,38.94
2009-05-01,62,43.40
2009-05-08,68,42.83
2009-05-15,42,43.19
2009-05-22,45,43.68
2009-05-29,47,43.25
2009-06-05,50,43.78
2009-06-12,53,44.55
2009-06-19,45,45.09
2009-06-26,65,46.23
2009-07-03,43,
2009-07-10,43,47.24
2009-07-17,55,47.18
2009-07-24,47,47.92
2009-07-31,47,47.50
2009-08-07,60,46.16
2009-08-14,64,46.06
2009-08-21,43,47.35
2009-08-28,43,46.52
2009-09-04,43,47.22
2009-09-11,43,48.39
2009-09-18,46,48.82
2009-09-25,42,49.09
2009-10-02,53,48.66
2009-10-09,76,49.82
2009-10-16,41,50.48
2009-10-23,42,50.20
2009-10-30,44,51.54
2009-11-06,46,52.20
2009-11-13,48,53.37
2009-11-20,50,53.12
2009-11-27,52,52.97
2009-12-04,42,52.96
2009-12-11,47,53.70
2009-12-18,58,52.27
2009-12-25,55,
2010-01-01,55,
2010-01-08,46,53.38
2010-01-15,37,54.34
2010-01-22,57,54.34
2010-01-29,46,54.42
2010-02-05,46,52.72
2010-02-12,36,52.34
2010-02-19,34,53.20
2010-02-26,38,52.15
2010-03-05,46,52.93
2010-03-12,58,52.49
2010-03-19,45,53.43
2010-03-26,61,53.76
2010-04-02,62,
2010-04-09,35,52.81
2010-04-16,35,54.04
2010-04-23,36,53.62
2010-04-30,36,54.94
2010-05-07,46,52.84
2010-05-14,33,54.50
2010-05-21,43,54.08
2010-05-28,34,53.43
2010-06-04,34,53.22
2010-06-11,43,53.66
2010-06-18,54,54.47
2010-06-25,59,52.42
2010-07-02,64,50.67
2010-07-09,62,51.77
2010-07-16,35,51.05
2010-07-23,32,51.10
2010-07-30,73,50.05
2010-08-06,48,50.15
2010-08-13,44,50.64
2010-08-20,51,49.75
2010-08-27,79,50.49
2010-09-03,32,50.41
2010-09-10,51,51.27
2010-09-17,44,50.58
2010-09-24,35,51.00
2010-10-01,51,50.91
2010-10-08,62,49.97
2010-10-15,48,50.08
2010-10-22,42,49.55
2010-10-29,47,50.26
2010-11-05,36,49.32
2010-11-12,52,48.95
2010-11-19,57,48.98
2010-11-26,57,49.48
2010-12-03,64,49.50
2010-12-10,59,49.78
2010-12-17,29,51.23
2010-12-24,90,
2010-12-31,86,51.08
2011-01-07,84,51.00
2011-01-14,66,51.00
2011-01-21,48,51.95
2011-01-28,47,50.49
2011-02-04,50,53.42
2011-02-11,52,53.09
2011-02-18,62,53.01
2011-02-25,51,53.15
2011-03-04,63,54.33
2011-03-11,68,55.04
2011-03-18,59,54.17
2011-03-25,59,53.39
2011-04-01,64,54.00
2011-04-08,42,53.94
2011-04-15,49,55.37
2011-04-22,54,
2011-04-29,51,57.27
2011-05-06,61,56.75
2011-05-13,71,57.56
2011-05-20,51,57.14
2011-05-27,54,56.44
2011-06-03,60,54.92
2011-06-10,62,54.89
2011-06-17,51,54.92
2011-06-24,39,54.76
2011-07-01,51,55.40
2011-07-08,59,55.17
2011-07-15,69,55.24
2011-07-22,66,55.91
2011-07-29,54,55.78
2011-08-05,73,53.36
2011-08-12,55,52.89
2011-08-19,82,52.26
2011-08-26,63,53.18
2011-09-02,55,53.61
2011-09-09,51,53.09
2011-09-16,58,53.99
2011-09-23,69,52.60
2011-09-30,75,53.19
2011-10-07,59,53.61
2011-10-14,44,54.84
2011-10-21,72,54.98
2011-10-28,50,54.78
2011-11-04,53,49.91
2011-11-11,73,49.72
2011-11-18,53,49.37
2011-11-25,75,48.75
2011-12-02,62,49.12
2011-12-09,79,49.81
2011-12-16,79,48.77
2011-12-23,90,50.34
2011-12-30,96,50.57
2012-01-06,63,50.51
2012-01-13,61,50.81
2012-01-20,57,51.07
2012-01-27,74,49.73
2012-02-03,52,50.84
2012-02-10,58,49.81
2012-02-17,62,52.53
2012-02-24,52,52.75
2012-03-02,53,52.11
2012-03-09,60,52.44
2012-03-16,61,52.62
2012-03-23,56,52.41
2012-03-30,61,53.63
2012-04-06,69,
2012-04-13,58,53.24
2012-04-20,59,53.99
2012-04-27,68,50.35
2012-05-04,45,50.39
2012-05-11,66,50.99
2012-05-18,65,50.37
2012-05-25,59,50.27
2012-06-01,62,48.22
2012-06-08,59,48.63
2012-06-15,49,49.25
2012-06-22,63,48.97
2012-06-29,70,49.33
2012-07-06,64,49.12
2012-07-13,53,49.50
2012-07-20,66,47.64
2012-07-27,50,47.19
2012-08-03,48,50.35
2012-08-10,77,50.98
2012-08-17,45,51.10
2012-08-24,82,51.48
2012-08-31,61,50.65
2012-09-07,65,50.39
2012-09-14,44,50.19
2012-09-21,57,51.45
2012-09-28,56,51.66
2012-10-05,54,51.95
2012-10-12,56,51.73
2012-10-19,58,52.09
2012-10-26,51,52.90
2012-11-02,71,53.69
2012-11-09,60,53.48
2012-11-16,46,54.17
2012-11-23,70,55.26
2012-11-30,81,55.46
2012-12-07,73,55.97
2012-12-14,55,56.72
2012-12-21,79,56.18
2012-12-28,79,55.33
2013-01-04,70,56.64
2013-01-11,63,57.02
2013-01-18,66,58.21
2013-01-25,69,58.84
2013-02-01,69,58.65
2013-02-08,55,58.91
2013-02-15,59,59.77
2013-02-22,63,60.01
2013-03-01,53,60.58
2013-03-08,44,61.52
2013-03-15,65,62.20
2013-03-22,47,63.39
2013-03-29,55,
2013-04-05,68,63.64
2013-04-12,64,64.70
2013-04-19,74,66.10
2013-04-26,60,65.70
2013-05-03,48,63.66
2013-05-10,57,64.29
2013-05-17,43,65.66
2013-05-24,59,64.45
2013-05-31,53,62.05
2013-06-07,66,63.39
2013-06-14,78,64.24
2013-06-21,57,63.25
2013-06-28,55,64.23
2013-07-05,66,65.34
2013-07-12,72,66.50
2013-07-19,58,67.32
2013-07-26,56,66.98
2013-08-02,70,65.23
2013-08-09,61,65.68
2013-08-16,74,62.95
2013-08-23,73,62.73
2013-08-30,70,60.71
2013-09-06,55,60.23
2013-09-13,65,60.64
2013-09-20,74,60.57
2013-09-27,47,59.02
2013-10-04,49,59.36
2013-10-11,61,60.76
2013-10-18,60,61.45
2013-10-25,72,62.43
2013-11-01,64,62.29
2013-11-08,64,62.19
2013-11-15,45,62.61
2013-11-22,70,62.47
2013-11-29,58,60.64
2013-12-06,72,61.64
2013-12-13,82,60.50
2013-12-20,79,60.52
2013-12-27,100,60.98
2014-01-03,68,60.58
2014-01-10,59,60.78
2014-01-17,57,60.47
2014-01-24,62,59.83
2014-01-31,55,57.98
2014-02-07,81,58.36
2014-02-14,68,60.19
2014-02-21,72,59.95
2014-02-28,60,60.69
2014-03-07,69,61.60
2014-03-14,56,60.90
2014-03-21,64,61.58
2014-03-28,73,62.13
2014-04-04,62,63.77
2014-04-11,56,65.68
2014-04-18,57,
2014-04-25,58,66.71
2014-05-02,89,
