Date,sell MAC,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,48.86
2004-02-13,0,50.10
2004-02-20,0,48.78
2004-02-27,0,49.40
2004-03-05,0,51.74
2004-03-12,0,52.00
2004-03-19,0,52.33
2004-03-26,0,51.85
2004-04-02,0,53.44
2004-04-09,0,
2004-04-16,0,44.47
2004-04-23,0,43.06
2004-04-30,0,41.87
2004-05-07,0,40.70
2004-05-14,0,41.30
2004-05-21,0,42.40
2004-05-28,0,45.25
2004-06-04,0,45.30
2004-06-11,0,
2004-06-18,0,47.30
2004-06-25,0,47.70
2004-07-02,0,49.25
2004-07-09,0,48.68
2004-07-16,0,48.79
2004-07-23,0,46.60
2004-07-30,0,47.90
2004-08-06,0,48.55
2004-08-13,0,48.01
2004-08-20,0,50.98
2004-08-27,0,54.11
2004-09-03,0,54.24
2004-09-10,0,53.90
2004-09-17,0,54.06
2004-09-24,0,52.23
2004-10-01,0,54.10
2004-10-08,0,54.89
2004-10-15,0,56.75
2004-10-22,0,57.57
2004-10-29,0,59.75
2004-11-05,0,57.75
2004-11-12,0,60.58
2004-11-19,0,59.40
2004-11-26,0,60.74
2004-12-03,0,61.95
2004-12-10,0,62.15
2004-12-17,0,64.66
2004-12-24,0,
2004-12-31,0,62.80
2005-01-07,0,58.00
2005-01-14,0,58.33
2005-01-21,0,59.50
2005-01-28,0,56.80
2005-02-04,0,59.61
2005-02-11,0,60.00
2005-02-18,0,59.74
2005-02-25,0,57.73
2005-03-04,0,58.94
2005-03-11,0,56.10
2005-03-18,0,56.40
2005-03-25,0,
2005-04-01,0,54.20
2005-04-08,0,54.30
2005-04-15,0,56.22
2005-04-22,0,57.85
2005-04-29,0,60.30
2005-05-06,0,59.12
2005-05-13,0,59.80
2005-05-20,0,63.35
2005-05-27,0,61.50
2005-06-03,0,62.05
2005-06-10,0,64.39
2005-06-17,0,65.35
2005-06-24,0,67.04
2005-07-01,0,67.40
2005-07-08,0,68.08
2005-07-15,0,67.00
2005-07-22,0,67.54
2005-07-29,0,70.22
2005-08-05,0,65.75
2005-08-12,0,64.90
2005-08-19,0,64.03
2005-08-26,0,63.62
2005-09-02,0,65.06
2005-09-09,0,65.76
2005-09-16,0,65.00
2005-09-23,0,62.61
2005-09-30,0,64.94
2005-10-07,0,62.59
2005-10-14,0,62.65
2005-10-21,0,62.92
2005-10-28,0,64.00
2005-11-04,0,62.15
2005-11-11,0,65.43
2005-11-18,0,66.76
2005-11-25,0,68.58
2005-12-02,0,68.37
2005-12-09,0,67.63
2005-12-16,67,67.77
2005-12-23,0,68.50
2005-12-30,0,67.14
2006-01-06,0,70.83
2006-01-13,0,70.10
2006-01-20,0,69.65
2006-01-27,0,71.76
2006-02-03,0,70.71
2006-02-10,0,69.95
2006-02-17,0,71.20
2006-02-24,0,72.30
2006-03-03,0,71.10
2006-03-10,0,72.40
2006-03-17,0,74.34
2006-03-24,0,72.44
2006-03-31,0,73.95
2006-04-07,0,71.45
2006-04-14,0,
2006-04-21,53,73.66
2006-04-28,0,73.22
2006-05-05,0,74.05
2006-05-12,0,70.80
2006-05-19,0,69.44
2006-05-26,0,69.53
2006-06-02,47,71.25
2006-06-09,0,71.19
2006-06-16,0,70.05
2006-06-23,0,68.11
2006-06-30,0,70.20
2006-07-07,0,71.07
2006-07-14,0,71.00
2006-07-21,0,70.02
2006-07-28,0,72.50
2006-08-04,46,71.78
2006-08-11,42,70.40
2006-08-18,42,72.17
2006-08-25,42,72.50
2006-09-01,42,73.68
2006-09-08,46,73.70
2006-09-15,40,76.44
2006-09-22,40,75.85
2006-09-29,40,76.36
2006-10-06,40,77.90
2006-10-13,40,78.65
2006-10-20,41,78.14
2006-10-27,41,79.80
2006-11-03,42,77.66
2006-11-10,40,78.21
2006-11-17,43,80.80
2006-11-24,47,86.72
2006-12-01,50,85.74
2006-12-08,46,85.13
2006-12-15,46,83.38
2006-12-22,46,82.57
2006-12-29,46,86.57
2007-01-05,33,85.76
2007-01-12,33,90.55
2007-01-19,33,92.48
2007-01-26,33,93.46
2007-02-02,33,96.60
2007-02-09,44,100.10
2007-02-16,36,98.25
2007-02-23,31,96.24
2007-03-02,31,91.96
2007-03-09,31,93.14
2007-03-16,31,90.67
2007-03-23,34,93.43
2007-03-30,37,92.36
2007-04-06,30,
2007-04-13,30,94.28
2007-04-20,30,95.79
2007-04-27,33,96.05
2007-05-04,37,93.76
2007-05-11,36,93.03
2007-05-18,31,85.65
2007-05-25,31,84.08
2007-06-01,48,89.39
2007-06-08,34,87.31
2007-06-15,34,85.94
2007-06-22,34,83.10
2007-06-29,39,82.42
2007-07-06,46,85.61
2007-07-13,28,84.71
2007-07-20,31,80.33
2007-07-27,34,73.14
2007-08-03,37,74.78
2007-08-10,65,78.94
2007-08-17,42,81.11
2007-08-24,32,81.16
2007-08-31,48,81.22
2007-09-07,28,79.87
2007-09-14,45,82.77
2007-09-21,45,84.43
2007-09-28,29,87.58
2007-10-05,37,91.78
2007-10-12,29,90.88
2007-10-19,29,85.15
2007-10-26,28,85.31
2007-11-02,24,82.08
2007-11-09,60,78.54
2007-11-16,31,78.96
2007-11-23,36,75.80
2007-11-30,50,77.65
2007-12-07,36,80.10
2007-12-14,36,74.61
2007-12-21,31,73.86
2007-12-28,41,70.63
2008-01-04,52,64.86
2008-01-11,42,61.52
2008-01-18,43,58.91
2008-01-25,34,66.03
2008-02-01,42,72.13
2008-02-08,63,64.07
2008-02-15,46,65.56
2008-02-22,29,64.15
2008-02-29,41,64.00
2008-03-07,47,61.17
2008-03-14,46,61.60
2008-03-21,50,
2008-03-28,60,68.57
2008-04-04,50,72.85
2008-04-11,36,69.85
2008-04-18,38,73.27
2008-04-25,22,74.75
2008-05-02,31,75.15
2008-05-09,37,73.15
2008-05-16,32,73.74
2008-05-23,23,69.97
2008-05-30,28,71.53
2008-06-06,37,69.45
2008-06-13,44,67.25
2008-06-20,38,66.18
2008-06-27,40,62.10
2008-07-04,46,
2008-07-11,52,57.49
2008-07-18,45,56.62
2008-07-25,41,55.69
2008-08-01,49,55.42
2008-08-08,43,60.93
2008-08-15,61,62.60
2008-08-22,64,58.58
2008-08-29,62,61.93
2008-09-05,37,64.11
2008-09-12,53,65.39
2008-09-19,62,67.81
2008-09-26,52,65.10
2008-10-03,54,48.12
2008-10-10,58,43.00
2008-10-17,55,33.70
2008-10-24,39,22.09
2008-10-31,35,29.42
2008-11-07,48,29.26
2008-11-14,45,17.11
2008-11-21,39,10.75
2008-11-28,61,13.46
2008-12-05,41,10.93
2008-12-12,39,14.29
2008-12-19,51,20.84
2008-12-26,27,20.27
2009-01-02,61,18.41
2009-01-09,69,17.26
2009-01-16,46,16.77
2009-01-23,39,16.07
2009-01-30,45,14.74
2009-02-06,48,15.09
2009-02-13,60,13.54
2009-02-20,62,11.20
2009-02-27,45,11.42
2009-03-06,53,7.17
2009-03-13,57,8.54
2009-03-20,46,6.19
2009-03-27,45,5.80
2009-04-03,39,9.84
2009-04-10,45,
2009-04-17,39,15.36
2009-04-24,45,16.28
2009-05-01,52,16.67
2009-05-08,61,19.30
2009-05-15,47,15.02
2009-05-22,47,15.96
2009-05-29,41,16.88
2009-06-05,52,20.71
2009-06-12,74,19.62
2009-06-19,63,18.44
2009-06-26,60,17.61
2009-07-03,53,
2009-07-10,64,14.96
2009-07-17,64,17.13
2009-07-24,60,18.93
2009-07-31,46,19.67
2009-08-07,38,27.40
2009-08-14,54,26.33
2009-08-21,79,25.72
2009-08-28,68,30.04
2009-09-04,64,26.18
2009-09-11,58,29.45
2009-09-18,61,33.69
2009-09-25,58,30.52
2009-10-02,43,27.88
2009-10-09,53,29.99
2009-10-16,47,29.16
2009-10-23,80,31.02
2009-10-30,51,29.80
2009-11-06,61,29.99
2009-11-13,59,32.50
2009-11-20,42,30.02
2009-11-27,57,28.44
2009-12-04,52,30.34
2009-12-11,40,31.21
2009-12-18,53,32.89
2009-12-25,56,
2010-01-01,59,
2010-01-08,63,32.84
2010-01-15,57,32.78
2010-01-22,45,31.55
2010-01-29,54,30.85
2010-02-05,45,31.31
2010-02-12,52,30.85
2010-02-19,52,33.64
2010-02-26,49,35.64
2010-03-05,33,38.58
2010-03-12,52,39.19
2010-03-19,47,39.40
2010-03-26,45,39.28
2010-04-02,37,
2010-04-09,57,41.99
2010-04-16,52,39.83
2010-04-23,54,45.00
2010-04-30,61,44.71
2010-05-07,47,40.75
2010-05-14,58,43.31
2010-05-21,49,40.33
2010-05-28,60,41.36
2010-06-04,61,37.81
2010-06-11,55,40.96
2010-06-18,56,42.91
2010-06-25,42,40.27
2010-07-02,64,36.59
2010-07-09,53,39.58
2010-07-16,56,37.51
2010-07-23,73,40.12
2010-07-30,81,41.45
2010-08-06,67,41.73
2010-08-13,76,39.29
2010-08-20,55,39.79
2010-08-27,56,40.81
2010-09-03,41,44.00
2010-09-10,57,42.21
2010-09-17,69,43.34
2010-09-24,53,43.27
2010-10-01,58,43.87
2010-10-08,62,43.64
2010-10-15,52,43.45
2010-10-22,72,44.63
2010-10-29,61,44.58
2010-11-05,48,49.40
2010-11-12,63,45.73
2010-11-19,65,45.20
2010-11-26,68,46.32
2010-12-03,58,48.24
2010-12-10,62,44.94
2010-12-17,65,45.10
2010-12-24,65,
2010-12-31,78,47.37
2011-01-07,82,46.43
2011-01-14,63,47.14
2011-01-21,74,46.31
2011-01-28,73,47.91
2011-02-04,78,48.39
2011-02-11,71,49.37
2011-02-18,58,49.27
2011-02-25,76,48.62
2011-03-04,80,48.36
2011-03-11,82,48.24
2011-03-18,57,47.87
2011-03-25,67,48.01
2011-04-01,62,49.11
2011-04-08,70,47.67
2011-04-15,67,49.88
2011-04-22,74,
2011-04-29,70,52.82
2011-05-06,71,49.97
2011-05-13,80,50.66
2011-05-20,65,52.15
2011-05-27,80,52.89
2011-06-03,71,52.84
2011-06-10,70,49.91
2011-06-17,72,50.54
2011-06-24,65,51.49
2011-07-01,65,54.18
2011-07-08,69,56.20
2011-07-15,84,53.92
2011-07-22,100,54.86
2011-07-29,88,53.13
2011-08-05,92,45.94
2011-08-12,90,49.00
2011-08-19,92,45.28
2011-08-26,88,46.04
2011-09-02,77,45.67
2011-09-09,79,45.06
2011-09-16,66,48.05
2011-09-23,65,44.08
2011-09-30,64,42.63
2011-10-07,87,41.51
2011-10-14,73,44.53
2011-10-21,90,47.26
2011-10-28,74,50.00
2011-11-04,80,50.24
2011-11-11,82,50.45
2011-11-18,82,49.04
2011-11-25,80,46.04
2011-12-02,80,48.86
2011-12-09,72,49.96
2011-12-16,88,49.20
2011-12-23,60,51.18
2011-12-30,92,50.60
2012-01-06,71,51.68
2012-01-13,77,52.00
2012-01-20,71,54.50
2012-01-27,72,55.01
2012-02-03,74,55.12
2012-02-10,75,55.02
2012-02-17,69,55.47
2012-02-24,71,54.34
2012-03-02,85,54.90
2012-03-09,79,54.43
2012-03-16,76,56.01
2012-03-23,69,55.63
2012-03-30,72,57.75
2012-04-06,66,
2012-04-13,71,57.86
2012-04-20,72,59.54
2012-04-27,73,61.90
2012-05-04,72,61.96
2012-05-11,79,60.80
2012-05-18,67,55.86
2012-05-25,77,57.96
2012-06-01,65,55.38
2012-06-08,78,57.27
2012-06-15,95,56.17
2012-06-22,94,56.92
2012-06-29,72,59.05
2012-07-06,90,59.68
2012-07-13,88,58.82
2012-07-20,90,57.11
2012-07-27,90,58.36
2012-08-03,98,58.71
2012-08-10,90,57.27
2012-08-17,97,57.72
2012-08-24,90,59.65
2012-08-31,85,59.57
2012-09-07,98,60.82
2012-09-14,86,61.34
2012-09-21,83,58.92
2012-09-28,84,57.23
2012-10-05,76,58.43
2012-10-12,86,59.03
2012-10-19,76,58.91
2012-10-26,92,57.06
2012-11-02,76,57.54
2012-11-09,72,56.00
2012-11-16,96,55.38
2012-11-23,83,56.97
2012-11-30,82,56.50
2012-12-07,72,57.90
2012-12-14,81,57.85
2012-12-21,95,58.48
2012-12-28,85,57.60
2013-01-04,79,59.00
2013-01-11,79,57.94
2013-01-18,82,58.61
2013-01-25,80,59.34
2013-02-01,77,60.46
2013-02-08,80,61.64
2013-02-15,77,61.53
2013-02-22,74,60.50
2013-03-01,79,60.11
2013-03-08,86,62.01
2013-03-15,72,62.61
2013-03-22,67,62.87
2013-03-29,72,
2013-04-05,71,65.06
2013-04-12,61,67.54
2013-04-19,64,67.18
2013-04-26,69,68.80
2013-05-03,87,70.42
2013-05-10,77,70.24
2013-05-17,68,70.41
2013-05-24,71,66.86
2013-05-31,61,64.91
2013-06-07,71,62.75
2013-06-14,91,62.25
2013-06-21,75,58.45
2013-06-28,87,60.97
2013-07-05,85,61.40
2013-07-12,64,63.78
2013-07-19,73,65.35
2013-07-26,65,63.63
2013-08-02,73,61.85
2013-08-09,80,61.81
2013-08-16,80,56.72
2013-08-23,79,56.72
2013-08-30,75,56.28
2013-09-06,76,56.61
2013-09-13,78,57.20
2013-09-20,83,58.12
2013-09-27,84,57.26
2013-10-04,78,55.68
2013-10-11,63,56.25
2013-10-18,69,59.09
2013-10-25,93,59.76
2013-11-01,85,59.93
2013-11-08,77,56.56
2013-11-15,77,58.89
2013-11-22,78,57.67
2013-11-29,91,56.94
2013-12-06,92,60.49
2013-12-13,79,58.51
2013-12-20,80,58.96
2013-12-27,90,59.17
2014-01-03,84,58.69
2014-01-10,82,58.91
2014-01-17,73,58.04
2014-01-24,81,57.10
2014-01-31,68,56.60
2014-02-07,61,59.23
2014-02-14,72,60.90
2014-02-21,68,60.67
2014-02-28,65,60.13
2014-03-07,68,60.25
2014-03-14,73,59.97
2014-03-21,61,60.56
2014-03-28,69,61.69
2014-04-04,66,62.67
2014-04-11,60,63.09
2014-04-18,66,
2014-04-25,60,63.92
2014-05-02,69,
