Date,sell MA,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,
2004-02-13,0,
2004-02-20,0,
2004-02-27,0,
2004-03-05,0,
2004-03-12,0,
2004-03-19,0,
2004-03-26,0,
2004-04-02,0,
2004-04-09,0,
2004-04-16,0,
2004-04-23,0,
2004-04-30,0,
2004-05-07,0,
2004-05-14,0,
2004-05-21,0,
2004-05-28,0,
2004-06-04,0,
2004-06-11,0,
2004-06-18,0,
2004-06-25,0,
2004-07-02,0,
2004-07-09,0,
2004-07-16,0,
2004-07-23,0,
2004-07-30,0,
2004-08-06,0,
2004-08-13,0,
2004-08-20,0,
2004-08-27,0,
2004-09-03,0,
2004-09-10,0,
2004-09-17,0,
2004-09-24,0,
2004-10-01,0,
2004-10-08,0,
2004-10-15,0,
2004-10-22,0,
2004-10-29,0,
2004-11-05,0,
2004-11-12,0,
2004-11-19,0,
2004-11-26,0,
2004-12-03,0,
2004-12-10,0,
2004-12-17,0,
2004-12-24,0,
2004-12-31,0,
2005-01-07,0,
2005-01-14,0,
2005-01-21,0,
2005-01-28,0,
2005-02-04,0,
2005-02-11,0,
2005-02-18,0,
2005-02-25,0,
2005-03-04,0,
2005-03-11,0,
2005-03-18,0,
2005-03-25,0,
2005-04-01,0,
2005-04-08,0,
2005-04-15,0,
2005-04-22,0,
2005-04-29,0,
2005-05-06,0,
2005-05-13,0,
2005-05-20,0,
2005-05-27,0,
2005-06-03,0,
2005-06-10,0,
2005-06-17,0,
2005-06-24,0,
2005-07-01,0,
2005-07-08,0,
2005-07-15,0,
2005-07-22,0,
2005-07-29,0,
2005-08-05,0,
2005-08-12,0,
2005-08-19,0,
2005-08-26,0,
2005-09-02,0,
2005-09-09,0,
2005-09-16,0,
2005-09-23,0,
2005-09-30,0,
2005-10-07,0,
2005-10-14,0,
2005-10-21,0,
2005-10-28,0,
2005-11-04,0,
2005-11-11,0,
2005-11-18,0,
2005-11-25,0,
2005-12-02,0,
2005-12-09,0,
2005-12-16,0,
2005-12-23,0,
2005-12-30,0,
2006-01-06,0,
2006-01-13,0,
2006-01-20,0,
2006-01-27,95,
2006-02-03,0,
2006-02-10,0,
2006-02-17,0,
2006-02-24,0,
2006-03-03,0,
2006-03-10,0,
2006-03-17,0,
2006-03-24,0,
2006-03-31,0,
2006-04-07,0,
2006-04-14,0,
2006-04-21,0,
2006-04-28,0,
2006-05-05,0,
2006-05-12,0,
2006-05-19,0,
2006-05-26,0,44.93
2006-06-02,80,46.99
2006-06-09,0,47.78
2006-06-16,0,45.02
2006-06-23,0,46.95
2006-06-30,0,48.00
2006-07-07,0,46.12
2006-07-14,0,43.95
2006-07-21,0,45.28
2006-07-28,0,46.30
2006-08-04,0,50.05
2006-08-11,77,53.68
2006-08-18,78,53.45
2006-08-25,78,55.00
2006-09-01,79,56.55
2006-09-08,79,59.75
2006-09-15,0,64.97
2006-09-22,0,65.93
2006-09-29,0,70.35
2006-10-06,0,75.15
2006-10-13,0,70.09
2006-10-20,0,71.22
2006-10-27,0,72.64
2006-11-03,0,89.51
2006-11-10,0,89.20
2006-11-17,0,94.79
2006-11-24,0,105.48
2006-12-01,0,101.17
2006-12-08,0,100.10
2006-12-15,0,96.19
2006-12-22,0,96.35
2006-12-29,0,98.49
2007-01-05,0,101.06
2007-01-12,0,105.25
2007-01-19,78,105.03
2007-01-26,0,108.52
2007-02-02,0,110.96
2007-02-09,0,103.60
2007-02-16,0,108.32
2007-02-23,0,104.57
2007-03-02,0,103.06
2007-03-09,0,102.36
2007-03-16,0,105.27
2007-03-23,58,109.86
2007-03-30,54,106.24
2007-04-06,54,
2007-04-13,54,109.40
2007-04-20,0,110.10
2007-04-27,0,114.10
2007-05-04,0,134.66
2007-05-11,0,138.83
2007-05-18,0,138.05
2007-05-25,0,139.07
2007-06-01,57,151.10
2007-06-08,63,143.58
2007-06-15,68,157.65
2007-06-22,73,168.43
2007-06-29,78,165.87
2007-07-06,83,161.90
2007-07-13,62,169.21
2007-07-20,83,165.28
2007-07-27,57,154.03
2007-08-03,68,131.26
2007-08-10,48,138.40
2007-08-17,54,137.00
2007-08-24,59,139.83
2007-08-31,55,136.99
2007-09-07,57,130.21
2007-09-14,43,137.85
2007-09-21,55,146.56
2007-09-28,55,147.97
2007-10-05,57,162.46
2007-10-12,59,163.21
2007-10-19,61,151.60
2007-10-26,39,157.03
2007-11-02,41,190.04
2007-11-09,42,193.00
2007-11-16,43,184.87
2007-11-23,44,181.10
2007-11-30,60,200.65
2007-12-07,47,209.60
2007-12-14,56,216.56
2007-12-21,65,212.35
2007-12-28,53,210.00
2008-01-04,53,201.19
2008-01-11,53,179.17
2008-01-18,44,174.62
2008-01-25,40,193.43
2008-02-01,57,215.42
2008-02-08,37,205.61
2008-02-15,43,206.00
2008-02-22,57,203.48
2008-02-29,42,190.00
2008-03-07,45,192.51
2008-03-14,66,208.65
2008-03-21,55,
2008-03-28,71,217.60
2008-04-04,55,226.57
2008-04-11,51,228.60
2008-04-18,55,233.71
2008-04-25,59,237.39
2008-05-02,71,285.04
2008-05-09,63,286.85
2008-05-16,41,283.40
2008-05-23,60,273.22
2008-05-30,61,308.65
2008-06-06,58,295.73
2008-06-13,58,292.46
2008-06-20,75,284.01
2008-06-27,48,271.72
2008-07-04,68,
2008-07-11,79,257.35
2008-07-18,67,280.86
2008-07-25,53,263.55
2008-08-01,49,237.27
2008-08-08,77,232.13
2008-08-15,71,238.95
2008-08-22,71,241.64
2008-08-29,56,242.55
2008-09-05,60,221.44
2008-09-12,59,223.82
2008-09-19,56,225.18
2008-09-26,40,185.07
2008-10-03,49,160.20
2008-10-10,48,151.71
2008-10-17,33,156.75
2008-10-24,52,130.62
2008-10-31,71,147.82
2008-11-07,45,147.73
2008-11-14,54,143.68
2008-11-21,43,126.54
2008-11-28,32,145.30
2008-12-05,67,140.12
2008-12-12,64,138.81
2008-12-19,52,152.34
2008-12-26,50,140.93
2009-01-02,52,149.78
2009-01-09,62,150.04
2009-01-16,57,128.22
2009-01-23,40,125.45
2009-01-30,40,135.78
2009-02-06,61,162.50
2009-02-13,44,161.90
2009-02-20,72,158.01
2009-02-27,53,158.03
2009-03-06,52,142.44
2009-03-13,49,158.31
2009-03-20,42,155.53
2009-03-27,61,167.47
2009-04-03,67,174.05
2009-04-10,77,
2009-04-17,43,163.06
2009-04-24,69,173.09
2009-05-01,39,172.90
2009-05-08,61,185.08
2009-05-15,65,173.13
2009-05-22,57,168.36
2009-05-29,70,176.33
2009-06-05,40,167.68
2009-06-12,58,167.06
2009-06-19,54,161.35
2009-06-26,66,168.91
2009-07-03,70,
2009-07-10,84,160.56
2009-07-17,74,179.84
2009-07-24,66,185.47
2009-07-31,61,194.03
2009-08-07,67,204.34
2009-08-14,63,202.61
2009-08-21,73,207.25
2009-08-28,71,203.57
2009-09-04,61,206.05
2009-09-11,70,208.81
2009-09-18,62,223.57
2009-09-25,79,204.70
2009-10-02,45,199.69
2009-10-09,54,214.42
2009-10-16,58,223.87
2009-10-23,48,229.96
2009-10-30,50,219.02
2009-11-06,65,236.90
2009-11-13,54,234.72
2009-11-20,66,231.16
2009-11-27,42,235.59
2009-12-04,44,241.33
2009-12-11,43,243.94
2009-12-18,67,254.84
2009-12-25,55,
2010-01-01,45,
2010-01-08,61,253.98
2010-01-15,46,262.65
2010-01-22,50,251.81
2010-01-29,45,249.90
2010-02-05,64,220.74
2010-02-12,55,225.48
2010-02-19,44,222.63
2010-02-26,65,224.37
2010-03-05,41,239.54
2010-03-12,71,249.97
2010-03-19,54,244.36
2010-03-26,62,246.24
2010-04-02,54,
2010-04-09,43,258.88
2010-04-16,60,259.50
2010-04-23,60,267.22
2010-04-30,57,248.04
2010-05-07,77,223.09
2010-05-14,62,212.45
2010-05-21,38,213.85
2010-05-28,86,201.77
2010-06-04,64,196.67
2010-06-11,76,204.88
2010-06-18,77,214.26
2010-06-25,72,218.39
2010-07-02,75,202.77
2010-07-09,50,215.52
2010-07-16,49,197.22
2010-07-23,63,212.94
2010-07-30,76,210.04
2010-08-06,50,207.42
2010-08-13,57,210.64
2010-08-20,76,206.37
2010-08-27,65,206.62
2010-09-03,57,206.98
2010-09-10,58,198.14
2010-09-17,58,213.67
2010-09-24,85,221.57
2010-10-01,68,224.78
2010-10-08,73,222.59
2010-10-15,62,233.70
2010-10-22,63,242.64
2010-10-29,62,240.06
2010-11-05,58,256.29
2010-11-12,62,243.17
2010-11-19,67,243.88
2010-11-26,52,235.15
2010-12-03,76,249.08
2010-12-10,61,254.76
2010-12-17,58,221.26
2010-12-24,59,
2010-12-31,49,224.11
2011-01-07,71,231.09
2011-01-14,66,236.91
2011-01-21,62,233.53
2011-01-28,52,234.87
2011-02-04,60,247.24
2011-02-11,74,253.49
2011-02-18,43,250.74
2011-02-25,73,246.71
2011-03-04,44,249.75
2011-03-11,56,248.42
2011-03-18,56,241.68
2011-03-25,72,247.70
2011-04-01,63,253.55
2011-04-08,53,263.06
2011-04-15,68,267.58
2011-04-22,80,
2011-04-29,47,275.89
2011-05-06,69,274.25
2011-05-13,57,280.00
2011-05-20,93,277.57
2011-05-27,79,285.24
2011-06-03,69,277.06
2011-06-10,67,267.03
2011-06-17,77,266.09
2011-06-24,72,274.20
2011-07-01,76,314.47
2011-07-08,100,315.29
2011-07-15,68,307.55
2011-07-22,79,314.14
2011-07-29,85,303.25
2011-08-05,79,326.54
2011-08-12,97,328.07
2011-08-19,92,300.16
2011-08-26,68,325.33
2011-09-02,60,320.68
2011-09-09,63,322.02
2011-09-16,65,346.95
2011-09-23,72,337.03
2011-09-30,70,317.16
2011-10-07,74,311.46
2011-10-14,52,341.58
2011-10-21,61,333.40
2011-10-28,58,354.58
2011-11-04,52,360.09
2011-11-11,67,370.15
2011-11-18,53,360.42
2011-11-25,65,346.20
2011-12-02,55,378.38
2011-12-09,71,377.42
2011-12-16,56,362.16
2011-12-23,71,378.15
2011-12-30,59,372.82
2012-01-06,64,342.92
2012-01-13,64,339.08
2012-01-20,60,340.66
2012-01-27,58,348.79
2012-02-03,51,390.32
2012-02-10,65,396.14
2012-02-17,61,396.00
2012-02-24,56,415.61
2012-03-02,46,412.78
2012-03-09,64,419.52
2012-03-16,61,420.17
2012-03-23,66,424.01
2012-03-30,66,420.54
2012-04-06,76,
2012-04-13,69,440.46
2012-04-20,71,440.44
2012-04-27,74,457.58
2012-05-04,66,439.69
2012-05-11,91,422.40
2012-05-18,85,394.56
2012-05-25,100,413.96
2012-06-01,81,391.78
2012-06-08,99,416.55
2012-06-15,69,426.69
2012-06-22,83,435.08
2012-06-29,92,430.11
2012-07-06,83,441.63
2012-07-13,74,429.60
2012-07-20,92,423.15
2012-07-27,82,436.75
2012-08-03,76,424.13
2012-08-10,77,426.03
2012-08-17,68,426.81
2012-08-24,90,422.45
2012-08-31,79,422.90
2012-09-07,76,436.20
2012-09-14,62,454.18
2012-09-21,82,459.52
2012-09-28,74,451.48
2012-10-05,82,475.27
2012-10-12,72,473.36
2012-10-19,73,470.06
2012-10-26,68,452.98
2012-11-02,76,469.45
2012-11-09,72,464.66
2012-11-16,70,464.59
2012-11-23,72,481.24
2012-11-30,71,488.68
2012-12-07,56,476.09
2012-12-14,70,482.30
2012-12-21,88,493.57
2012-12-28,74,483.08
2013-01-04,61,510.98
2013-01-11,66,528.68
2013-01-18,81,521.00
2013-01-25,73,519.42
2013-02-01,68,518.71
2013-02-08,61,524.47
2013-02-15,69,523.13
2013-02-22,58,523.83
2013-03-01,63,518.30
2013-03-08,55,529.23
2013-03-15,68,519.37
2013-03-22,81,517.50
2013-03-29,54,
2013-04-05,65,531.60
2013-04-12,64,532.99
2013-04-19,61,521.96
2013-04-26,77,535.33
2013-05-03,60,553.55
2013-05-10,68,555.13
2013-05-17,62,584.78
2013-05-24,82,571.46
2013-05-31,71,570.25
2013-06-07,78,566.25
2013-06-14,73,571.16
2013-06-21,64,573.29
2013-06-28,79,574.50
2013-07-05,73,595.03
2013-07-12,82,598.86
2013-07-19,70,593.33
2013-07-26,97,598.15
2013-08-02,90,645.57
2013-08-09,86,637.96
2013-08-16,80,618.21
2013-08-23,71,626.11
2013-08-30,95,606.08
2013-09-06,72,636.62
2013-09-13,65,666.41
2013-09-20,55,685.74
2013-09-27,67,681.85
2013-10-04,73,673.33
2013-10-11,58,684.18
2013-10-18,67,715.19
2013-10-25,63,723.78
2013-11-01,67,737.48
2013-11-08,65,734.47
2013-11-15,67,752.26
2013-11-22,67,754.45
2013-11-29,69,760.81
2013-12-06,58,758.47
2013-12-13,57,787.97
2013-12-20,64,817.05
2013-12-27,58,827.87
2014-01-03,69,830.81
2014-01-10,61,834.76
2014-01-17,69,818.42
2014-01-24,71,78.51
2014-01-31,73,75.68
2014-02-07,56,76.31
2014-02-14,61,77.39
2014-02-21,60,75.70
2014-02-28,58,77.72
2014-03-07,65,77.94
2014-03-14,82,76.34
2014-03-21,60,75.99
2014-03-28,64,73.22
2014-04-04,60,72.18
2014-04-11,59,68.68
2014-04-18,65,
2014-04-25,65,70.66
2014-05-02,73,
