Date,sell NOV,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,25.27
2004-02-13,0,26.98
2004-02-20,0,28.19
2004-02-27,0,29.71
2004-03-05,0,30.26
2004-03-12,0,28.53
2004-03-19,0,28.47
2004-03-26,0,26.99
2004-04-02,0,28.10
2004-04-09,0,
2004-04-16,0,30.04
2004-04-23,0,29.77
2004-04-30,0,27.92
2004-05-07,0,26.75
2004-05-14,0,26.41
2004-05-21,0,25.90
2004-05-28,0,27.68
2004-06-04,0,27.01
2004-06-11,0,
2004-06-18,0,30.51
2004-06-25,0,30.47
2004-07-02,0,31.96
2004-07-09,0,32.37
2004-07-16,0,34.15
2004-07-23,0,32.08
2004-07-30,0,33.45
2004-08-06,0,29.62
2004-08-13,0,29.75
2004-08-20,0,29.62
2004-08-27,0,30.20
2004-09-03,0,31.40
2004-09-10,0,31.60
2004-09-17,0,32.31
2004-09-24,0,33.21
2004-10-01,0,33.82
2004-10-08,0,34.80
2004-10-15,0,32.85
2004-10-22,0,34.00
2004-10-29,0,33.71
2004-11-05,0,33.16
2004-11-12,0,34.22
2004-11-19,0,34.39
2004-11-26,0,36.99
2004-12-03,0,34.06
2004-12-10,0,33.88
2004-12-17,0,35.64
2004-12-24,0,
2004-12-31,0,35.29
2005-01-07,0,33.23
2005-01-14,0,35.96
2005-01-21,0,35.97
2005-01-28,0,36.50
2005-02-04,0,38.45
2005-02-11,0,40.69
2005-02-18,0,41.85
2005-02-25,0,44.72
2005-03-04,0,47.34
2005-03-11,0,48.85
2005-03-18,0,49.32
2005-03-25,0,
2005-04-01,0,47.05
2005-04-08,0,45.31
2005-04-15,0,41.22
2005-04-22,0,42.82
2005-04-29,0,39.74
2005-05-06,0,43.48
2005-05-13,0,41.11
2005-05-20,0,42.20
2005-05-27,0,44.39
2005-06-03,0,45.13
2005-06-10,0,46.15
2005-06-17,0,48.52
2005-06-24,0,46.85
2005-07-01,0,47.80
2005-07-08,0,47.44
2005-07-15,0,46.89
2005-07-22,0,51.47
2005-07-29,0,52.35
2005-08-05,0,57.00
2005-08-12,0,60.07
2005-08-19,0,58.32
2005-08-26,0,58.32
2005-09-02,0,63.10
2005-09-09,0,65.25
2005-09-16,0,63.79
2005-09-23,0,63.40
2005-09-30,0,65.80
2005-10-07,0,59.24
2005-10-14,0,56.35
2005-10-21,0,57.75
2005-10-28,0,61.77
2005-11-04,0,61.00
2005-11-11,0,55.80
2005-11-18,0,59.04
2005-11-25,0,62.53
2005-12-02,0,62.04
2005-12-09,0,65.70
2005-12-16,0,63.57
2005-12-23,0,63.77
2005-12-30,0,62.70
2006-01-06,0,70.64
2006-01-13,0,69.80
2006-01-20,0,73.33
2006-01-27,0,72.52
2006-02-03,0,73.44
2006-02-10,0,63.80
2006-02-17,0,64.30
2006-02-24,0,63.79
2006-03-03,0,62.74
2006-03-10,0,57.30
2006-03-17,0,60.01
2006-03-24,0,62.68
2006-03-31,0,64.12
2006-04-07,0,63.26
2006-04-14,0,
2006-04-21,0,71.12
2006-04-28,0,68.97
2006-05-05,0,71.42
2006-05-12,0,67.02
2006-05-19,0,62.55
2006-05-26,0,65.36
2006-06-02,0,68.94
2006-06-09,0,62.18
2006-06-16,0,60.94
2006-06-23,0,59.97
2006-06-30,0,63.32
2006-07-07,0,60.20
2006-07-14,0,62.09
2006-07-21,0,58.02
2006-07-28,0,65.49
2006-08-04,0,65.10
2006-08-11,0,64.80
2006-08-18,0,66.27
2006-08-25,0,67.94
2006-09-01,0,67.02
2006-09-08,0,62.16
2006-09-15,0,59.16
2006-09-22,0,56.33
2006-09-29,0,58.55
2006-10-06,0,54.66
2006-10-13,0,56.74
2006-10-20,0,58.39
2006-10-27,0,59.87
2006-11-03,0,61.02
2006-11-10,0,61.19
2006-11-17,0,60.30
2006-11-24,0,61.99
2006-12-01,0,67.35
2006-12-08,0,66.40
2006-12-15,0,67.03
2006-12-22,0,62.26
2006-12-29,0,61.18
2007-01-05,0,56.35
2007-01-12,0,56.04
2007-01-19,0,58.20
2007-01-26,0,58.48
2007-02-02,0,60.61
2007-02-09,0,66.54
2007-02-16,0,67.79
2007-02-23,0,69.85
2007-03-02,0,68.56
2007-03-09,0,72.60
2007-03-16,0,72.91
2007-03-23,0,77.36
2007-03-30,0,77.79
2007-04-06,0,
2007-04-13,0,83.17
2007-04-20,0,79.26
2007-04-27,0,86.65
2007-05-04,0,88.04
2007-05-11,0,91.71
2007-05-18,0,94.28
2007-05-25,0,91.75
2007-06-01,0,95.74
2007-06-08,0,96.35
2007-06-15,0,107.07
2007-06-22,0,108.93
2007-06-29,0,104.24
2007-07-06,0,110.11
2007-07-13,0,111.85
2007-07-20,0,117.70
2007-07-27,0,118.04
2007-08-03,0,109.79
2007-08-10,0,116.34
2007-08-17,0,108.65
2007-08-24,0,121.00
2007-08-31,0,128.00
2007-09-07,0,129.89
2007-09-14,0,133.61
2007-09-21,0,144.62
2007-09-28,0,144.50
2007-10-05,0,76.74
2007-10-12,0,78.41
2007-10-19,0,69.81
2007-10-26,0,72.50
2007-11-02,0,73.99
2007-11-09,0,71.13
2007-11-16,0,64.44
2007-11-23,0,68.06
2007-11-30,0,68.15
2007-12-07,0,73.52
2007-12-14,0,77.37
2007-12-21,0,72.78
2007-12-28,0,74.37
2008-01-04,0,74.31
2008-01-11,0,69.83
2008-01-18,0,59.55
2008-01-25,0,63.57
2008-02-01,0,62.69
2008-02-08,0,57.27
2008-02-15,0,62.04
2008-02-22,0,64.85
2008-02-29,0,62.30
2008-03-07,0,59.96
2008-03-14,0,60.17
2008-03-21,0,
2008-03-28,0,56.75
2008-04-04,0,66.24
2008-04-11,0,67.48
2008-04-18,0,74.05
2008-04-25,0,73.19
2008-05-02,0,67.20
2008-05-09,0,77.41
2008-05-16,0,79.00
2008-05-23,0,81.35
2008-05-30,0,83.32
2008-06-06,0,83.57
2008-06-13,0,83.16
2008-06-20,0,84.49
2008-06-27,0,88.41
2008-07-04,0,
2008-07-11,0,83.12
2008-07-18,0,78.95
2008-07-25,0,74.74
2008-08-01,0,79.47
2008-08-08,0,70.52
2008-08-15,0,68.46
2008-08-22,0,76.00
2008-08-29,0,73.73
2008-09-05,0,61.86
2008-09-12,0,58.48
2008-09-19,0,60.09
2008-09-26,0,54.57
2008-10-03,0,41.25
2008-10-10,0,23.42
2008-10-17,0,25.58
2008-10-24,0,25.50
2008-10-31,0,29.89
2008-11-07,0,27.95
2008-11-14,98,25.81
2008-11-21,84,21.52
2008-11-28,99,28.29
2008-12-05,0,20.86
2008-12-12,0,25.20
2008-12-19,0,23.47
2008-12-26,0,23.17
2009-01-02,0,26.83
2009-01-09,0,27.06
2009-01-16,0,24.25
2009-01-23,0,25.63
2009-01-30,0,26.44
2009-02-06,0,29.19
2009-02-13,0,28.43
2009-02-20,0,25.96
2009-02-27,0,26.73
2009-03-06,0,24.96
2009-03-13,0,28.90
2009-03-20,0,30.25
2009-03-27,0,31.27
2009-04-03,0,32.42
2009-04-10,0,
2009-04-17,0,34.98
2009-04-24,0,31.50
2009-05-01,0,31.22
2009-05-08,0,36.04
2009-05-15,0,32.67
2009-05-22,0,35.35
2009-05-29,0,38.62
2009-06-05,0,37.96
2009-06-12,0,38.69
2009-06-19,0,34.33
2009-06-26,0,33.10
2009-07-03,0,
2009-07-10,0,30.47
2009-07-17,0,34.16
2009-07-24,0,37.60
2009-07-31,0,35.94
2009-08-07,0,36.59
2009-08-14,0,36.44
2009-08-21,0,39.39
2009-08-28,0,37.23
2009-09-04,0,37.41
2009-09-11,0,39.17
2009-09-18,0,43.68
2009-09-25,0,41.94
2009-10-02,0,40.89
2009-10-09,0,45.25
2009-10-16,0,48.23
2009-10-23,0,46.89
2009-10-30,0,40.99
2009-11-06,68,43.68
2009-11-13,56,44.17
2009-11-20,60,42.79
2009-11-27,64,43.30
2009-12-04,0,42.28
2009-12-11,0,43.94
2009-12-18,0,43.28
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,47.11
2010-01-15,0,46.24
2010-01-22,0,42.53
2010-01-29,0,40.90
2010-02-05,0,42.30
2010-02-12,0,43.36
2010-02-19,0,45.11
2010-02-26,0,43.47
2010-03-05,0,43.66
2010-03-12,0,43.94
2010-03-19,0,42.46
2010-03-26,0,39.92
2010-04-02,0,
2010-04-09,0,42.93
2010-04-16,0,42.48
2010-04-23,0,46.26
2010-04-30,0,44.03
2010-05-07,0,39.11
2010-05-14,0,39.91
2010-05-21,0,36.89
2010-05-28,0,38.13
2010-06-04,0,34.66
2010-06-11,0,37.53
2010-06-18,0,38.10
2010-06-25,0,35.30
2010-07-02,0,33.35
2010-07-09,0,35.51
2010-07-16,0,35.26
2010-07-23,0,38.04
2010-07-30,0,39.16
2010-08-06,0,41.63
2010-08-13,0,39.49
2010-08-20,0,38.23
2010-08-27,0,37.97
2010-09-03,0,40.55
2010-09-10,0,41.10
2010-09-17,0,41.28
2010-09-24,0,44.21
2010-10-01,0,45.18
2010-10-08,0,46.61
2010-10-15,0,48.60
2010-10-22,0,48.59
2010-10-29,0,53.76
2010-11-05,100,58.77
2010-11-12,87,57.65
2010-11-19,78,61.73
2010-11-26,51,61.52
2010-12-03,55,63.00
2010-12-10,0,62.66
2010-12-17,0,63.58
2010-12-24,0,
2010-12-31,0,67.25
2011-01-07,0,65.04
2011-01-14,0,69.31
2011-01-21,0,67.51
2011-01-28,0,71.46
2011-02-04,0,76.45
2011-02-11,0,77.86
2011-02-18,0,80.18
2011-02-25,0,79.83
2011-03-04,0,80.74
2011-03-11,0,76.05
2011-03-18,0,76.81
2011-03-25,0,80.65
2011-04-01,0,80.68
2011-04-08,0,79.63
2011-04-15,0,76.50
2011-04-22,0,
2011-04-29,0,76.69
2011-05-06,0,68.60
2011-05-13,0,68.02
2011-05-20,0,67.76
2011-05-27,0,72.86
2011-06-03,0,73.34
2011-06-10,0,70.74
2011-06-17,0,69.05
2011-06-24,0,70.10
2011-07-01,0,78.31
2011-07-08,0,80.21
2011-07-15,0,78.56
2011-07-22,0,83.31
2011-07-29,0,80.57
2011-08-05,0,67.48
2011-08-12,0,66.78
2011-08-19,0,60.71
2011-08-26,0,63.73
2011-09-02,0,63.64
2011-09-09,0,62.66
2011-09-16,0,65.03
2011-09-23,0,53.23
2011-09-30,0,51.22
2011-10-07,0,58.81
2011-10-14,0,66.41
2011-10-21,0,65.72
2011-10-28,0,75.73
2011-11-04,0,71.08
2011-11-11,84,71.05
2011-11-18,46,67.50
2011-11-25,67,64.52
2011-12-02,50,71.05
2011-12-09,0,73.40
2011-12-16,0,65.53
2011-12-23,0,68.47
2011-12-30,0,67.99
2012-01-06,0,70.81
2012-01-13,0,73.11
2012-01-20,0,74.80
2012-01-27,0,77.40
2012-02-03,0,82.14
2012-02-10,0,82.66
2012-02-17,0,83.80
2012-02-24,0,86.04
2012-03-02,0,82.24
2012-03-09,0,81.38
2012-03-16,0,83.56
2012-03-23,0,80.58
2012-03-30,0,79.47
2012-04-06,0,
2012-04-13,0,78.52
2012-04-20,0,77.68
2012-04-27,0,75.59
2012-05-04,0,71.13
2012-05-11,0,68.43
2012-05-18,0,63.42
2012-05-25,0,68.10
2012-06-01,0,65.00
2012-06-08,0,66.59
2012-06-15,0,67.85
2012-06-22,0,63.09
2012-06-29,0,64.44
2012-07-06,0,66.66
2012-07-13,0,67.66
2012-07-20,0,69.21
2012-07-27,0,73.66
2012-08-03,0,75.36
2012-08-10,0,77.36
2012-08-17,0,78.51
2012-08-24,0,77.03
2012-08-31,0,78.80
2012-09-07,0,81.92
2012-09-14,0,84.83
2012-09-21,0,81.72
2012-09-28,0,80.11
2012-10-05,0,79.92
2012-10-12,0,78.22
2012-10-19,0,80.70
2012-10-26,0,74.57
2012-11-02,35,71.65
2012-11-09,57,68.97
2012-11-16,54,70.61
2012-11-23,49,72.60
2012-11-30,34,68.30
2012-12-07,0,68.28
2012-12-14,0,64.87
2012-12-21,0,68.33
2012-12-28,0,65.88
2013-01-04,0,71.75
2013-01-11,0,70.89
2013-01-18,0,72.76
2013-01-25,0,74.00
2013-02-01,0,71.26
2013-02-08,0,69.08
2013-02-15,0,69.33
2013-02-22,0,68.10
2013-03-01,0,66.96
2013-03-08,0,68.19
2013-03-15,0,70.53
2013-03-22,0,68.26
2013-03-29,0,
2013-04-05,0,67.62
2013-04-12,0,68.86
2013-04-19,0,64.31
2013-04-26,0,66.32
2013-05-03,0,66.88
2013-05-10,0,68.22
2013-05-17,0,68.53
2013-05-24,0,69.98
2013-05-31,0,70.30
2013-06-07,0,70.20
2013-06-14,0,69.58
2013-06-21,0,68.21
2013-06-28,0,68.90
2013-07-05,0,71.85
2013-07-12,0,72.96
2013-07-19,0,74.05
2013-07-26,0,71.58
2013-08-02,0,72.31
2013-08-09,0,72.49
2013-08-16,0,72.73
2013-08-23,0,72.54
2013-08-30,0,74.30
2013-09-06,0,78.01
2013-09-13,0,78.24
2013-09-20,0,78.81
2013-09-27,0,78.01
2013-10-04,0,79.54
2013-10-11,0,79.32
2013-10-18,0,82.16
2013-10-25,0,82.72
2013-11-01,44,80.83
2013-11-08,58,82.20
2013-11-15,39,84.30
2013-11-22,59,83.66
2013-11-29,27,81.50
2013-12-06,22,81.59
2013-12-13,0,78.74
2013-12-20,0,78.37
2013-12-27,0,79.44
2014-01-03,0,78.75
2014-01-10,0,78.05
2014-01-17,0,76.97
2014-01-24,0,74.00
2014-01-31,0,75.01
2014-02-07,0,75.07
2014-02-14,0,76.42
2014-02-21,0,74.80
2014-02-28,0,77.04
2014-03-07,0,79.06
2014-03-14,0,74.60
2014-03-21,0,74.47
2014-03-28,0,77.67
2014-04-04,0,78.96
2014-04-11,0,78.16
2014-04-18,0,
2014-04-25,0,83.47
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
