Date,sell SO,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,29.24
2004-02-13,0,29.50
2004-02-20,0,29.83
2004-02-27,0,30.32
2004-03-05,0,30.63
2004-03-12,0,30.15
2004-03-19,0,30.16
2004-03-26,0,30.39
2004-04-02,0,30.36
2004-04-09,0,
2004-04-16,0,29.55
2004-04-23,0,29.23
2004-04-30,0,28.76
2004-05-07,0,28.12
2004-05-14,0,28.25
2004-05-21,0,28.10
2004-05-28,0,28.92
2004-06-04,0,29.14
2004-06-11,0,
2004-06-18,0,28.96
2004-06-25,0,29.05
2004-07-02,0,29.03
2004-07-09,0,28.95
2004-07-16,0,29.50
2004-07-23,0,29.38
2004-07-30,0,29.28
2004-08-06,0,29.85
2004-08-13,0,29.83
2004-08-20,0,29.66
2004-08-27,0,30.01
2004-09-03,0,30.48
2004-09-10,0,30.35
2004-09-17,0,30.43
2004-09-24,0,29.85
2004-10-01,0,30.24
2004-10-08,0,30.61
2004-10-15,0,30.29
2004-10-22,0,31.60
2004-10-29,0,31.59
2004-11-05,0,32.43
2004-11-12,0,33.16
2004-11-19,0,32.80
2004-11-26,0,33.80
2004-12-03,0,32.61
2004-12-10,0,32.70
2004-12-17,0,33.00
2004-12-24,0,
2004-12-31,0,33.52
2005-01-07,0,32.78
2005-01-14,0,32.94
2005-01-21,0,32.89
2005-01-28,0,33.50
2005-02-04,0,33.76
2005-02-11,0,33.18
2005-02-18,0,32.47
2005-02-25,0,32.47
2005-03-04,0,32.60
2005-03-11,0,31.80
2005-03-18,0,32.09
2005-03-25,0,
2005-04-01,0,31.95
2005-04-08,0,31.95
2005-04-15,0,31.95
2005-04-22,0,33.00
2005-04-29,0,32.95
2005-05-06,0,33.20
2005-05-13,0,33.68
2005-05-20,0,34.32
2005-05-27,0,34.14
2005-06-03,0,34.43
2005-06-10,0,34.45
2005-06-17,0,34.26
2005-06-24,0,34.22
2005-07-01,0,35.08
2005-07-08,0,35.61
2005-07-15,0,35.57
2005-07-22,0,35.34
2005-07-29,0,34.99
2005-08-05,0,34.22
2005-08-12,0,34.19
2005-08-19,0,33.69
2005-08-26,0,33.92
2005-09-02,0,35.07
2005-09-09,0,35.49
2005-09-16,0,36.16
2005-09-23,0,35.74
2005-09-30,0,35.76
2005-10-07,0,34.90
2005-10-14,0,33.30
2005-10-21,0,33.84
2005-10-28,0,34.36
2005-11-04,0,34.51
2005-11-11,0,34.45
2005-11-18,0,34.79
2005-11-25,0,34.92
2005-12-02,0,35.04
2005-12-09,0,35.21
2005-12-16,0,35.38
2005-12-23,0,35.14
2005-12-30,0,34.53
2006-01-06,0,35.10
2006-01-13,0,34.92
2006-01-20,0,35.05
2006-01-27,0,35.27
2006-02-03,0,33.42
2006-02-10,0,33.43
2006-02-17,0,33.86
2006-02-24,0,34.13
2006-03-03,0,33.82
2006-03-10,0,33.27
2006-03-17,0,33.80
2006-03-24,0,33.07
2006-03-31,0,32.77
2006-04-07,0,31.96
2006-04-14,0,
2006-04-21,0,31.99
2006-04-28,0,32.23
2006-05-05,0,32.02
2006-05-12,66,31.14
2006-05-19,0,31.19
2006-05-26,0,32.34
2006-06-02,0,32.62
2006-06-09,0,32.63
2006-06-16,0,32.51
2006-06-23,0,32.04
2006-06-30,0,32.05
2006-07-07,0,32.61
2006-07-14,0,32.52
2006-07-21,0,33.53
2006-07-28,0,33.83
2006-08-04,0,33.75
2006-08-11,0,33.40
2006-08-18,0,33.69
2006-08-25,0,33.54
2006-09-01,0,34.22
2006-09-08,0,34.05
2006-09-15,0,34.57
2006-09-22,0,34.27
2006-09-29,0,34.46
2006-10-06,0,34.77
2006-10-13,0,35.09
2006-10-20,0,35.78
2006-10-27,0,36.03
2006-11-03,0,35.77
2006-11-10,0,36.07
2006-11-17,0,36.18
2006-11-24,0,36.14
2006-12-01,0,36.34
2006-12-08,0,36.46
2006-12-15,0,36.97
2006-12-22,0,36.88
2006-12-29,0,36.86
2007-01-05,0,36.44
2007-01-12,0,36.25
2007-01-19,47,36.73
2007-01-26,50,36.39
2007-02-02,53,36.30
2007-02-09,56,36.39
2007-02-16,59,36.42
2007-02-23,62,36.21
2007-03-02,50,35.40
2007-03-09,50,35.25
2007-03-16,50,35.39
2007-03-23,51,36.85
2007-03-30,53,36.65
2007-04-06,54,
2007-04-13,56,37.45
2007-04-20,57,38.18
2007-04-27,59,38.17
2007-05-04,60,37.61
2007-05-11,62,36.98
2007-05-18,63,37.33
2007-05-25,65,35.47
2007-06-01,49,35.87
2007-06-08,44,34.60
2007-06-15,44,35.61
2007-06-22,41,33.95
2007-06-29,41,34.29
2007-07-06,41,34.08
2007-07-13,0,34.87
2007-07-20,0,34.26
2007-07-27,0,33.79
2007-08-03,0,33.62
2007-08-10,0,36.66
2007-08-17,53,36.00
2007-08-24,46,36.12
2007-08-31,46,35.49
2007-09-07,40,35.34
2007-09-14,40,36.40
2007-09-21,35,37.04
2007-09-28,35,36.28
2007-10-05,0,36.73
2007-10-12,0,36.65
2007-10-19,0,35.40
2007-10-26,0,36.20
2007-11-02,0,35.72
2007-11-09,0,35.85
2007-11-16,0,37.02
2007-11-23,0,38.04
2007-11-30,0,37.62
2007-12-07,0,38.90
2007-12-14,32,38.49
2007-12-21,59,39.20
2007-12-28,53,39.15
2008-01-04,53,38.71
2008-01-11,39,39.76
2008-01-18,34,37.74
2008-01-25,31,36.09
2008-02-01,40,37.30
2008-02-08,34,35.75
2008-02-15,37,35.78
2008-02-22,42,35.52
2008-02-29,39,34.53
2008-03-07,44,34.29
2008-03-14,29,34.45
2008-03-21,30,
2008-03-28,30,35.37
2008-04-04,29,36.51
2008-04-11,38,36.30
2008-04-18,41,36.95
2008-04-25,32,37.10
2008-05-02,39,37.11
2008-05-09,32,36.29
2008-05-16,32,36.74
2008-05-23,31,36.00
2008-05-30,41,36.20
2008-06-06,39,34.92
2008-06-13,46,35.09
2008-06-20,44,34.49
2008-06-27,35,34.43
2008-07-04,33,
2008-07-11,32,35.99
2008-07-18,42,34.84
2008-07-25,42,35.13
2008-08-01,59,34.59
2008-08-08,32,36.57
2008-08-15,42,37.44
2008-08-22,46,37.79
2008-08-29,42,37.51
2008-09-05,35,37.10
2008-09-12,37,38.14
2008-09-19,40,38.40
2008-09-26,39,38.62
2008-10-03,29,37.15
2008-10-10,62,32.26
2008-10-17,53,33.49
2008-10-24,45,34.61
2008-10-31,44,34.34
2008-11-07,36,34.83
2008-11-14,39,35.21
2008-11-21,39,35.59
2008-11-28,29,36.32
2008-12-05,36,36.89
2008-12-12,37,36.34
2008-12-19,41,35.84
2008-12-26,36,35.97
2009-01-02,47,37.47
2009-01-09,50,35.53
2009-01-16,60,35.03
2009-01-23,57,34.65
2009-01-30,41,33.45
2009-02-06,40,33.59
2009-02-13,42,31.39
2009-02-20,47,30.17
2009-02-27,56,30.31
2009-03-06,55,28.05
2009-03-13,24,27.14
2009-03-20,49,30.58
2009-03-27,26,30.57
2009-04-03,46,31.08
2009-04-10,40,
2009-04-17,54,29.64
2009-04-24,56,29.46
2009-05-01,55,28.82
2009-05-08,39,28.76
2009-05-15,43,28.12
2009-05-22,63,27.70
2009-05-29,49,28.41
2009-06-05,53,28.91
2009-06-12,42,30.55
2009-06-19,33,30.61
2009-06-26,66,31.90
2009-07-03,53,
2009-07-10,50,30.70
2009-07-17,52,31.48
2009-07-24,39,32.63
2009-07-31,54,31.40
2009-08-07,44,31.51
2009-08-14,46,31.47
2009-08-21,60,31.51
2009-08-28,31,31.58
2009-09-04,60,31.42
2009-09-11,48,31.03
2009-09-18,39,32.03
2009-09-25,53,31.90
2009-10-02,58,31.73
2009-10-09,48,31.84
2009-10-16,42,32.50
2009-10-23,46,32.67
2009-10-30,52,31.19
2009-11-06,41,31.59
2009-11-13,40,31.58
2009-11-20,47,31.40
2009-11-27,54,31.61
2009-12-04,41,32.83
2009-12-11,44,34.22
2009-12-18,75,33.79
2009-12-25,41,
2010-01-01,43,
2010-01-08,52,32.83
2010-01-15,48,33.34
2010-01-22,66,32.54
2010-01-29,32,32.00
2010-02-05,56,31.70
2010-02-12,35,31.17
2010-02-19,41,32.29
2010-02-26,42,31.77
2010-03-05,55,32.22
2010-03-12,53,32.48
2010-03-19,31,33.18
2010-03-26,50,33.10
2010-04-02,75,
2010-04-09,49,33.93
2010-04-16,49,33.87
2010-04-23,51,34.73
2010-04-30,44,34.56
2010-05-07,45,33.92
2010-05-14,38,34.47
2010-05-21,56,33.62
2010-05-28,55,32.70
2010-06-04,45,32.13
2010-06-11,31,33.03
2010-06-18,55,34.11
2010-06-25,75,33.28
2010-07-02,48,33.38
2010-07-09,63,34.71
2010-07-16,81,34.78
2010-07-23,62,35.89
2010-07-30,68,35.33
2010-08-06,43,35.88
2010-08-13,58,35.84
2010-08-20,85,35.78
2010-08-27,50,36.97
2010-09-03,57,36.99
2010-09-10,43,37.11
2010-09-17,58,37.06
2010-09-24,46,37.49
2010-10-01,50,37.14
2010-10-08,39,37.71
2010-10-15,50,37.68
2010-10-22,61,38.32
2010-10-29,50,37.87
2010-11-05,63,38.47
2010-11-12,63,38.09
2010-11-19,64,38.07
2010-11-26,54,37.83
2010-12-03,54,38.12
2010-12-10,48,37.82
2010-12-17,77,37.90
2010-12-24,63,
2010-12-31,53,38.23
2011-01-07,51,38.08
2011-01-14,63,38.50
2011-01-21,73,38.25
2011-01-28,84,37.77
2011-02-04,58,37.34
2011-02-11,63,38.03
2011-02-18,64,37.87
2011-02-25,87,38.06
2011-03-04,53,37.97
2011-03-11,63,38.28
2011-03-18,60,37.00
2011-03-25,58,37.58
2011-04-01,73,38.31
2011-04-08,64,38.40
2011-04-15,69,38.33
2011-04-22,61,
2011-04-29,79,39.04
2011-05-06,84,39.50
2011-05-13,51,40.49
2011-05-20,55,40.47
2011-05-27,49,39.80
2011-06-03,55,39.37
2011-06-10,86,39.33
2011-06-17,49,39.81
2011-06-24,65,39.43
2011-07-01,76,40.72
2011-07-08,59,40.31
2011-07-15,57,40.22
2011-07-22,79,40.58
2011-07-29,78,39.54
2011-08-05,66,39.87
2011-08-12,78,39.21
2011-08-19,66,39.97
2011-08-26,73,40.83
2011-09-02,69,41.16
2011-09-09,62,40.74
2011-09-16,58,42.59
2011-09-23,69,42.42
2011-09-30,58,42.37
2011-10-07,59,42.37
2011-10-14,78,42.67
2011-10-21,63,43.94
2011-10-28,66,43.31
2011-11-04,64,43.20
2011-11-11,65,43.94
2011-11-18,78,43.20
2011-11-25,76,42.47
2011-12-02,68,43.76
2011-12-09,69,44.56
2011-12-16,75,44.55
2011-12-23,73,45.90
2011-12-30,64,46.29
2012-01-06,62,44.48
2012-01-13,78,45.27
2012-01-20,74,45.30
2012-01-27,64,45.02
2012-02-03,71,44.30
2012-02-10,77,44.61
2012-02-17,58,44.38
2012-02-24,55,44.54
2012-03-02,78,44.27
2012-03-09,66,45.11
2012-03-16,84,44.34
2012-03-23,74,44.12
2012-03-30,72,44.93
2012-04-06,77,
2012-04-13,80,44.74
2012-04-20,62,45.83
2012-04-27,77,45.99
2012-05-04,94,45.36
2012-05-11,86,45.54
2012-05-18,69,45.48
2012-05-25,71,45.69
2012-06-01,79,45.95
2012-06-08,79,47.38
2012-06-15,75,48.00
2012-06-22,74,46.55
2012-06-29,82,46.30
2012-07-06,79,46.54
2012-07-13,60,47.61
2012-07-20,80,47.77
2012-07-27,85,48.42
2012-08-03,76,47.35
2012-08-10,89,46.92
2012-08-17,95,46.08
2012-08-24,75,45.88
2012-08-31,73,45.33
2012-09-07,67,45.91
2012-09-14,82,45.05
2012-09-21,83,45.26
2012-09-28,86,46.09
2012-10-05,85,45.97
2012-10-12,66,45.61
2012-10-19,81,46.64
2012-10-26,87,46.33
2012-11-02,85,45.77
2012-11-09,83,43.03
2012-11-16,85,42.69
2012-11-23,58,42.03
2012-11-30,73,43.55
2012-12-07,97,43.73
2012-12-14,78,42.95
2012-12-21,82,43.32
2012-12-28,73,42.33
2013-01-04,82,44.16
2013-01-11,81,43.16
2013-01-18,69,43.49
2013-01-25,74,44.45
2013-02-01,93,44.01
2013-02-08,74,43.85
2013-02-15,83,44.11
2013-02-22,83,44.74
2013-03-01,84,44.83
2013-03-08,70,45.32
2013-03-15,80,45.52
2013-03-22,79,45.66
2013-03-29,74,
2013-04-05,76,47.19
2013-04-12,81,47.88
2013-04-19,79,48.51
2013-04-26,87,47.95
2013-05-03,93,47.26
2013-05-10,83,46.10
2013-05-17,69,46.60
2013-05-24,85,45.20
2013-05-31,73,43.90
2013-06-07,77,44.44
2013-06-14,75,44.49
2013-06-21,75,43.10
2013-06-28,78,44.13
2013-07-05,72,43.14
2013-07-12,91,44.99
2013-07-19,78,45.56
2013-07-26,67,45.34
2013-08-02,80,44.34
2013-08-09,81,43.87
2013-08-16,84,42.39
2013-08-23,77,42.23
2013-08-30,63,41.62
2013-09-06,76,41.12
2013-09-13,83,40.96
2013-09-20,88,41.78
2013-09-27,94,41.23
2013-10-04,76,40.66
2013-10-11,83,41.69
2013-10-18,89,41.94
2013-10-25,75,42.46
2013-11-01,85,41.02
2013-11-08,84,41.21
2013-11-15,93,42.42
2013-11-22,76,41.23
2013-11-29,65,40.63
2013-12-06,78,41.43
2013-12-13,73,40.12
2013-12-20,76,41.06
2013-12-27,67,40.86
2014-01-03,95,40.47
2014-01-10,82,41.39
2014-01-17,74,41.16
2014-01-24,100,41.22
2014-01-31,72,41.24
2014-02-07,75,41.10
2014-02-14,91,42.52
2014-02-21,92,42.35
2014-02-28,93,42.35
2014-03-07,89,42.10
2014-03-14,75,43.49
2014-03-21,80,42.92
2014-03-28,93,43.37
2014-04-04,82,43.70
2014-04-11,81,44.57
2014-04-18,89,
2014-04-25,82,46.26
2014-05-02,93,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
