Date,sell TE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,14.87
2004-02-13,0,14.79
2004-02-20,0,14.82
2004-02-27,0,15.07
2004-03-05,0,15.04
2004-03-12,0,14.78
2004-03-19,0,14.74
2004-03-26,0,14.38
2004-04-02,0,14.46
2004-04-09,0,
2004-04-16,0,13.89
2004-04-23,0,13.55
2004-04-30,0,12.73
2004-05-07,0,12.13
2004-05-14,0,11.80
2004-05-21,0,11.82
2004-05-28,0,12.16
2004-06-04,0,11.92
2004-06-11,0,
2004-06-18,0,11.85
2004-06-25,0,11.91
2004-07-02,0,11.99
2004-07-09,0,12.79
2004-07-16,0,13.20
2004-07-23,0,12.60
2004-07-30,0,12.90
2004-08-06,0,12.65
2004-08-13,0,12.80
2004-08-20,0,12.88
2004-08-27,0,13.25
2004-09-03,0,13.25
2004-09-10,0,13.08
2004-09-17,0,13.56
2004-09-24,0,13.09
2004-10-01,0,13.51
2004-10-08,0,13.90
2004-10-15,0,14.21
2004-10-22,0,14.05
2004-10-29,0,14.00
2004-11-05,0,14.87
2004-11-12,0,15.15
2004-11-19,0,14.83
2004-11-26,0,15.37
2004-12-03,0,14.95
2004-12-10,0,14.57
2004-12-17,0,15.09
2004-12-24,0,
2004-12-31,0,15.35
2005-01-07,0,15.12
2005-01-14,0,15.54
2005-01-21,0,15.51
2005-01-28,0,15.77
2005-02-04,0,15.96
2005-02-11,0,15.95
2005-02-18,0,15.91
2005-02-25,0,15.85
2005-03-04,0,16.27
2005-03-11,0,15.68
2005-03-18,0,15.94
2005-03-25,0,
2005-04-01,0,15.89
2005-04-08,0,16.04
2005-04-15,0,15.76
2005-04-22,0,16.03
2005-04-29,0,16.61
2005-05-06,0,16.55
2005-05-13,0,16.23
2005-05-20,0,17.46
2005-05-27,0,17.41
2005-06-03,0,17.72
2005-06-10,0,18.31
2005-06-17,0,18.77
2005-06-24,0,18.46
2005-07-01,0,19.00
2005-07-08,0,19.19
2005-07-15,0,18.90
2005-07-22,0,18.96
2005-07-29,0,18.96
2005-08-05,0,18.61
2005-08-12,0,17.90
2005-08-19,0,17.53
2005-08-26,0,17.52
2005-09-02,0,17.66
2005-09-09,0,17.90
2005-09-16,0,18.16
2005-09-23,0,17.59
2005-09-30,0,18.02
2005-10-07,0,17.40
2005-10-14,0,16.56
2005-10-21,0,16.35
2005-10-28,0,17.03
2005-11-04,0,17.42
2005-11-11,0,17.17
2005-11-18,0,17.55
2005-11-25,0,17.68
2005-12-02,0,17.54
2005-12-09,0,17.65
2005-12-16,0,17.92
2005-12-23,0,17.40
2005-12-30,0,17.18
2006-01-06,0,17.61
2006-01-13,0,17.28
2006-01-20,0,17.54
2006-01-27,0,17.24
2006-02-03,0,16.59
2006-02-10,0,16.58
2006-02-17,0,17.05
2006-02-24,0,17.06
2006-03-03,0,16.62
2006-03-10,0,16.18
2006-03-17,0,16.64
2006-03-24,0,16.26
2006-03-31,0,16.12
2006-04-07,0,16.15
2006-04-14,0,
2006-04-21,0,16.54
2006-04-28,0,15.98
2006-05-05,0,15.99
2006-05-12,0,15.27
2006-05-19,0,14.86
2006-05-26,0,15.00
2006-06-02,0,15.36
2006-06-09,0,15.15
2006-06-16,0,14.92
2006-06-23,0,14.76
2006-06-30,0,14.94
2006-07-07,0,15.24
2006-07-14,0,15.63
2006-07-21,0,15.85
2006-07-28,0,16.06
2006-08-04,0,15.68
2006-08-11,0,15.48
2006-08-18,0,15.76
2006-08-25,0,15.39
2006-09-01,0,15.80
2006-09-08,0,15.42
2006-09-15,0,15.44
2006-09-22,0,15.49
2006-09-29,0,15.65
2006-10-06,0,15.80
2006-10-13,0,15.75
2006-10-20,0,16.32
2006-10-27,0,16.49
2006-11-03,0,16.13
2006-11-10,0,16.50
2006-11-17,0,16.97
2006-11-24,0,16.92
2006-12-01,0,17.03
2006-12-08,0,17.16
2006-12-15,0,17.42
2006-12-22,0,17.19
2006-12-29,0,17.23
2007-01-05,0,17.04
2007-01-12,0,16.72
2007-01-19,0,16.88
2007-01-26,0,16.85
2007-02-02,0,17.05
2007-02-09,0,17.00
2007-02-16,0,16.74
2007-02-23,0,16.93
2007-03-02,0,16.67
2007-03-09,0,16.59
2007-03-16,0,16.75
2007-03-23,0,17.29
2007-03-30,0,17.21
2007-04-06,0,
2007-04-13,0,18.01
2007-04-20,0,18.01
2007-04-27,0,18.05
2007-05-04,0,18.28
2007-05-11,0,18.12
2007-05-18,0,18.14
2007-05-25,0,17.25
2007-06-01,0,17.55
2007-06-08,0,16.57
2007-06-15,0,17.16
2007-06-22,0,16.81
2007-06-29,0,17.18
2007-07-06,0,17.43
2007-07-13,0,17.67
2007-07-20,0,17.19
2007-07-27,0,16.26
2007-08-03,0,15.87
2007-08-10,0,16.00
2007-08-17,0,15.92
2007-08-24,0,16.02
2007-08-31,0,15.84
2007-09-07,0,15.58
2007-09-14,0,15.80
2007-09-21,0,16.16
2007-09-28,0,16.43
2007-10-05,0,16.13
2007-10-12,0,16.44
2007-10-19,0,15.85
2007-10-26,0,16.74
2007-11-02,0,17.10
2007-11-09,0,17.23
2007-11-16,0,17.10
2007-11-23,0,17.12
2007-11-30,0,17.32
2007-12-07,0,17.78
2007-12-14,0,17.02
2007-12-21,0,17.37
2007-12-28,0,17.36
2008-01-04,0,16.94
2008-01-11,0,17.24
2008-01-18,0,16.03
2008-01-25,0,15.77
2008-02-01,0,16.92
2008-02-08,0,16.22
2008-02-15,0,15.44
2008-02-22,0,15.37
2008-02-29,0,14.98
2008-03-07,0,14.96
2008-03-14,0,14.90
2008-03-21,0,
2008-03-28,0,15.60
2008-04-04,0,16.30
2008-04-11,0,16.22
2008-04-18,0,16.69
2008-04-25,0,16.76
2008-05-02,0,16.64
2008-05-09,0,19.05
2008-05-16,0,19.36
2008-05-23,0,19.83
2008-05-30,0,20.37
2008-06-06,0,21.29
2008-06-13,0,21.42
2008-06-20,0,21.54
2008-06-27,0,20.88
2008-07-04,0,
2008-07-11,0,20.56
2008-07-18,0,19.61
2008-07-25,0,19.22
2008-08-01,0,17.59
2008-08-08,0,17.19
2008-08-15,0,17.28
2008-08-22,0,17.34
2008-08-29,0,17.84
2008-09-05,0,16.17
2008-09-12,0,16.95
2008-09-19,0,17.22
2008-09-26,0,16.84
2008-10-03,0,14.82
2008-10-10,0,12.30
2008-10-17,0,13.96
2008-10-24,0,13.54
2008-10-31,0,11.54
2008-11-07,0,11.99
2008-11-14,0,12.08
2008-11-21,0,11.78
2008-11-28,0,13.00
2008-12-05,0,11.36
2008-12-12,0,12.11
2008-12-19,0,11.96
2008-12-26,0,11.62
2009-01-02,0,12.71
2009-01-09,0,12.01
2009-01-16,0,12.09
2009-01-23,0,11.89
2009-01-30,0,12.01
2009-02-06,0,12.50
2009-02-13,0,11.26
2009-02-20,0,9.71
2009-02-27,0,9.59
2009-03-06,0,9.27
2009-03-13,0,10.12
2009-03-20,0,11.00
2009-03-27,0,11.05
2009-04-03,0,11.09
2009-04-10,0,
2009-04-17,0,10.60
2009-04-24,0,10.50
2009-05-01,0,11.27
2009-05-08,0,12.20
2009-05-15,0,11.09
2009-05-22,0,10.91
2009-05-29,0,11.22
2009-06-05,0,11.51
2009-06-12,0,12.04
2009-06-19,0,11.96
2009-06-26,0,11.73
2009-07-03,0,
2009-07-10,0,11.27
2009-07-17,0,12.09
2009-07-24,0,12.92
2009-07-31,0,13.49
2009-08-07,0,13.33
2009-08-14,0,13.05
2009-08-21,0,13.59
2009-08-28,0,13.43
2009-09-04,0,13.28
2009-09-11,0,13.20
2009-09-18,0,14.07
2009-09-25,0,14.07
2009-10-02,0,13.59
2009-10-09,0,14.32
2009-10-16,0,14.40
2009-10-23,0,14.24
2009-10-30,0,14.34
2009-11-06,0,14.64
2009-11-13,0,14.65
2009-11-20,0,14.54
2009-11-27,0,14.53
2009-12-04,0,15.34
2009-12-11,0,15.88
2009-12-18,0,16.20
2009-12-25,0,
2010-01-01,0,
2010-01-08,0,16.21
2010-01-15,0,16.32
2010-01-22,0,15.57
2010-01-29,62,15.57
2010-02-05,70,14.93
2010-02-12,77,14.90
2010-02-19,85,15.64
2010-02-26,92,15.33
2010-03-05,100,15.79
2010-03-12,78,15.86
2010-03-19,78,15.90
2010-03-26,78,15.75
2010-04-02,78,
2010-04-09,78,16.21
2010-04-16,0,16.34
2010-04-23,0,17.00
2010-04-30,0,16.93
2010-05-07,0,15.48
2010-05-14,0,16.02
2010-05-21,0,15.04
2010-05-28,0,15.55
2010-06-04,0,14.97
2010-06-11,0,15.65
2010-06-18,0,16.19
2010-06-25,0,15.60
2010-07-02,0,15.11
2010-07-09,0,16.15
2010-07-16,0,16.09
2010-07-23,0,16.66
2010-07-30,0,16.34
2010-08-06,0,17.17
2010-08-13,0,16.14
2010-08-20,0,16.41
2010-08-27,0,17.09
2010-09-03,0,17.45
2010-09-10,0,17.05
2010-09-17,0,16.96
2010-09-24,61,17.48
2010-10-01,0,17.50
2010-10-08,0,17.62
2010-10-15,0,17.53
2010-10-22,0,17.75
2010-10-29,0,17.59
2010-11-05,0,17.59
2010-11-12,0,16.97
2010-11-19,0,16.95
2010-11-26,0,16.88
2010-12-03,0,17.02
2010-12-10,0,16.98
2010-12-17,0,17.49
2010-12-24,0,
2010-12-31,0,17.80
2011-01-07,67,18.09
2011-01-14,0,18.20
2011-01-21,0,18.14
2011-01-28,0,18.25
2011-02-04,0,18.25
2011-02-11,0,17.79
2011-02-18,47,17.80
2011-02-25,48,17.92
2011-03-04,50,18.07
2011-03-11,51,18.14
2011-03-18,47,17.74
2011-03-25,47,18.25
2011-04-01,47,18.86
2011-04-08,47,18.97
2011-04-15,48,18.86
2011-04-22,49,
2011-04-29,52,19.27
2011-05-06,54,19.27
2011-05-13,56,19.15
2011-05-20,46,19.11
2011-05-27,56,19.06
2011-06-03,57,18.56
2011-06-10,51,18.44
2011-06-17,51,18.61
2011-06-24,51,18.50
2011-07-01,51,19.16
2011-07-08,0,19.17
2011-07-15,0,18.68
2011-07-22,0,19.25
2011-07-29,0,18.53
2011-08-05,0,17.18
2011-08-12,0,16.91
2011-08-19,46,17.15
2011-08-26,42,17.75
2011-09-02,42,17.71
2011-09-09,42,17.51
2011-09-16,42,18.49
2011-09-23,0,17.04
2011-09-30,0,17.13
2011-10-07,0,17.09
2011-10-14,0,17.86
2011-10-21,0,18.07
2011-10-28,41,18.81
2011-11-04,49,19.01
2011-11-11,41,18.82
2011-11-18,41,18.28
2011-11-25,42,17.51
2011-12-02,42,18.42
2011-12-09,43,18.46
2011-12-16,43,18.33
2011-12-23,50,19.09
2011-12-30,52,19.14
2012-01-06,40,18.94
2012-01-13,41,18.60
2012-01-20,43,18.30
2012-01-27,45,18.36
2012-02-03,46,18.28
2012-02-10,48,17.65
2012-02-17,63,18.10
2012-02-24,36,18.11
2012-03-02,36,17.94
2012-03-09,36,17.78
2012-03-16,36,17.75
2012-03-23,37,17.53
2012-03-30,37,17.55
2012-04-06,53,
2012-04-13,49,17.18
2012-04-20,50,17.85
2012-04-27,51,17.94
2012-05-04,40,17.85
2012-05-11,40,17.81
2012-05-18,39,17.23
2012-05-25,39,17.35
2012-06-01,39,17.20
2012-06-08,39,17.74
2012-06-15,39,18.13
2012-06-22,43,17.83
2012-06-29,37,18.06
2012-07-06,37,18.17
2012-07-13,37,18.29
2012-07-20,37,18.24
2012-07-27,37,18.22
2012-08-03,48,17.98
2012-08-10,55,17.94
2012-08-17,41,17.88
2012-08-24,49,17.61
2012-08-31,57,17.36
2012-09-07,43,17.54
2012-09-14,38,17.46
2012-09-21,49,17.51
2012-09-28,57,17.74
2012-10-05,65,17.55
2012-10-12,47,17.52
2012-10-19,49,17.89
2012-10-26,33,17.61
2012-11-02,44,17.82
2012-11-09,55,16.92
2012-11-16,36,16.51
2012-11-23,46,16.21
2012-11-30,51,16.81
2012-12-07,41,16.84
2012-12-14,41,16.60
2012-12-21,46,17.03
2012-12-28,44,16.56
2013-01-04,44,17.18
2013-01-11,33,17.14
2013-01-18,60,17.02
2013-01-25,33,17.19
2013-02-01,36,17.77
2013-02-08,39,17.05
2013-02-15,36,16.90
2013-02-22,61,17.12
2013-03-01,44,17.35
2013-03-08,38,17.32
2013-03-15,58,17.44
2013-03-22,32,17.35
2013-03-29,44,
2013-04-05,56,18.16
2013-04-12,35,18.45
2013-04-19,35,18.47
2013-04-26,38,18.83
2013-05-03,41,18.94
2013-05-10,43,18.63
2013-05-17,46,18.98
2013-05-24,29,18.29
2013-05-31,33,17.61
2013-06-07,38,17.50
2013-06-14,35,17.33
2013-06-21,35,16.76
2013-06-28,35,17.19
2013-07-05,39,16.71
2013-07-12,31,17.56
2013-07-19,31,17.83
2013-07-26,33,17.66
2013-08-02,41,17.78
2013-08-09,36,17.91
2013-08-16,57,16.71
2013-08-23,35,16.80
2013-08-30,46,16.53
2013-09-06,39,16.59
2013-09-13,47,16.35
2013-09-20,28,16.71
2013-09-27,48,16.51
2013-10-04,50,16.50
2013-10-11,52,16.99
2013-10-18,50,17.17
2013-10-25,46,17.61
2013-11-01,52,17.34
2013-11-08,43,17.07
2013-11-15,29,17.42
2013-11-22,29,17.16
2013-11-29,38,17.04
2013-12-06,39,17.34
2013-12-13,41,16.81
2013-12-20,36,17.04
2013-12-27,37,17.14
2014-01-03,38,16.96
2014-01-10,39,17.14
2014-01-17,41,16.91
2014-01-24,44,16.69
2014-01-31,31,16.38
2014-02-07,37,16.31
2014-02-14,43,16.65
2014-02-21,45,16.70
2014-02-28,38,16.78
2014-03-07,41,16.34
2014-03-14,33,16.93
2014-03-21,39,16.69
2014-03-28,45,16.97
2014-04-04,38,17.14
2014-04-11,66,17.22
2014-04-18,31,
2014-04-25,31,18.38
2014-05-02,0,
2014-05-09, ,
2014-05-16, ,
2014-05-23, ,
2014-05-30, ,
