"Date","GM","Price"
2010-11-19,54,34.26
2010-11-26,39,33.8
2010-12-03,38,34.55
2010-12-10,37,33.81
2010-12-17,36,34
2010-12-31,35,36.86
2011-01-07,36,38.98
2011-01-14,36,38.2
2011-01-21,37,37.24
2011-01-28,38,36.6
2011-02-04,35,36.59
2011-02-11,38,36.45
2011-02-18,38,36.51
2011-02-25,38,33.25
2011-03-04,37,32.39
2011-03-11,36,31.93
2011-03-18,36,31.85
2011-03-25,36,31.47
2011-04-01,37,32.41
2011-04-08,38,31.52
2011-04-15,37,30.24
2011-04-29,37,32.09
2011-05-06,36,31.91
2011-05-13,38,31.07
2011-05-20,37,31.18
2011-05-27,37,31.28
2011-06-03,37,29.12
2011-06-10,37,28.85
2011-06-17,38,29
2011-06-24,38,29.92
2011-07-01,37,30.58
2011-07-08,37,31.58
2011-07-15,38,29.76
2011-07-22,39,30.1
2011-07-29,37,27.68
2011-08-05,37,26.31
2011-08-12,38,25.75
2011-08-19,37,22.16
2011-08-26,37,22.87
2011-09-02,35,22.07
2011-09-09,36,21.76
2011-09-16,37,22.61
2011-09-23,38,21
2011-09-30,37,20.18
2011-10-07,43,22.01
2011-10-14,41,24.16
2011-10-21,36,24.35
2011-10-28,36,26.45
2011-11-04,35,23.61
2011-11-11,36,22.51
2011-11-18,35,21.68
2011-11-25,34,20.34
2011-12-02,35,21.28
2011-12-09,36,21.15
2011-12-16,36,20.15
2011-12-23,36,20.5
2011-12-30,34,20.27
2012-01-06,36,22.92
2012-01-13,38,24.29
2012-01-20,36,25
2012-01-27,37,24.37
2012-02-03,37,26.18
2012-02-10,37,25.5
2012-02-17,37,27.34
2012-02-24,37,26.07
2012-03-02,39,26.45
2012-03-09,38,25.62
2012-03-16,37,25.57
2012-03-23,37,25.17
2012-03-30,39,25.65
2012-04-13,37,23.8
2012-04-20,38,23.6
2012-04-27,38,23.53
2012-05-04,37,22.36
2012-05-11,37,22
2012-05-18,39,21.18
2012-05-25,39,22.44
2012-06-01,39,22.01
2012-06-08,37,22.05
2012-06-15,38,21.74
2012-06-22,37,20.6
2012-06-29,37,19.72
2012-07-06,36,20.31
2012-07-13,38,19.62
2012-07-20,38,19.36
2012-07-27,39,19.67
2012-08-03,39,20.04
2012-08-10,37,20.54
2012-08-17,37,22.01
2012-08-24,37,21.18
2012-08-31,38,21.35
2012-09-07,39,23.37
2012-09-14,43,24.14
2012-09-21,40,24.8
2012-09-28,36,22.75
2012-10-05,37,24.8
2012-10-12,35,24.44
2012-10-19,36,24.59
2012-10-26,35,23.28
2012-11-02,34,25.79
2012-11-09,35,25.04
2012-11-16,34,23.85
2012-11-23,33,25.21
2012-11-30,35,25.88
2012-12-07,34,25.19
2012-12-14,35,24.61
2012-12-21,33,27.32
2012-12-28,31,27.85
2013-01-04,34,29.86
2013-01-11,36,30.36
2013-01-18,36,29.28
2013-01-25,36,29.07
2013-02-01,36,28.17
2013-02-08,35,28.57
2013-02-15,35,27.76
2013-02-22,36,27.11
2013-03-01,35,27.21
2013-03-08,33,28
2013-03-15,34,28.21
2013-03-22,34,28.22
2013-04-05,33,27.52
2013-04-12,34,29.62
2013-04-19,35,29.15
2013-04-26,34,30.5
2013-05-03,34,32.1
2013-05-10,34,31.42
2013-05-17,33,33.42
2013-05-24,32,32.87
2013-05-31,33,33.89
2013-06-07,34,35.03
2013-06-14,34,34.29
2013-06-21,34,32.21
2013-06-28,33,33.31
2013-07-05,33,34.67
2013-07-12,33,36.4
2013-07-19,35,36.61
2013-07-26,35,36.67
2013-08-02,35,36.95
2013-08-09,33,36.02
2013-08-16,33,34.38
2013-08-23,34,35.06
2013-08-30,34,34.08
2013-09-06,34,36.15
2013-09-13,46,36.06
2013-09-20,38,36.83
2013-09-27,36,36.37
2013-10-04,38,35.7
2013-10-11,39,35.35
2013-10-18,37,35.89
2013-10-25,38,35.59
2013-11-01,38,37.39
2013-11-08,37,36.66
2013-11-15,39,38.77
2013-11-22,38,37.63
2013-11-29,37,38.73
2013-12-06,38,40.17
2013-12-13,41,40.04
2013-12-20,39,40.99
2013-12-27,34,40.94
2014-01-03,36,39.57
2014-01-10,39,40.03
2014-01-17,40,38.6
2014-01-24,39,36.83
2014-01-31,39,36.08
2014-02-07,39,36.11
2014-02-14,39,35.95
2014-02-21,40,36.69
2014-02-28,42,36.2
2014-03-07,41,37.69
2014-03-14,43,34.09
2014-03-21,44,35.01
2014-03-28,43,34.73
2014-04-04,53,34.81
2014-04-11,44,31.93
2014-04-25,43,33.72
