"Date","VFC","Price"
2004-02-13,38,44.66
2004-02-20,53,44.82
2004-02-27,45,44.93
2004-03-05,39,45.5
2004-03-12,39,44.4
2004-03-19,39,43.42
2004-03-26,39,45.65
2004-04-02,39,47.11
2004-04-16,52,47.94
2004-04-23,52,47.95
2004-04-30,70,46.16
2004-05-07,61,43.9
2004-05-14,61,44.94
2004-05-21,41,45.15
2004-05-28,64,46.98
2004-06-04,64,47.17
2004-06-18,38,47.65
2004-06-25,38,49.75
2004-07-02,45,48.4
2004-07-09,39,48.09
2004-07-16,46,47.89
2004-07-23,53,48.21
2004-07-30,55,50.01
2004-08-06,57,47.6
2004-08-13,61,47.46
2004-08-20,65,50.05
2004-08-27,39,49.02
2004-09-03,48,49.94
2004-09-10,58,49.89
2004-09-17,48,49.38
2004-09-24,32,48.92
2004-10-01,44,49.74
2004-10-08,72,49.7
2004-10-15,60,49.39
2004-10-22,52,50.02
2004-10-29,43,53.83
2004-11-05,29,55.09
2004-11-12,35,54.5
2004-11-19,42,53.77
2004-11-26,49,54.1
2004-12-03,51,54.16
2004-12-10,27,53.45
2004-12-17,28,53.93
2004-12-31,33,55.38
2005-01-07,35,53.39
2005-01-14,43,53.55
2005-01-21,30,52.77
2005-01-28,49,52.49
2005-02-04,39,54.37
2005-02-11,45,60.4
2005-02-18,36,59.22
2005-02-25,56,59.74
2005-03-04,39,60.2
2005-03-11,51,58.9
2005-03-18,67,58.65
2005-04-01,40,58.2
2005-04-08,45,58.03
2005-04-15,52,56.45
2005-04-22,55,56.81
2005-04-29,38,56.59
2005-05-06,26,55.98
2005-05-13,37,55.12
2005-05-20,49,55.57
2005-05-27,50,56.44
2005-06-03,49,57.28
2005-06-10,59,57.87
2005-06-17,58,59.31
2005-06-24,53,57.02
2005-07-01,41,57.37
2005-07-08,25,57.38
2005-07-15,32,60
2005-07-22,47,61.21
2005-07-29,49,59.04
2005-08-05,64,58.51
2005-08-12,44,58.37
2005-08-19,53,58.92
2005-08-26,27,59.21
2005-09-02,27,58.52
2005-09-09,27,60.01
2005-09-16,39,60.55
2005-09-23,46,57.8
2005-09-30,36,57.97
2005-10-07,27,56.15
2005-10-14,63,55.25
2005-10-21,37,53.65
2005-10-28,59,51.7
2005-11-04,52,53.56
2005-11-11,42,54.5
2005-11-18,42,55.67
2005-11-25,56,56
2005-12-02,41,57.26
2005-12-09,32,57.48
2005-12-16,42,56.31
2005-12-23,44,56.06
2005-12-30,37,55.34
2006-01-06,34,55.86
2006-01-13,42,56.31
2006-01-20,32,55.21
2006-01-27,39,55.84
2006-02-03,60,55.46
2006-02-10,46,57.11
2006-02-17,60,55.28
2006-02-24,49,56.23
2006-03-03,50,54.56
2006-03-10,64,54.58
2006-03-17,46,55.87
2006-03-24,59,56.04
2006-03-31,54,56.9
2006-04-07,61,57.25
2006-04-21,73,62.16
2006-04-28,50,61.19
2006-05-05,59,62.4
2006-05-12,62,60.48
2006-05-19,83,62.36
2006-05-26,52,63.08
2006-06-02,58,64.44
2006-06-09,48,64.98
2006-06-16,65,65.52
2006-06-23,50,65.64
2006-06-30,42,67.92
2006-07-07,66,67.67
2006-07-14,42,63.82
2006-07-21,59,67.75
2006-07-28,54,68.26
2006-08-04,61,69.21
2006-08-11,65,67.25
2006-08-18,62,69.53
2006-08-25,73,67.77
2006-09-01,49,70.42
2006-09-08,62,71.42
2006-09-15,73,73.8
2006-09-22,51,73.57
2006-09-29,41,72.95
2006-10-06,53,74.22
2006-10-13,63,75.68
2006-10-20,67,75
2006-10-27,56,74.63
2006-11-03,54,75.36
2006-11-10,73,77
2006-11-17,71,77.37
2006-11-24,55,76.38
2006-12-01,60,77.87
2006-12-08,65,79.41
2006-12-15,60,82.43
2006-12-22,52,82.44
2006-12-29,56,82.08
2007-01-05,63,81.68
2007-01-12,63,80.86
2007-01-19,59,81.04
2007-01-26,64,74
2007-02-02,71,76.12
2007-02-09,78,76.11
2007-02-16,63,77.52
2007-02-23,66,80.46
2007-03-02,48,79.19
2007-03-09,71,80.86
2007-03-16,47,80.76
2007-03-23,73,82.62
2007-03-30,70,82.62
2007-04-13,70,85.32
2007-04-20,75,85.28
2007-04-27,59,88.02
2007-05-04,72,86.42
2007-05-11,76,88.3
2007-05-18,60,90.53
2007-05-25,71,92.21
2007-06-01,64,94.13
2007-06-08,54,92.46
2007-06-15,60,93.59
2007-06-22,60,91.85
2007-06-29,64,91.58
2007-07-06,61,93.66
2007-07-13,60,94.51
2007-07-20,74,90.55
2007-07-27,57,86.24
2007-08-03,55,86.47
2007-08-10,62,89.3
2007-08-17,61,82.81
2007-08-24,73,82.63
2007-08-31,70,79.85
2007-09-07,70,80.32
2007-09-14,86,81.85
2007-09-21,86,83.93
2007-09-28,68,80.75
2007-10-05,64,84.29
2007-10-12,76,79.46
2007-10-19,75,82.98
2007-10-26,72,83.97
2007-11-02,67,83.28
2007-11-09,90,79.87
2007-11-16,56,76.97
2007-11-23,72,75.25
2007-11-30,78,74.79
2007-12-07,66,72.2
2007-12-14,65,70.22
2007-12-21,65,74.06
2007-12-28,61,70.22
2008-01-04,61,63.79
2008-01-11,83,71.35
2008-01-18,74,68
2008-01-25,81,73.89
2008-02-01,83,79.77
2008-02-08,67,79.74
2008-02-15,77,79.21
2008-02-22,62,78.39
2008-02-29,65,76.04
2008-03-07,66,74.54
2008-03-14,77,76.27
2008-03-28,70,75.77
2008-04-04,71,78.26
2008-04-11,80,76.06
2008-04-18,84,78.88
2008-04-25,77,76.43
2008-05-02,89,77.4
2008-05-09,79,73.5
2008-05-16,71,77.21
2008-05-23,71,73.78
2008-05-30,85,75.7
2008-06-06,64,72.78
2008-06-13,61,72.78
2008-06-20,70,69.74
2008-06-27,81,72.11
2008-07-11,85,70.64
2008-07-18,87,73.52
2008-07-25,79,72.35
2008-08-01,80,70.99
2008-08-08,73,77.57
2008-08-15,60,77.97
2008-08-22,64,77.82
2008-08-29,77,79.25
2008-09-05,78,81.34
2008-09-12,67,82.65
2008-09-19,70,82.29
2008-09-26,85,80.23
2008-10-03,63,72.41
2008-10-10,74,62.9
2008-10-17,85,55.55
2008-10-24,72,46.42
2008-10-31,61,55.1
2008-11-07,76,51.64
2008-11-14,62,47.2
2008-11-21,83,42.8
2008-11-28,70,52.29
2008-12-05,80,54.74
2008-12-12,78,53.06
2008-12-19,88,55.62
2008-12-26,64,54.45
2009-01-02,65,56.87
2009-01-09,76,52
2009-01-16,73,56.13
2009-01-23,72,54.71
2009-01-30,79,56.02
2009-02-06,74,58.47
2009-02-13,82,52.91
2009-02-20,73,53.26
2009-02-27,66,51.9
2009-03-06,81,47.65
2009-03-13,76,53.59
2009-03-20,72,55.52
2009-03-27,76,58.49
2009-04-03,73,64.37
2009-04-17,80,66.35
2009-04-24,73,68.92
2009-05-01,80,59.05
2009-05-08,81,58.07
2009-05-15,67,54.39
2009-05-22,74,54.63
2009-05-29,84,56.82
2009-06-05,82,58.76
2009-06-12,93,58.4
2009-06-19,100,59.25
2009-06-26,76,55.63
2009-07-10,65,54.68
2009-07-17,86,59.99
2009-07-24,76,65.28
2009-07-31,70,64.69
2009-08-07,88,68.85
2009-08-14,71,65.63
2009-08-21,82,67.05
2009-08-28,79,71.02
2009-09-04,100,69.29
