"Date","GIS","Price"
2004-02-06,90,45
2004-02-13,91,44.84
2004-02-20,93,45.09
2004-02-27,100,45.98
2004-03-05,89,47.6
2004-03-12,83,46.76
2004-03-19,83,46
2004-03-26,75,45.8
2004-04-02,92,46.75
2004-04-16,85,47.21
2004-04-23,93,48.28
2004-04-30,94,48.75
2004-05-07,83,47.65
2004-05-14,88,45.86
2004-05-21,88,45.57
2004-05-28,88,46.05
2004-06-04,84,47.85
2004-06-18,77,45.66
2004-06-25,84,45.5
2004-07-02,83,46.98
2004-07-09,87,46.7
2004-07-16,92,45.65
2004-07-23,84,45.54
2004-07-30,79,44.9
2004-08-06,78,45.07
2004-08-13,74,45.87
2004-08-20,87,46.62
2004-08-27,82,47.2
2004-09-03,84,47.53
2004-09-10,80,46.65
2004-09-17,82,47.23
2004-09-24,81,45.09
2004-10-01,89,45.3
2004-10-08,83,44.7
2004-10-15,85,43.85
2004-10-22,84,43.3
2004-10-29,86,44.25
2004-11-05,82,45.2
2004-11-12,81,45.9
2004-11-19,84,44.63
2004-11-26,78,44.95
2004-12-03,81,46.57
2004-12-10,81,47.06
2004-12-17,77,48.72
2004-12-31,59,49.71
2005-01-07,70,50.94
2005-01-14,81,50.64
2005-01-21,79,51.91
2005-01-28,83,52.9
2005-02-04,81,53
2005-02-11,76,52.65
2005-02-18,77,51.74
2005-02-25,83,52.04
2005-03-04,79,52.3
2005-03-11,82,51.31
2005-03-18,77,51.53
2005-04-01,73,48.65
2005-04-08,77,49.23
2005-04-15,80,48.35
2005-04-22,78,48.56
2005-04-29,78,49.4
2005-05-06,76,49.45
2005-05-13,77,48.94
2005-05-20,76,49.44
2005-05-27,75,49.68
2005-06-03,73,50.59
2005-06-10,77,51.28
2005-06-17,71,51.25
2005-06-24,74,50.69
2005-07-01,80,46.71
2005-07-08,74,46.2
2005-07-15,75,46.83
2005-07-22,74,46.66
2005-07-29,70,47.4
2005-08-05,68,46.71
2005-08-12,72,47.7
2005-08-19,73,47.83
2005-08-26,75,46.9
2005-09-02,73,46.15
2005-09-09,70,46.61
2005-09-16,71,46.37
2005-09-23,75,46.01
2005-09-30,78,48.2
2005-10-07,74,48.03
2005-10-14,69,48.98
2005-10-21,71,48.29
2005-10-28,75,48.75
2005-11-04,68,47.64
2005-11-11,70,48.08
2005-11-18,72,47.74
2005-11-25,63,48.1
2005-12-02,72,48.28
2005-12-09,69,48.15
2005-12-16,61,49.75
2005-12-23,59,49.66
2005-12-30,53,49.32
2006-01-06,60,49.73
2006-01-13,68,49.96
2006-01-20,66,49.23
2006-01-27,68,48.76
2006-02-03,69,47.56
2006-02-10,68,47.51
2006-02-17,68,48.94
2006-02-24,72,49.65
2006-03-03,67,48.83
2006-03-10,68,48.85
2006-03-17,66,49.33
2006-03-24,68,50.65
2006-03-31,66,50.68
2006-04-07,67,50.08
2006-04-21,66,48.95
2006-04-28,66,49.34
2006-05-05,66,49.69
2006-05-12,68,48.97
2006-05-19,64,49.55
2006-05-26,65,51.79
2006-06-02,64,51.9
2006-06-09,65,51.2
2006-06-16,61,50.44
2006-06-23,60,51.11
2006-06-30,59,51.66
2006-07-07,55,51.97
2006-07-14,61,51.91
2006-07-21,61,51.67
2006-07-28,64,52.33
2006-08-04,61,52.37
2006-08-11,58,53.2
2006-08-18,60,53.33
2006-08-25,58,54.11
2006-09-01,60,54.36
2006-09-08,56,53.18
2006-09-15,60,52.96
2006-09-22,63,55.24
2006-09-29,61,56.6
2006-10-06,59,55.55
2006-10-13,60,55.05
2006-10-20,62,55.79
2006-10-27,59,56.65
2006-11-03,64,55.9
2006-11-10,62,55.36
2006-11-17,62,56.51
2006-11-24,52,56.65
2006-12-01,61,56
2006-12-08,57,57.32
2006-12-15,54,57.65
2006-12-22,53,58.54
2006-12-29,43,57.6
2007-01-05,52,56.97
2007-01-12,58,56.9
2007-01-19,59,56.65
2007-01-26,61,56.55
2007-02-02,59,57.31
2007-02-09,60,57.03
2007-02-16,59,58.09
2007-02-23,60,57.18
2007-03-02,57,55.5
2007-03-09,58,55.2
2007-03-16,58,56.08
2007-03-23,61,58.19
2007-03-30,58,58.22
2007-04-13,57,58.48
2007-04-20,60,59.12
2007-04-27,58,60.08
2007-05-04,55,59.46
2007-05-11,57,59.66
2007-05-18,57,60.97
2007-05-25,57,60.15
2007-06-01,52,61.34
2007-06-08,57,59.2
2007-06-15,57,59.6
2007-06-22,52,58.46
2007-06-29,53,58.42
2007-07-06,50,57.97
2007-07-13,56,59.19
2007-07-20,53,58.47
2007-07-27,54,55.58
2007-08-03,52,55.57
2007-08-10,52,55.34
2007-08-17,52,55.79
2007-08-24,51,57.31
2007-08-31,54,55.88
2007-09-07,54,57.99
2007-09-14,56,57.67
2007-09-21,54,58.49
2007-09-28,55,58.01
2007-10-05,54,57.52
2007-10-12,54,58.47
2007-10-19,54,56.75
2007-10-26,56,57.72
2007-11-02,55,56.91
2007-11-09,58,56.96
2007-11-16,57,57.43
2007-11-23,55,57.1
2007-11-30,60,60.15
2007-12-07,59,60.52
2007-12-14,53,59
2007-12-21,46,58.06
2007-12-28,33,57.51
2008-01-04,44,55.7
2008-01-11,55,56.15
2008-01-18,53,54.09
2008-01-25,52,52.94
2008-02-01,54,55.79
2008-02-08,55,53.84
2008-02-15,53,56.39
2008-02-22,54,56.9
2008-02-29,54,55.99
2008-03-07,53,54.73
2008-03-14,53,57.2
2008-03-28,51,60.06
2008-04-04,52,60.55
2008-04-11,53,59.54
2008-04-18,53,62.39
2008-04-25,54,60.9
2008-05-02,50,61.67
2008-05-09,52,60.82
2008-05-16,51,62.18
2008-05-23,52,61.09
2008-05-30,48,63.2
2008-06-06,51,61.63
2008-06-13,51,62.71
2008-06-20,48,63.02
2008-06-27,49,59.87
2008-07-11,51,63.14
2008-07-18,49,63.48
2008-07-25,50,63.98
2008-08-01,49,64.35
2008-08-08,49,67.08
2008-08-15,47,67.7
2008-08-22,48,67.45
2008-08-29,47,66.18
2008-09-05,47,67.84
2008-09-12,50,69.1
2008-09-19,49,70.06
2008-09-26,49,69.61
2008-10-03,46,70.15
2008-10-10,49,58.11
2008-10-17,49,64.73
2008-10-24,49,64.24
2008-10-31,50,67.74
2008-11-07,49,65.94
2008-11-14,49,66.23
2008-11-21,49,64.7
2008-11-28,43,63.17
2008-12-05,47,63.87
2008-12-12,44,61.14
2008-12-19,43,59
2008-12-26,34,58.71
2009-01-02,36,60.36
2009-01-09,46,58.13
2009-01-16,47,60.58
2009-01-23,45,59.32
2009-01-30,47,59.15
2009-02-06,49,58.84
2009-02-13,48,56.84
2009-02-20,48,55.04
2009-02-27,51,52.48
2009-03-06,50,50.96
2009-03-13,49,52.6
2009-03-20,49,47.22
2009-03-27,49,50.85
2009-04-03,49,50.86
2009-04-17,48,49.89
2009-04-24,48,48.73
2009-05-01,47,50.48
2009-05-08,48,53.4
2009-05-15,48,52.61
2009-05-22,45,52.65
2009-05-29,44,51.18
2009-06-05,45,52.16
2009-06-12,44,54.92
2009-06-19,47,54.72
2009-06-26,43,55.28
2009-07-10,45,58.37
2009-07-17,45,58.81
2009-07-24,45,59.08
2009-07-31,47,58.91
2009-08-07,44,57.53
2009-08-14,43,57.75
2009-08-21,45,59.61
2009-08-28,46,58.97
2009-09-04,43,58.51
2009-09-11,43,60.58
2009-09-18,45,60.31
2009-09-25,44,63.29
2009-10-02,44,63.89
2009-10-09,46,64.45
2009-10-16,44,66
2009-10-23,45,64.95
2009-10-30,45,65.92
2009-11-06,44,66.37
2009-11-13,44,67.6
2009-11-20,47,67.94
2009-11-27,40,68.1
2009-12-04,43,68.93
2009-12-11,43,69.06
2009-12-18,40,68.95
2010-01-08,40,70.72
2010-01-15,42,71.33
2010-01-22,42,70.96
2010-01-29,45,71.31
2010-02-05,45,68.63
2010-02-12,42,69.49
2010-02-19,43,72.36
2010-02-26,43,72.01
2010-03-05,43,72.69
2010-03-12,45,72.37
2010-03-19,43,73.34
2010-03-26,44,70.48
2010-04-09,41,70.82
2010-04-16,44,70.2
2010-04-23,44,70.63
2010-04-30,43,71.16
2010-05-07,43,69.67
2010-05-14,43,72.74
2010-05-21,42,71.72
2010-05-28,39,71.23
2010-06-04,39,73.3
2010-06-11,41,37.66
2010-06-18,41,38.54
2010-06-25,40,37.34
2010-07-02,40,35.42
2010-07-09,37,36.15
2010-07-16,38,35.54
2010-07-23,39,35.52
2010-07-30,38,34.2
2010-08-06,38,33.57
2010-08-13,38,34.86
2010-08-20,39,35.14
2010-08-27,38,36
2010-09-03,39,36.06
2010-09-10,38,37.19
2010-09-17,40,36.17
2010-09-24,39,37.24
2010-10-01,41,36.95
2010-10-08,41,36.98
2010-10-15,41,37.28
2010-10-22,40,37.3
2010-10-29,40,37.56
2010-11-05,40,36.53
2010-11-12,39,36.34
2010-11-19,42,35.11
2010-11-26,34,35.11
2010-12-03,39,35.61
2010-12-10,39,35.7
2010-12-17,36,36.38
2010-12-31,27,35.59
2011-01-07,36,35.62
2011-01-14,38,35.8
2011-01-21,39,36.48
2011-01-28,39,34.94
2011-02-04,39,35.55
2011-02-11,40,35.91
2011-02-18,39,36.1
2011-02-25,38,37.14
2011-03-04,44,36.76
2011-03-11,41,37.31
2011-03-18,46,36.65
2011-03-25,43,36.5
2011-04-01,42,36.39
2011-04-08,42,36.21
2011-04-15,46,37.35
2011-04-29,40,38.58
2011-05-06,40,38.67
2011-05-13,42,39.72
2011-05-20,43,39.72
2011-05-27,45,39.29
2011-06-03,41,37.94
2011-06-10,47,37.56
2011-06-17,42,37.95
2011-06-24,41,36.85
2011-07-01,41,37.35
2011-07-08,39,36.81
2011-07-15,39,37.75
2011-07-22,39,37.82
2011-07-29,39,37.35
2011-08-05,37,36.48
2011-08-12,37,36.17
2011-08-19,36,35.81
2011-08-26,36,36.68
2011-09-02,36,37.41
2011-09-09,36,37.52
2011-09-16,40,37.7
2011-09-23,39,38.87
2011-09-30,40,38.49
2011-10-07,39,38.75
2011-10-14,39,39.66
2011-10-21,41,39.79
2011-10-28,39,39.13
2011-11-04,40,38.67
2011-11-11,41,39.56
2011-11-18,43,38.55
2011-11-25,38,38.23
2011-12-02,40,39.96
2011-12-09,39,40.42
2011-12-16,38,39.72
2011-12-23,33,40.57
2011-12-30,28,40.41
2012-01-06,34,40.07
2012-01-13,38,40.64
2012-01-20,38,40.67
