"Date","TSN","Price"
2004-02-06,19,17.03
2004-02-13,17,16.38
2004-02-20,18,15.86
2004-02-27,25,15.88
2004-03-05,31,16.99
2004-03-12,49,17.19
2004-03-19,24,17.99
2004-03-26,22,18.07
2004-04-02,23,18.16
2004-04-16,27,18.86
2004-04-23,34,19.1
2004-04-30,26,18.74
2004-05-07,31,19.67
2004-05-14,20,19.58
2004-05-21,19,19.03
2004-05-28,18,20.52
2004-06-04,19,20.35
2004-06-18,46,19.82
2004-06-25,44,20.65
2004-07-02,29,20.99
2004-07-09,25,20.86
2004-07-16,18,20.64
2004-07-23,17,19.95
2004-07-30,19,19.06
2004-08-06,18,18.4
2004-08-13,18,18.59
2004-08-20,25,19.32
2004-08-27,28,17.77
2004-09-03,21,16.76
2004-09-10,23,16.78
2004-09-17,24,16.64
2004-09-24,15,16.05
2004-10-01,17,16.45
2004-10-08,16,15.9
2004-10-15,15,15.23
2004-10-22,19,14.61
2004-10-29,13,14.5
2004-11-05,16,15.59
2004-11-12,13,16.88
2004-11-19,16,16.25
2004-11-26,16,16.68
2004-12-03,13,17.03
2004-12-10,17,16.78
2004-12-17,21,17.4
2004-12-31,31,18.4
2005-01-07,32,17.67
2005-01-14,15,17.44
2005-01-21,20,17.54
2005-01-28,19,17.75
2005-02-04,20,17.07
2005-02-11,18,16.67
2005-02-18,39,17.04
2005-02-25,22,17.33
2005-03-04,17,17.27
2005-03-11,21,17.47
2005-03-18,18,17.08
2005-04-01,17,16.53
2005-04-08,24,16.77
2005-04-15,17,16.77
2005-04-22,16,16.05
2005-04-29,23,16.89
2005-05-06,29,18.16
2005-05-13,30,18.59
2005-05-20,18,19.08
2005-05-27,20,18.83
2005-06-03,19,18.5
2005-06-10,16,18.37
2005-06-17,19,18.65
2005-06-24,20,18
2005-07-01,20,17.8
2005-07-08,20,18.26
2005-07-15,24,19.47
2005-07-22,29,18.9
2005-07-29,31,18.64
2005-08-05,53,17.86
2005-08-12,39,17.61
2005-08-19,33,17.64
2005-08-26,26,17.6
2005-09-02,27,17.89
2005-09-09,29,18.03
2005-09-16,26,18
2005-09-23,29,17.68
2005-09-30,30,18.05
2005-10-07,47,18.1
2005-10-14,40,17.88
2005-10-21,29,17.72
2005-10-28,31,17.5
2005-11-04,28,18.52
