"Date","BHI","Price"
2004-02-06,22,34.83
2004-02-13,16,36.2
2004-02-20,19,36
2004-02-27,17,37.62
2004-03-05,13,37.29
2004-03-12,18,35.41
2004-03-19,14,36.39
2004-03-26,9,35.15
2004-04-02,19,35.75
2004-04-16,11,36.72
2004-04-23,13,36.75
2004-04-30,12,36.68
2004-05-07,13,35.9
2004-05-14,14,35.34
2004-05-21,14,33.84
2004-05-28,21,34.03
2004-06-04,12,33.79
2004-06-18,15,36.66
2004-06-25,15,37.15
2004-07-02,16,37.73
2004-07-09,14,38.64
2004-07-16,16,40.16
2004-07-23,15,39.29
2004-07-30,14,40.3
2004-08-06,20,38.39
2004-08-13,15,38.95
2004-08-20,10,39.35
2004-08-27,12,39.58
2004-09-03,12,41.28
2004-09-10,16,41.09
2004-09-17,15,42.34
2004-09-24,16,43.17
2004-10-01,15,44.57
2004-10-08,19,44.76
2004-10-15,14,42.91
2004-10-22,15,43.39
2004-10-29,13,42.83
2004-11-05,11,42.2
2004-11-12,9,42.16
2004-11-19,15,43.61
2004-11-26,13,44.77
2004-12-03,14,41.94
2004-12-10,12,41.49
2004-12-17,15,42.78
2004-12-31,19,42.67
2005-01-07,18,41.35
2005-01-14,16,42.27
2005-01-21,15,42.4
2005-01-28,17,42.56
2005-02-04,12,44.2
2005-02-11,14,46.98
2005-02-18,14,46.74
2005-02-25,15,47.7
2005-03-04,14,47.26
2005-03-11,16,44.46
2005-03-18,13,43.68
2005-04-01,15,45.55
2005-04-08,14,44.66
2005-04-15,19,43.06
2005-04-22,14,46
2005-04-29,16,44.12
2005-05-06,17,45.11
2005-05-13,13,42.51
2005-05-20,18,43.97
2005-05-27,17,46.2
2005-06-03,17,47.02
2005-06-10,15,48.56
2005-06-17,17,51.55
2005-06-24,17,50.4
2005-07-01,16,51.57
2005-07-08,13,52.39
2005-07-15,18,51.67
2005-07-22,14,55.05
2005-07-29,14,56.54
2005-08-05,20,57.38
2005-08-12,20,58.55
2005-08-19,17,55.94
2005-08-26,24,55.54
2005-09-02,19,57.93
2005-09-09,21,59.31
2005-09-16,21,58.8
2005-09-23,35,59.17
2005-09-30,27,59.68
2005-10-07,23,55
2005-10-14,15,53.97
2005-10-21,18,51.9
2005-10-28,20,55.1
2005-11-04,20,56.93
2005-11-11,21,52.83
2005-11-18,17,55.67
2005-11-25,19,58.51
2005-12-02,17,59.41
2005-12-09,18,61.97
2005-12-16,17,61.27
2005-12-23,15,62.4
2005-12-30,19,60.78
2006-01-06,23,67.03
2006-01-13,20,68.4
2006-01-20,18,73.91
2006-01-27,22,74.43
2006-02-03,19,73.93
2006-02-10,17,70.07
2006-02-17,17,68.53
2006-02-24,19,69.46
2006-03-03,19,70.12
2006-03-10,19,65.07
2006-03-17,22,67.08
2006-03-24,22,66.84
2006-03-31,19,68.4
2006-04-07,22,69.5
2006-04-21,21,77.95
2006-04-28,22,80.83
2006-05-05,23,87.14
2006-05-12,23,81.84
2006-05-19,21,78.85
2006-05-26,24,84.42
2006-06-02,23,88.6
2006-06-09,26,81.62
2006-06-16,22,79.94
2006-06-23,20,76.28
2006-06-30,21,81.85
2006-07-07,23,78.75
2006-07-14,21,83.65
2006-07-21,28,75.75
2006-07-28,26,77.9
2006-08-04,24,77.82
2006-08-11,17,75.47
2006-08-18,23,75.69
2006-08-25,19,75.23
2006-09-01,19,71.98
2006-09-08,21,67.58
2006-09-15,17,62.38
2006-09-22,19,63.08
2006-09-29,18,68.2
2006-10-06,18,69.23
2006-10-13,19,69.77
2006-10-20,20,71.28
2006-10-27,17,70.59
