"Date","RDC","Price"
2004-02-06,33,22.76
2004-02-13,32,23.7
2004-02-20,34,23.51
2004-02-27,29,23.5
2004-03-05,33,23.5
2004-03-12,40,23.15
2004-03-19,36,23.09
2004-03-26,26,21.2
2004-04-02,38,20.72
2004-04-16,32,22.36
2004-04-23,34,22.09
2004-04-30,24,22.3
2004-05-07,39,21.24
2004-05-14,27,21.66
2004-05-21,33,20.62
2004-05-28,34,21.98
2004-06-04,29,21.84
2004-06-18,31,24.08
2004-06-25,39,24.38
2004-07-02,30,24.95
2004-07-09,42,24.89
2004-07-16,41,25.5
2004-07-23,33,24.15
2004-07-30,36,24.42
2004-08-06,40,22.38
2004-08-13,31,22.2
2004-08-20,34,23.15
2004-08-27,41,23.88
2004-09-03,44,24.81
2004-09-10,35,24.71
2004-09-17,35,25.14
2004-09-24,37,26.36
2004-10-01,32,26.69
2004-10-08,31,26.37
2004-10-15,33,25.96
2004-10-22,36,26.67
2004-10-29,36,25.53
2004-11-05,39,24.7
2004-11-12,20,24.67
2004-11-19,36,25.54
2004-11-26,36,26.25
2004-12-03,36,24.57
2004-12-10,35,24.28
2004-12-17,37,25.56
2004-12-31,28,25.9
2005-01-07,33,24.93
2005-01-14,37,26.64
2005-01-21,37,27.95
2005-01-28,37,27.7
2005-02-04,36,29.87
2005-02-11,42,30.5
2005-02-18,35,31.41
2005-02-25,42,32
2005-03-04,36,32.92
2005-03-11,39,30.09
2005-03-18,39,29.87
2005-04-01,36,30.66
2005-04-08,35,29.83
2005-04-15,37,26.92
2005-04-22,34,28.7
2005-04-29,37,26.53
2005-05-06,33,27.32
2005-05-13,39,25.04
2005-05-20,41,25.93
2005-05-27,38,27.43
2005-06-03,31,28.31
2005-06-10,34,29.01
2005-06-17,46,30.84
2005-06-24,33,29.62
2005-07-01,36,30.31
2005-07-08,32,31.19
2005-07-15,41,29.67
2005-07-22,34,32.07
2005-07-29,41,34.16
2005-08-05,37,34.2
2005-08-12,41,36.05
