"Date","BXP","Price"
2004-02-13,77,51.31
2004-04-30,76,47
2004-05-07,59,44.6
2004-05-14,70,44.65
2004-05-21,80,46.17
2004-05-28,53,49.36
2004-06-04,53,49.12
2004-06-18,54,49.59
2004-06-25,54,50.4
2004-07-02,54,51.33
2004-07-09,66,51.05
2004-07-16,77,52.2
2004-07-23,77,51.58
2004-07-30,77,52.9
2004-08-06,77,53.75
2004-08-13,58,52.85
2004-08-20,58,55.05
2004-08-27,55,54.71
2004-09-03,55,55.68
2004-09-10,55,54.65
2004-09-17,51,55.2
2004-09-24,51,54.75
2004-10-01,51,56.25
2004-10-08,51,56.96
2004-10-15,52,58.35
2004-10-22,53,59
2004-10-29,53,59.72
2004-11-05,53,58.1
2004-11-12,55,61.35
2004-11-19,56,59.4
2004-11-26,58,60.06
2004-12-03,54,62.75
2004-12-10,51,62.94
2004-12-17,65,63.3
2004-12-31,71,64.67
2005-01-07,71,61.09
2005-01-14,86,59.88
2005-01-21,58,60.46
2005-01-28,45,57.99
2005-02-04,45,59.62
2005-02-11,45,60.4
2005-02-18,45,61.07
2005-02-25,55,60.12
2005-03-04,49,61.85
2005-03-11,43,60.51
2005-03-18,49,61.55
2005-04-01,78,59.65
2005-04-08,59,60.75
2005-04-15,56,62.33
2005-04-22,43,63.29
2005-04-29,70,66.47
2005-05-06,47,66.81
2005-05-13,64,65.77
2005-05-20,100,68.03
2005-05-27,71,65.7
2005-06-03,67,67
2005-06-10,71,67.75
2005-06-17,38,69.9
2005-06-24,68,69.32
2005-07-01,67,70.99
2005-07-08,60,73.05
2005-07-15,67,72.7
2005-07-22,49,73.41
2005-07-29,52,76.15
2005-08-05,64,73.28
2005-08-12,75,70.79
2005-08-19,62,70.27
2005-08-26,66,70.03
2005-09-02,65,71.49
2005-09-09,41,72.26
2005-09-16,72,73.2
2005-09-23,49,71.6
2005-09-30,58,70.9
2005-10-07,65,67.58
2005-10-14,53,66.84
2005-10-21,77,67
2005-10-28,54,67.88
2005-11-04,69,67
2005-11-11,69,72.85
2005-11-18,44,73.95
2005-11-25,68,74.66
2005-12-02,66,75.66
2005-12-09,51,74.77
2005-12-16,35,75.68
2005-12-23,59,74.8
2005-12-30,74,74.13
2006-01-06,65,78.35
2006-01-13,51,76.91
2006-01-20,52,76.29
2006-01-27,52,78.21
2006-02-03,42,78.22
2006-02-10,45,78.36
2006-02-17,59,83.96
2006-02-24,79,85.43
2006-03-03,42,85.66
2006-03-10,55,89.83
2006-03-17,41,96.02
2006-03-24,40,92.33
2006-03-31,44,93.25
2006-04-07,48,88.41
2006-04-21,40,89.52
2006-04-28,32,88.27
2006-05-05,33,87.6
2006-05-12,38,87.02
2006-05-19,51,86.04
2006-05-26,45,86.79
2006-06-02,41,87.97
2006-06-09,43,87.98
2006-06-16,50,88.06
2006-06-23,50,87.53
2006-06-30,70,90.4
2006-07-07,52,92
2006-07-14,43,91.66
2006-07-21,28,93.01
2006-07-28,43,97.91
2006-08-04,42,100.5
2006-08-11,29,95.1
2006-08-18,31,97.61
2006-08-25,30,99.74
2006-09-01,47,100.9
2006-09-08,33,100.67
2006-09-15,34,104.25
2006-09-22,35,104.06
2006-09-29,29,103.34
2006-10-06,25,104.23
2006-10-13,25,106.15
2006-10-20,37,104.52
2006-10-27,28,104.36
2006-11-03,39,103.35
2006-11-10,27,105.83
2006-11-17,23,108.62
2006-11-24,34,117.95
2006-12-01,46,116.85
2006-12-08,28,117.24
2006-12-15,35,115.17
2006-12-22,41,111.87
2006-12-29,38,111.88
2007-01-05,43,109.72
2007-01-12,39,115.87
2007-01-19,30,119.93
2007-01-26,39,122.68
2007-02-02,23,126.88
2007-02-09,22,127.04
2007-02-16,27,125.88
2007-02-23,22,122.65
2007-03-02,34,117.03
2007-03-09,34,119.7
2007-03-16,37,116.67
2007-03-23,22,119.14
2007-03-30,33,117.4
2007-04-13,23,116.32
2007-04-20,25,116.35
2007-04-27,29,118.92
2007-05-04,33,115.64
2007-05-11,26,117.11
2007-05-18,31,107.3
2007-05-25,33,107.73
2007-06-01,25,116.7
2007-06-08,23,111.26
2007-06-15,18,109.44
2007-06-22,26,101.59
2007-06-29,26,102.13
2007-07-06,32,106.02
2007-07-13,36,106.2
2007-07-20,29,103.42
2007-07-27,33,92.82
2007-08-03,27,95.32
2007-08-10,23,101.26
2007-08-17,33,97.61
2007-08-24,22,98.06
2007-08-31,21,100.07
2007-09-07,19,96.76
2007-09-14,33,97.28
2007-09-21,23,103.81
2007-09-28,26,103.9
2007-10-05,22,113.6
2007-10-12,20,109.22
2007-10-19,14,100.04
2007-10-26,18,107.19
2007-11-02,21,103.08
2007-11-09,22,100.2
2007-11-16,18,96.19
2007-11-23,21,93.25
2007-11-30,14,98.42
2007-12-07,28,102.39
2007-12-14,18,92.72
2007-12-21,23,100.05
2007-12-28,17,91.28
2008-01-04,33,86.12
2008-01-11,21,89.3
2008-01-18,18,85.18
2008-01-25,20,89.66
2008-02-01,28,96.09
2008-02-08,15,87.23
2008-02-15,22,86.63
2008-02-22,22,88.06
2008-02-29,23,86.17
2008-03-07,26,88.2
2008-03-14,14,87.23
2008-03-28,21,92.12
2008-04-04,28,97.53
2008-04-11,39,94.61
2008-04-18,22,98.01
2008-04-25,28,103.28
2008-05-02,31,103.01
2008-05-09,26,97.76
2008-05-16,33,100.25
2008-05-23,18,96.11
2008-05-30,15,97.74
2008-06-06,16,96.05
2008-06-13,13,97.42
2008-06-20,21,95.7
2008-06-27,20,90.07
2008-07-11,24,90.94
2008-07-18,13,96.58
2008-07-25,20,94.87
2008-08-01,32,96.23
2008-08-08,22,102.37
2008-08-15,23,99.44
2008-08-22,14,101.61
2008-08-29,15,102.47
2008-09-05,25,101.05
2008-09-12,24,103.15
2008-09-19,20,95.29
2008-09-26,19,94.71
2008-10-03,25,81.19
2008-10-10,25,76.18
2008-10-17,26,68.56
2008-10-24,26,61.24
2008-10-31,26,70.88
2008-11-07,18,64.2
2008-11-14,21,52.4
2008-11-21,22,43.65
2008-11-28,30,53.4
2008-12-05,32,55.67
2008-12-12,33,56
2008-12-19,19,56.79
2008-12-26,20,53.83
2009-01-02,23,55.13
2009-01-09,18,52.31
2009-01-16,24,48.05
2009-01-23,19,43.38
2009-01-30,18,43.3
2009-02-06,21,46.93
2009-02-13,22,41.22
2009-02-20,18,38.88
2009-02-27,26,37.09
2009-03-06,16,31.73
2009-03-13,28,37.64
2009-03-20,24,34.9
2009-03-27,25,34.54
2009-04-03,30,41.69
2009-04-17,24,47.17
2009-04-24,16,49.84
2009-05-01,24,46.53
2009-05-08,15,52.42
2009-05-15,29,44.97
2009-05-22,15,45.38
2009-05-29,19,48.32
2009-06-05,18,50.32
2009-06-12,26,50.93
2009-06-19,20,47.32
2009-06-26,17,46.91
2009-07-10,24,43.62
2009-07-17,22,47.71
2009-07-24,23,53.23
2009-07-31,19,52.9
2009-08-07,17,62.22
2009-08-14,21,58.53
2009-08-21,17,59.4
2009-08-28,19,61.12
2009-09-04,19,58.15
2009-09-11,27,63.34
2009-09-18,27,70.55
2009-09-25,22,65.6
2009-10-02,14,61.6
2009-10-09,17,65.67
2009-10-16,15,63.14
2009-10-23,21,62.66
2009-10-30,14,60.77
2009-11-06,16,60.06
2009-11-13,18,65.71
2009-11-20,12,65.5
2009-11-27,23,63.79
2009-12-04,21,69.98
2009-12-11,26,67.8
2009-12-18,20,68.02
2010-01-08,11,67.85
2010-01-15,20,68.09
2010-01-22,15,64.28
2010-01-29,13,64.87
2010-02-05,20,64.53
2010-02-12,15,63.4
2010-02-19,20,66.57
2010-02-26,13,67.93
2010-03-05,15,71.14
2010-03-12,11,74
2010-03-19,22,75.89
2010-03-26,16,76.19
2010-04-09,13,78.35
2010-04-16,9,75.59
2010-04-23,17,80.11
2010-04-30,15,78.86
2010-05-07,14,76.09
2010-05-14,17,78.2
2010-05-21,12,75.5
2010-05-28,14,76.68
2010-06-04,13,71.81
2010-06-11,13,79.02
2010-06-18,14,80.09
2010-06-25,9,76.74
2010-07-02,8,69.7
2010-07-09,6,75.23
2010-07-16,14,74.71
2010-07-23,11,79.97
2010-07-30,13,81.9
2010-08-06,14,84.73
2010-08-13,10,81.02
2010-08-20,13,81.23
2010-08-27,15,81.72
2010-09-03,12,87.85
2010-09-10,10,85.2
2010-09-17,12,87.1
2010-09-24,12,85.78
2010-10-01,12,83.64
2010-10-08,9,84.86
2010-10-15,14,86.96
2010-10-22,15,90.5
2010-10-29,14,86.19
2010-11-05,11,90.15
2010-11-12,10,84.7
2010-11-19,11,84.12
2010-11-26,17,84.33
2010-12-03,12,86.19
2010-12-10,17,83.37
2010-12-17,13,83.12
2010-12-31,13,86.1
2011-01-07,11,84.93
2011-01-14,10,89.47
2011-01-21,12,90.29
2011-01-28,14,92.71
2011-02-04,10,93.34
2011-02-11,9,95.9
2011-02-18,14,94.99
2011-02-25,13,93.73
2011-03-04,14,92.73
2011-03-11,8,93.23
2011-03-18,13,91.52
2011-03-25,12,92.89
2011-04-01,10,96.54
2011-04-08,11,93.91
2011-04-15,10,97.14
2011-04-29,16,104.53
2011-05-06,10,103.33
2011-05-13,9,103.01
2011-05-20,6,104.51
2011-05-27,13,106.33
2011-06-03,8,104.47
2011-06-10,13,101.19
2011-06-17,11,103.93
2011-06-24,10,102.61
2011-07-01,12,107.83
2011-07-08,10,110.75
2011-07-15,13,109.46
2011-07-22,11,112.27
2011-07-29,10,107.36
2011-08-05,15,96.91
2011-08-12,11,100.17
