"Date","STT","Price"
2004-02-06,45,53.36
2004-02-13,39,54.33
2004-02-20,29,54.27
2004-02-27,29,53.73
2004-03-05,48,54.29
2004-03-12,43,50.92
2004-03-19,55,52.28
2004-03-26,40,52.38
2004-04-02,38,52.56
2004-04-16,30,49.76
2004-04-23,36,50.19
2004-04-30,33,48.8
2004-05-07,42,47.6
2004-05-14,45,46.65
2004-05-21,48,47.81
2004-05-28,57,48.42
2004-06-04,52,48.21
2004-06-18,100,48.59
2004-06-25,41,49.6
2004-07-02,83,49.65
2004-07-09,46,48.85
2004-07-16,22,43.62
2004-07-23,10,42.34
2004-07-30,21,42.81
2004-08-06,18,42.46
2004-08-13,16,42.84
2004-08-20,21,45.29
2004-08-27,23,45.34
2004-09-03,38,45.39
2004-09-10,40,45.42
2004-09-17,39,44.74
2004-09-24,41,42.33
2004-10-01,37,43.15
2004-10-08,36,43.43
2004-10-15,34,42.06
2004-10-22,34,43.07
2004-10-29,18,45.05
2004-11-05,31,46.05
2004-11-12,23,45.76
2004-11-19,29,44.56
2004-11-26,38,44.87
2004-12-03,23,44.97
2004-12-10,37,45.3
2004-12-17,38,48.2
2004-12-31,35,49.12
2005-01-07,42,48.57
2005-01-14,37,46.68
2005-01-21,41,45
2005-01-28,42,43.78
2005-02-04,40,45.27
2005-02-11,38,45.69
2005-02-18,33,43.49
2005-02-25,33,43.4
2005-03-04,43,45.03
2005-03-11,37,44.53
2005-03-18,41,45.08
2005-04-01,36,43.35
2005-04-08,40,42.7
2005-04-15,35,40.68
2005-04-22,33,45.6
2005-04-29,36,46.23
2005-05-06,32,46.41
2005-05-13,52,46.08
2005-05-20,43,47.7
2005-05-27,44,48.05
2005-06-03,56,49.96
2005-06-10,84,49.9
2005-06-17,86,49.15
2005-06-24,69,48.32
2005-07-01,40,48.56
2005-07-08,84,48.88
2005-07-15,22,50.86
2005-07-22,19,49.67
2005-07-29,16,49.74
2005-08-05,18,48.35
2005-08-12,27,48.1
2005-08-19,18,48.17
2005-08-26,22,47.81
2005-09-02,29,49.04
2005-09-09,33,49.48
2005-09-16,30,50.34
2005-09-23,29,48.91
2005-09-30,27,48.92
2005-10-07,25,50.24
2005-10-14,26,49.92
2005-10-21,29,54.43
2005-10-28,22,55.08
2005-11-04,23,55.72
2005-11-11,29,57.74
2005-11-18,22,58.27
2005-11-25,27,57.9
2005-12-02,22,58.02
2005-12-09,26,59.29
2005-12-16,22,58.38
2005-12-23,14,57.43
2005-12-30,22,55.44
2006-01-06,28,57.98
2006-01-13,33,57.49
2006-01-20,29,57.87
2006-01-27,33,59.85
2006-02-03,31,59.97
2006-02-10,26,60.12
2006-02-17,21,61.56
2006-02-24,29,62.61
2006-03-03,32,62.25
2006-03-10,37,61.45
2006-03-17,33,62.77
2006-03-24,30,61.33
2006-03-31,30,60.43
2006-04-07,30,60.33
2006-04-21,26,64.44
2006-04-28,24,65.32
2006-05-05,33,65.69
2006-05-12,40,63.45
2006-05-19,39,61.88
2006-05-26,34,62.98
2006-06-02,41,63.35
2006-06-09,48,60.32
2006-06-16,97,58.88
2006-06-23,58,57.5
2006-06-30,30,58.09
2006-07-07,70,56.29
2006-07-14,19,54.9
2006-07-21,15,56.81
2006-07-28,14,60.27
2006-08-04,15,61.9
2006-08-11,16,60.9
2006-08-18,17,63
2006-08-25,14,60.55
2006-09-01,16,61.74
2006-09-08,18,62
2006-09-15,16,63.67
2006-09-22,17,61.97
2006-09-29,19,62.4
2006-10-06,14,63.82
2006-10-13,19,63.87
2006-10-20,16,62.8
2006-10-27,20,63.01
2006-11-03,15,63.37
2006-11-10,16,63.57
2006-11-17,20,63.87
2006-11-24,19,63.71
2006-12-01,15,61.5
2006-12-08,18,65.01
2006-12-15,17,67.19
2006-12-22,17,67.2
2006-12-29,15,67.44
2007-01-05,17,68.4
2007-01-12,18,71.15
2007-01-19,15,71.54
2007-01-26,16,70.07
2007-02-02,22,71.75
2007-02-09,20,68.35
2007-02-16,17,70.17
2007-02-23,20,69.22
2007-03-02,20,65.08
2007-03-09,19,65.32
2007-03-16,19,63.26
2007-03-23,19,66.04
2007-03-30,19,64.75
2007-04-13,20,66.59
2007-04-20,17,69.51
2007-04-27,17,69.5
2007-05-04,16,69.8
2007-05-11,15,68.43
2007-05-18,19,68.38
2007-05-25,16,67.57
2007-06-01,18,68.05
2007-06-08,20,67.68
2007-06-15,20,69.84
2007-06-22,17,68.32
2007-06-29,18,68.4
2007-07-06,20,69.85
2007-07-13,15,70.02
2007-07-20,16,70
2007-07-27,16,66.71
2007-08-03,17,66.27
2007-08-10,15,68.03
2007-08-17,17,64
2007-08-24,15,64.3
2007-08-31,16,61.36
2007-09-07,13,60.94
2007-09-14,14,64.85
2007-09-21,15,66.92
2007-09-28,15,68.16
2007-10-05,15,67.37
2007-10-12,14,69.98
2007-10-19,14,74.13
2007-10-26,15,78.9
2007-11-02,13,74.42
2007-11-09,27,74.08
2007-11-16,15,75.45
2007-11-23,15,77.76
2007-11-30,16,79.89
2007-12-07,13,79.68
2007-12-14,14,77.65
2007-12-21,15,80.45
2007-12-28,12,80.69
2008-01-04,14,81.82
2008-01-11,15,82.8
2008-01-18,18,74.08
2008-01-25,17,78.52
2008-02-01,18,83.97
2008-02-08,18,82.54
2008-02-15,16,83.92
2008-02-22,16,81.68
2008-02-29,18,78.55
2008-03-07,18,76.24
2008-03-14,16,76.12
2008-03-28,16,78.63
2008-04-04,17,83.65
2008-04-11,21,79.33
2008-04-18,17,68.54
2008-04-25,15,71.94
2008-05-02,13,75.49
2008-05-09,15,72.22
2008-05-16,16,72.74
2008-05-23,16,69.78
2008-05-30,14,72.02
2008-06-06,17,68.02
2008-06-13,17,69.86
2008-06-20,19,67.74
2008-06-27,16,64.01
2008-07-11,15,59.56
2008-07-18,18,69.82
2008-07-25,15,70.57
2008-08-01,18,71.42
2008-08-08,14,71.64
2008-08-15,14,69.25
2008-08-22,13,66.95
2008-08-29,13,67.67
2008-09-05,14,67.87
2008-09-12,15,71.7
2008-09-19,20,60.45
2008-09-26,23,60.5
2008-10-03,14,46.96
2008-10-10,17,43.2
2008-10-17,17,40.76
2008-10-24,16,37.61
2008-10-31,14,43.35
2008-11-07,14,42.97
2008-11-14,13,38.89
2008-11-21,16,31.78
2008-11-28,15,42.11
2008-12-05,13,40.28
2008-12-12,17,37.24
2008-12-19,15,40.35
2008-12-26,12,35.84
2009-01-02,11,41.1
2009-01-09,16,41.56
2009-01-16,14,36.35
2009-01-23,26,19.4
2009-01-30,18,23.27
2009-02-06,20,30.49
2009-02-13,17,27
2009-02-20,17,22.72
2009-02-27,17,25.27
2009-03-06,17,17.98
2009-03-13,16,22.66
2009-03-20,16,24.69
2009-03-27,17,30.61
2009-04-03,17,33.18
2009-04-17,16,34.11
2009-04-24,16,37.18
2009-05-01,16,34.33
2009-05-08,16,43.75
2009-05-15,16,38.51
2009-05-22,18,42.87
2009-05-29,15,46.45
2009-06-05,16,47.27
2009-06-12,17,47.56
2009-06-19,17,47.96
2009-06-26,16,48.33
2009-07-10,15,43.66
2009-07-17,17,48.11
2009-07-24,15,48.83
2009-07-31,15,50.3
2009-08-07,15,53.86
2009-08-14,15,51
2009-08-21,14,53.52
2009-08-28,14,52.98
2009-09-04,13,51.72
2009-09-11,14,52.73
2009-09-18,14,54.39
2009-09-25,13,51.42
2009-10-02,15,50.91
2009-10-09,14,55.17
2009-10-16,14,52.92
2009-10-23,15,45.7
2009-10-30,14,41.98
2009-11-06,15,41.45
2009-11-13,13,40.45
2009-11-20,14,40.8
