"Date","XL","Price"
2004-02-06,30,81.4
2004-02-13,30,77.3
2004-02-20,30,75.1
2004-02-27,31,76.66
2004-03-05,31,77.75
2004-03-12,32,74.96
2004-03-19,29,75.41
2004-03-26,29,74.8
2004-04-02,30,76.26
2004-04-16,28,79.21
2004-04-23,30,78.47
2004-04-30,28,76.35
2004-05-07,31,74.67
2004-05-14,29,74.67
2004-05-21,29,74.2
2004-05-28,29,74.65
2004-06-04,28,74.4
2004-06-18,29,77.03
2004-06-25,31,75.79
2004-07-02,29,75.14
2004-07-09,31,75.66
2004-07-16,29,73.43
2004-07-23,29,69.01
2004-07-30,31,70.68
2004-08-06,31,69
2004-08-13,29,69.52
2004-08-20,30,71.42
2004-08-27,31,69.95
2004-09-03,29,73.1
2004-09-10,30,71.82
2004-09-17,28,73.16
2004-09-24,29,74.01
2004-10-01,28,74.4
2004-10-08,29,73.63
2004-10-15,30,69.5
2004-10-22,28,68
2004-10-29,28,72.5
2004-11-05,28,72.65
2004-11-12,27,74.25
2004-11-19,34,73.97
2004-11-26,29,75.07
2004-12-03,29,77.14
2004-12-10,30,78.19
2004-12-17,33,79.2
2004-12-31,33,77.65
2005-01-07,29,76.09
2005-01-14,29,77.06
2005-01-21,28,75.2
2005-01-28,31,73.72
2005-02-04,30,77.05
2005-02-11,33,75.46
2005-02-18,30,76.75
2005-02-25,29,75.03
2005-03-04,30,75.67
2005-03-11,34,72.85
2005-03-18,30,72.86
2005-04-01,28,71.65
2005-04-08,29,68.61
2005-04-15,30,68.1
2005-04-22,30,68.2
2005-04-29,30,70.3
2005-05-06,31,73.86
2005-05-13,29,72.85
2005-05-20,30,73.65
2005-05-27,29,74.69
2005-06-03,29,75
2005-06-10,30,74.69
2005-06-17,28,75.18
2005-06-24,29,72.56
2005-07-01,31,74.41
2005-07-08,29,70.99
2005-07-15,29,71.75
2005-07-22,30,72.04
2005-07-29,30,71.82
2005-08-05,32,69.3
2005-08-12,29,70.07
2005-08-19,33,71.33
2005-08-26,31,71
2005-09-02,28,68.34
2005-09-09,27,68.34
2005-09-16,29,70.7
2005-09-23,31,69.22
2005-09-30,29,68.03
2005-10-07,29,66
2005-10-14,29,67.65
2005-10-21,30,66.98
2005-10-28,31,62.1
2005-11-04,30,69.39
2005-11-11,31,73.02
2005-11-18,33,73.1
2005-11-25,34,67.42
2005-12-02,34,68.69
2005-12-09,33,66.55
2005-12-16,35,66
2005-12-23,35,66.98
2005-12-30,36,67.38
2006-01-06,37,69.61
2006-01-13,36,71.13
2006-01-20,36,68.9
2006-01-27,54,69.31
2006-02-03,66,67.25
2006-02-10,100,66.13
2006-02-17,32,66.06
2006-02-24,33,67.44
2006-03-03,32,68.1
2006-03-10,30,66.6
2006-03-17,30,67.45
2006-03-24,31,65.39
2006-03-31,31,64.11
2006-04-07,30,63.75
2006-04-21,31,65.5
2006-04-28,30,65.89
2006-05-05,30,66.77
2006-05-12,30,65.51
2006-05-19,30,64.24
2006-05-26,31,64.03
2006-06-02,30,63.63
2006-06-09,31,63.82
2006-06-16,28,61.95
