"Date","MDT","Price"
2004-02-06,26,48
2004-02-13,28,47.34
2004-02-20,25,48.13
2004-02-27,22,46.9
2004-03-05,22,48.55
2004-03-12,19,50.63
2004-03-19,28,47.4
2004-03-26,24,47.4
2004-04-02,28,47.51
2004-04-16,26,51.14
2004-04-23,26,50.12
2004-04-30,29,50.46
2004-05-07,30,51.07
2004-05-14,25,50.05
2004-05-21,24,47.66
2004-05-28,29,47.9
2004-06-04,26,49.49
2004-06-18,21,49.12
2004-06-25,19,48.15
2004-07-02,25,49.62
2004-07-09,23,49.05
2004-07-16,22,50.09
2004-07-23,26,48.84
2004-07-30,22,49.67
2004-08-06,22,49.01
2004-08-13,25,49.1
2004-08-20,22,49.78
2004-08-27,27,50.12
2004-09-03,18,50.1
2004-09-10,30,49.73
2004-09-17,22,49.85
2004-09-24,21,50.87
2004-10-01,25,52.57
2004-10-08,27,51.3
2004-10-15,23,50.58
2004-10-22,30,49.95
2004-10-29,20,51.11
2004-11-05,28,52.54
2004-11-12,27,53.28
2004-11-19,26,48.2
2004-11-26,25,48.35
2004-12-03,28,48.75
2004-12-10,18,48.85
2004-12-17,24,48.65
2004-12-31,25,49.67
2005-01-07,28,50.2
2005-01-14,25,50.94
2005-01-21,24,51.99
2005-01-28,25,52.43
2005-02-04,32,53.34
2005-02-11,20,53.42
2005-02-18,33,53
2005-02-25,28,52.9
2005-03-04,26,53.47
2005-03-11,33,53.97
2005-03-18,25,53.36
2005-04-01,22,50.51
2005-04-08,29,52.4
2005-04-15,28,52.2
2005-04-22,26,50.54
2005-04-29,30,52.7
2005-05-06,29,52.13
2005-05-13,30,51.56
2005-05-20,35,52.85
2005-05-27,33,53.65
2005-06-03,25,53.3
2005-06-10,25,52.68
2005-06-17,29,53.23
2005-06-24,33,52.72
2005-07-01,25,51.87
2005-07-08,29,52.31
2005-07-15,34,52.41
2005-07-22,27,53.12
2005-07-29,30,53.94
2005-08-05,27,53.71
2005-08-12,23,54.9
2005-08-19,25,55.55
2005-08-26,26,56.68
2005-09-02,25,56.69
2005-09-09,24,57
2005-09-16,24,57
2005-09-23,27,55.81
2005-09-30,21,53.62
2005-10-07,29,53.52
2005-10-14,26,56.15
2005-10-21,25,55.77
2005-10-28,26,56.79
2005-11-04,24,56.14
2005-11-11,25,56.8
2005-11-18,23,56.25
2005-11-25,27,57.01
2005-12-02,30,55.78
2005-12-09,27,55.63
2005-12-16,26,57.75
2005-12-23,31,57.32
2005-12-30,32,57.57
2006-01-06,27,58.92
2006-01-13,29,58.34
2006-01-20,25,58.82
2006-01-27,22,57
2006-02-03,25,55.34
2006-02-10,24,55.79
2006-02-17,25,56.26
2006-02-24,27,54.07
2006-03-03,27,53.53
2006-03-10,29,53.92
2006-03-17,24,52.66
2006-03-24,25,53.23
2006-03-31,22,50.75
2006-04-07,29,50.95
2006-04-21,30,49.52
2006-04-28,27,50.12
2006-05-05,26,48.36
2006-05-12,25,48.72
2006-05-19,22,49.3
2006-05-26,24,50.26
2006-06-02,27,51.2
2006-06-09,23,50.88
2006-06-16,30,50.25
2006-06-23,27,48.48
2006-06-30,28,46.92
2006-07-07,23,47.59
2006-07-14,28,47.05
2006-07-21,25,47.81
2006-07-28,29,50.5
2006-08-04,30,43.62
2006-08-11,27,43.06
2006-08-18,25,45.53
2006-08-25,23,46.14
2006-09-01,24,46.91
2006-09-08,25,46.66
2006-09-15,23,46.2
2006-09-22,30,46.6
2006-09-29,27,46.44
2006-10-06,24,49.29
2006-10-13,28,48.62
2006-10-20,24,48.44
2006-10-27,29,48.67
2006-11-03,23,49.01
2006-11-10,26,48.96
2006-11-17,26,48.71
2006-11-24,25,53.45
2006-12-01,30,52.16
2006-12-08,25,53.43
2006-12-15,27,54.3
2006-12-22,24,53.22
2006-12-29,23,53.51
2007-01-05,22,53.36
2007-01-12,27,53.72
2007-01-19,25,53.77
2007-01-26,26,53.14
2007-02-02,26,53.7
2007-02-09,29,53.78
2007-02-16,24,54.13
2007-02-23,27,51.35
2007-03-02,24,49.15
2007-03-09,28,49.92
2007-03-16,29,48.87
2007-03-23,33,49.92
2007-03-30,31,49.06
2007-04-13,24,50.79
2007-04-20,28,52.34
2007-04-27,28,53.6
2007-05-04,23,53.69
2007-05-11,27,53.42
2007-05-18,26,51.25
2007-05-25,25,53.11
2007-06-01,27,53.37
2007-06-08,24,52.15
2007-06-15,22,52.41
2007-06-22,22,51.61
2007-06-29,28,51.86
2007-07-06,25,53.35
2007-07-13,22,52.74
2007-07-20,25,51.91
2007-07-27,27,50.81
2007-08-03,25,51.66
2007-08-10,24,53.06
2007-08-17,27,53.05
2007-08-24,27,53.94
2007-08-31,27,52.84
2007-09-07,22,53.84
