"Date","ZTS","Price"
2013-02-01,70,31.01
2013-02-08,47,33.05
2013-02-15,46,33.98
2013-02-22,42,32.59
2013-03-01,33,34.6
2013-03-08,33,34.09
2013-03-15,39,33.44
2013-03-22,99,33.12
2013-04-05,36,31.96
2013-04-12,41,33.23
2013-04-19,36,32.71
2013-04-26,35,32.64
2013-05-03,33,33.21
2013-05-10,39,33.18
2013-05-17,30,33.9
2013-05-24,40,33.46
2013-05-31,41,32
2013-06-07,56,31.5
2013-06-14,54,30.8
2013-06-21,47,30.6
2013-06-28,38,30.89
2013-07-05,35,30.17
2013-07-12,31,31.35
2013-07-19,31,30.24
2013-07-26,27,30.43
2013-08-02,33,30.94
2013-08-09,36,30.91
2013-08-16,33,30
2013-08-23,42,30.2
2013-08-30,35,29.15
2013-09-06,25,30.61
2013-09-13,37,31.05
2013-09-20,33,32.19
2013-09-27,27,31.15
2013-10-04,33,32.05
2013-10-11,32,32.4
2013-10-18,35,33.22
2013-10-25,32,32.47
2013-11-01,31,31.84
2013-11-08,32,31.59
2013-11-15,36,31.81
2013-11-22,29,31.36
2013-11-29,30,31.15
2013-12-06,35,31.54
2013-12-13,30,31.58
2013-12-20,28,32.38
2013-12-27,24,32.67
2014-01-03,27,32.05
2014-01-10,27,32.54
2014-01-17,36,31.73
2014-01-24,38,31.46
2014-01-31,30,30.36
2014-02-07,34,30.7
2014-02-14,35,29.88
2014-02-21,32,29.61
2014-02-28,31,31.02
2014-03-07,34,30.58
2014-03-14,29,29.42
2014-03-21,33,29.26
2014-03-28,31,29.01
2014-04-04,35,29.32
2014-04-11,36,28.4
2014-04-25,31,30.16
