"Date","ADT","Price"
2012-10-05,86,38.24
2012-10-12,83,36.48
2012-10-19,82,38.8
2012-10-26,82,41.86
2012-11-02,79,41.5
2012-11-09,83,43.06
2012-11-16,85,41.03
2012-11-23,76,42.86
2012-11-30,85,45.9
2012-12-07,83,45.55
2012-12-14,82,45.9
2012-12-21,81,44.73
2012-12-28,65,45.35
2013-01-04,81,46.75
2013-01-11,89,46.84
2013-01-18,89,47.98
2013-01-25,85,47.18
2013-02-01,83,47.59
2013-02-08,80,47.67
2013-02-15,79,46.4
2013-02-22,86,46.98
2013-03-01,84,47.93
2013-03-08,87,47.88
2013-03-15,83,49.41
2013-03-22,82,48.83
2013-04-05,82,46.32
2013-04-12,90,45.98
2013-04-19,83,43.84
2013-04-26,83,43.91
2013-05-03,84,43.5
2013-05-10,84,44.13
2013-05-17,87,43.3
2013-05-24,87,42.33
2013-05-31,83,40.59
2013-06-07,88,40.21
2013-06-14,84,39.41
2013-06-21,88,39.37
2013-06-28,87,39.85
2013-07-05,86,39.61
2013-07-12,93,43.02
2013-07-19,89,42.17
2013-07-26,91,41.16
2013-08-02,93,40.6
2013-08-09,89,41.2
2013-08-16,88,41.06
2013-08-23,87,41.25
2013-08-30,87,39.83
2013-09-06,82,39.48
2013-09-13,86,40.03
2013-09-20,83,42.32
2013-09-27,87,41.26
2013-10-04,82,40.06
2013-10-11,85,39.34
2013-10-18,89,40.99
2013-10-25,86,42.17
2013-11-01,85,43.46
2013-11-08,90,42.4
2013-11-15,86,43.25
2013-11-22,88,44.01
2013-11-29,76,40.56
2013-12-06,85,40.52
2013-12-13,82,38.8
2013-12-20,83,39.69
2013-12-27,71,41.15
2014-01-03,83,39.5
2014-01-10,92,39.08
2014-01-17,90,39.66
2014-01-24,89,38.78
2014-01-31,87,30.04
2014-02-07,86,31.53
2014-02-14,87,31.61
2014-02-21,87,30.57
2014-02-28,90,30.71
2014-03-07,89,30.85
2014-03-14,92,28.08
2014-03-21,93,29.25
2014-03-28,94,29.68
2014-04-04,91,32.18
2014-04-11,87,29.74
2014-04-25,90,29.27
