"Date","ETN","Price"
2004-02-06,24,118.38
2004-02-13,26,119.08
2004-02-20,18,120.61
2004-02-27,31,58.54
2004-03-05,23,60.56
2004-03-12,23,56.05
2004-03-19,23,56.25
2004-03-26,40,54.27
2004-04-02,53,57.7
2004-04-16,30,60.02
2004-04-23,27,60.95
2004-04-30,35,59.38
2004-05-07,34,57.9
2004-05-14,25,57.78
2004-05-21,33,56.13
2004-05-28,42,58.35
2004-06-04,26,59.53
2004-06-18,28,61.75
2004-06-25,33,62.81
2004-07-02,53,62.26
2004-07-09,38,62.12
2004-07-16,49,62.4
2004-07-23,45,62.21
2004-07-30,45,64.64
2004-08-06,34,60.97
2004-08-13,26,59.66
2004-08-20,21,61.04
2004-08-27,26,60.57
2004-09-03,20,62.75
2004-09-10,26,63.61
2004-09-17,24,62.68
2004-09-24,32,61
2004-10-01,36,64.41
2004-10-08,26,64.82
2004-10-15,37,62.7
2004-10-22,28,61.45
2004-10-29,25,63.95
2004-11-05,30,66.12
2004-11-12,24,68
2004-11-19,29,67.33
2004-11-26,23,67.61
2004-12-03,44,68.56
2004-12-10,36,68.04
2004-12-17,34,69.67
2004-12-31,37,72.36
2005-01-07,31,67.77
2005-01-14,22,69.3
2005-01-21,40,65.4
2005-01-28,34,67
2005-02-04,26,68.6
2005-02-11,47,70.02
2005-02-18,37,68.62
2005-02-25,32,70.04
2005-03-04,35,70.1
2005-03-11,37,69.5
2005-03-18,47,68
2005-04-01,40,65.04
2005-04-08,33,64.08
2005-04-15,28,57.55
2005-04-22,34,60.31
2005-04-29,28,58.65
2005-05-06,41,59.44
2005-05-13,36,57.7
2005-05-20,24,59.36
2005-05-27,31,60.65
2005-06-03,28,59.49
2005-06-10,38,59.68
2005-06-17,39,61.34
2005-06-24,41,58.72
2005-07-01,45,60.13
2005-07-08,38,61.83
2005-07-15,40,62.04
2005-07-22,49,66.32
2005-07-29,49,65.34
2005-08-05,45,65.43
2005-08-12,51,66.36
2005-08-19,43,65.09
2005-08-26,36,64.33
2005-09-02,25,63.83
2005-09-09,41,64.98
2005-09-16,34,64.06
2005-09-23,32,62.38
2005-09-30,34,63.55
2005-10-07,36,61.6
2005-10-14,43,59.85
2005-10-21,43,57.65
2005-10-28,33,57.82
2005-11-04,34,59.4
2005-11-11,33,62.37
2005-11-18,37,63.44
2005-11-25,41,63.72
2005-12-02,32,64.13
2005-12-09,36,65.01
2005-12-16,39,67.26
2005-12-23,45,67.82
2005-12-30,31,67.09
2006-01-06,35,67.56
2006-01-13,46,65.05
2006-01-20,42,64.88
2006-01-27,39,66.85
2006-02-03,40,66.55
2006-02-10,36,66.9
2006-02-17,42,69.35
2006-02-24,33,70.79
2006-03-03,41,70.32
2006-03-10,42,69.3
2006-03-17,48,71.93
2006-03-24,41,70.94
2006-03-31,34,72.97
2006-04-07,63,73.61
2006-04-21,51,77.15
2006-04-28,49,76.65
2006-05-05,47,78.1
2006-05-12,43,76.62
2006-05-19,53,75.75
2006-05-26,46,74.85
2006-06-02,44,74.55
2006-06-09,46,70.8
2006-06-16,37,72.44
2006-06-23,49,72.69
2006-06-30,47,75.4
2006-07-07,57,72.45
2006-07-14,52,68.05
2006-07-21,66,63.93
2006-07-28,54,64.91
2006-08-04,52,64.94
2006-08-11,40,64.5
2006-08-18,49,67.3
2006-08-25,46,65.32
2006-09-01,49,67.83
2006-09-08,43,66.46
