"Date","FLR","Price"
2004-07-30,58,45.55
2004-08-06,59,41.66
2004-08-13,59,42.34
2004-08-20,60,43.7
2004-08-27,68,43.3
2004-09-03,76,42.93
2004-09-10,47,43.87
2004-09-17,53,44.95
2004-09-24,48,43.95
2004-10-01,48,44.48
2004-10-08,70,44.56
2004-10-15,47,43.74
2004-10-22,47,43.45
2004-10-29,59,46.44
2004-11-05,72,44.7
2004-11-12,59,47.33
2004-11-19,59,47
2004-11-26,59,52.54
2005-01-07,43,50.81
2005-01-14,37,52.49
2005-01-21,41,50.58
2005-01-28,36,52.29
2005-02-04,39,59.84
2005-02-11,67,61
2005-02-18,36,61.88
2005-02-25,53,63.25
2005-03-04,57,61.65
2005-03-11,59,57.28
2005-03-18,61,57.71
2005-04-01,62,55.7
2005-04-08,76,56.66
2005-04-15,44,53.91
2005-04-22,47,53.23
2005-04-29,37,51.56
2005-05-06,38,57.3
2005-05-13,52,55.55
2005-05-20,42,57.77
2005-05-27,37,57.7
2005-06-03,33,60.82
2005-06-10,35,60.56
2005-06-17,49,61.47
2005-06-24,40,57.59
2005-07-01,40,57.55
2005-07-08,54,59.34
2005-07-15,51,59.68
2005-07-22,53,60.2
2005-07-29,46,63.8
2005-08-05,56,63.98
2005-08-12,59,57.62
2005-08-19,53,57.63
2005-08-26,37,57.69
2005-09-02,49,61.01
2005-09-09,58,61
2005-09-16,46,60.61
2005-09-23,32,62.26
2005-09-30,36,64.38
2005-10-07,51,60
2005-10-14,56,60.41
2005-10-21,79,61.2
2005-10-28,40,62.51
2005-11-04,38,68.55
2005-11-11,47,68.9
2005-11-18,42,72.85
2005-11-25,49,74.59
2005-12-02,25,75.85
2005-12-09,39,73.48
2005-12-16,39,76.5
2005-12-23,68,78.15
2005-12-30,36,77.26
2006-01-06,56,78.7
2006-01-13,69,82
2006-01-20,40,81.97
2006-01-27,63,87.5
2006-02-03,66,88.06
2006-02-10,52,81.41
2006-02-17,79,82.21
2006-02-24,64,86.81
2006-03-03,45,83.5
2006-03-10,78,81.73
2006-03-17,72,84.29
2006-03-24,43,84.68
2006-03-31,60,85.8
2006-04-07,49,88.96
2006-04-21,58,92.56
2006-04-28,60,92.91
2006-05-05,62,93.4
2006-05-12,77,96
2006-05-19,67,88.05
2006-05-26,55,90.44
2006-06-02,59,91.34
2006-06-09,64,86.6
2006-06-16,63,88.01
2006-06-23,47,88.08
2006-06-30,51,92.93
2006-07-07,54,91.14
2006-07-14,49,87.15
2006-07-21,44,82.58
2006-07-28,50,87.49
2006-08-04,49,90.45
2006-08-11,67,85.17
2006-08-18,40,88.37
2006-08-25,46,84.76
2006-09-01,48,85.9
2006-09-08,54,81.74
2006-09-15,51,77.91
2006-09-22,55,75.14
2006-09-29,55,76.89
2006-10-06,57,78.8
2006-10-13,50,79.62
2006-10-20,53,81.12
2006-10-27,51,78.67
2006-11-03,48,78.85
2006-11-10,64,83.34
2006-11-17,43,83.89
2006-11-24,72,84.51
2006-12-01,42,86.3
2006-12-08,56,86.45
2006-12-15,48,84.17
2006-12-22,50,81.76
2006-12-29,36,81.65
2007-01-05,44,78.37
2007-01-12,51,76.46
2007-01-19,51,78.32
2007-01-26,47,80.75
2007-02-02,46,86.17
2007-02-09,43,85.95
2007-02-16,40,85.66
2007-02-23,53,87.88
2007-03-02,45,85.7
2007-03-09,55,90.18
2007-03-16,62,88.07
2007-03-23,54,92.43
2007-03-30,62,89.72
2007-04-13,65,94.37
2007-04-20,53,95.91
2007-04-27,64,97.89
2007-05-04,64,98.75
2007-05-11,52,104.42
2007-05-18,58,100
2007-05-25,57,100.92
2007-06-01,41,104.92
2007-06-08,60,102.32
2007-06-15,58,109.67
2007-06-22,48,105.71
2007-06-29,55,111.37
2007-07-06,62,115.02
2007-07-13,44,120.45
2007-07-20,52,120.51
2007-07-27,53,113.26
2007-08-03,57,117.8
2007-08-10,66,121
2007-08-17,82,114.91
2007-08-24,55,123.55
2007-08-31,64,127.15
2007-09-07,65,130.75
2007-09-14,57,134.55
2007-09-21,64,141.19
2007-09-28,69,143.98
2007-10-05,70,151.14
2007-10-12,73,161.28
2007-10-19,68,156.01
2007-10-26,64,164.24
2007-11-02,75,149.26
2007-11-09,65,140.43
2007-11-16,61,134.88
2007-11-23,59,135.12
2007-11-30,61,147.17
2007-12-07,53,158.06
2007-12-14,81,144.03
2007-12-21,44,144.8
2007-12-28,47,146.26
2008-01-04,63,147.26
2008-01-11,92,143.79
2008-01-18,73,117.11
2008-01-25,66,120.95
2008-02-01,63,126.17
2008-02-08,52,111.65
2008-02-15,55,120.78
2008-02-22,61,131.84
2008-02-29,85,139.25
2008-03-07,69,138.51
2008-03-14,69,136.54
2008-03-28,72,140.35
2008-04-04,62,152.89
2008-04-11,63,149.46
2008-04-18,53,160.1
2008-04-25,55,161.47
2008-05-02,66,152.82
2008-05-09,62,163.97
2008-05-16,96,191.37
2008-05-23,70,186.79
2008-05-30,64,186.55
2008-06-06,57,181.83
2008-06-13,64,186.18
2008-06-20,55,191.55
2008-06-27,67,184.38
2008-07-11,55,174.74
2008-07-18,81,84.25
2008-07-25,66,79.81
2008-08-01,63,80.42
2008-08-08,60,76.32
2008-08-15,82,71.36
2008-08-22,63,78.8
2008-08-29,57,80.13
2008-09-05,51,65.03
2008-09-12,67,65.01
2008-09-19,69,64.11
2008-09-26,65,55.51
2008-10-03,61,46.76
2008-10-10,68,37.94
2008-10-17,76,39.94
2008-10-24,80,33.36
2008-10-31,59,39.93
2008-11-07,63,41.03
2008-11-14,71,35.73
2008-11-21,64,31.9
2008-11-28,66,45.54
2008-12-05,69,45.04
2008-12-12,65,48.19
2008-12-19,66,45.26
2008-12-26,42,44.15
2009-01-02,64,47.89
2009-01-09,67,48.7
2009-01-16,65,44.6
2009-01-23,65,42.09
2009-01-30,74,38.9
2009-02-06,62,41.55
2009-02-13,56,42.02
2009-02-20,55,36.98
2009-02-27,62,33.25
2009-03-06,71,31.75
2009-03-13,65,39.85
2009-03-20,57,36.55
2009-03-27,62,37.22
2009-04-03,60,37.4
2009-04-17,57,41.18
2009-04-24,57,40.96
2009-05-01,74,37.73
2009-05-08,62,45.17
2009-05-15,56,43.25
2009-05-22,59,43.61
2009-05-29,54,46.98
2009-06-05,50,52.9
2009-06-12,59,53.85
2009-06-19,53,50.27
2009-06-26,48,51.83
2009-07-10,51,47
2009-07-17,52,49.39
2009-07-24,51,53.4
2009-07-31,47,52.8
2009-08-07,54,58.21
2009-08-14,56,54.03
2009-08-21,54,55.87
2009-08-28,58,53.58
2009-09-04,48,52.99
2009-09-11,48,54.28
2009-09-18,50,56.05
2009-09-25,46,50.87
2009-10-02,45,47.59
2009-10-09,54,48.75
2009-10-16,48,50.24
2009-10-23,57,49.54
2009-10-30,59,44.42
2009-11-06,52,45.4
2009-11-13,68,43.24
2009-11-20,48,44.32
2009-11-27,52,43.07
2009-12-04,50,42.57
2009-12-11,56,39.86
2009-12-18,49,43.64
2010-01-08,50,49.76
2010-01-15,65,49.09
2010-01-22,59,46.41
2010-01-29,51,45.34
2010-02-05,56,43.06
2010-02-12,49,44.11
2010-02-19,47,45.94
2010-02-26,60,42.8
2010-03-05,58,44.65
2010-03-12,53,45.99
2010-03-19,41,45.25
2010-03-26,54,46.26
2010-04-09,59,50.77
2010-04-16,63,50.66
2010-04-23,58,53.39
2010-04-30,63,52.84
2010-05-07,44,45.95
2010-05-14,53,51.28
2010-05-21,53,45.79
2010-05-28,45,46.92
2010-06-04,46,43.99
2010-06-11,36,45.61
2010-06-18,56,46.47
2010-06-25,48,44.36
2010-07-02,34,41.76
2010-07-09,42,45.41
2010-07-16,53,42.79
2010-07-23,55,47.04
2010-07-30,65,48.29
2010-08-06,54,48.75
2010-08-13,48,46.08
2010-08-20,63,46.59
2010-08-27,47,45.75
2010-09-03,45,48.08
2010-09-10,52,48.59
2010-09-17,52,48.63
2010-09-24,49,48.91
2010-10-01,62,50.35
2010-10-08,55,52.66
2010-10-15,59,51.87
2010-10-22,58,49.47
2010-10-29,63,48.19
2010-11-05,62,54.53
2010-11-12,58,54.95
2010-11-19,57,57.71
2010-11-26,60,57.59
2010-12-03,50,61.77
2010-12-10,50,62.24
2010-12-17,42,63.76
2010-12-31,53,66.26
2011-01-07,54,65.92
2011-01-14,53,71.19
2011-01-21,64,71.02
2011-01-28,66,68.33
2011-02-04,66,68.69
2011-02-11,60,73.52
2011-02-18,59,74.77
2011-02-25,72,69.16
2011-03-04,54,71.31
2011-03-11,51,68.85
2011-03-18,62,69.31
2011-03-25,62,73.99
2011-04-01,58,72.92
2011-04-08,64,70.7
2011-04-15,68,68.73
2011-04-29,52,69.94
2011-05-06,54,70.87
2011-05-13,73,69
2011-05-20,70,67.33
2011-05-27,57,68
2011-06-03,59,65.75
2011-06-10,63,61.95
2011-06-17,56,60.48
2011-06-24,58,61.12
2011-07-01,61,64.09
2011-07-08,73,66.99
2011-07-15,68,65.15
2011-07-22,62,67.38
2011-07-29,51,63.53
2011-08-05,64,57.11
2011-08-12,64,58.79
2011-08-19,55,54.18
2011-08-26,61,57.39
2011-09-02,52,58.13
2011-09-09,58,57.51
2011-09-16,71,60.57
2011-09-23,62,50.31
2011-09-30,63,46.55
2011-10-07,64,50.14
2011-10-14,63,55.67
2011-10-21,58,54.52
2011-10-28,64,59.63
2011-11-04,68,54.86
2011-11-11,62,56.1
2011-11-18,61,52.52
2011-11-25,60,49.51
2011-12-02,66,53.84
2011-12-09,67,52.48
2011-12-16,52,48.09
2011-12-23,61,50.74
2011-12-30,57,50.25
2012-01-06,65,51.72
2012-01-13,68,53.54
2012-01-20,67,55.87
2012-01-27,67,57.23
2012-02-03,75,59.86
2012-02-10,57,59.57
2012-02-17,64,61
2012-02-24,71,63.4
2012-03-02,74,61.69
2012-03-09,75,61.05
2012-03-16,72,62.68
2012-03-23,65,60.76
2012-03-30,71,60.04
2012-04-13,66,58.1
2012-04-20,64,58.44
2012-04-27,69,58.77
2012-05-04,66,56.93
2012-05-11,69,53.89
2012-05-18,67,49.59
2012-05-25,68,49.7
2012-06-01,75,46.49
2012-06-08,64,48.53
2012-06-15,66,47.48
2012-06-22,84,46.08
2012-06-29,77,49.34
2012-07-06,66,49.06
2012-07-13,71,47.26
2012-07-20,78,48.73
2012-07-27,72,50.58
2012-08-03,75,52.2
2012-08-10,73,53.66
2012-08-17,83,54.26
2012-08-24,75,53.07
2012-08-31,71,51.5
2012-09-07,76,54.75
2012-09-14,72,60.15
2012-09-21,81,59.2
2012-09-28,74,56.28
2012-10-05,68,57.2
2012-10-12,69,56.39
2012-10-19,78,57.16
2012-10-26,66,55.31
2012-11-02,72,52.01
2012-11-09,75,52.16
2012-11-16,74,51.82
2012-11-23,74,53.81
2012-11-30,75,53.08
2012-12-07,73,56.32
2012-12-14,74,57.09
2012-12-21,78,59.15
2012-12-28,62,57.23
2013-01-04,70,60.53
2013-01-11,77,62.17
2013-01-18,86,63.31
2013-01-25,76,66.06
2013-02-01,72,65.83
2013-02-08,79,63.71
2013-02-15,79,64.51
2013-02-22,81,64.05
2013-03-01,72,60.51
2013-03-08,80,64.31
2013-03-15,83,64.48
2013-03-22,71,64.94
2013-04-05,74,62.03
2013-04-12,79,60.22
2013-04-19,73,54.16
2013-04-26,81,56.38
2013-05-03,73,59.8
2013-05-10,79,61.91
2013-05-17,80,64.57
2013-05-24,80,63.68
2013-05-31,74,63.21
2013-06-07,81,62.86
2013-06-14,73,61
2013-06-21,76,60.17
2013-06-28,84,59.31
2013-07-05,72,58.59
2013-07-12,80,61.49
2013-07-19,84,62.84
2013-07-26,76,61.6
2013-08-02,79,66.53
2013-08-09,77,65.98
2013-08-16,85,66.19
2013-08-23,79,66.08
2013-08-30,83,63.43
2013-09-06,73,64.58
2013-09-13,74,67.21
2013-09-20,77,72.01
2013-09-27,72,71.05
2013-10-04,80,71.87
2013-10-11,84,72.98
2013-10-18,79,77.19
2013-10-25,80,76.31
2013-11-01,86,74.9
2013-11-08,83,77.92
2013-11-15,72,79.36
2013-11-22,77,78.63
2013-11-29,76,77.81
2013-12-06,89,77.41
2013-12-13,79,74.79
2013-12-20,84,79.37
2013-12-27,76,79.76
2014-01-03,76,79.15
2014-01-10,86,78.9
2014-01-17,100,82.05
2014-01-24,81,77.48
2014-01-31,85,75.96
2014-02-07,85,77.21
2014-02-14,93,79.67
2014-02-21,83,79.19
2014-02-28,97,77.69
2014-03-07,80,79.69
2014-03-14,92,74.33
2014-03-21,89,76.62
2014-03-28,93,76.41
2014-04-04,92,77.66
2014-04-11,83,74.47
2014-04-25,97,75.73
