"Date","GD","Price"
2004-02-06,82,96.88
2004-02-13,100,95.94
2004-02-20,94,94.43
2004-02-27,81,92.12
2004-03-05,85,90.68
2004-03-12,84,87.91
2004-03-19,83,86.28
2004-03-26,82,87.5
2004-04-02,84,90.54
2004-04-16,72,92.36
2004-04-23,77,94.81
2004-04-30,76,93.62
2004-05-07,73,93.44
2004-05-14,75,95.19
2004-05-21,77,93.45
2004-05-28,76,95.63
2004-06-04,73,97.41
2004-06-18,78,99.68
2004-06-25,82,100.6
2004-07-02,83,97.56
2004-07-09,75,100.9
2004-07-16,75,97
2004-07-23,72,97.42
2004-07-30,68,98.82
2004-08-06,70,95.51
2004-08-13,83,94.56
2004-08-20,65,97.44
2004-08-27,73,98.39
2004-09-03,69,97.7
2004-09-10,68,97.28
2004-09-17,65,99.39
2004-09-24,75,99.76
2004-10-01,79,102.75
2004-10-08,69,100.15
2004-10-15,72,99.99
2004-10-22,67,100.01
2004-10-29,80,102.12
2004-11-05,69,106.85
2004-11-12,64,108.03
2004-11-19,71,106.44
2004-11-26,66,108.23
2004-12-03,62,109.83
2004-12-10,69,106.5
2004-12-17,64,106.35
2004-12-31,69,104.6
2005-01-07,64,99.81
2005-01-14,62,101.42
2005-01-21,69,100.51
2005-01-28,69,103.23
2005-02-04,56,103.91
2005-02-11,59,106.67
2005-02-18,72,106
2005-02-25,61,105.58
2005-03-04,68,105.83
2005-03-11,67,108.38
2005-03-18,70,106.1
2005-04-01,56,107.85
2005-04-08,63,108.05
2005-04-15,59,103.89
2005-04-22,63,103.5
2005-04-29,62,105.05
2005-05-06,57,106.48
2005-05-13,60,105.43
2005-05-20,60,108.1
2005-05-27,57,107.95
2005-06-03,61,108.26
2005-06-10,61,111.25
2005-06-17,63,112.04
2005-06-24,65,109.46
2005-07-01,58,109.95
2005-07-08,57,109.04
2005-07-15,57,112.31
2005-07-22,55,116.77
2005-07-29,58,115.19
2005-08-05,54,115.02
2005-08-12,56,113.59
2005-08-19,54,115.61
2005-08-26,57,114.85
2005-09-02,56,114.14
2005-09-09,48,116.35
2005-09-16,58,117.1
2005-09-23,53,119.94
2005-09-30,57,119.55
2005-10-07,54,119.59
2005-10-14,60,120.08
2005-10-21,56,116.54
2005-10-28,56,116.65
