"Date","RTN","Price"
2004-02-06,33,31.15
2004-02-13,35,31.76
2004-02-20,38,32.03
2004-02-27,40,30.4
2004-03-05,43,31.52
2004-03-12,47,30.09
2004-03-19,51,29.97
2004-03-26,68,30.78
2004-04-02,28,31.67
2004-04-16,28,31.67
2004-04-23,28,32.06
2004-04-30,28,32.26
2004-05-07,48,32.06
2004-05-14,31,33.12
2004-05-21,31,32.51
2004-05-28,29,33.25
2004-06-04,29,33.55
2004-06-18,31,35.1
2004-06-25,33,34.67
2004-07-02,35,34.72
2004-07-09,38,34.83
2004-07-16,29,33
2004-07-23,29,32.38
2004-07-30,29,33.55
2004-08-06,29,33.86
2004-08-13,36,34.01
2004-08-20,34,34.69
2004-08-27,35,34.4
2004-09-03,37,35.55
2004-09-10,52,36.08
2004-09-17,34,36.88
2004-09-24,34,37.01
2004-10-01,36,37.98
2004-10-08,44,36.32
2004-10-15,35,35.98
2004-10-22,30,35.42
2004-10-29,28,36.48
2004-11-05,28,37.73
2004-11-12,37,38.79
2004-11-19,37,38.84
2004-11-26,33,39.85
2004-12-03,35,41.18
2004-12-10,46,39.35
2004-12-17,34,39.09
2004-12-31,40,38.83
2005-01-07,40,36.41
2005-01-14,29,36.76
2005-01-21,53,36.76
2005-01-28,38,37.02
2005-02-04,48,37.92
2005-02-11,25,38.05
2005-02-18,38,38.19
2005-02-25,33,38.59
2005-03-04,32,38.61
2005-03-11,36,38.64
2005-03-18,34,38.51
2005-04-01,33,38.96
2005-04-08,39,39.02
2005-04-15,37,36.83
2005-04-22,32,36.76
2005-04-29,31,37.61
2005-05-06,37,38.74
2005-05-13,21,39.01
2005-05-20,45,39.04
2005-05-27,43,39.2
2005-06-03,29,39.06
2005-06-10,44,39.53
2005-06-17,33,39.5
2005-06-24,28,38.78
2005-07-01,50,39.22
2005-07-08,34,39.55
2005-07-15,41,39.75
2005-07-22,44,39.42
2005-07-29,44,39.33
2005-08-05,48,39
2005-08-12,49,39.52
2005-08-19,35,39.49
2005-08-26,43,39.05
2005-09-02,46,39.34
2005-09-09,45,39.08
2005-09-16,59,38.25
2005-09-23,47,37.24
2005-09-30,51,38.02
2005-10-07,41,37
2005-10-14,22,36.53
2005-10-21,35,36.77
2005-10-28,45,37.43
2005-11-04,49,37.56
2005-11-11,40,37.1
2005-11-18,36,37.81
2005-11-25,42,38.12
2005-12-02,56,38.61
2005-12-09,43,39.41
2005-12-16,34,39.61
2005-12-23,46,40.04
2005-12-30,32,40.15
2006-01-06,31,40.26
2006-01-13,41,40.86
2006-01-20,36,40.13
2006-01-27,38,41.35
2006-02-03,52,41.43
2006-02-10,41,42.79
2006-02-17,46,43.02
2006-02-24,40,43.24
2006-03-03,30,44.2
2006-03-10,40,44.32
2006-03-17,34,45.69
2006-03-24,48,45.18
2006-03-31,25,45.84
2006-04-07,41,45.4
2006-04-21,38,45.42
2006-04-28,50,44.27
2006-05-05,42,46.53
2006-05-12,47,46.26
2006-05-19,38,46.05
2006-05-26,33,45.2
2006-06-02,28,45.76
2006-06-09,40,43.73
2006-06-16,34,44.58
2006-06-23,43,44.28
2006-06-30,39,44.57
2006-07-07,47,44.03
2006-07-14,37,43.94
2006-07-21,44,44.96
2006-07-28,46,44.9
2006-08-04,39,45.1
2006-08-11,42,45.01
2006-08-18,47,47.61
2006-08-25,50,46.64
2006-09-01,32,47.05
2006-09-08,28,47.62
2006-09-15,41,47.26
2006-09-22,47,47.23
2006-09-29,43,48.01
2006-10-06,39,49.12
2006-10-13,48,50.65
2006-10-20,45,50.33
2006-10-27,36,49.62
2006-11-03,32,48.98
2006-11-10,48,48.9
2006-11-17,50,50.37
2006-11-24,44,50.87
2006-12-01,38,51.3
2006-12-08,44,52.17
2006-12-15,39,52.66
2006-12-22,47,53.43
2006-12-29,29,52.8
2007-01-05,46,51.63
2007-01-12,51,51.78
2007-01-19,46,52.3
2007-01-26,57,51.45
2007-02-02,50,54.85
2007-02-09,44,54.63
2007-02-16,62,55.05
2007-02-23,57,54.82
2007-03-02,48,52.61
2007-03-09,47,52.95
2007-03-16,40,53.04
2007-03-23,55,52.59
2007-03-30,57,52.46
2007-04-13,52,54.37
2007-04-20,44,55.43
2007-04-27,47,54.08
2007-05-04,52,54
2007-05-11,40,54.22
2007-05-18,37,54.55
2007-05-25,52,54.23
2007-06-01,37,56.17
2007-06-08,46,56.64
2007-06-15,42,56.54
2007-06-22,44,54.5
2007-06-29,51,53.89
2007-07-06,45,54.44
2007-07-13,41,53.8
2007-07-20,46,54.3
2007-07-27,47,54.93
2007-08-03,51,58.96
2007-08-10,67,55.05
2007-08-17,55,56.33
2007-08-24,59,58.27
2007-08-31,58,61.34
2007-09-07,44,59.38
2007-09-14,44,62.43
2007-09-21,52,63.44
2007-09-28,46,63.82
2007-10-05,40,63.76
2007-10-12,50,65.06
2007-10-19,45,63.03
2007-10-26,51,63.93
2007-11-02,44,63.16
2007-11-09,48,61.52
2007-11-16,51,62.07
2007-11-23,43,62.09
2007-11-30,44,61.85
2007-12-07,70,65.18
2007-12-14,58,61.66
2007-12-21,49,63
2007-12-28,43,61.51
2008-01-04,41,61.91
2008-01-11,57,60.81
2008-01-18,46,60.56
2008-01-25,60,62.82
2008-02-01,64,66.09
2008-02-08,60,65.55
2008-02-15,57,65.65
2008-02-22,42,66.04
2008-02-29,50,64.84
2008-03-07,46,63.56
2008-03-14,44,63.51
2008-03-28,55,64.5
2008-04-04,51,65.54
2008-04-11,46,65.41
2008-04-18,51,66.14
2008-04-25,49,64.67
2008-05-02,46,64.71
2008-05-09,38,64.05
2008-05-16,49,65.12
2008-05-23,53,62.49
2008-05-30,59,63.86
2008-06-06,62,59.99
2008-06-13,52,58.04
2008-06-20,48,57.89
2008-06-27,41,56
2008-07-11,45,57.04
2008-07-18,47,56.17
2008-07-25,62,57.22
2008-08-01,55,56.36
2008-08-08,49,60.31
2008-08-15,62,61.71
2008-08-22,48,60.26
2008-08-29,52,59.99
2008-09-05,44,59.71
2008-09-12,44,60.8
2008-09-19,45,58.52
2008-09-26,48,56.06
2008-10-03,51,53.17
2008-10-10,54,45.65
2008-10-17,60,44.82
2008-10-24,49,43.4
2008-10-31,45,51.11
2008-11-07,50,49
2008-11-14,51,47.91
2008-11-21,40,47.94
2008-11-28,47,48.8
2008-12-05,47,49.55
2008-12-12,51,50.8
2008-12-19,55,49.63
2008-12-26,40,49.31
2009-01-02,53,52
2009-01-09,100,50.52
2009-01-16,88,52.67
2009-01-23,68,50.38
2009-01-30,54,50.62
2009-02-06,47,47.8
2009-02-13,54,46.74
2009-02-20,52,45.56
2009-02-27,52,39.97
2009-03-06,55,34.88
2009-03-13,51,33.82
2009-03-20,54,35.35
2009-03-27,75,39.4
2009-04-03,59,38.47
2009-04-17,36,42.51
2009-04-24,44,43.82
2009-05-01,45,45.67
2009-05-08,50,48.27
2009-05-15,44,46.07
2009-05-22,42,43.47
2009-05-29,49,44.65
2009-06-05,38,46.22
2009-06-12,43,45.31
2009-06-19,49,46.08
2009-06-26,42,44.5
2009-07-10,46,42.68
2009-07-17,47,44.94
2009-07-24,42,45.39
2009-07-31,43,46.95
2009-08-07,42,47.15
2009-08-14,39,47.53
2009-08-21,40,48.22
2009-08-28,37,47.32
2009-09-04,43,46.56
2009-09-11,37,46.56
2009-09-18,50,48.33
2009-09-25,43,47.59
2009-10-02,43,46.01
2009-10-09,32,46.11
2009-10-16,41,46.55
2009-10-23,38,46.43
2009-10-30,39,45.28
2009-11-06,38,47.57
2009-11-13,40,49.03
2009-11-20,38,50.59
2009-11-27,33,51.63
2009-12-04,41,52.65
2009-12-11,39,52.74
2009-12-18,34,52.45
2010-01-08,44,52.45
2010-01-15,35,53.98
2010-01-22,35,53.01
2010-01-29,31,52.43
2010-02-05,51,53.41
2010-02-12,35,53.4
2010-02-19,43,55.54
2010-02-26,39,56.24
2010-03-05,39,57.11
2010-03-12,31,56.68
2010-03-19,36,56.87
2010-03-26,38,57.29
2010-04-09,32,57.53
2010-04-16,40,58.32
2010-04-23,35,59.72
2010-04-30,38,58.29
2010-05-07,38,55.17
2010-05-14,34,56.32
2010-05-21,30,53.7
2010-05-28,39,52.41
2010-06-04,29,51.47
2010-06-11,38,51.71
2010-06-18,41,53.25
2010-06-25,34,50.38
2010-07-02,40,47.58
2010-07-09,33,48.81
2010-07-16,36,47.73
2010-07-23,32,49.06
2010-07-30,34,46.27
2010-08-06,35,46.14
2010-08-13,28,44.74
2010-08-20,33,43.75
2010-08-27,39,44.23
2010-09-03,31,45.67
2010-09-10,32,46.69
2010-09-17,37,45.89
2010-09-24,30,45.87
2010-10-01,35,44.61
2010-10-08,39,45.4
2010-10-15,37,45.71
2010-10-22,37,47.6
2010-10-29,34,46.08
2010-11-05,32,48.15
2010-11-12,39,46.41
2010-11-19,37,47.01
2010-11-26,35,46.48
2010-12-03,37,47.43
2010-12-10,36,45.58
2010-12-17,40,45.17
2010-12-31,31,46.34
2011-01-07,36,49.85
2011-01-14,45,50.26
2011-01-21,35,52.15
2011-01-28,37,49.48
2011-02-04,34,50.2
2011-02-11,40,51.08
2011-02-18,46,52.16
2011-02-25,39,51.24
2011-03-04,42,51.72
2011-03-11,37,52.13
2011-03-18,36,49.73
2011-03-25,40,50.8
2011-04-01,42,51.21
2011-04-08,37,50.79
2011-04-15,40,48.81
2011-04-29,42,48.55
2011-05-06,39,49.44
2011-05-13,43,49.19
2011-05-20,41,49.45
2011-05-27,37,50.03
2011-06-03,35,48.81
2011-06-10,37,48.28
2011-06-17,39,48.77
2011-06-24,37,47.93
2011-07-01,41,50.11
2011-07-08,39,48.62
2011-07-15,38,46.05
2011-07-22,39,46.74
2011-07-29,36,44.73
2011-08-05,36,41.3
2011-08-12,40,40.76
2011-08-19,38,39.87
2011-08-26,44,41.59
2011-09-02,38,41.27
2011-09-09,34,40.64
2011-09-16,36,42.13
2011-09-23,33,39.31
2011-09-30,33,40.87
2011-10-07,34,41
2011-10-14,33,42.77
2011-10-21,34,43.97
2011-10-28,31,43.54
2011-11-04,36,44.18
2011-11-11,34,45.54
2011-11-18,34,44
2011-11-25,33,43.12
2011-12-02,34,45.35
2011-12-09,42,45.55
2011-12-16,40,45.51
2011-12-23,37,48.37
2011-12-30,33,48.38
2012-01-06,33,48.08
2012-01-13,39,48.67
2012-01-20,39,49.88
2012-01-27,38,48.64
2012-02-03,39,48.97
2012-02-10,42,49.53
2012-02-17,37,49.86
2012-02-24,42,50.78
2012-03-02,39,51.37
2012-03-09,36,51.83
2012-03-16,39,52.12
2012-03-23,41,52.16
2012-03-30,34,52.78
2012-04-13,36,52.53
2012-04-20,33,53.11
2012-04-27,39,53.91
2012-05-04,36,53.56
2012-05-11,39,52.15
2012-05-18,34,49.94
2012-05-25,36,49.67
2012-06-01,35,49.48
2012-06-08,30,51.58
2012-06-15,35,53.67
2012-06-22,31,54.82
2012-06-29,33,56.59
