"Date","EA","Price"
2004-02-06,61,44.63
2004-02-13,62,44.43
2004-02-20,65,45.68
2004-02-27,61,47.16
2004-03-05,61,47.53
2004-03-12,71,46.92
2004-03-19,71,48.8
2004-03-26,72,51.78
2004-04-02,57,54.18
2004-04-16,60,52.38
2004-04-23,61,52.86
2004-04-30,61,50.62
2004-05-07,62,51.88
2004-05-14,59,51.04
2004-05-21,62,48.72
2004-05-28,62,50.83
2004-06-04,65,51.51
2004-06-18,68,51.69
2004-06-25,67,53.25
2004-07-02,64,53.21
2004-07-09,65,53.77
2004-07-16,73,52.05
2004-07-23,65,49.83
2004-07-30,68,50.13
2004-08-06,63,47.08
2004-08-13,66,48.32
2004-08-20,64,50.01
2004-08-27,61,51.29
2004-09-03,67,48.25
2004-09-10,65,48.88
2004-09-17,73,48.25
2004-09-24,76,46.21
2004-10-01,72,46.44
2004-10-08,79,44.58
2004-10-15,74,45.43
2004-10-22,71,44.28
2004-10-29,73,44.92
2004-11-05,68,47.88
2004-11-12,82,47.59
2004-11-19,74,49.15
2004-11-26,72,47.76
2004-12-03,67,52.8
2004-12-10,72,54.19
2004-12-17,76,59.64
2004-12-31,86,61.68
2005-01-07,66,58.94
2005-01-14,64,59.84
2005-01-21,67,58.26
2005-01-28,62,61.91
2005-02-04,60,68.12
2005-02-11,62,63.22
2005-02-18,60,64.04
2005-02-25,60,64.98
2005-03-04,60,67.75
2005-03-11,61,67.68
2005-03-18,58,66.73
2005-04-01,62,51.92
2005-04-08,51,51.06
2005-04-15,54,50.25
2005-04-22,53,50.61
2005-04-29,49,53.39
2005-05-06,55,50.97
2005-05-13,51,52.34
2005-05-20,51,54.34
2005-05-27,52,52.05
2005-06-03,53,52.97
2005-06-10,61,53.5
2005-06-17,60,57.58
2005-06-24,65,57.93
2005-07-01,70,56.21
2005-07-08,73,57.92
2005-07-15,74,57.46
2005-07-22,75,60.86
2005-07-29,73,57.6
2005-08-05,68,59
2005-08-12,78,59.88
2005-08-19,70,59.56
2005-08-26,74,58.07
2005-09-02,73,57.42
2005-09-09,72,56.12
2005-09-16,73,60.59
2005-09-23,75,58.2
2005-09-30,82,56.89
2005-10-07,95,52.77
2005-10-14,78,54.06
2005-10-21,71,54.77
2005-10-28,63,56.72
2005-11-04,70,59.93
2005-11-11,71,59.41
2005-11-18,68,58.38
2005-11-25,86,59.13
2005-12-02,77,56.83
2005-12-09,71,55.14
2005-12-16,67,53.42
2005-12-23,68,53.37
2005-12-30,87,52.31
2006-01-06,67,56.56
2006-01-13,64,57.19
2006-01-20,63,54.92
2006-01-27,63,56.81
2006-02-03,67,53.14
2006-02-10,69,53.88
2006-02-17,74,52.01
2006-02-24,79,51.79
2006-03-03,73,52.21
2006-03-10,73,50.64
2006-03-17,77,52.58
2006-03-24,73,52.58
2006-03-31,71,54.72
2006-04-07,63,55.65
2006-04-21,63,55.75
2006-04-28,64,56.8
2006-05-05,64,47.85
2006-05-12,61,44.96
2006-05-19,62,42.52
2006-05-26,65,44.25
2006-06-02,63,42.41
2006-06-09,67,42.75
2006-06-16,63,42.3
2006-06-23,70,41.2
2006-06-30,66,43.04
2006-07-07,69,42.04
2006-07-14,65,45.31
2006-07-21,69,44.94
2006-07-28,61,46.82
2006-08-04,68,48.57
2006-08-11,67,49.88
2006-08-18,69,51.29
2006-08-25,73,49.3
2006-09-01,66,51.24
2006-09-08,72,52.51
2006-09-15,71,54.22
2006-09-22,68,56.92
2006-09-29,73,55.84
2006-10-06,86,54.56
2006-10-13,78,57
2006-10-20,85,56.03
2006-10-27,81,54.51
2006-11-03,88,59.24
2006-11-10,76,58.48
2006-11-17,76,58.65
2006-11-24,79,58.42
2006-12-01,68,55.23
2006-12-08,64,53
2006-12-15,62,53.85
2006-12-22,68,51.06
2006-12-29,80,50.36
2007-01-05,67,53.07
2007-01-12,56,51.76
2007-01-19,55,50.34
2007-01-26,55,48.22
2007-02-02,54,51.13
2007-02-09,54,49.48
2007-02-16,55,50.01
2007-02-23,58,53.19
2007-03-02,65,49.1
2007-03-09,62,50.83
2007-03-16,57,48.92
2007-03-23,57,50.13
2007-03-30,62,50.36
2007-04-13,57,53.44
2007-04-20,56,51.81
2007-04-27,53,51.99
2007-05-04,54,51.65
2007-05-11,55,50.07
2007-05-18,51,48.58
2007-05-25,53,47.87
2007-06-01,56,48.44
2007-06-08,58,49.13
2007-06-15,57,50.49
2007-06-22,62,48.57
2007-06-29,60,47.32
2007-07-06,61,50.9
