"Date","FMC","Price"
2004-02-06,87,35.32
2004-02-13,92,37.81
2004-02-20,76,36.73
2004-02-27,76,37.45
2004-03-05,72,39.73
2004-03-12,80,38.25
2004-03-19,64,37.3
2004-03-26,71,37.09
2004-04-02,74,43
2004-04-16,62,42.54
2004-04-23,75,44.14
2004-04-30,80,42.89
2004-05-07,69,40.06
2004-05-14,85,39.97
2004-05-21,70,39.03
2004-05-28,72,40.57
2004-06-04,73,41.55
2004-06-18,97,41.39
2004-06-25,78,43.08
2004-07-02,74,41.98
2004-07-09,84,41.45
2004-07-16,95,39.9
2004-07-23,100,39.25
2004-07-30,70,43.95
2004-08-06,65,41.71
2004-08-13,70,42
2004-08-20,77,43.94
2004-08-27,77,45.92
2004-09-03,76,46.35
2004-09-10,75,47
2004-09-17,90,46.2
2004-09-24,81,47.21
2004-10-01,74,49.04
2004-10-08,75,48.18
2004-10-15,83,47.7
2004-10-22,70,46.65
2004-10-29,86,43.85
2004-11-05,76,46.41
2004-11-12,77,48.56
2004-11-19,79,48.39
2004-11-26,77,49.12
2004-12-03,71,48.92
2004-12-10,81,46.8
2004-12-17,91,48.1
2004-12-31,60,48.3
2005-01-07,69,44.98
2005-01-14,72,45.1
2005-01-21,92,44.47
2005-01-28,82,46.4
2005-02-04,80,48
2005-02-11,84,46.75
2005-02-18,75,48.31
2005-02-25,80,50.15
2005-03-04,72,51.94
2005-03-11,82,51.85
2005-03-18,80,51.46
2005-04-01,73,53.13
2005-04-08,73,52.07
2005-04-15,95,48.14
2005-04-22,69,48.95
2005-04-29,75,49
2005-05-06,76,52.09
2005-05-13,67,51.3
2005-05-20,73,55.16
2005-05-27,74,56
2005-06-03,82,56.37
2005-06-10,73,55.99
2005-06-17,97,57.41
2005-06-24,78,55.28
2005-07-01,88,56.65
2005-07-08,82,58.83
2005-07-15,68,60.55
2005-07-22,77,62.6
2005-07-29,81,60.48
2005-08-05,97,60.69
2005-08-12,83,60.33
2005-08-19,79,57.86
2005-08-26,72,56.35
2005-09-02,83,56.65
2005-09-09,85,58.79
2005-09-16,82,58
2005-09-23,86,56.04
2005-09-30,83,57.22
2005-10-07,75,52.91
2005-10-14,89,50.83
2005-10-21,86,51.59
2005-10-28,84,53.48
2005-11-04,79,51.56
2005-11-11,65,51.52
2005-11-18,78,49.2
2005-11-25,73,52.81
2005-12-02,76,55.41
2005-12-09,67,54.05
2005-12-16,83,52.67
2005-12-23,72,53.6
2005-12-30,62,53.17
2006-01-06,49,55.07
2006-01-13,84,54.26
2006-01-20,93,52.2
2006-01-27,89,55.74
2006-02-03,80,56.43
2006-02-10,90,59.92
2006-02-17,80,62.56
2006-02-24,87,61.19
2006-03-03,86,61.42
2006-03-10,89,61.1
2006-03-17,75,62.54
2006-03-24,79,62
2006-03-31,93,61.98
2006-04-07,83,61.94
2006-04-21,79,63.77
2006-04-28,94,63.56
2006-05-05,96,66.07
2006-05-12,86,64.79
2006-05-19,78,63.13
2006-05-26,75,63.72
2006-06-02,89,66.44
2006-06-09,87,62.42
2006-06-16,81,63.97
2006-06-23,83,63.85
2006-06-30,79,64.39
2006-07-07,70,64.17
2006-07-14,77,61.7
2006-07-21,87,60.38
2006-07-28,90,62.35
2006-08-04,77,58.86
2006-08-11,90,58.44
2006-08-18,80,61.62
2006-08-25,87,60.3
2006-09-01,75,61.54
2006-09-08,74,61.68
2006-09-15,84,62.77
2006-09-22,78,61.65
2006-09-29,75,64.07
2006-10-06,84,67.04
2006-10-13,72,68.15
2006-10-20,85,68.17
2006-10-27,82,68.83
2006-11-03,71,68.54
2006-11-10,72,69.58
2006-11-17,71,70.04
2006-11-24,67,71.58
2006-12-01,73,71.2
2006-12-08,63,72.9
2006-12-15,66,75.23
2006-12-22,63,74.88
2006-12-29,52,76.55
2007-01-05,62,74.12
2007-01-12,81,77.6
2007-01-19,89,77.13
2007-01-26,87,76.73
2007-02-02,90,77.15
2007-02-09,74,73
2007-02-16,71,75.57
2007-02-23,83,76.88
2007-03-02,79,72.87
2007-03-09,84,74.03
2007-03-16,71,74.18
2007-03-23,78,77.98
2007-03-30,79,75.43
2007-04-13,80,74.82
2007-04-20,76,76.37
2007-04-27,72,77.17
2007-05-04,71,83.08
2007-05-11,81,84.95
2007-05-18,72,85.04
2007-05-25,76,83.81
2007-06-01,82,84.96
2007-06-08,83,84.93
2007-06-15,75,86.15
2007-06-22,86,85.01
2007-06-29,78,89.39
2007-07-06,72,90.8
2007-07-13,75,91.84
2007-07-20,80,92.5
2007-07-27,78,87.71
2007-08-03,77,89.21
2007-08-10,68,84.93
2007-08-17,77,87
2007-08-24,76,87.85
2007-08-31,81,90
2007-09-07,75,89.89
2007-09-14,76,47.04
2007-09-21,78,50.91
2007-09-28,74,52.02
2007-10-05,71,52.45
2007-10-12,74,52.91
2007-10-19,75,52.55
2007-10-26,73,53.81
2007-11-02,81,56.95
2007-11-09,76,55.14
2007-11-16,75,52.12
2007-11-23,83,52.16
2007-11-30,82,54.72
2007-12-07,82,54.63
2007-12-14,69,53.61
2007-12-21,70,54.35
2007-12-28,51,54.98
2008-01-04,59,53.22
2008-01-11,71,52.06
2008-01-18,77,49.96
2008-01-25,75,50.51
2008-02-01,68,53.41
2008-02-08,75,49.89
2008-02-15,77,55.31
2008-02-22,81,56.45
2008-02-29,75,56.61
2008-03-07,69,54.21
2008-03-14,83,56.2
2008-03-28,71,55.83
2008-04-04,78,58.77
2008-04-11,85,59.93
2008-04-18,71,63.5
2008-04-25,80,63.96
2008-05-02,70,62.21
2008-05-09,77,67.22
2008-05-16,70,69.66
2008-05-23,75,69.06
2008-05-30,77,73.98
2008-06-06,75,75.03
