"Date","AEE","Price"
2004-02-06,29,46.28
2004-02-13,39,46.34
2004-02-20,23,46.25
2004-02-27,23,47.4
2004-04-16,21,43.65
2004-04-23,21,43.51
2004-04-30,21,43.72
2004-05-07,18,42.21
2004-05-14,19,41.98
2004-05-21,19,42.18
2004-05-28,19,44.2
2004-06-04,22,44.27
2004-06-18,17,43.25
2004-06-25,25,43.8
2004-07-02,21,42.83
2004-07-09,21,42.78
2004-07-16,21,43.51
2004-07-23,21,43.76
2004-07-30,27,44.69
2004-08-06,27,45.29
2004-08-13,24,45.52
2004-08-20,24,46.09
2004-08-27,28,46.32
2004-09-03,26,46.79
2004-09-10,20,46.18
2004-09-17,21,46.73
2004-09-24,24,46.28
2004-10-01,19,46.39
2004-10-08,26,46.45
2004-10-15,26,46.8
2004-10-22,27,47.01
2004-10-29,27,48
2004-11-05,28,48.63
2004-11-12,21,49.3
2004-11-19,21,48.8
2004-11-26,15,49.75
2004-12-03,19,48.66
2004-12-10,14,48.57
2004-12-17,21,49.55
2004-12-31,30,50.14
2005-01-07,30,48.85
2005-01-14,36,49.51
2005-01-21,22,49.39
2005-01-28,24,49.8
2005-02-04,25,50.49
2005-02-11,27,51.21
2005-02-18,22,51.01
2005-02-25,23,51.33
2005-03-04,22,51.83
2005-03-11,21,49.5
2005-03-18,20,49.34
2005-04-01,20,49.06
2005-04-08,24,49.83
2005-04-15,21,49.82
2005-04-22,19,51.08
2005-04-29,14,51.7
2005-05-06,19,52.51
2005-05-13,29,52.28
2005-05-20,26,53.27
2005-05-27,21,54.23
2005-06-03,14,54.82
2005-06-10,33,53.66
2005-06-17,29,54.49
2005-06-24,29,54.5
2005-07-01,14,55.62
2005-07-08,15,55.59
2005-07-15,13,55.35
2005-07-22,23,55.11
2005-07-29,18,55.62
2005-08-05,22,54.89
2005-08-12,18,54.75
2005-08-19,27,54.34
2005-08-26,22,54.16
2005-09-02,28,55.86
2005-09-09,18,55.25
2005-09-16,18,56.29
2005-09-23,19,52.89
2005-09-30,21,53.49
2005-10-07,28,52.09
2005-10-14,22,50.43
2005-10-21,21,50.23
2005-10-28,15,52.07
2005-11-04,21,51.6
2005-11-11,25,51.61
2005-11-18,21,51.65
2005-11-25,22,52.92
