"Date","DTE","Price"
2004-02-06,23,39.1
2004-02-13,24,39.19
2004-02-20,29,39.75
2004-02-27,29,40.46
2004-03-05,35,41.75
2004-03-12,42,41.38
2004-03-19,39,40.89
2004-03-26,33,40.6
2004-04-02,38,41.32
2004-04-16,32,39.39
2004-04-23,39,39.18
2004-04-30,38,39.02
2004-05-07,36,39.05
2004-05-14,38,39
2004-05-21,46,38.55
2004-05-28,42,40.21
2004-06-04,39,39.65
2004-06-18,50,40.46
2004-06-25,48,40.36
2004-07-02,55,40.82
2004-07-09,56,40.5
2004-07-16,63,41.13
2004-07-23,51,39.92
2004-07-30,59,40.17
2004-08-06,60,40.04
2004-08-13,61,39.56
2004-08-20,53,40.06
2004-08-27,44,40.82
2004-09-03,31,41.26
2004-09-10,34,41.1
2004-09-17,29,41.14
2004-09-24,32,41.44
2004-10-01,27,42.13
2004-10-08,30,42.23
2004-10-15,26,42.13
2004-10-22,27,41.93
2004-10-29,26,42.71
2004-11-05,28,43.44
2004-11-12,23,44.72
2004-11-19,27,44.37
2004-11-26,31,45.3
2004-12-03,30,43.46
2004-12-10,26,43.53
2004-12-17,32,43.69
2004-12-31,25,43.13
2005-01-07,25,42.71
2005-01-14,27,43.26
2005-01-21,26,43.12
2005-01-28,28,43.1
2005-02-04,30,44.62
2005-02-11,34,44.82
2005-02-18,29,44.24
2005-02-25,31,43.9
2005-03-04,32,45.79
2005-03-11,30,45.89
2005-03-18,35,45.44
2005-04-01,31,45.46
2005-04-08,32,45.91
2005-04-15,30,44.92
2005-04-22,31,45.33
2005-04-29,41,45.95
2005-05-06,40,46.27
2005-05-13,48,45.41
2005-05-20,41,46.38
2005-05-27,42,46.96
2005-06-03,41,47.27
2005-06-10,55,47.51
2005-06-17,58,47.08
2005-06-24,48,46.36
2005-07-01,57,47.07
2005-07-08,54,48.11
2005-07-15,56,47.68
2005-07-22,56,47.59
2005-07-29,52,47
2005-08-05,56,45.99
2005-08-12,49,45.52
2005-08-19,45,45
2005-08-26,40,45.46
2005-09-02,41,46.23
2005-09-09,24,46.7
2005-09-16,27,46.25
2005-09-23,29,45.16
2005-09-30,32,45.86
2005-10-07,29,44.58
2005-10-14,25,42.8
2005-10-21,25,41.81
2005-10-28,23,42.74
2005-11-04,22,42.72
2005-11-11,26,43.4
2005-11-18,24,43.54
2005-11-25,23,44.33
2005-12-02,26,43.73
2005-12-09,24,43.8
2005-12-16,27,44.2
2005-12-23,23,43.62
2005-12-30,20,43.19
2006-01-06,26,43.7
2006-01-13,30,43.86
2006-01-20,28,43.37
2006-01-27,28,42.48
2006-02-03,26,41.17
2006-02-10,31,42.05
2006-02-17,31,42.87
2006-02-24,25,43.43
2006-03-03,26,42.98
2006-03-10,28,42.22
2006-03-17,29,42.89
2006-03-24,32,41.38
2006-03-31,33,40.09
2006-04-07,33,40.51
2006-04-21,36,40.52
2006-04-28,36,40.78
2006-05-05,37,40.87
2006-05-12,39,39.7
2006-05-19,36,39.58
2006-05-26,41,40.41
2006-06-02,44,40.98
2006-06-09,51,41.4
2006-06-16,55,40.75
2006-06-23,55,39.67
2006-06-30,54,40.74
2006-07-07,50,41.18
2006-07-14,59,41.33
2006-07-21,62,42.64
2006-07-28,59,42.15
2006-08-04,56,42.09
2006-08-11,44,41.27
2006-08-18,44,41.05
2006-08-25,41,40.84
2006-09-01,38,41.4
2006-09-08,39,41.17
2006-09-15,38,41.15
2006-09-22,27,40.36
2006-09-29,25,41.51
2006-10-06,28,41.92
2006-10-13,27,43.19
2006-10-20,25,45.28
2006-10-27,23,45.17
2006-11-03,26,45.71
2006-11-10,23,46.16
2006-11-17,24,46.95
2006-11-24,20,46.74
2006-12-01,26,47.31
2006-12-08,24,47.22
2006-12-15,24,48.72
2006-12-22,22,48.3
2006-12-29,19,48.41
2007-01-05,27,47.67
2007-01-12,24,45.95
2007-01-19,38,46.05
2007-01-26,25,46.04
2007-02-02,27,46.94
2007-02-09,29,47.32
2007-02-16,24,47.99
2007-02-23,25,47.75
2007-03-02,27,46.64
2007-03-09,24,46.48
2007-03-16,26,46.31
2007-03-23,27,47.75
2007-03-30,32,47.9
2007-04-13,32,48.7
2007-04-20,27,49.69
2007-04-27,34,50.98
2007-05-04,34,51.39
2007-05-11,34,52
2007-05-18,35,52.92
2007-05-25,39,52.21
2007-06-01,46,52.71
