"Date","NEE","Price"
2004-02-06,32,63.98
2004-02-13,34,64.64
2004-02-20,30,65.85
2004-02-27,35,65.65
2004-03-05,35,67.75
2004-03-12,26,66.89
2004-03-19,42,67.37
2004-03-26,28,66.44
2004-04-02,32,66.31
2004-04-16,35,64.03
2004-04-23,37,65.45
2004-04-30,35,63.62
2004-05-07,34,62.15
2004-05-14,35,61.6
2004-05-21,24,61.4
2004-05-28,37,63.75
2004-06-04,30,63.32
2004-06-18,32,63.85
2004-06-25,38,63.84
2004-07-02,30,63.46
2004-07-09,35,62.62
2004-07-16,38,64.1
2004-07-23,34,65.76
2004-07-30,28,67.33
2004-08-06,26,67.73
2004-08-13,30,67.67
2004-08-20,29,67.99
2004-08-27,27,68.55
2004-09-03,29,69.04
2004-09-10,40,68.9
2004-09-17,31,67.96
2004-09-24,27,67.83
2004-10-01,37,68.58
2004-10-08,33,68.54
2004-10-15,35,68.78
2004-10-22,29,68.71
2004-10-29,33,68.9
2004-11-05,39,70.48
2004-11-12,31,72.56
2004-11-19,34,71.81
2004-11-26,37,72.71
2004-12-03,38,71.01
2004-12-10,30,72.51
2004-12-17,29,74.69
2004-12-31,45,74.75
2005-01-07,40,73.09
2005-01-14,36,73.24
2005-01-21,31,74.61
2005-01-28,36,75.56
2005-02-04,32,79.7
2005-02-11,37,78.75
2005-02-18,37,78.6
2005-02-25,45,79.7
2005-03-04,38,80.94
2005-03-11,31,79.81
2005-03-18,35,40.36
2005-04-01,41,40.13
2005-04-08,34,40.33
2005-04-15,37,39.94
2005-04-22,35,41.57
2005-04-29,30,40.82
2005-05-06,35,40.38
2005-05-13,34,40.03
2005-05-20,39,40.43
2005-05-27,51,40.83
2005-06-03,79,40.71
2005-06-10,38,40.99
2005-06-17,36,41.48
2005-06-24,45,41.4
2005-07-01,36,42.69
2005-07-08,30,43.34
2005-07-15,40,43.46
2005-07-22,36,43.22
2005-07-29,34,43.12
2005-08-05,33,42.1
2005-08-12,31,41.65
2005-08-19,30,40.9
2005-08-26,32,43.12
2005-09-02,29,44.11
2005-09-09,33,45.8
2005-09-16,27,46
2005-09-23,31,45.23
2005-09-30,31,47.6
2005-10-07,37,45.72
2005-10-14,34,44.25
2005-10-21,39,42.52
2005-10-28,42,42.95
2005-11-04,36,42.09
2005-11-11,39,41.77
2005-11-18,34,43.17
2005-11-25,38,43.38
2005-12-02,38,42.47
2005-12-09,31,42.26
2005-12-16,35,42.95
2005-12-23,35,41.06
2005-12-30,38,41.56
2006-01-06,44,42.22
2006-01-13,36,41.69
2006-01-20,36,42.76
2006-01-27,42,41.66
2006-02-03,46,40.34
2006-02-10,41,41.86
2006-02-17,37,41.96
2006-02-24,42,41.78
2006-03-03,40,40.52
2006-03-10,35,39.22
2006-03-17,42,40.62
2006-03-24,34,40.7
2006-03-31,35,40.14
2006-04-07,31,40.12
2006-04-21,37,39.34
2006-04-28,31,39.6
2006-05-05,36,39.95
2006-05-12,38,39.13
2006-05-19,33,38.33
2006-05-26,33,39.31
2006-06-02,35,40.8
2006-06-09,34,41.8
2006-06-16,37,41.25
2006-06-23,36,40.5
2006-06-30,35,41.38
2006-07-07,35,41.24
2006-07-14,31,41.61
2006-07-21,31,42.9
2006-07-28,27,43
2006-08-04,32,43.95
2006-08-11,29,43.64
2006-08-18,34,43.61
2006-08-25,35,44.06
2006-09-01,34,44.4
2006-09-08,33,44.25
2006-09-15,36,44.55
2006-09-22,33,44.46
2006-09-29,33,45
2006-10-06,36,46.32
2006-10-13,36,46.43
2006-10-20,37,47.9
2006-10-27,38,49.92
2006-11-03,33,50.98
2006-11-10,33,52.99
2006-11-17,36,52.68
2006-11-24,34,52.81
2006-12-01,30,53.16
2006-12-08,30,53.34
2006-12-15,36,54.94
2006-12-22,36,54.66
2006-12-29,41,54.42
2007-01-05,36,54.33
2007-01-12,31,53.85
2007-01-19,32,54.73
