Date,BA,Price
2004-01-09,38,
2004-01-16,39,
2004-01-23,35,
2004-01-30,35,
2004-02-06,36,44.35
2004-02-13,35,44.45
2004-02-20,34,44.34
2004-02-27,35,43.37
2004-03-05,35,42.72
2004-03-12,32,40.30
2004-03-19,35,39.43
2004-03-26,32,39.35
2004-04-02,33,41.84
2004-04-09,30,
2004-04-16,32,41.50
2004-04-23,34,42.45
2004-04-30,36,42.69
2004-05-07,34,43.40
2004-05-14,34,43.44
2004-05-21,34,43.40
2004-05-28,34,45.80
2004-06-04,36,46.90
2004-06-11,35,
2004-06-18,36,49.80
2004-06-25,36,51.30
2004-07-02,37,49.52
2004-07-09,38,50.04
2004-07-16,37,49.13
2004-07-23,35,47.06
2004-07-30,38,50.75
2004-08-06,35,48.33
2004-08-13,38,49.72
2004-08-20,40,50.46
2004-08-27,38,51.99
2004-09-03,38,53.10
2004-09-10,39,54.15
2004-09-17,38,55.15
2004-09-24,38,53.14
2004-10-01,37,52.48
2004-10-08,38,50.10
2004-10-15,37,50.19
2004-10-22,36,49.51
2004-10-29,34,49.90
2004-11-05,34,51.15
2004-11-12,37,53.93
2004-11-19,33,53.77
2004-11-26,34,54.02
2004-12-03,30,55.26
2004-12-10,32,52.42
2004-12-17,31,53.10
2004-12-24,32,
2004-12-31,29,51.77
2005-01-07,39,50.31
2005-01-14,41,50.91
2005-01-21,39,50.07
2005-01-28,38,49.92
2005-02-04,35,52.58
2005-02-11,37,54.14
2005-02-18,36,52.78
2005-02-25,36,54.99
2005-03-04,37,58.38
2005-03-11,38,57.49
2005-03-18,37,57.16
2005-03-25,36,
2005-04-01,36,58.78
2005-04-08,36,58.60
2005-04-15,36,57.00
2005-04-22,37,57.88
2005-04-29,35,59.52
2005-05-06,34,61.01
2005-05-13,37,59.50
2005-05-20,37,61.90
2005-05-27,39,63.02
2005-06-03,37,64.66
2005-06-10,38,64.65
2005-06-17,39,64.62
2005-06-24,38,60.59
2005-07-01,40,64.68
2005-07-08,37,65.07
2005-07-15,38,64.75
2005-07-22,39,66.20
2005-07-29,40,66.01
2005-08-05,38,66.19
2005-08-12,44,66.54
2005-08-19,42,67.15
2005-08-26,42,66.31
2005-09-02,42,64.34
2005-09-09,44,65.40
2005-09-16,40,64.80
2005-09-23,41,63.20
2005-09-30,41,67.95
2005-10-07,40,67.30
2005-10-14,39,67.50
2005-10-21,39,66.02
2005-10-28,38,65.64
2005-11-04,40,65.28
2005-11-11,37,65.35
2005-11-18,38,66.95
2005-11-25,37,69.06
2005-12-02,37,69.44
2005-12-09,38,69.65
2005-12-16,35,70.75
2005-12-23,35,71.49
2005-12-30,36,70.24
2006-01-06,46,69.35
2006-01-13,46,69.48
2006-01-20,44,66.50
2006-01-27,44,68.56
2006-02-03,44,70.87
2006-02-10,42,72.53
2006-02-17,42,72.96
2006-02-24,42,74.31
2006-03-03,40,73.39
2006-03-10,42,74.79
2006-03-17,40,77.85
2006-03-24,41,78.73
2006-03-31,43,77.93
2006-04-07,41,79.57
2006-04-14,40,
2006-04-21,44,86.46
2006-04-28,46,83.45
2006-05-05,44,88.47
2006-05-12,46,87.01
2006-05-19,47,84.61
2006-05-26,47,83.50
2006-06-02,46,83.80
2006-06-09,47,80.50
2006-06-16,45,85.54
2006-06-23,44,83.39
2006-06-30,44,81.91
2006-07-07,47,79.99
2006-07-14,45,77.25
2006-07-21,47,79.08
2006-07-28,48,78.91
2006-08-04,48,79.49
2006-08-11,56,75.96
2006-08-18,54,77.62
2006-08-25,48,73.93
2006-09-01,49,75.43
2006-09-08,49,72.80
2006-09-15,48,75.01
2006-09-22,47,77.25
2006-09-29,51,78.85
2006-10-06,50,83.68
2006-10-13,45,82.39
2006-10-20,48,81.74
2006-10-27,45,79.74
2006-11-03,46,79.97
2006-11-10,46,85.62
2006-11-17,44,89.52
2006-11-24,46,89.77
2006-12-01,45,89.55
2006-12-08,43,90.13
2006-12-15,41,90.70
2006-12-22,49,88.76
2006-12-29,43,88.84
2007-01-05,53,89.15
2007-01-12,52,88.13
2007-01-19,52,88.63
2007-01-26,57,85.43
2007-02-02,53,90.05
2007-02-09,50,90.00
2007-02-16,47,90.94
2007-02-23,46,90.28
2007-03-02,46,87.03
2007-03-09,50,89.51
2007-03-16,48,90.00
2007-03-23,48,90.98
2007-03-30,48,88.91
2007-04-06,45,
2007-04-13,44,91.03
2007-04-20,47,93.29
2007-04-27,48,94.02
2007-05-04,48,93.61
2007-05-11,46,93.40
2007-05-18,48,96.63
2007-05-25,47,98.25
2007-06-01,47,99.83
2007-06-08,47,98.19
2007-06-15,50,98.15
2007-06-22,48,95.92
2007-06-29,50,96.16
2007-07-06,53,98.88
2007-07-13,52,101.88
2007-07-20,52,103.86
2007-07-27,53,103.71
2007-08-03,50,104.24
2007-08-10,48,98.44
2007-08-17,52,95.93
2007-08-24,50,98.47
2007-08-31,49,96.70
2007-09-07,50,94.84
2007-09-14,49,99.35
2007-09-21,51,102.59
2007-09-28,49,104.99
2007-10-05,49,102.25
2007-10-12,49,96.69
2007-10-19,48,93.90
2007-10-26,47,96.02
2007-11-02,50,97.76
2007-11-09,49,94.21
2007-11-16,47,89.99
2007-11-23,49,89.54
2007-11-30,48,92.54
2007-12-07,45,93.16
2007-12-14,44,88.42
2007-12-21,47,89.07
2007-12-28,47,88.25
2008-01-04,51,85.82
2008-01-11,57,80.52
2008-01-18,61,78.40
2008-01-25,57,77.03
2008-02-01,52,82.76
2008-02-08,48,79.33
2008-02-15,52,85.18
2008-02-22,54,83.04
2008-02-29,53,82.79
2008-03-07,53,76.60
2008-03-14,52,76.23
2008-03-21,50,
2008-03-28,52,73.47
2008-04-04,54,75.65
2008-04-11,53,76.86
2008-04-18,52,78.66
2008-04-25,52,84.84
2008-05-02,50,85.69
2008-05-09,51,84.06
2008-05-16,50,85.17
2008-05-23,50,81.48
2008-05-30,54,82.77
2008-06-06,51,73.16
2008-06-13,51,75.12
2008-06-20,52,75.83
2008-06-27,52,66.92
2008-07-04,55,
2008-07-11,55,63.28
2008-07-18,57,68.14
2008-07-25,54,63.83
2008-08-01,55,62.01
2008-08-08,55,67.86
2008-08-15,53,64.45
