Date,Chevron Corporation,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,85.42
2004-02-13,0,86.52
2004-02-20,0,86.61
2004-02-27,0,88.35
2004-03-05,0,90.22
2004-03-12,0,88.45
2004-03-19,0,88.20
2004-03-26,0,85.34
2004-04-02,0,88.03
2004-04-09,0,
2004-04-16,0,91.73
2004-04-23,0,91.69
2004-04-30,0,91.50
2004-05-07,0,91.65
2004-05-14,0,92.69
2004-05-21,0,89.61
2004-05-28,0,90.40
2004-06-04,0,90.20
2004-06-11,0,
2004-06-18,0,93.42
2004-06-25,0,93.39
2004-07-02,0,93.25
2004-07-09,0,93.95
2004-07-16,0,95.40
2004-07-23,0,93.70
2004-07-30,0,95.65
2004-08-06,0,93.82
2004-08-13,0,95.60
2004-08-20,0,94.18
2004-08-27,0,95.25
2004-09-03,0,99.77
2004-09-10,0,100.05
2004-09-17,0,51.94
2004-09-24,0,52.83
2004-10-01,0,53.92
2004-10-08,0,55.29
2004-10-15,0,53.40
2004-10-22,0,53.34
2004-10-29,0,53.06
2004-11-05,0,54.53
2004-11-12,0,54.57
2004-11-19,0,53.90
2004-11-26,0,54.84
2004-12-03,0,52.59
2004-12-10,0,52.60
2004-12-17,0,51.72
2004-12-24,0,
2004-12-31,0,52.51
2005-01-07,0,51.15
2005-01-14,0,52.30
2005-01-21,0,51.98
2005-01-28,0,53.72
2005-02-04,0,56.74
2005-02-11,0,58.16
2005-02-18,0,59.73
2005-02-25,0,61.94
2005-03-04,0,61.71
2005-03-11,0,58.30
2005-03-18,0,60.38
2005-03-25,0,
2005-04-01,0,59.31
2005-04-08,0,56.69
2005-04-15,0,52.21
2005-04-22,0,53.87
2005-04-29,0,52.00
2005-05-06,0,52.74
2005-05-13,0,51.28
2005-05-20,0,51.72
2005-05-27,0,54.58
2005-06-03,0,55.06
2005-06-10,0,56.30
2005-06-17,0,58.97
2005-06-24,0,56.69
2005-07-01,0,56.97
2005-07-08,0,57.36
2005-07-15,0,56.67
2005-07-22,0,57.79
2005-07-29,0,58.01
2005-08-05,0,60.34
2005-08-12,0,62.28
2005-08-19,0,59.92
2005-08-26,0,59.38
2005-09-02,0,62.30
2005-09-09,0,63.81
2005-09-16,0,63.38
2005-09-23,0,63.27
2005-09-30,0,64.73
2005-10-07,100,61.00
2005-10-14,0,59.48
2005-10-21,0,56.30
2005-10-28,0,57.38
2005-11-04,0,58.01
2005-11-11,0,56.63
2005-11-18,0,58.11
2005-11-25,0,58.54
2005-12-02,0,59.18
2005-12-09,0,58.82
2005-12-16,0,57.51
2005-12-23,0,57.13
2005-12-30,0,56.77
2006-01-06,0,59.25
2006-01-13,0,60.36
2006-01-20,0,61.12
2006-01-27,0,60.38
2006-02-03,0,57.50
2006-02-10,0,56.61
2006-02-17,0,57.17
2006-02-24,0,57.65
2006-03-03,0,56.97
2006-03-10,0,54.08
2006-03-17,0,57.18
2006-03-24,0,57.57
2006-03-31,0,57.97
2006-04-07,0,58.65
2006-04-14,0,
2006-04-21,0,61.48
2006-04-28,0,61.02
2006-05-05,0,62.35
2006-05-12,0,61.38
2006-05-19,0,58.47
2006-05-26,0,59.83
2006-06-02,0,60.75
2006-06-09,0,57.53
2006-06-16,0,58.71
2006-06-23,0,58.71
2006-06-30,0,62.06
2006-07-07,0,63.68
2006-07-14,0,66.38
2006-07-21,0,64.45
2006-07-28,0,66.05
2006-08-04,0,65.66
2006-08-11,0,67.85
2006-08-18,0,67.26
2006-08-25,0,66.77
2006-09-01,0,64.83
2006-09-08,0,64.22
2006-09-15,0,61.79
2006-09-22,0,61.94
2006-09-29,0,64.86
2006-10-06,0,63.66
2006-10-13,0,64.20
2006-10-20,0,65.28
2006-10-27,0,67.68
2006-11-03,0,68.91
2006-11-10,0,69.54
2006-11-17,59,69.10
2006-11-24,0,68.84
2006-12-01,0,73.11
2006-12-08,0,72.83
2006-12-15,0,75.38
2006-12-22,0,72.73
2006-12-29,0,73.53
2007-01-05,0,70.55
2007-01-12,0,70.35
2007-01-19,0,72.32
2007-01-26,0,71.50
2007-02-02,0,74.04
2007-02-09,0,73.32
2007-02-16,0,70.81
2007-02-23,0,71.07
2007-03-02,71,66.79
2007-03-09,0,68.47
2007-03-16,0,68.08
2007-03-23,0,73.70
2007-03-30,0,73.96
2007-04-06,0,
2007-04-13,0,77.01
2007-04-20,0,78.45
2007-04-27,0,78.08
2007-05-04,0,79.30
2007-05-11,0,80.04
2007-05-18,0,82.85
2007-05-25,0,81.13
2007-06-01,0,82.23
2007-06-08,0,80.69
2007-06-15,0,83.17
2007-06-22,0,81.55
2007-06-29,45,84.24
2007-07-06,51,87.68
2007-07-13,56,93.33
2007-07-20,46,92.12
2007-07-27,46,85.20
2007-08-03,0,81.02
2007-08-10,0,83.42
2007-08-17,0,84.36
2007-08-24,0,87.22
2007-08-31,0,87.76
2007-09-07,0,87.65
2007-09-14,50,90.65
2007-09-21,44,94.84
2007-09-28,44,93.58
2007-10-05,41,92.32
2007-10-12,61,91.41
2007-10-19,0,89.27
2007-10-26,0,91.65
2007-11-02,0,88.48
2007-11-09,0,87.26
2007-11-16,0,85.98
2007-11-23,38,86.67
2007-11-30,40,87.77
2007-12-07,40,90.96
2007-12-14,40,92.02
2007-12-21,41,94.04
2007-12-28,42,94.86
2008-01-04,43,93.35
2008-01-11,44,90.67
2008-01-18,46,83.46
2008-01-25,42,81.82
2008-02-01,55,82.49
2008-02-08,39,79.26
2008-02-15,37,83.60
2008-02-22,37,85.42
2008-02-29,37,86.66
2008-03-07,43,85.26
2008-03-14,49,85.34
2008-03-21,55,
2008-03-28,61,84.50
2008-04-04,62,88.05
2008-04-11,39,88.80
2008-04-18,37,93.18
2008-04-25,37,92.69
2008-05-02,44,95.32
2008-05-09,37,97.39
2008-05-16,33,100.38
2008-05-23,52,100.73
2008-05-30,32,99.15
2008-06-06,33,99.50
2008-06-13,33,99.40
2008-06-20,33,96.62
2008-06-27,35,97.80
2008-07-04,38,
2008-07-11,40,92.25
2008-07-18,45,86.05
2008-07-25,51,82.56
2008-08-01,37,84.31
2008-08-08,37,84.40
2008-08-15,37,84.25
2008-08-22,36,88.10
2008-08-29,41,86.32
2008-09-05,31,80.22
2008-09-12,51,84.24
2008-09-19,33,87.80
2008-09-26,33,86.95
2008-10-03,33,79.38
2008-10-10,37,57.83
2008-10-17,29,62.35
2008-10-24,37,63.91
2008-10-31,48,74.60
2008-11-07,43,73.46
2008-11-14,44,72.68
2008-11-21,44,70.49
2008-11-28,39,79.01
2008-12-05,38,74.42
2008-12-12,47,79.00
2008-12-19,29,70.85
2008-12-26,29,70.35
2009-01-02,29,76.52
2009-01-09,29,72.82
2009-01-16,34,71.74
2009-01-23,31,70.82
2009-01-30,31,70.52
2009-02-06,30,74.90
2009-02-13,53,69.73
2009-02-20,38,65.07
2009-02-27,33,60.71
2009-03-06,45,58.27
2009-03-13,40,62.91
2009-03-20,33,64.71
2009-03-27,24,68.90
2009-04-03,45,70.48
2009-04-10,37,
2009-04-17,33,66.01
2009-04-24,27,66.60
2009-05-01,27,66.87
2009-05-08,42,70.38
2009-05-15,36,65.88
2009-05-22,41,64.44
2009-05-29,24,66.67
2009-06-05,29,69.37
2009-06-12,43,72.67
2009-06-19,43,68.06
2009-06-26,34,65.95
2009-07-03,34,
2009-07-10,34,61.40
2009-07-17,29,65.12
2009-07-24,29,68.43
2009-07-31,30,69.47
2009-08-07,30,69.50
2009-08-14,29,68.63
2009-08-21,39,69.73
2009-08-28,35,70.68
2009-09-04,27,68.96
2009-09-11,32,70.75
2009-09-18,42,72.64
2009-09-25,47,70.66
2009-10-02,35,68.14
2009-10-09,41,72.76
2009-10-16,43,76.81
2009-10-23,44,76.68
2009-10-30,34,76.54
2009-11-06,29,77.53
2009-11-13,29,77.94
2009-11-20,33,76.77
2009-11-27,21,78.17
2009-12-04,35,78.07
2009-12-11,33,77.76
2009-12-18,30,76.90
2009-12-25,30,
2010-01-01,30,
2010-01-08,30,79.47
2010-01-15,27,79.23
2010-01-22,29,74.59
2010-01-29,45,72.12
2010-02-05,30,71.18
2010-02-12,34,71.01
2010-02-19,37,74.05
2010-02-26,37,72.30
2010-03-05,30,74.30
2010-03-12,32,73.72
2010-03-19,32,74.98
2010-03-26,36,74.43
2010-04-02,36,
2010-04-09,24,79.50
2010-04-16,30,80.75
2010-04-23,37,82.67
2010-04-30,32,81.44
2010-05-07,30,77.10
2010-05-14,33,77.83
2010-05-21,23,74.48
2010-05-28,27,73.87
2010-06-04,37,71.28
2010-06-11,19,74.06
2010-06-18,23,75.52
2010-06-25,25,70.06
2010-07-02,29,67.31
2010-07-09,19,71.84
2010-07-16,22,71.50
2010-07-23,24,73.52
2010-07-30,35,76.21
2010-08-06,28,78.73
2010-08-13,36,77.40
2010-08-20,35,75.05
2010-08-27,21,74.93
2010-09-03,20,78.00
2010-09-10,17,78.82
2010-09-17,45,78.46
2010-09-24,35,80.12
2010-10-01,34,81.95
2010-10-08,24,83.94
2010-10-15,51,83.61
2010-10-22,19,84.55
2010-10-29,29,82.60
2010-11-05,21,84.98
2010-11-12,28,85.44
2010-11-19,22,83.94
2010-11-26,31,82.05
2010-12-03,35,84.89
2010-12-10,37,87.03
2010-12-17,19,88.49
2010-12-24,22,
2010-12-31,25,91.25
2011-01-07,28,91.19
2011-01-14,28,92.83
2011-01-21,29,93.78
2011-01-28,25,93.37
2011-02-04,29,97.11
2011-02-11,29,96.45
2011-02-18,33,98.72
2011-02-25,29,102.10
2011-03-04,21,103.75
2011-03-11,25,99.93
2011-03-18,28,102.80
2011-03-25,27,106.78
2011-04-01,35,108.32
2011-04-08,27,109.66
2011-04-15,33,106.24
2011-04-22,21,
2011-04-29,22,109.44
2011-05-06,33,102.88
2011-05-13,24,102.39
2011-05-20,21,102.57
2011-05-27,23,103.21
2011-06-03,22,101.00
2011-06-10,19,99.67
2011-06-17,21,99.17
2011-06-24,22,97.90
2011-07-01,35,104.09
2011-07-08,17,105.89
2011-07-15,27,106.19
2011-07-22,22,108.97
2011-07-29,25,104.02
2011-08-05,22,97.61
2011-08-12,29,95.86
2011-08-19,35,93.29
2011-08-26,21,96.85
2011-09-02,20,96.41
2011-09-09,20,95.19
2011-09-16,20,99.63
2011-09-23,19,90.01
2011-09-30,13,92.59
2011-10-07,20,94.40
2011-10-14,32,100.47
2011-10-21,29,105.53
2011-10-28,32,109.64
2011-11-04,16,106.43
2011-11-11,16,107.05
2011-11-18,18,97.88
2011-11-25,18,92.29
2011-12-02,25,101.69
2011-12-09,14,104.25
2011-12-16,20,100.86
2011-12-23,28,107.50
2011-12-30,27,106.40
2012-01-06,27,108.31
2012-01-13,28,106.09
2012-01-20,20,106.89
2012-01-27,13,103.96
2012-02-03,16,105.50
2012-02-10,22,105.28
2012-02-17,14,106.66
2012-02-24,29,109.08
2012-03-02,21,109.61
2012-03-09,25,109.57
2012-03-16,25,110.28
2012-03-23,27,106.36
2012-03-30,29,107.21
2012-04-06,28,
2012-04-13,23,100.78
2012-04-20,23,102.52
2012-04-27,29,106.20
2012-05-04,27,103.72
2012-05-11,24,102.69
2012-05-18,28,98.46
2012-05-25,32,98.86
2012-06-01,38,96.41
2012-06-08,27,100.84
2012-06-15,21,104.33
2012-06-22,23,100.44
2012-06-29,21,105.50
2012-07-06,17,105.07
2012-07-13,22,106.01
2012-07-20,22,109.19
2012-07-27,31,109.26
2012-08-03,24,111.12
2012-08-10,26,113.55
2012-08-17,24,112.66
2012-08-24,22,112.01
2012-08-31,34,112.16
2012-09-07,26,114.00
2012-09-14,18,117.25
2012-09-21,19,117.80
2012-09-28,33,116.56
2012-10-05,26,117.50
2012-10-12,17,112.07
2012-10-19,23,113.38
2012-10-26,23,111.18
2012-11-02,33,108.37
2012-11-09,20,105.84
2012-11-16,13,102.40
2012-11-23,27,105.47
2012-11-30,14,105.69
2012-12-07,20,106.99
2012-12-14,22,107.82
2012-12-21,16,109.71
2012-12-28,14,106.45
2013-01-04,14,110.50
2013-01-11,21,111.73
2013-01-18,18,115.24
2013-01-25,19,116.20
2013-02-01,21,116.50
2013-02-08,34,115.64
2013-02-15,20,114.96
2013-02-22,27,115.96
2013-03-01,33,116.90
2013-03-08,36,118.57
2013-03-15,24,119.68
2013-03-22,20,121.18
2013-03-29,30,
2013-04-05,15,117.52
2013-04-12,26,119.94
2013-04-19,24,115.90
2013-04-26,26,120.04
2013-05-03,24,123.49
2013-05-10,19,123.23
2013-05-17,19,123.42
2013-05-24,27,125.45
2013-05-31,18,122.75
2013-06-07,22,121.70
2013-06-14,17,120.28
2013-06-21,24,118.93
2013-06-28,14,118.34
2013-07-05,24,120.51
2013-07-12,17,124.06
2013-07-19,15,126.91
2013-07-26,28,127.56
2013-08-02,15,124.95
2013-08-09,20,122.50
2013-08-16,21,119.88
2013-08-23,18,119.53
2013-08-30,22,120.43
2013-09-06,12,121.21
2013-09-13,18,124.14
2013-09-20,29,124.92
2013-09-27,21,122.64
2013-10-04,18,118.13
2013-10-11,19,117.67
2013-10-18,16,119.65
2013-10-25,22,120.59
2013-11-01,17,118.01
2013-11-08,19,121.19
2013-11-15,21,120.06
2013-11-22,20,124.03
2013-11-29,16,122.44
2013-12-06,20,122.29
2013-12-13,20,119.90
2013-12-20,16,122.78
2013-12-27,15,125.23
2014-01-03,18,124.35
2014-01-10,17,121.01
2014-01-17,21,119.29
2014-01-24,19,116.29
2014-01-31,21,111.63
2014-02-07,26,112.05
2014-02-14,26,113.48
2014-02-21,22,112.68
2014-02-28,26,115.33
2014-03-07,21,115.08
2014-03-14,22,114.10
2014-03-21,19,115.63
2014-03-28,17,118.50
2014-04-04,21,118.80
2014-04-11,22,117.03
2014-04-18,15,
2014-04-25,29,123.99
2014-05-02, ,
