Date,GS,Price
2004-01-09,37,
2004-01-16,36,
2004-01-23,38,
2004-01-30,35,
2004-02-06,33,101.34
2004-02-13,32,105.85
2004-02-20,32,106.52
2004-02-27,35,105.87
2004-03-05,31,109.05
2004-03-12,35,104.93
2004-03-19,34,102.66
2004-03-26,31,103.75
2004-04-02,31,105.95
2004-04-09,33,
2004-04-16,34,103.36
2004-04-23,35,100.41
2004-04-30,35,96.75
2004-05-07,35,93.04
2004-05-14,35,94.01
2004-05-21,33,91.74
2004-05-28,33,93.91
2004-06-04,34,91.52
2004-06-11,32,
2004-06-18,34,89.18
2004-06-25,32,94.55
2004-07-02,34,93.61
2004-07-09,34,90.05
2004-07-16,37,87.25
2004-07-23,35,87.55
2004-07-30,34,88.19
2004-08-06,37,84.55
2004-08-13,34,84.25
2004-08-20,36,87.81
2004-08-27,33,90.48
2004-09-03,35,90.20
2004-09-10,36,93.13
2004-09-17,35,92.05
2004-09-24,35,93.48
2004-10-01,32,93.92
2004-10-08,31,94.24
2004-10-15,31,94.16
2004-10-22,32,92.70
2004-10-29,32,98.38
2004-11-05,30,100.85
2004-11-12,32,104.66
2004-11-19,32,103.04
2004-11-26,30,104.84
2004-12-03,31,106.47
2004-12-10,31,109.40
2004-12-17,35,103.75
2004-12-24,33,
2004-12-31,33,104.04
2005-01-07,34,104.78
2005-01-14,33,104.22
2005-01-21,32,103.33
2005-01-28,32,106.12
2005-02-04,33,110.02
2005-02-11,37,112.77
2005-02-18,34,109.00
2005-02-25,33,110.10
2005-03-04,37,111.53
2005-03-11,36,109.55
2005-03-18,38,109.98
2005-03-25,37,
2005-04-01,39,109.30
2005-04-08,38,112.93
2005-04-15,36,106.49
2005-04-22,37,104.19
2005-04-29,36,106.79
2005-05-06,38,104.68
2005-05-13,41,97.82
2005-05-20,38,101.08
2005-05-27,38,95.50
2005-06-03,36,97.30
2005-06-10,37,99.05
2005-06-17,36,103.80
2005-06-24,37,103.67
2005-07-01,39,102.71
2005-07-08,35,105.65
2005-07-15,33,108.50
2005-07-22,36,109.13
2005-07-29,37,107.48
2005-08-05,35,109.70
2005-08-12,34,113.65
2005-08-19,34,111.27
2005-08-26,36,109.75
2005-09-02,33,113.21
2005-09-09,34,116.17
2005-09-16,37,118.40
2005-09-23,34,119.47
2005-09-30,34,121.58
2005-10-07,36,117.57
2005-10-14,35,114.55
2005-10-21,33,118.77
2005-10-28,34,124.56
2005-11-04,34,130.96
2005-11-11,39,130.00
2005-11-18,35,131.58
2005-11-25,34,134.12
2005-12-02,37,131.08
2005-12-09,39,129.66
2005-12-16,37,126.50
2005-12-23,39,128.11
2005-12-30,40,127.71
2006-01-06,40,128.84
2006-01-13,39,133.26
2006-01-20,41,131.44
2006-01-27,42,138.94
2006-02-03,44,142.74
2006-02-10,43,140.81
2006-02-17,40,145.54
2006-02-24,42,144.16
2006-03-03,43,146.00
2006-03-10,43,141.53
2006-03-17,40,150.36
2006-03-24,47,152.17
2006-03-31,44,156.96
