Date,General Electric Company,Price
2004-01-09,0,
2004-01-16,68,
2004-01-23,84,
2004-01-30,100,
2004-02-06,85,33.18
2004-02-13,67,32.72
2004-02-20,72,32.70
2004-02-27,78,32.52
2004-03-05,0,32.77
2004-03-12,0,30.60
2004-03-19,0,30.14
2004-03-26,0,30.10
2004-04-02,0,31.06
2004-04-09,80,
2004-04-16,60,31.23
2004-04-23,60,30.69
2004-04-30,67,29.95
2004-05-07,0,30.00
2004-05-14,0,30.16
2004-05-21,0,30.65
2004-05-28,0,31.12
2004-06-04,0,31.23
2004-06-11,0,
2004-06-18,71,32.58
2004-06-25,60,32.18
2004-07-02,73,31.67
2004-07-09,86,32.17
2004-07-16,89,33.09
2004-07-23,91,32.52
2004-07-30,62,33.25
2004-08-06,62,31.52
2004-08-13,63,31.89
2004-08-20,64,32.65
2004-08-27,66,32.77
2004-09-03,67,32.84
2004-09-10,89,33.88
2004-09-17,53,34.22
2004-09-24,51,33.41
2004-10-01,72,33.97
2004-10-08,62,33.74
2004-10-15,62,33.55
2004-10-22,69,32.95
2004-10-29,69,34.12
2004-11-05,60,35.19
2004-11-12,66,36.25
2004-11-19,72,36.27
2004-11-26,79,35.44
2004-12-03,61,35.83
2004-12-10,66,36.69
2004-12-17,72,36.75
2004-12-24,53,
2004-12-31,53,36.50
2005-01-07,53,36.00
2005-01-14,53,35.52
2005-01-21,53,35.13
2005-01-28,64,35.75
2005-02-04,88,36.25
2005-02-11,72,36.23
2005-02-18,72,35.88
2005-02-25,66,35.62
2005-03-04,61,36.12
2005-03-11,61,35.82
2005-03-18,81,35.88
2005-03-25,50,
2005-04-01,50,35.47
2005-04-08,66,35.74
2005-04-15,95,35.75
2005-04-22,60,36.10
2005-04-29,74,36.20
2005-05-06,57,35.85
2005-05-13,57,35.70
2005-05-20,42,37.00
2005-05-27,52,36.88
2005-06-03,39,36.70
2005-06-10,39,36.63
2005-06-17,39,36.50
2005-06-24,47,34.78
2005-07-01,55,34.74
2005-07-08,44,34.99
2005-07-15,39,35.53
2005-07-22,49,35.07
2005-07-29,59,34.50
2005-08-05,47,33.81
2005-08-12,46,34.25
2005-08-19,46,33.95
2005-08-26,54,33.38
2005-09-02,62,33.33
2005-09-09,68,33.98
2005-09-16,64,34.47
2005-09-23,58,33.40
2005-09-30,56,33.67
2005-10-07,61,34.22
2005-10-14,66,34.34
2005-10-21,61,33.73
2005-10-28,57,34.05
2005-11-04,45,34.02
2005-11-11,31,34.65
2005-11-18,31,35.75
2005-11-25,51,36.20
2005-12-02,51,35.50
2005-12-09,52,35.53
2005-12-16,30,36.06
2005-12-23,40,35.42
2005-12-30,42,35.05
2006-01-06,44,35.47
2006-01-13,57,35.10
2006-01-20,28,33.37
2006-01-27,52,32.95
2006-02-03,39,32.85
2006-02-10,32,33.28
2006-02-17,37,33.61
2006-02-24,48,33.14
2006-03-03,58,33.06
2006-03-10,48,33.65
2006-03-17,56,34.51
2006-03-24,33,33.95
2006-03-31,36,34.78
2006-04-07,33,34.03
2006-04-14,40,
2006-04-21,46,33.97
2006-04-28,53,34.59
2006-05-05,52,35.16
2006-05-12,40,34.28
2006-05-19,42,34.16
2006-05-26,45,34.33
2006-06-02,41,34.66
2006-06-09,43,34.07
2006-06-16,47,33.93
2006-06-23,51,33.16
2006-06-30,30,32.96
2006-07-07,50,33.30
2006-07-14,51,32.11
2006-07-21,28,32.25
2006-07-28,31,33.02
2006-08-04,47,32.80
2006-08-11,29,32.50
2006-08-18,42,34.00
2006-08-25,38,33.84
2006-09-01,27,34.14
2006-09-08,46,34.01
2006-09-15,47,34.85
2006-09-22,46,34.40
2006-09-29,57,35.30
2006-10-06,32,36.14
2006-10-13,32,35.98
2006-10-20,44,35.47
2006-10-27,38,35.21
2006-11-03,35,34.77
2006-11-10,42,35.17
2006-11-17,35,36.25
2006-11-24,26,35.69
2006-12-01,50,35.28
2006-12-08,48,35.27
2006-12-15,35,37.36
2006-12-22,34,37.57
2006-12-29,28,37.21
2007-01-05,28,37.56
2007-01-12,48,37.89
2007-01-19,45,36.95
2007-01-26,59,36.07
2007-02-02,58,36.27
2007-02-09,47,35.53
2007-02-16,46,35.87
2007-02-23,39,35.10
2007-03-02,25,34.87
2007-03-09,34,34.32
2007-03-16,27,34.36
2007-03-23,37,35.82
2007-03-30,37,35.36
2007-04-06,34,
2007-04-13,43,35.38
2007-04-20,46,35.13
2007-04-27,55,36.84
2007-05-04,28,37.15
2007-05-11,41,36.97
2007-05-18,38,36.96
2007-05-25,33,37.56
2007-06-01,35,37.45
2007-06-08,43,37.32
2007-06-15,50,38.12
2007-06-22,34,38.24
2007-06-29,32,38.28
2007-07-06,34,38.48
2007-07-13,35,39.50
2007-07-20,47,40.12
2007-07-27,34,38.79
2007-08-03,38,38.06
2007-08-10,28,38.23
2007-08-17,26,38.45
2007-08-24,42,39.41
2007-08-31,38,38.87
2007-09-07,25,38.75
2007-09-14,47,40.35
2007-09-21,60,41.25
2007-09-28,32,41.40
2007-10-05,40,41.77
2007-10-12,42,41.03
2007-10-19,41,40.04
2007-10-26,45,40.38
2007-11-02,41,40.33
2007-11-09,29,38.38
2007-11-16,48,38.65
2007-11-23,32,37.67
2007-11-30,39,38.29
2007-12-07,29,37.23
2007-12-14,42,36.91
2007-12-21,44,37.14
2007-12-28,25,37.34
2008-01-04,30,36.04
2008-01-11,56,35.17
2008-01-18,40,34.31
2008-01-25,36,34.00
2008-02-01,32,36.16
2008-02-08,30,33.84
2008-02-15,38,34.37
2008-02-22,40,33.55
2008-02-29,28,33.14
2008-03-07,44,32.23
2008-03-14,27,33.82
2008-03-21,28,
2008-03-28,25,36.61
2008-04-04,36,37.56
2008-04-11,44,32.05
2008-04-18,34,32.69
2008-04-25,42,33.33
2008-05-02,36,33.34
2008-05-09,43,32.27
2008-05-16,37,32.13
2008-05-23,27,30.43
2008-05-30,30,30.72
2008-06-06,35,30.02
2008-06-13,29,29.15
2008-06-20,30,27.38
2008-06-27,30,26.26
2008-07-04,26,
2008-07-11,35,27.66
2008-07-18,30,28.00
2008-07-25,34,28.71
2008-08-01,37,28.21
2008-08-08,29,29.64
2008-08-15,31,29.80
2008-08-22,18,29.12
2008-08-29,24,28.10
2008-09-05,27,27.88
2008-09-12,36,26.75
2008-09-19,28,26.62
2008-09-26,34,25.25
