Date,JPMorgan Chase & Co.,Price
2004-01-09,0,
2004-01-16,47,
2004-01-23,29,
2004-01-30,41,
2004-02-06,35,39.73
2004-02-13,37,40.16
2004-02-20,21,40.57
2004-02-27,21,41.02
2004-03-05,27,43.01
2004-03-12,32,41.52
2004-03-19,37,41.33
2004-03-26,39,41.25
2004-04-02,41,41.53
2004-04-09,26,
2004-04-16,27,39.26
2004-04-23,28,38.30
2004-04-30,22,37.60
2004-05-07,26,36.48
2004-05-14,31,35.66
2004-05-21,35,36.08
2004-05-28,33,36.84
2004-06-04,24,37.28
2004-06-11,49,
2004-06-18,33,37.23
2004-06-25,51,37.99
2004-07-02,34,38.08
2004-07-09,30,36.83
2004-07-16,31,35.87
2004-07-23,85,36.53
2004-07-30,38,37.33
2004-08-06,46,36.09
2004-08-13,39,36.87
2004-08-20,48,38.65
2004-08-27,28,39.72
2004-09-03,26,39.85
2004-09-10,18,39.80
2004-09-17,31,39.65
2004-09-24,45,39.75
2004-10-01,30,40.34
2004-10-08,22,39.65
2004-10-15,35,38.74
2004-10-22,36,37.47
2004-10-29,24,38.60
2004-11-05,24,39.35
2004-11-12,43,39.17
2004-11-19,26,37.42
2004-11-26,27,37.69
2004-12-03,18,38.06
2004-12-10,34,37.63
2004-12-17,31,38.52
2004-12-24,22,
2004-12-31,27,39.01
2005-01-07,32,38.40
2005-01-14,36,37.81
2005-01-21,49,36.85
2005-01-28,48,37.00
2005-02-04,38,37.69
2005-02-11,36,37.48
2005-02-18,35,36.51
2005-02-25,33,36.97
2005-03-04,36,37.51
2005-03-11,18,36.11
2005-03-18,41,36.01
2005-03-25,26,
2005-04-01,45,34.25
2005-04-08,22,34.50
2005-04-15,53,33.93
2005-04-22,32,34.87
2005-04-29,50,35.49
2005-05-06,36,35.61
2005-05-13,35,34.46
2005-05-20,46,36.06
2005-05-27,48,35.80
2005-06-03,51,35.55
2005-06-10,59,35.43
2005-06-17,35,36.08
2005-06-24,47,35.57
2005-07-01,47,35.06
2005-07-08,29,34.81
2005-07-15,41,35.86
2005-07-22,57,35.60
2005-07-29,40,35.14
2005-08-05,39,35.25
2005-08-12,79,34.31
2005-08-19,52,34.54
2005-08-26,30,33.65
2005-09-02,34,34.11
2005-09-09,46,34.82
2005-09-16,46,34.99
2005-09-23,46,34.07
2005-09-30,36,33.93
2005-10-07,35,33.90
2005-10-14,36,34.08
2005-10-21,39,35.13
2005-10-28,36,36.44
2005-11-04,41,37.31
2005-11-11,47,38.26
2005-11-18,43,38.03
2005-11-25,24,38.86
2005-12-02,37,38.99
2005-12-09,51,39.12
2005-12-16,44,39.79
2005-12-23,42,40.20
2005-12-30,36,39.69
2006-01-06,52,40.02
2006-01-13,41,39.92
2006-01-20,48,38.05
2006-01-27,47,39.75
2006-02-03,41,39.53
2006-02-10,52,39.92
2006-02-17,45,40.78
2006-02-24,43,41.66
2006-03-03,45,41.59
2006-03-10,50,41.13
2006-03-17,49,41.40
2006-03-24,47,42.10
2006-03-31,59,41.64
2006-04-07,55,41.70
2006-04-14,67,
2006-04-21,63,42.50
2006-04-28,46,45.38
2006-05-05,49,46.65
2006-05-12,46,44.32
2006-05-19,37,42.75
2006-05-26,41,43.23
2006-06-02,34,43.81
2006-06-09,53,42.10
2006-06-16,45,40.16
2006-06-23,46,40.87
2006-06-30,42,42.00
2006-07-07,43,42.41
2006-07-14,52,40.89
2006-07-21,45,43.15
2006-07-28,49,45.48
2006-08-04,45,45.12
2006-08-11,88,43.93
2006-08-18,53,45.71
2006-08-25,44,45.52
2006-09-01,32,45.73
2006-09-08,34,45.26
2006-09-15,47,46.95
2006-09-22,42,46.82
2006-09-29,35,46.96
2006-10-06,40,46.86
2006-10-13,35,48.16
2006-10-20,38,47.12
2006-10-27,45,47.29
2006-11-03,44,46.89
2006-11-10,38,47.61
2006-11-17,39,47.66
2006-11-24,24,47.27
2006-12-01,35,46.01
2006-12-08,39,46.76
2006-12-15,29,48.30
2006-12-22,35,47.89
2006-12-29,36,48.30
2007-01-05,43,47.79
2007-01-12,52,47.99
2007-01-19,39,48.76
2007-01-26,36,49.70
2007-02-02,46,50.93
2007-02-09,53,50.42
2007-02-16,46,51.25
2007-02-23,25,51.03
2007-03-02,39,48.19
2007-03-09,38,48.82
2007-03-16,36,47.03
2007-03-23,34,48.52
2007-03-30,36,48.38
2007-04-06,46,
2007-04-13,40,49.09
2007-04-20,52,52.54
2007-04-27,35,52.55
2007-05-04,42,52.63
2007-05-11,37,52.15
2007-05-18,37,52.54
2007-05-25,35,51.64
2007-06-01,34,51.90
2007-06-08,45,50.41
2007-06-15,52,50.56
2007-06-22,43,48.72
2007-06-29,43,48.45
2007-07-06,35,48.97
2007-07-13,36,50.05
2007-07-20,46,47.56
2007-07-27,45,44.23
2007-08-03,40,43.65
2007-08-10,43,44.25
2007-08-17,35,47.01
2007-08-24,42,45.95
2007-08-31,38,44.52
2007-09-07,34,43.52
2007-09-14,40,45.54
2007-09-21,37,47.13
2007-09-28,35,45.82
2007-10-05,37,47.58
2007-10-12,44,46.82
2007-10-19,44,45.02
2007-10-26,45,47.32
2007-11-02,42,43.15
2007-11-09,39,42.31
2007-11-16,44,43.09
2007-11-23,34,41.95
2007-11-30,43,45.62
2007-12-07,36,46.08
2007-12-14,38,45.20
2007-12-21,37,44.11
2007-12-28,31,43.26
2008-01-04,35,40.93
2008-01-11,48,40.86
2008-01-18,56,39.59
2008-01-25,38,43.64
2008-02-01,35,48.25
2008-02-08,41,43.82
2008-02-15,49,43.25
2008-02-22,39,43.93
2008-02-29,44,40.65
2008-03-07,45,37.56
2008-03-14,46,36.54
2008-03-21,78,
2008-03-28,52,42.71
2008-04-04,45,45.57
2008-04-11,44,42.53
2008-04-18,59,45.76
2008-04-25,44,47.79
2008-05-02,41,48.66
2008-05-09,45,46.57
2008-05-16,41,46.53
2008-05-23,48,42.32
2008-05-30,41,43.00
2008-06-06,39,40.09
2008-06-13,55,39.58
2008-06-20,43,37.86
2008-06-27,47,35.05
2008-07-04,38,
2008-07-11,44,33.16
2008-07-18,48,40.02
2008-07-25,46,39.52
2008-08-01,44,40.76
2008-08-08,39,41.07
2008-08-15,40,38.07
2008-08-22,37,37.67
2008-08-29,35,38.49
2008-09-05,34,39.60
2008-09-12,49,41.17
2008-09-19,68,47.05
2008-09-26,100,48.24
2008-10-03,77,45.90
2008-10-10,66,41.64
2008-10-17,57,39.33
2008-10-24,48,35.43
2008-10-31,51,41.25
2008-11-07,41,37.75
2008-11-14,45,34.47
2008-11-21,50,22.72
2008-11-28,39,31.66
2008-12-05,47,33.35
2008-12-12,41,30.94
2008-12-19,40,30.32
2008-12-26,27,29.80
2009-01-02,41,31.35
2009-01-09,41,25.97
2009-01-16,52,22.82
2009-01-23,43,24.28
2009-01-30,42,25.51
2009-02-06,43,27.63
2009-02-13,41,24.69
2009-02-20,41,19.90
2009-02-27,46,22.85
2009-03-06,49,15.93
2009-03-13,48,23.75
2009-03-20,50,23.15
2009-03-27,56,27.40
2009-04-03,40,29.28
2009-04-10,48,
2009-04-17,52,33.26
2009-04-24,38,33.38
2009-05-01,38,32.49
2009-05-08,45,38.94
2009-05-15,39,34.91
2009-05-22,36,34.41
2009-05-29,43,36.90
2009-06-05,40,34.55
2009-06-12,42,35.13
2009-06-19,44,35.00
2009-06-26,43,34.45
2009-07-03,38,
2009-07-10,44,32.34
2009-07-17,50,36.89
2009-07-24,42,37.92
2009-07-31,43,38.65
2009-08-07,44,42.36
2009-08-14,40,42.45
2009-08-21,40,43.66
2009-08-28,44,42.92
2009-09-04,45,42.34
2009-09-11,37,42.50
2009-09-18,42,44.95
2009-09-25,39,43.65
2009-10-02,34,41.86
2009-10-09,39,45.85
2009-10-16,46,46.06
2009-10-23,45,45.23
2009-10-30,47,41.77
2009-11-06,50,43.48
2009-11-13,54,42.90
2009-11-20,45,42.46
2009-11-27,38,41.33
2009-12-04,45,41.74
2009-12-11,46,40.96
2009-12-18,45,40.95
2009-12-25,35,
2010-01-01,35,
2010-01-08,45,44.68
2010-01-15,59,43.68
2010-01-22,47,39.16
2010-01-29,46,38.94
2010-02-05,47,38.30
2010-02-12,46,38.95
2010-02-19,49,40.03
2010-02-26,41,41.97
2010-03-05,47,42.81
2010-03-12,43,43.15
2010-03-19,41,43.45
2010-03-26,41,45.02
2010-04-02,45,
2010-04-09,49,45.98
2010-04-16,53,45.55
2010-04-23,52,44.94
2010-04-30,49,42.58
2010-05-07,51,40.76
2010-05-14,44,39.89
2010-05-21,40,40.05
2010-05-28,41,39.58
2010-06-04,42,37.62
2010-06-11,47,38.09
2010-06-18,44,39.18
2010-06-25,46,39.44
2010-07-02,46,35.83
2010-07-09,46,38.85
2010-07-16,52,39.00
2010-07-23,50,39.83
2010-07-30,46,40.28
2010-08-06,49,40.44
2010-08-13,49,37.50
2010-08-20,48,37.14
2010-08-27,50,36.60
2010-09-03,50,39.17
2010-09-10,42,39.76
2010-09-17,54,40.06
2010-09-24,49,39.75
2010-10-01,46,38.81
2010-10-08,51,39.31
2010-10-15,55,37.15
2010-10-22,51,37.70
2010-10-29,42,37.63
2010-11-05,47,40.94
2010-11-12,50,39.61
2010-11-19,43,39.41
2010-11-26,37,37.50
2010-12-03,44,39.61
2010-12-10,48,41.43
2010-12-17,43,39.67
2010-12-24,38,
2010-12-31,38,42.42
2011-01-07,48,43.64
2011-01-14,50,44.91
2011-01-21,48,45.29
2011-01-28,41,44.54
2011-02-04,38,44.59
2011-02-11,43,46.57
2011-02-18,43,48.00
2011-02-25,36,46.68
2011-03-04,46,45.52
2011-03-11,42,45.74
2011-03-18,41,45.74
2011-03-25,41,45.86
2011-04-01,40,46.35
2011-04-08,45,46.84
2011-04-15,51,44.89
2011-04-22,45,
2011-04-29,42,45.63
2011-05-06,38,45.04
2011-05-13,42,43.15
2011-05-20,41,43.13
2011-05-27,43,42.79
2011-06-03,47,41.57
2011-06-10,49,41.05
2011-06-17,55,40.80
2011-06-24,50,39.49
2011-07-01,49,41.58
2011-07-08,47,40.74
2011-07-15,59,39.98
2011-07-22,54,42.19
2011-07-29,48,40.45
2011-08-05,48,37.60
2011-08-12,52,35.91
2011-08-19,48,34.35
2011-08-26,53,36.21
2011-09-02,46,34.63
2011-09-09,37,32.08
2011-09-16,44,33.43
2011-09-23,44,29.59
2011-09-30,41,30.12
2011-10-07,43,30.70
2011-10-14,43,31.89
2011-10-21,41,33.42
2011-10-28,37,36.69
2011-11-04,38,33.97
2011-11-11,39,33.28
2011-11-18,33,30.62
2011-11-25,30,28.48
2011-12-02,37,32.33
2011-12-09,30,33.18
2011-12-16,36,31.89
2011-12-23,27,33.57
2011-12-30,29,33.25
2012-01-06,35,35.36
2012-01-13,39,35.92
2012-01-20,36,37.36
2012-01-27,37,37.21
2012-02-03,38,38.28
2012-02-10,35,37.61
2012-02-17,35,38.47
2012-02-24,32,38.28
2012-03-02,31,40.63
2012-03-09,32,41.03
2012-03-16,39,44.57
2012-03-23,34,45.16
2012-03-30,37,45.98
2012-04-06,35,
2012-04-13,37,43.21
2012-04-20,42,42.72
2012-04-27,32,43.34
2012-05-04,38,41.75
2012-05-11,63,36.96
2012-05-18,89,33.49
2012-05-25,47,33.50
2012-06-01,42,31.93
2012-06-08,40,33.68
2012-06-15,49,35.03
2012-06-22,47,35.99
2012-06-29,47,35.73
2012-07-06,42,33.90
2012-07-13,50,36.07
2012-07-20,48,33.90
2012-07-27,53,36.89
2012-08-03,49,36.09
2012-08-10,49,36.97
2012-08-17,47,36.98
2012-08-24,53,37.17
2012-08-31,48,37.14
2012-09-07,44,39.30
2012-09-14,53,41.57
2012-09-21,55,40.88
2012-09-28,45,40.48
2012-10-05,53,41.71
2012-10-12,51,41.62
2012-10-19,44,42.32
2012-10-26,45,41.16
2012-11-02,41,42.42
2012-11-09,45,40.62
2012-11-16,42,39.53
2012-11-23,34,41.09
2012-11-30,43,41.08
2012-12-07,41,42.56
2012-12-14,39,42.81
2012-12-21,35,44.00
2012-12-28,32,43.24
2013-01-04,38,45.36
2013-01-11,40,46.14
2013-01-18,51,46.46
2013-01-25,42,47.16
2013-02-01,46,47.85
2013-02-08,45,48.63
2013-02-15,42,48.88
2013-02-22,42,48.91
2013-03-01,47,48.91
2013-03-08,48,50.20
2013-03-15,52,50.02
2013-03-22,48,48.78
2013-03-29,44,
2013-04-05,45,47.91
2013-04-12,48,49.01
2013-04-19,45,47.23
2013-04-26,41,48.88
2013-05-03,46,47.57
2013-05-10,43,48.96
2013-05-17,41,52.30
2013-05-24,48,53.66
2013-05-31,41,54.59
2013-06-07,47,54.27
2013-06-14,51,53.13
2013-06-21,44,51.96
2013-06-28,47,52.79
