Date,MCD,Price
2004-01-09,22,
2004-01-16,22,
2004-01-23,20,
2004-01-30,20,
2004-02-06,18,27.16
2004-02-13,24,26.63
2004-02-20,21,27.16
2004-02-27,19,28.30
2004-03-05,20,29.85
2004-03-12,21,29.01
2004-03-19,21,28.10
2004-03-26,14,27.87
2004-04-02,21,28.94
2004-04-09,17,
2004-04-16,16,27.46
2004-04-23,18,27.34
2004-04-30,15,27.23
2004-05-07,21,26.71
2004-05-14,21,26.17
2004-05-21,17,25.45
2004-05-28,22,26.40
2004-06-04,19,26.86
2004-06-11,20,
2004-06-18,20,26.92
2004-06-25,19,26.99
2004-07-02,21,26.12
2004-07-09,20,26.51
2004-07-16,21,27.81
2004-07-23,19,27.08
2004-07-30,19,27.50
2004-08-06,17,26.34
2004-08-13,20,25.81
2004-08-20,18,27.07
2004-08-27,19,27.17
2004-09-03,18,27.76
2004-09-10,22,27.05
2004-09-17,22,27.67
2004-09-24,18,27.60
2004-10-01,19,28.14
2004-10-08,19,27.94
2004-10-15,21,28.99
2004-10-22,22,28.52
2004-10-29,22,29.15
2004-11-05,20,30.06
2004-11-12,19,30.50
2004-11-19,17,29.30
2004-11-26,20,30.57
2004-12-03,23,31.28
2004-12-10,23,31.65
2004-12-17,17,32.54
2004-12-24,19,
2004-12-31,20,32.06
2005-01-07,18,31.87
2005-01-14,20,31.31
2005-01-21,19,31.25
2005-01-28,21,32.00
2005-02-04,20,32.57
2005-02-11,18,32.25
2005-02-18,19,32.33
2005-02-25,18,32.98
2005-03-04,17,33.96
2005-03-11,19,32.59
2005-03-18,21,31.90
2005-03-25,18,
2005-04-01,20,31.00
2005-04-08,19,31.14
2005-04-15,20,30.30
2005-04-22,20,30.06
2005-04-29,24,29.31
2005-05-06,20,29.38
2005-05-13,18,29.65
2005-05-20,20,30.94
2005-05-27,15,31.26
2005-06-03,20,30.51
2005-06-10,16,29.53
2005-06-17,22,29.00
2005-06-24,20,28.28
2005-07-01,21,27.94
2005-07-08,21,28.65
2005-07-15,20,30.99
2005-07-22,21,30.94
2005-07-29,22,31.17
2005-08-05,19,31.30
2005-08-12,17,33.25
2005-08-19,17,33.38
2005-08-26,17,33.48
2005-09-02,20,31.90
2005-09-09,18,34.14
2005-09-16,16,34.24
2005-09-23,18,32.64
2005-09-30,17,33.49
2005-10-07,24,32.22
2005-10-14,23,32.32
2005-10-21,24,32.48
2005-10-28,25,32.29
2005-11-04,20,33.43
2005-11-11,22,33.80
2005-11-18,21,33.09
2005-11-25,20,33.46
2005-12-02,20,34.91
2005-12-09,20,34.84
2005-12-16,19,34.75
2005-12-23,19,34.55
2005-12-30,20,33.72
2006-01-06,22,34.06
2006-01-13,22,34.47
2006-01-20,22,35.86
2006-01-27,58,35.05
2006-02-03,56,35.97
2006-02-10,37,36.33
2006-02-17,28,36.06
2006-02-24,26,35.34
2006-03-03,22,34.85
2006-03-10,26,34.65
2006-03-17,23,35.10
2006-03-24,25,34.70
2006-03-31,26,34.36
2006-04-07,27,34.88
2006-04-14,24,
2006-04-21,22,34.60
2006-04-28,26,34.57
2006-05-05,22,35.21
2006-05-12,23,34.88
2006-05-19,23,34.15
2006-05-26,21,32.92
2006-06-02,23,33.51
2006-06-09,22,33.38
2006-06-16,20,33.14
2006-06-23,23,32.60
2006-06-30,24,33.60
2006-07-07,22,33.18
2006-07-14,25,33.04
2006-07-21,27,34.70
2006-07-28,22,35.29
2006-08-04,22,35.41
2006-08-11,21,34.69
2006-08-18,22,36.18
2006-08-25,23,35.23
2006-09-01,23,36.76
2006-09-08,20,37.50
2006-09-15,28,37.73
2006-09-22,25,38.21
2006-09-29,28,39.12
2006-10-06,23,40.11
2006-10-13,31,42.11
2006-10-20,24,41.47
2006-10-27,31,41.47
2006-11-03,24,41.24
2006-11-10,25,41.97
2006-11-17,22,41.82
2006-11-24,23,41.88
2006-12-01,24,42.08
2006-12-08,24,43.76
2006-12-15,27,43.41
2006-12-22,27,43.57
2006-12-29,42,44.33
2007-01-05,35,43.54
2007-01-12,24,44.22
2007-01-19,26,44.81
2007-01-26,23,42.93
2007-02-02,24,44.54
2007-02-09,26,44.56
2007-02-16,25,45.32
2007-02-23,22,46.01
2007-03-02,25,43.67
2007-03-09,23,44.15
2007-03-16,23,43.48
2007-03-23,23,45.05
2007-03-30,24,45.05
2007-04-06,38,
2007-04-13,24,47.64
2007-04-20,27,48.36
2007-04-27,25,48.95
2007-05-04,22,49.92
2007-05-11,22,50.65
2007-05-18,23,52.33
2007-05-25,25,50.90
2007-06-01,24,50.95
2007-06-08,26,51.41
2007-06-15,30,52.17
2007-06-22,31,50.42
2007-06-29,52,50.76
2007-07-06,26,51.43
2007-07-13,24,51.91
2007-07-20,25,52.09
2007-07-27,25,48.76
2007-08-03,24,48.52
2007-08-10,21,49.41
2007-08-17,23,47.57
2007-08-24,22,50.12
2007-08-31,21,49.25
2007-09-07,22,49.24
2007-09-14,23,55.45
2007-09-21,23,54.80
2007-09-28,23,54.47
2007-10-05,28,56.37
2007-10-12,32,57.02
2007-10-19,35,56.42
2007-10-26,33,58.47
2007-11-02,27,59.02
2007-11-09,22,58.31
2007-11-16,26,58.13
2007-11-23,25,57.72
2007-11-30,25,58.47
2007-12-07,25,60.16
2007-12-14,27,61.16
2007-12-21,26,60.03
2007-12-28,23,59.50
2008-01-04,23,57.05
2008-01-11,27,54.32
2008-01-18,24,52.40
2008-01-25,23,54.10
2008-02-01,28,54.22
2008-02-08,22,55.64
2008-02-15,22,55.30
2008-02-22,23,55.69
2008-02-29,25,54.11
2008-03-07,25,52.27
2008-03-14,26,54.78
2008-03-21,26,
2008-03-28,27,55.48
2008-04-04,27,55.72
2008-04-11,23,55.40
2008-04-18,23,58.30
2008-04-25,25,59.67
2008-05-02,27,60.95
2008-05-09,26,59.24
2008-05-16,25,60.53
2008-05-23,28,57.73
2008-05-30,27,59.32
2008-06-06,31,56.95
2008-06-13,33,59.95
2008-06-20,37,57.40
2008-06-27,41,56.50
2008-07-04,30,
2008-07-11,25,57.32
2008-07-18,24,60.44
2008-07-25,25,58.65
2008-08-01,24,59.77
2008-08-08,24,65.67
2008-08-15,24,63.63
2008-08-22,27,63.42
2008-08-29,24,62.00
2008-09-05,25,60.30
2008-09-12,23,64.06
2008-09-19,24,63.98
2008-09-26,22,63.20
2008-10-03,24,60.23
2008-10-10,30,53.35
2008-10-17,36,53.80
2008-10-24,37,53.06
2008-10-31,32,57.93
2008-11-07,27,55.47
2008-11-14,25,56.13
2008-11-21,25,55.15
2008-11-28,25,58.75
2008-12-05,24,62.72
2008-12-12,25,60.59
2008-12-19,27,60.32
2008-12-26,24,61.06
2009-01-02,22,63.75
2009-01-09,23,60.07
2009-01-16,25,59.67
2009-01-23,22,58.02
2009-01-30,24,58.02
2009-02-06,22,58.46
2009-02-13,22,56.81
2009-02-20,23,54.57
2009-02-27,22,52.25
2009-03-06,25,52.12
2009-03-13,24,52.38
2009-03-20,24,53.20
2009-03-27,24,55.01
2009-04-03,26,56.64
2009-04-10,22,
2009-04-17,22,56.09
2009-04-24,24,54.31
2009-05-01,22,52.40
2009-05-08,21,54.92
2009-05-15,26,53.46
