Date,MRK,Price
2004-01-09,40,
2004-01-16,35,
2004-01-23,41,
2004-01-30,27,
2004-02-06,29,48.76
2004-02-13,30,48.88
2004-02-20,30,48.31
2004-02-27,31,48.08
2004-03-05,28,48.10
2004-03-12,28,45.15
2004-03-19,28,43.77
2004-03-26,35,44.00
2004-04-02,41,45.06
2004-04-09,35,
2004-04-16,40,47.08
2004-04-23,45,46.76
2004-04-30,23,47.00
2004-05-07,27,47.71
2004-05-14,24,46.45
2004-05-21,32,46.59
2004-05-28,39,47.30
2004-06-04,32,48.20
2004-06-11,30,
2004-06-18,30,48.36
2004-06-25,27,47.00
2004-07-02,27,46.86
2004-07-09,27,45.86
2004-07-16,27,44.80
2004-07-23,30,45.16
2004-07-30,33,45.35
2004-08-06,36,43.60
2004-08-13,24,44.59
2004-08-20,24,46.08
2004-08-27,29,45.15
2004-09-03,21,45.48
2004-09-10,29,45.77
2004-09-17,29,44.97
2004-09-24,45,44.10
2004-10-01,81,33.31
2004-10-08,69,30.34
2004-10-15,60,30.50
2004-10-22,48,30.56
2004-10-29,36,31.31
2004-11-05,66,26.21
2004-11-12,48,26.45
2004-11-19,43,27.12
2004-11-26,44,27.70
2004-12-03,38,28.68
2004-12-10,36,28.74
2004-12-17,32,31.59
2004-12-24,37,
2004-12-31,37,32.14
2005-01-07,36,31.13
2005-01-14,34,30.87
2005-01-21,47,30.36
2005-01-28,41,28.02
2005-02-04,54,28.35
2005-02-11,37,29.21
2005-02-18,37,32.61
2005-02-25,54,31.90
2005-03-04,37,31.68
2005-03-11,24,32.16
2005-03-18,48,32.04
2005-03-25,34,
2005-04-01,36,32.31
2005-04-08,40,33.33
2005-04-15,35,34.80
2005-04-22,48,34.20
2005-04-29,27,33.90
2005-05-06,52,34.16
2005-05-13,43,33.46
2005-05-20,41,32.62
2005-05-27,41,32.45
2005-06-03,33,32.09
2005-06-10,44,31.39
2005-06-17,39,32.22
2005-06-24,37,30.55
2005-07-01,38,31.06
2005-07-08,54,31.00
2005-07-15,39,31.91
2005-07-22,57,31.14
2005-07-29,36,31.06
2005-08-05,73,30.66
2005-08-12,41,30.55
2005-08-19,73,28.06
2005-08-26,100,27.66
2005-09-02,50,28.83
2005-09-09,57,29.31
2005-09-16,50,28.90
2005-09-23,46,27.62
2005-09-30,48,27.21
2005-10-07,67,25.85
2005-10-14,69,27.16
2005-10-21,49,26.18
2005-10-28,42,27.54
2005-11-04,73,29.22
2005-11-11,57,30.03
2005-11-18,57,30.42
2005-11-25,53,30.98
2005-12-02,78,29.97
2005-12-09,52,29.13
2005-12-16,57,30.01
2005-12-23,62,32.20
2005-12-30,50,31.81
2006-01-06,67,33.12
2006-01-13,56,33.47
2006-01-20,45,33.25
2006-01-27,40,34.70
2006-02-03,68,34.39
2006-02-10,58,34.31
2006-02-17,64,36.05
2006-02-24,58,35.10
2006-03-03,52,35.19
2006-03-10,39,34.76
2006-03-17,49,35.64
2006-03-24,56,36.05
2006-03-31,73,35.23
2006-04-07,69,34.47
2006-04-14,60,
2006-04-21,51,34.74
2006-04-28,47,34.42
2006-05-05,50,34.48
2006-05-12,42,34.29
2006-05-19,49,34.42
2006-05-26,53,34.56
2006-06-02,50,33.95
2006-06-09,49,33.81
2006-06-16,40,34.41
2006-06-23,43,34.94
2006-06-30,49,36.43
2006-07-07,34,36.97
2006-07-14,35,36.15
2006-07-21,47,37.36
2006-07-28,51,41.12
2006-08-04,60,41.35
2006-08-11,38,40.60
2006-08-18,55,39.52
2006-08-25,48,40.44
2006-09-01,40,40.96
2006-09-08,46,41.06
2006-09-15,48,41.10
2006-09-22,52,42.04
2006-09-29,34,41.90
2006-10-06,52,41.86
2006-10-13,38,43.20
2006-10-20,47,45.64
2006-10-27,51,46.09
2006-11-03,42,45.10
2006-11-10,59,43.12
2006-11-17,48,45.06
2006-11-24,35,44.18
2006-12-01,44,45.06
2006-12-08,47,43.93
2006-12-15,58,44.00
2006-12-22,37,42.83
2006-12-29,42,43.60
2007-01-05,41,44.30
2007-01-12,48,44.79
2007-01-19,45,45.60
2007-01-26,54,45.99
2007-02-02,59,44.73
2007-02-09,48,43.82
2007-02-16,39,44.28
2007-02-23,44,42.94
2007-03-02,70,44.19
2007-03-09,60,44.61
2007-03-16,43,43.09
2007-03-23,43,44.45
2007-03-30,46,44.17
2007-04-06,54,
2007-04-13,76,50.21
2007-04-20,63,51.49
2007-04-27,56,51.86
2007-05-04,56,51.92
2007-05-11,50,52.00
2007-05-18,47,53.25
2007-05-25,58,53.70
2007-06-01,47,52.14
2007-06-08,37,50.14
2007-06-15,38,50.73
2007-06-22,44,48.55
2007-06-29,31,49.80
2007-07-06,47,49.46
2007-07-13,46,50.85
2007-07-20,33,49.02
2007-07-27,47,50.12
2007-08-03,41,50.29
2007-08-10,41,50.88
2007-08-17,45,49.62
2007-08-24,38,50.82
2007-08-31,43,50.17
2007-09-07,37,49.57
2007-09-14,34,49.54
2007-09-21,35,51.82
2007-09-28,44,51.69
2007-10-05,39,53.51
2007-10-12,42,53.51
2007-10-19,41,53.11
2007-10-26,55,57.58
2007-11-02,51,56.04
2007-11-09,63,55.90
2007-11-16,46,58.38
2007-11-23,45,57.66
2007-11-30,48,59.36
2007-12-07,44,60.67
2007-12-14,49,59.57
2007-12-21,45,59.15
2007-12-28,39,58.71
2008-01-04,48,56.85
2008-01-11,45,60.55
2008-01-18,55,53.32
2008-01-25,56,47.79
2008-02-01,50,45.98
2008-02-08,54,44.53
2008-02-15,44,47.53
2008-02-22,74,46.07
2008-02-29,39,44.30
2008-03-07,43,41.75
2008-03-14,39,40.97
2008-03-21,39,
2008-03-28,50,44.51
2008-04-04,71,40.00
2008-04-11,64,41.14
2008-04-18,56,39.76
2008-04-25,54,40.72
2008-05-02,71,39.37
2008-05-09,58,38.99
2008-05-16,51,40.00
2008-05-23,48,38.74
2008-05-30,45,38.96
2008-06-06,43,37.49
2008-06-13,46,35.53
2008-06-20,46,35.13
2008-06-27,50,36.98
2008-07-04,44,
2008-07-11,46,36.75
2008-07-18,46,37.68
2008-07-25,68,32.68
2008-08-01,63,33.26
2008-08-08,51,35.95
2008-08-15,48,36.16
2008-08-22,38,35.27
2008-08-29,42,35.67
2008-09-05,35,34.30
2008-09-12,41,33.82
