Date,Merck & Co. Inc.,Price
2004-01-09,50,
2004-01-16,53,
2004-01-23,57,
2004-01-30,53,
2004-02-06,50,48.76
2004-02-13,54,48.88
2004-02-20,53,48.31
2004-02-27,49,48.08
2004-03-05,44,48.10
2004-03-12,50,45.15
2004-03-19,52,43.77
2004-03-26,44,44.00
2004-04-02,48,45.06
2004-04-09,45,
2004-04-16,44,47.08
2004-04-23,48,46.76
2004-04-30,49,47.00
2004-05-07,46,47.71
2004-05-14,50,46.45
2004-05-21,44,46.59
2004-05-28,41,47.30
2004-06-04,42,48.20
2004-06-11,44,
2004-06-18,44,48.36
2004-06-25,44,47.00
2004-07-02,43,46.86
2004-07-09,45,45.86
2004-07-16,47,44.80
2004-07-23,48,45.16
2004-07-30,45,45.35
2004-08-06,40,43.60
2004-08-13,44,44.59
2004-08-20,43,46.08
2004-08-27,49,45.15
2004-09-03,48,45.48
2004-09-10,40,45.77
2004-09-17,45,44.97
2004-09-24,45,44.10
2004-10-01,100,33.31
2004-10-08,70,30.34
2004-10-15,57,30.50
2004-10-22,53,30.56
2004-10-29,47,31.31
2004-11-05,53,26.21
2004-11-12,49,26.45
2004-11-19,48,27.12
2004-11-26,45,27.70
2004-12-03,52,28.68
2004-12-10,45,28.74
2004-12-17,45,31.59
2004-12-24,33,
2004-12-31,33,32.14
2005-01-07,40,31.13
2005-01-14,44,30.87
2005-01-21,42,30.36
2005-01-28,52,28.02
2005-02-04,51,28.35
2005-02-11,43,29.21
2005-02-18,46,32.61
2005-02-25,48,31.90
2005-03-04,42,31.68
2005-03-11,44,32.16
2005-03-18,45,32.04
2005-03-25,40,
2005-04-01,42,32.31
2005-04-08,42,33.33
2005-04-15,44,34.80
2005-04-22,44,34.20
2005-04-29,39,33.90
2005-05-06,44,34.16
2005-05-13,42,33.46
2005-05-20,37,32.62
2005-05-27,41,32.45
2005-06-03,40,32.09
2005-06-10,39,31.39
2005-06-17,43,32.22
2005-06-24,39,30.55
2005-07-01,36,31.06
2005-07-08,37,31.00
2005-07-15,42,31.91
2005-07-22,43,31.14
2005-07-29,40,31.06
2005-08-05,40,30.66
2005-08-12,40,30.55
2005-08-19,50,28.06
2005-08-26,52,27.66
2005-09-02,41,28.83
2005-09-09,39,29.31
2005-09-16,38,28.90
2005-09-23,44,27.62
2005-09-30,42,27.21
2005-10-07,47,25.85
2005-10-14,43,27.16
2005-10-21,41,26.18
2005-10-28,43,27.54
2005-11-04,44,29.22
2005-11-11,41,30.03
2005-11-18,41,30.42
2005-11-25,40,30.98
2005-12-02,55,29.97
2005-12-09,37,29.13
2005-12-16,38,30.01
2005-12-23,28,32.20
2005-12-30,25,31.81
2006-01-06,32,33.12
2006-01-13,36,33.47
2006-01-20,38,33.25
2006-01-27,39,34.70
2006-02-03,39,34.39
2006-02-10,37,34.31
2006-02-17,38,36.05
2006-02-24,38,35.10
2006-03-03,35,35.19
2006-03-10,37,34.76
2006-03-17,51,35.64
2006-03-24,42,36.05
2006-03-31,41,35.23
2006-04-07,41,34.47
2006-04-14,35,
2006-04-21,37,34.74
2006-04-28,38,34.42
2006-05-05,32,34.48
2006-05-12,37,34.29
2006-05-19,39,34.42
2006-05-26,34,34.56
2006-06-02,35,33.95
2006-06-09,38,33.81
2006-06-16,41,34.41
2006-06-23,38,34.94
2006-06-30,35,36.43
2006-07-07,31,36.97
2006-07-14,33,36.15
2006-07-21,33,37.36
2006-07-28,37,41.12
2006-08-04,35,41.35
2006-08-11,32,40.60
2006-08-18,34,39.52
2006-08-25,31,40.44
2006-09-01,32,40.96
2006-09-08,32,41.06
2006-09-15,34,41.10
2006-09-22,42,42.04
2006-09-29,38,41.90
2006-10-06,35,41.86
2006-10-13,35,43.20
2006-10-20,40,45.64
2006-10-27,36,46.09
2006-11-03,36,45.10
2006-11-10,36,43.12
2006-11-17,32,45.06
2006-11-24,33,44.18
2006-12-01,33,45.06
2006-12-08,32,43.93
2006-12-15,30,44.00
2006-12-22,25,42.83
2006-12-29,17,43.60
2007-01-05,29,44.30
2007-01-12,33,44.79
2007-01-19,32,45.60
2007-01-26,33,45.99
2007-02-02,35,44.73
2007-02-09,34,43.82
2007-02-16,33,44.28
2007-02-23,34,42.94
2007-03-02,33,44.19
2007-03-09,33,44.61
2007-03-16,34,43.09
2007-03-23,33,44.45
2007-03-30,35,44.17
2007-04-06,30,
2007-04-13,33,50.21
2007-04-20,34,51.49
2007-04-27,33,51.86
2007-05-04,31,51.92
2007-05-11,33,52.00
2007-05-18,32,53.25
2007-05-25,32,53.70
2007-06-01,29,52.14
2007-06-08,31,50.14
2007-06-15,29,50.73
2007-06-22,30,48.55
2007-06-29,30,49.80
2007-07-06,26,49.46
2007-07-13,29,50.85
2007-07-20,31,49.02
2007-07-27,29,50.12
2007-08-03,28,50.29
2007-08-10,27,50.88
2007-08-17,28,49.62
2007-08-24,29,50.82
2007-08-31,27,50.17
2007-09-07,27,49.57
2007-09-14,30,49.54
2007-09-21,32,51.82
2007-09-28,32,51.69
2007-10-05,29,53.51
2007-10-12,29,53.51
2007-10-19,30,53.11
2007-10-26,32,57.58
2007-11-02,30,56.04
