Date,Microsoft Corporation,Price
2004-01-09,71,
2004-01-16,61,
2004-01-23,90,
2004-01-30,70,
2004-02-06,70,27.08
2004-02-13,86,26.59
2004-02-20,52,26.57
2004-02-27,74,26.53
2004-03-05,59,26.35
2004-03-12,77,25.38
2004-03-19,59,24.63
2004-03-26,64,25.03
2004-04-02,68,25.85
2004-04-09,50,
2004-04-16,61,25.16
2004-04-23,72,27.54
2004-04-30,58,26.13
2004-05-07,90,25.78
2004-05-14,73,25.86
2004-05-21,100,25.89
2004-05-28,47,26.23
2004-06-04,58,25.95
2004-06-11,50,
2004-06-18,67,28.35
2004-06-25,63,28.57
2004-07-02,36,28.57
2004-07-09,55,27.86
2004-07-16,61,27.48
2004-07-23,39,28.03
2004-07-30,71,28.49
2004-08-06,43,27.14
2004-08-13,68,27.02
2004-08-20,65,27.20
2004-08-27,40,27.46
2004-09-03,53,27.11
2004-09-10,58,27.49
2004-09-17,55,27.51
2004-09-24,61,27.29
2004-10-01,71,28.25
2004-10-08,84,27.99
2004-10-15,77,27.99
2004-10-22,54,27.74
2004-10-29,43,27.97
2004-11-05,42,29.31
2004-11-12,58,29.97
2004-11-19,89,26.86
2004-11-26,44,26.60
2004-12-03,81,27.23
2004-12-10,75,27.08
2004-12-17,76,26.96
2004-12-24,56,
2004-12-31,56,26.72
2005-01-07,49,26.67
2005-01-14,76,26.12
2005-01-21,44,25.65
2005-01-28,73,26.18
2005-02-04,58,26.32
2005-02-11,71,25.97
2005-02-18,65,25.48
2005-02-25,96,25.25
2005-03-04,80,25.17
2005-03-11,42,25.09
2005-03-18,50,24.31
2005-03-25,42,
2005-04-01,44,24.12
2005-04-08,71,24.94
2005-04-15,57,24.46
2005-04-22,83,24.98
2005-04-29,56,25.30
2005-05-06,54,25.22
2005-05-13,58,25.30
2005-05-20,49,25.74
2005-05-27,59,26.07
2005-06-03,56,25.43
2005-06-10,53,25.43
2005-06-17,46,25.04
2005-06-24,41,25.04
2005-07-01,59,24.71
2005-07-08,41,25.09
2005-07-15,53,25.79
