Date,"The Goldman Sachs Group, Inc.",Price
2004-01-09,95,
2004-01-16,96,
2004-01-23,99,
2004-01-30,98,
2004-02-06,99,101.34
2004-02-13,97,105.85
2004-02-20,100,106.52
2004-02-27,97,105.87
2004-03-05,99,109.05
2004-03-12,93,104.93
2004-03-19,92,102.66
2004-03-26,85,103.75
2004-04-02,96,105.95
2004-04-09,93,
2004-04-16,91,103.36
2004-04-23,91,100.41
2004-04-30,93,96.75
2004-05-07,92,93.04
2004-05-14,88,94.01
2004-05-21,88,91.74
2004-05-28,87,93.91
2004-06-04,83,91.52
2004-06-11,91,
2004-06-18,90,89.18
2004-06-25,92,94.55
2004-07-02,88,93.61
2004-07-09,88,90.05
2004-07-16,94,87.25
2004-07-23,94,87.55
2004-07-30,90,88.19
2004-08-06,91,84.55
2004-08-13,92,84.25
2004-08-20,91,87.81
2004-08-27,91,90.48
2004-09-03,85,90.20
2004-09-10,80,93.13
2004-09-17,84,92.05
2004-09-24,85,93.48
2004-10-01,81,93.92
2004-10-08,81,94.24
2004-10-15,77,94.16
2004-10-22,76,92.70
2004-10-29,80,98.38
2004-11-05,77,100.85
2004-11-12,70,104.66
2004-11-19,79,103.04
2004-11-26,61,104.84
2004-12-03,76,106.47
2004-12-10,75,109.40
2004-12-17,72,103.75
2004-12-24,64,
2004-12-31,68,104.04
2005-01-07,79,104.78
2005-01-14,81,104.22
2005-01-21,79,103.33
2005-01-28,84,106.12
2005-02-04,81,110.02
2005-02-11,81,112.77
2005-02-18,80,109.00
2005-02-25,81,110.10
2005-03-04,77,111.53
2005-03-11,79,109.55
2005-03-18,77,109.98
2005-03-25,78,
2005-04-01,76,109.30
2005-04-08,72,112.93
2005-04-15,75,106.49
2005-04-22,76,104.19
2005-04-29,76,106.79
2005-05-06,78,104.68
2005-05-13,74,97.82
2005-05-20,76,101.08
2005-05-27,76,95.50
2005-06-03,72,97.30
2005-06-10,77,99.05
2005-06-17,75,103.80
2005-06-24,77,103.67
2005-07-01,72,102.71
2005-07-08,71,105.65
2005-07-15,83,108.50
2005-07-22,80,109.13
2005-07-29,79,107.48
2005-08-05,78,109.70
2005-08-12,79,113.65
2005-08-19,77,111.27
2005-08-26,74,109.75
2005-09-02,70,113.21
2005-09-09,66,116.17
2005-09-16,72,118.40
2005-09-23,73,119.47
2005-09-30,71,121.58
2005-10-07,72,117.57
2005-10-14,72,114.55
2005-10-21,71,118.77
2005-10-28,70,124.56
2005-11-04,69,130.96
2005-11-11,67,130.00
2005-11-18,68,131.58
2005-11-25,52,134.12
2005-12-02,68,131.08
2005-12-09,66,129.66
2005-12-16,62,126.50
