Date,buy CAT,Price
2004-01-09,53,
2004-01-16,54,
2004-01-23,58,
2004-01-30,63,
2004-02-06,56,78.50
2004-02-13,53,77.42
2004-02-20,65,76.82
2004-02-27,58,75.75
2004-03-05,74,76.37
2004-03-12,47,74.93
2004-03-19,47,76.30
2004-03-26,54,77.44
2004-04-02,62,81.20
2004-04-09,49,
2004-04-16,41,81.97
2004-04-23,41,81.96
2004-04-30,61,77.73
2004-05-07,58,77.12
2004-05-14,50,75.69
2004-05-21,47,73.03
2004-05-28,50,75.35
2004-06-04,48,75.50
2004-06-11,57,
2004-06-18,59,74.42
2004-06-25,45,78.15
2004-07-02,45,76.72
2004-07-09,62,77.08
2004-07-16,76,77.81
2004-07-23,90,73.22
2004-07-30,65,73.49
2004-08-06,85,70.25
2004-08-13,54,71.75
2004-08-20,100,72.24
2004-08-27,60,73.70
2004-09-03,59,73.56
2004-09-10,67,75.10
2004-09-17,44,76.12
2004-09-24,41,74.76
2004-10-01,49,80.60
2004-10-08,71,79.50
2004-10-15,65,81.09
2004-10-22,76,77.34
2004-10-29,42,80.54
2004-11-05,50,87.17
2004-11-12,38,89.97
2004-11-19,59,90.18
2004-11-26,49,92.80
2004-12-03,67,90.92
2004-12-10,64,91.62
2004-12-17,71,94.24
2004-12-24,56,
2004-12-31,42,97.51
2005-01-07,37,93.38
2005-01-14,53,93.69
2005-01-21,67,89.23
2005-01-28,45,87.46
2005-02-04,55,91.90
2005-02-11,60,92.78
2005-02-18,40,90.84
2005-02-25,58,94.82
2005-03-04,51,99.96
2005-03-11,45,99.00
2005-03-18,75,96.40
2005-03-25,61,
2005-04-01,47,90.15
2005-04-08,57,90.69
2005-04-15,46,83.46
2005-04-22,48,89.81
2005-04-29,66,88.05
2005-05-06,64,90.16
2005-05-13,44,89.00
2005-05-20,59,93.63
2005-05-27,40,94.31
2005-06-03,29,93.97
2005-06-10,36,97.02
2005-06-17,35,100.20
2005-06-24,56,96.86
2005-07-01,63,95.93
2005-07-08,27,98.70
2005-07-15,39,50.67
2005-07-22,48,52.41
2005-07-29,66,53.91
2005-08-05,46,53.61
2005-08-12,67,54.80
2005-08-19,57,54.82
2005-08-26,64,53.49
2005-09-02,34,58.25
2005-09-09,74,58.86
2005-09-16,55,57.72
2005-09-23,51,58.92
2005-09-30,45,58.75
2005-10-07,72,56.62
2005-10-14,52,54.74
2005-10-21,64,48.92
2005-10-28,51,51.07
2005-11-04,46,53.55
2005-11-11,72,54.87
2005-11-18,57,57.28
2005-11-25,67,57.95
