Date,buy GE,Price
2004-01-09,0,
2004-01-16,0,
2004-01-23,0,
2004-01-30,0,
2004-02-06,0,33.18
2004-02-13,0,32.72
2004-02-20,0,32.70
2004-02-27,0,32.52
2004-03-05,0,32.77
2004-03-12,0,30.60
2004-03-19,0,30.14
2004-03-26,0,30.10
2004-04-02,0,31.06
2004-04-09,0,
2004-04-16,0,31.23
2004-04-23,0,30.69
2004-04-30,62,29.95
2004-05-07,65,30.00
2004-05-14,68,30.16
2004-05-21,72,30.65
2004-05-28,73,31.12
2004-06-04,74,31.23
2004-06-11,76,
2004-06-18,77,32.58
2004-06-25,67,32.18
2004-07-02,0,31.67
2004-07-09,0,32.17
2004-07-16,0,33.09
2004-07-23,0,32.52
2004-07-30,0,33.25
2004-08-06,0,31.52
2004-08-13,0,31.89
2004-08-20,0,32.65
2004-08-27,0,32.77
2004-09-03,67,32.84
2004-09-10,0,33.88
2004-09-17,0,34.22
2004-09-24,0,33.41
2004-10-01,0,33.97
2004-10-08,0,33.74
2004-10-15,0,33.55
2004-10-22,0,32.95
2004-10-29,64,34.12
2004-11-05,56,35.19
2004-11-12,56,36.25
2004-11-19,56,36.27
2004-11-26,57,35.44
2004-12-03,57,35.83
2004-12-10,57,36.69
2004-12-17,58,36.75
2004-12-24,80,
2004-12-31,47,36.50
2005-01-07,47,36.00
2005-01-14,44,35.52
2005-01-21,49,35.13
2005-01-28,69,35.75
2005-02-04,47,36.25
2005-02-11,48,36.23
2005-02-18,48,35.88
2005-02-25,49,35.62
2005-03-04,49,36.12
2005-03-11,49,35.82
2005-03-18,57,35.88
2005-03-25,71,
2005-04-01,60,35.47
2005-04-08,60,35.74
2005-04-15,48,35.75
2005-04-22,43,36.10
2005-04-29,43,36.20
2005-05-06,49,35.85
2005-05-13,42,35.70
2005-05-20,45,37.00
2005-05-27,48,36.88
2005-06-03,52,36.70
2005-06-10,55,36.63
2005-06-17,58,36.50
2005-06-24,64,34.78
2005-07-01,52,34.74
2005-07-08,40,34.99
2005-07-15,79,35.53
2005-07-22,52,35.07
2005-07-29,43,34.50
2005-08-05,56,33.81
2005-08-12,74,34.25
2005-08-19,43,33.95
2005-08-26,61,33.38
2005-09-02,48,33.33
2005-09-09,43,33.98
2005-09-16,34,34.47
2005-09-23,45,33.40
2005-09-30,37,33.67
2005-10-07,40,34.22
2005-10-14,37,34.34
2005-10-21,55,33.73
2005-10-28,35,34.05
2005-11-04,52,34.02
2005-11-11,55,34.65
2005-11-18,43,35.75
2005-11-25,30,36.20
2005-12-02,30,35.50
2005-12-09,37,35.53
2005-12-16,70,36.06
2005-12-23,41,35.42
2005-12-30,70,35.05
2006-01-06,35,35.47
2006-01-13,41,35.10
2006-01-20,47,33.37
2006-01-27,33,32.95
2006-02-03,33,32.85
2006-02-10,27,33.28
2006-02-17,29,33.61
2006-02-24,51,33.14
2006-03-03,51,33.06
2006-03-10,26,33.65
2006-03-17,41,34.51
2006-03-24,35,33.95
2006-03-31,41,34.78
2006-04-07,41,34.03
2006-04-14,27,
2006-04-21,31,33.97
2006-04-28,36,34.59
2006-05-05,39,35.16
2006-05-12,38,34.28
2006-05-19,45,34.16
2006-05-26,33,34.33
2006-06-02,73,34.66
2006-06-09,44,34.07
2006-06-16,52,33.93
2006-06-23,61,33.16
2006-06-30,48,32.96
2006-07-07,48,33.30
2006-07-14,43,32.11
2006-07-21,47,32.25
2006-07-28,39,33.02
2006-08-04,43,32.80
2006-08-11,57,32.50
2006-08-18,55,34.00
2006-08-25,50,33.84
2006-09-01,28,34.14
2006-09-08,37,34.01
2006-09-15,36,34.85
2006-09-22,40,34.40
2006-09-29,39,35.30
2006-10-06,48,36.14
2006-10-13,41,35.98
2006-10-20,36,35.47
2006-10-27,53,35.21
2006-11-03,40,34.77
2006-11-10,44,35.17
2006-11-17,34,36.25
2006-11-24,43,35.69
2006-12-01,64,35.28
2006-12-08,43,35.27
2006-12-15,39,37.36
2006-12-22,40,37.57
2006-12-29,48,37.21
2007-01-05,37,37.56
2007-01-12,52,37.89
2007-01-19,43,36.95
2007-01-26,56,36.07
2007-02-02,44,36.27
2007-02-09,45,35.53
2007-02-16,39,35.87
2007-02-23,52,35.10
2007-03-02,25,34.87
2007-03-09,33,34.32
2007-03-16,45,34.36
2007-03-23,30,35.82
2007-03-30,39,35.36
2007-04-06,47,
2007-04-13,36,35.38
2007-04-20,35,35.13
2007-04-27,45,36.84
2007-05-04,37,37.15
2007-05-11,52,36.97
2007-05-18,54,36.96
2007-05-25,72,37.56
2007-06-01,54,37.45
2007-06-08,56,37.32
2007-06-15,75,38.12
2007-06-22,41,38.24
2007-06-29,47,38.28
2007-07-06,41,38.48
2007-07-13,60,39.50
2007-07-20,39,40.12
2007-07-27,55,38.79
2007-08-03,62,38.06
2007-08-10,39,38.23
2007-08-17,65,38.45
2007-08-24,41,39.41
2007-08-31,52,38.87
2007-09-07,43,38.75
2007-09-14,38,40.35
2007-09-21,33,41.25
2007-09-28,31,41.40
2007-10-05,38,41.77
2007-10-12,64,41.03
2007-10-19,50,40.04
2007-10-26,50,40.38
2007-11-02,63,40.33
2007-11-09,39,38.38
2007-11-16,37,38.65
2007-11-23,61,37.67
2007-11-30,57,38.29
2007-12-07,60,37.23
2007-12-14,39,36.91
2007-12-21,63,37.14
2007-12-28,56,37.34
2008-01-04,49,36.04
2008-01-11,35,35.17
2008-01-18,54,34.31
2008-01-25,44,34.00
2008-02-01,56,36.16
2008-02-08,49,33.84
2008-02-15,55,34.37
2008-02-22,46,33.55
2008-02-29,44,33.14
2008-03-07,35,32.23
2008-03-14,48,33.82
2008-03-21,36,
2008-03-28,44,36.61
2008-04-04,64,37.56
2008-04-11,57,32.05
2008-04-18,56,32.69
2008-04-25,45,33.33
2008-05-02,54,33.34
2008-05-09,50,32.27
2008-05-16,49,32.13
2008-05-23,62,30.43
2008-05-30,47,30.72
2008-06-06,73,30.02
2008-06-13,81,29.15
2008-06-20,62,27.38
2008-06-27,77,26.26
2008-07-04,61,
2008-07-11,53,27.66
2008-07-18,54,28.00
2008-07-25,59,28.71
2008-08-01,58,28.21
2008-08-08,62,29.64
2008-08-15,67,29.80
2008-08-22,46,29.12
2008-08-29,46,28.10
2008-09-05,48,27.88
2008-09-12,47,26.75
2008-09-19,58,26.62
2008-09-26,58,25.25
2008-10-03,77,21.57
2008-10-10,95,21.50
2008-10-17,81,19.63
2008-10-24,65,17.83
2008-10-31,54,19.51
2008-11-07,50,18.86
2008-11-14,72,16.02
2008-11-21,74,14.03
2008-11-28,67,17.17
2008-12-05,63,17.85
2008-12-12,56,17.11
2008-12-19,53,16.50
2008-12-26,58,15.97
2009-01-02,65,17.07
2009-01-09,57,16.00
2009-01-16,74,13.96
2009-01-23,59,12.03
2009-01-30,68,12.13
2009-02-06,58,11.10
2009-02-13,51,11.44
2009-02-20,79,9.38
2009-02-27,78,8.51
2009-03-06,100,7.06
2009-03-13,86,9.62
2009-03-20,72,9.54
2009-03-27,55,10.78
2009-04-03,68,10.94
2009-04-10,61,
2009-04-17,56,12.39
2009-04-24,61,12.11
2009-05-01,59,12.69
2009-05-08,70,14.53
2009-05-15,55,12.86
2009-05-22,59,13.10
2009-05-29,58,13.48
2009-06-05,53,13.54
2009-06-12,51,13.51
2009-06-19,53,12.10
2009-06-26,58,11.75
2009-07-03,49,
2009-07-10,51,10.78
2009-07-17,53,11.65
2009-07-24,62,12.03
2009-07-31,69,13.40
2009-08-07,57,14.70
2009-08-14,57,13.92
2009-08-21,62,14.21
2009-08-28,52,14.08
2009-09-04,75,13.87
2009-09-11,58,14.67
2009-09-18,51,16.50
2009-09-25,44,16.37
2009-10-02,51,15.36
2009-10-09,55,16.18
2009-10-16,55,16.08
2009-10-23,40,15.20
2009-10-30,48,14.26
2009-11-06,59,15.33
2009-11-13,59,15.66
2009-11-20,57,15.59
2009-11-27,75,15.94
2009-12-04,71,16.20
2009-12-11,64,15.92
2009-12-18,56,15.59
2009-12-25,45,
2010-01-01,62,
2010-01-08,54,16.60
2010-01-15,54,16.44
2010-01-22,47,16.11
2010-01-29,53,16.08
2010-02-05,48,15.79
2010-02-12,59,15.55
2010-02-19,62,16.17
2010-02-26,54,16.06
2010-03-05,56,16.35
2010-03-12,46,17.04
2010-03-19,52,18.07
2010-03-26,44,18.34
2010-04-02,52,
2010-04-09,46,18.52
2010-04-16,55,18.97
2010-04-23,59,19.07
2010-04-30,49,18.86
2010-05-07,52,16.88
2010-05-14,49,17.64
2010-05-21,42,16.42
2010-05-28,53,16.35
2010-06-04,54,15.71
2010-06-11,51,15.56
2010-06-18,50,15.95
2010-06-25,47,14.91
2010-07-02,57,13.88
2010-07-09,62,14.95
2010-07-16,51,14.55
2010-07-23,60,15.71
2010-07-30,56,16.12
2010-08-06,48,16.45
2010-08-13,49,15.38
2010-08-20,52,15.03
2010-08-27,45,14.71
2010-09-03,42,15.39
2010-09-10,56,15.98
2010-09-17,46,16.29
2010-09-24,41,16.66
2010-10-01,44,16.36
2010-10-08,49,17.12
2010-10-15,51,16.30
2010-10-22,47,16.06
2010-10-29,52,16.02
2010-11-05,48,16.73
2010-11-12,59,16.25
2010-11-19,62,16.22
2010-11-26,66,15.80
2010-12-03,61,16.78
2010-12-10,57,17.72
2010-12-17,59,17.70
2010-12-24,42,
2010-12-31,74,18.29
2011-01-07,56,18.43
2011-01-14,47,18.82
2011-01-21,49,19.74
2011-01-28,58,20.20
2011-02-04,53,20.56
2011-02-11,53,21.33
2011-02-18,55,21.44
2011-02-25,54,20.82
2011-03-04,50,20.37
2011-03-11,48,20.36
2011-03-18,45,19.25
2011-03-25,54,19.75
2011-04-01,52,20.34
2011-04-08,50,20.19
2011-04-15,45,20.04
2011-04-22,48,
2011-04-29,51,20.45
2011-05-06,46,20.01
2011-05-13,48,19.89
2011-05-20,55,19.62
2011-05-27,55,19.44
2011-06-03,56,18.82
2011-06-10,43,18.32
2011-06-17,50,18.49
2011-06-24,44,17.97
2011-07-01,52,19.20
2011-07-08,63,18.99
2011-07-15,55,18.41
2011-07-22,51,19.04
2011-07-29,52,17.91
2011-08-05,61,16.51
2011-08-12,62,15.88
2011-08-19,44,15.09
2011-08-26,48,15.54
2011-09-02,53,15.76
2011-09-09,57,15.09
2011-09-16,49,16.33
2011-09-23,42,15.21
2011-09-30,39,15.22
2011-10-07,49,15.50
2011-10-14,49,16.60
2011-10-21,38,16.31
2011-10-28,48,17.25
2011-11-04,52,16.39
2011-11-11,49,16.30
2011-11-18,57,15.65
2011-11-25,66,14.70
2011-12-02,52,16.09
2011-12-09,48,16.84
2011-12-16,54,17.01
2011-12-23,52,18.23
2011-12-30,58,17.91
2012-01-06,52,18.65
2012-01-13,48,18.84
2012-01-20,49,19.15
2012-01-27,65,19.03
2012-02-03,57,19.02
2012-02-10,50,18.88
2012-02-17,49,19.28
2012-02-24,65,19.24
2012-03-02,52,18.97
2012-03-09,57,19.04
2012-03-16,47,20.20
2012-03-23,44,19.78
2012-03-30,49,20.07
2012-04-06,52,
2012-04-13,46,18.88
2012-04-20,36,19.36
2012-04-27,45,19.78
2012-05-04,46,19.34
2012-05-11,41,19.01
2012-05-18,46,18.95
2012-05-25,46,19.20
2012-06-01,44,18.54
2012-06-08,43,19.20
2012-06-15,44,20.00
2012-06-22,51,19.81
2012-06-29,47,20.84
2012-07-06,52,20.00
2012-07-13,58,19.77
2012-07-20,46,19.87
2012-07-27,52,20.92
2012-08-03,51,20.96
2012-08-10,56,21.10
2012-08-17,43,21.00
2012-08-24,45,20.80
2012-08-31,54,20.71
2012-09-07,44,21.59
2012-09-14,47,22.11
2012-09-21,41,22.53
2012-09-28,48,22.71
2012-10-05,44,23.12
2012-10-12,44,22.48
2012-10-19,43,22.03
2012-10-26,40,21.11
2012-11-02,45,21.31
2012-11-09,40,21.00
2012-11-16,53,20.15
2012-11-23,59,21.04
2012-11-30,52,21.13
2012-12-07,48,21.46
2012-12-14,45,21.62
2012-12-21,52,20.88
2012-12-28,50,20.44
2013-01-04,48,21.20
2013-01-11,48,21.13
2013-01-18,50,22.04
2013-01-25,40,22.29
2013-02-01,56,22.62
2013-02-08,35,22.50
2013-02-15,43,23.29
2013-02-22,39,23.39
2013-03-01,43,23.19
2013-03-08,38,23.77
2013-03-15,42,23.44
2013-03-22,37,23.37
2013-03-29,39,
2013-04-05,37,22.93
2013-04-12,46,23.46
2013-04-19,35,21.75
2013-04-26,39,22.21
2013-05-03,41,22.57
2013-05-10,49,22.90
2013-05-17,46,23.46
2013-05-24,42,23.53
2013-05-31,44,23.32
2013-06-07,46,23.86
2013-06-14,44,23.52
2013-06-21,32,23.36
2013-06-28,40,23.19
2013-07-05,48,23.24
2013-07-12,46,23.76
2013-07-19,43,24.72
2013-07-26,42,24.65
2013-08-02,51,24.70
2013-08-09,44,24.25
2013-08-16,44,23.95
2013-08-23,34,23.78
2013-08-30,41,23.14
2013-09-06,46,23.16
2013-09-13,37,23.78
2013-09-20,42,24.01
2013-09-27,45,24.05
2013-10-04,39,24.05
2013-10-11,36,24.40
2013-10-18,48,25.55
2013-10-25,41,25.88
2013-11-01,40,26.54
2013-11-08,52,27.05
2013-11-15,49,27.20
2013-11-22,49,27.08
2013-11-29,51,26.66
2013-12-06,47,26.94
2013-12-13,39,26.84
2013-12-20,50,27.36
2013-12-27,46,27.83
2014-01-03,57,27.48
2014-01-10,40,26.96
2014-01-17,51,26.58
2014-01-24,50,24.95
2014-01-31,41,25.13
2014-02-07,40,25.19
2014-02-14,47,25.74
2014-02-21,36,24.94
2014-02-28,46,25.47
2014-03-07,39,26.13
2014-03-14,44,25.11
2014-03-21,33,25.40
2014-03-28,42,25.88
2014-04-04,40,26.02
2014-04-11,40,25.43
2014-04-18,39,
2014-04-25,64,26.60
2014-05-02, ,
